<br><font color=teal>*Engi, Ichiro(Master Roku) says: And miss out on funds. - Wed Dec  2 00:11:05 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Yea I don't have it. - Wed Dec  2 05:43:53 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Hey yo Marco how are those cards coming? - Wed Dec  2 05:44:44 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: What you going to do with cards Trill? - Wed Dec  2 05:44:44 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *waves at Nami* - Wed Dec  2 05:44:44 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: You'll  understand when you get them. - Wed Dec  2 05:45:36 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I am getting some? - Wed Dec  2 05:45:36 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Hmmmm..... - Wed Dec  2 05:45:36 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Hiii. - Wed Dec  2 05:45:36 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Geez. . . Don't complain to me when we arent spendin' enough time together. - Wed Dec  2 05:46:27 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Excuse me? - Wed Dec  2 05:46:27 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: ....... - Wed Dec  2 05:49:52 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: No you were going to blantantly disrespect me. - Wed Dec  2 05:49:52 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: and - - Wed Dec  2 05:49:52 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Just whatever. - Wed Dec  2 05:50:43 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) thinks: He's not even worth arguing with he doesn't even tell me that Kiyoko and her girlfriend asked for his sperm. - Wed Dec  2 05:51:34 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Whatever. - Wed Dec  2 05:51:34 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I'm going back home. - Wed Dec  2 05:52:25 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: -for occ- - Wed Dec  2 06:01:48 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Hey, anyone know where the Kazekage's at? - Wed Dec  2 07:04:06 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: He went home I presume with Mirai - Wed Dec  2 07:04:06 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Hmm, it did take a while to capture that guy. I need to go clean my clothes.. Graghu - Wed Dec  2 07:05:48 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks:  Did this nigga just have a seizure - Wed Dec  2 07:05:48 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: I hope that stank doesn't stick to me. - Wed Dec  2 07:05:48 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: -omit- - Wed Dec  2 07:05:48 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hey.~ - Wed Dec  2 07:08:22 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Marco, right? - Wed Dec  2 07:08:22 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Oh, Izanami. Hey, how you been? - Wed Dec  2 07:08:22 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: S- - Wed Dec  2 07:08:22 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I've been better. - Wed Dec  2 07:08:22 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Sorry to hear that, yo. - Wed Dec  2 07:10:04 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Hi Tsuki. - Wed Dec  2 07:10:04 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Mitsuna I havent seen you in a while - Wed Dec  2 07:13:29 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Yo, Priest. - Wed Dec  2 07:13:29 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: I was out on a mission for a while. - Wed Dec  2 07:13:29 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: I see, and your not dead... I guess thats good. - Wed Dec  2 07:14:20 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Hah! - Wed Dec  2 07:14:20 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Hrm?  - Wed Dec  2 07:14:20 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: You and Koji did it? - Wed Dec  2 07:17:45 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Ayup. - Wed Dec  2 07:18:36 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: The Desert owls have the stanky little midget in Jail already. - Wed Dec  2 07:18:36 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Yups. - Wed Dec  2 07:18:36 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Sanoke - Wed Dec  2 07:18:36 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Thank you, let me know if ya need me again. - Wed Dec  2 07:19:28 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: Is this guy going to talk? - Wed Dec  2 07:19:28 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Can I get a few missions or something... I need to futher my experience  - Wed Dec  2 07:19:28 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Bitchin... - Wed Dec  2 07:20:19 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: That's two B-Ranks on my record total, too... Nice. Anyway. - Wed Dec  2 07:21:10 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Lyan. - Wed Dec  2 07:21:10 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Long time no so, Mitsunara. . The heck have you been? - Wed Dec  2 07:21:10 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: There's no need to act like you care if I live or die, Priest... Hrm? Yo, Marco. - Wed Dec  2 07:21:10 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Yea? - Wed Dec  2 07:21:10 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: I was out of town on a mission. - Wed Dec  2 07:21:10 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Must have been quite the mission.. - Wed Dec  2 07:22:01 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: ..... You could say that. - Wed Dec  2 07:22:01 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Oh but I do care if you live or die - Wed Dec  2 07:22:01 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) thinks: More than you know - Wed Dec  2 07:22:52 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: -- Ah! Lera, how you been? - Wed Dec  2 07:24:35 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Hm? Hello I've been well enough. - Wed Dec  2 07:24:35 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Yourself? - Wed Dec  2 07:24:35 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: What is with the animosity, Priest? - Wed Dec  2 07:24:35 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Good luck with... oh...hmmm... the training yea - Wed Dec  2 07:24:35 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Animosity?  - Wed Dec  2 07:25:26 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Indeed. . You seem quite. . - Wed Dec  2 07:25:26 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Tense when addressing the swords woman. - Wed Dec  2 07:25:26 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: I dont show hate - Wed Dec  2 07:25:26 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) thinks: That much anymore... I dont think? - Wed Dec  2 07:26:17 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: I think im pretty tame - Wed Dec  2 07:26:17 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Mitsunara is... cool - Wed Dec  2 07:26:17 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Mmhhrmm... I'm good, Lera. - Wed Dec  2 07:28:00 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Well... mostly... - Wed Dec  2 07:28:00 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Sad to see Yan go- dude was pretty much my best freind- but... - Wed Dec  2 07:28:00 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: .... Guess I know better than to get too worked up over it, so.. - Wed Dec  2 07:28:00 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Yeah... - Wed Dec  2 07:28:00 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: No no...not yet. With things how they are everything been postponed... - Wed Dec  2 07:28:51 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Ah... Really? - Wed Dec  2 07:30:33 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: You'd think that with how things are, a Marriage would be considered just the thing to hurry and cheer everyone up, you know? - Wed Dec  2 07:30:33 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Yeah...we're still planning. - Wed Dec  2 07:31:24 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Yes, it should be a wonderous occation - Wed Dec  2 07:32:16 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: I just wish my father could've been here to see it... - Wed Dec  2 07:32:16 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) thinks: even if its against gods will - Wed Dec  2 07:32:16 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Yes Hassan will be missed - Wed Dec  2 07:32:16 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Yeah... - Wed Dec  2 07:33:58 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: I gotta wish you well, yeah. - Wed Dec  2 07:33:58 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Thanks. - Wed Dec  2 07:35:40 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Where is Kiyoko? - Wed Dec  2 07:36:32 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) thinks: Where is Makoto for thar matter? - Wed Dec  2 07:36:32 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: She'll be asleep still. - Wed Dec  2 07:39:05 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: While everyone is active? - Wed Dec  2 07:39:05 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: She hasn't had time to get used to...losing her friends. - Wed Dec  2 07:40:48 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: ....Sad.. - Wed Dec  2 07:40:48 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: I've been through all this before, she just needs a bit of time. - Wed Dec  2 07:40:48 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: I see, well ninja come and go its sad but nothing to mourn for so long over - Wed Dec  2 07:41:39 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: ... Mrm. - Wed Dec  2 07:42:30 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Death's only sad when it's someone you cared about... - Wed Dec  2 07:42:30 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Death is the natural end for life. It is not a drepressing topic - Wed Dec  2 07:43:21 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Hrm. . You were raised in that temple, weren't you? - Wed Dec  2 07:45:04 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Yes I was - Wed Dec  2 07:45:04 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: I'd suppose the society there isn't of the norm. You seem ignorant of how people naturally feel. - Wed Dec  2 07:45:55 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Hrm? I mean... - Wed Dec  2 07:46:46 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: If you're going to talk like a sociopath.. - Wed Dec  2 07:46:46 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: I'll compare you to other sociopaths. - Wed Dec  2 07:46:46 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Hah.. "Death Isn't sad"... - Wed Dec  2 07:47:37 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: I devour the souls of those I kill. I take life without hesitating- but I still can udnerstand the emotions involved for those who knew the person who just died. Mrm... - Wed Dec  2 07:47:37 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Im simply stating facts, dying is not the end of life. It is just another  stage of the life cycle. The the holy and rightous can live with God in heaven - Wed Dec  2 07:49:20 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: What a load of horseshit.. - Wed Dec  2 07:49:20 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: As if any God actually cares about the shithole that is the mortal world. - Wed Dec  2 07:50:11 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Watch your tone swordswoman - Wed Dec  2 07:50:11 2015
<br><br><font color=teal>*Hiroshi(Marchie15) thinks: This is... I'm just gonna go... somewhere else. This is an odd mixture of sad and weird. - Wed Dec  2 07:51:02 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: At least, I think it's funny. - Wed Dec  2 08:02:08 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: You've more malice and active will than I- but I'm the bad guy, right? - Wed Dec  2 08:02:08 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Eh? Oh- wait, wait... are you legitimately holding a grudge over old wars? - Wed Dec  2 08:50:46 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Haahh... Ah, well... - Wed Dec  2 08:50:46 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: ...Mrm... - Wed Dec  2 08:50:46 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Well, feel free to hold onto that hate as long as you want, I suppose. I'll see you around. - Wed Dec  2 08:51:37 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) thinks: Spar? - Wed Dec  2 08:54:11 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: I will see you as well; - Wed Dec  2 08:55:02 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Ah.... - Wed Dec  2 08:55:53 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: I'm starting to get on the groove of doing missions daily. - Wed Dec  2 08:56:44 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Mrm.. - Wed Dec  2 09:00:09 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Glad to hear it. - Wed Dec  2 09:00:09 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Glad to hear you're holding up okay, even long since... mhrm. - Wed Dec  2 09:01:00 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Heh... - Wed Dec  2 09:05:16 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: In that case.. - Wed Dec  2 09:05:16 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Let's spar tommorow, when you wake up. - Wed Dec  2 09:05:16 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Yeah? - Wed Dec  2 09:05:16 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Yeah of course. - Wed Dec  2 09:12:06 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Hey, Lera. You still doin that Jutsu exchange thing? - Wed Dec  2 09:19:47 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Sort of - Wed Dec  2 09:22:20 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Sorta? - Wed Dec  2 09:23:12 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Oh Lera when we finally set the date for the Maid Cafe and Swimsuit contest do you wanna join. Kiyoko was really supporting you joining. - Wed Dec  2 09:24:03 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Swimsuit Contest too..? Man... - Wed Dec  2 09:26:36 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: This is gonna be funny. - Wed Dec  2 09:26:36 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: You'll join too, right? Mitsunara. - Wed Dec  2 09:26:36 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Well, if you're the one asking.... Sure. - Wed Dec  2 09:26:36 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Great!  - Wed Dec  2 09:27:28 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Hah! With how excited you are over this all, I wonder if you just want to see lots of people in maid outfits and swimsuits. - Wed Dec  2 09:28:19 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Yeah...she already asked me.... - Wed Dec  2 09:29:10 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: *sigh* I couldn't say no. - Wed Dec  2 09:29:10 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) thinks: This will be a most interesting series of events - Wed Dec  2 09:30:01 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Hah! - Wed Dec  2 09:30:01 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: I guess your future wife really wants to see you in a swimsuit, huh Lera? - Wed Dec  2 09:30:52 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Or do you think it's the maid outfit that she's more interested in, neh? - Wed Dec  2 09:30:52 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) thinks: What a hilarious world we live in.. - Wed Dec  2 09:30:52 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: I guess so... - Wed Dec  2 09:30:52 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) thinks: Not like she hasn't seen me without anything... - Wed Dec  2 09:30:52 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) thinks: Sometimes skimpy is sexier than nothing at all, mhrm. - Wed Dec  2 09:33:26 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) whispers: Even if I do think you're a bit young to think about those kinda things, it's nothing really wrong, mhrm. - Wed Dec  2 09:38:33 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) thinks: Shinobi never cease to ammuze me... paying lera to dance... a maid cafe, what ever that is , and a swim suit contest, should be ammusing - Wed Dec  2 09:39:24 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) thinks: ...Well.. - Wed Dec  2 09:39:24 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) thinks: ....At least things are still cheerful, even after... - Wed Dec  2 09:39:24 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) thinks: ....God, why am I still sad about his death..? - Wed Dec  2 09:39:24 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) thinks: What kind of a killer am I, feeling sad about stupid things like that.. - Wed Dec  2 09:40:16 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) whispers: Think about what kind- of things... Haha..hahaha.. You're so silly MItsunara. - Wed Dec  2 09:41:58 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) thinks: She knows my secret. She must die -omit- - Wed Dec  2 09:43:40 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) whispers: Oh, you know..~ Lewd things!~ - Wed Dec  2 09:43:40 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) whispers: Heh... you're acting all cute n' stuff. You know, if you still find me attractive in two years or so, look me up, neh? Hah!~ - Wed Dec  2 09:43:40 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) whispers: Hrm? What's wrong, Kohai? - Wed Dec  2 09:45:23 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) whispers: *Blushing* Wait...what are you saying. Hehehe its not funny to tease me around just because you know I'm a lesbian.  - Wed Dec  2 09:45:23 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) whispers: Y'know, funnily enough, I didn't know that? But I'm not teasing or kidding. If you like me, I'm fine with that- personally, I don't favor either gender, really... beauty is beauty- but I've got a minimum age on people I'd date. - Wed Dec  2 09:47:05 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) whispers: So- yeah. I'm serious.  - Wed Dec  2 09:47:05 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) thinks: I should really start on that training... - Wed Dec  2 09:47:56 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) whispers: Really...Oh! Oh... *she bites her lip* Well I mean... I just always saw you as a good friend. I didn't even think about you like that...but maybe if you really want to.. in two years... *she trails off* - Wed Dec  2 09:47:56 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) thinks: But training is so boring... - Wed Dec  2 09:47:56 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) whispers: I mean. I've thought of you as a freind to, so.... It's whatever you know? If you wanan give that kinda thing a try- cool. We'll see where it goes and if feelings of /that/ kind happen. If you don't wanna give it a go? Don't. - Wed Dec  2 09:48:48 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) whispers: That's life, mhrm. - Wed Dec  2 09:49:39 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Have any of you seen Makoto? - Wed Dec  2 09:49:39 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) whispers: That sounds...like tit be really nice. Guess, I'll just have to wait and see in a few years. - Wed Dec  2 09:49:39 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) whispers: Mrm. Yeah... and before you ask- no, it's not that you're not pretty. It's that I'd feel like a pedo or something, goin on a date with someone less than sixteen yearso ld. - Wed Dec  2 09:51:21 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: I see... - Wed Dec  2 09:52:12 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) thinks: Where is that girl - Wed Dec  2 09:52:12 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) whispers: No... No I understand, don't worry about that. I really do. I'm.. just surprised theres another girl thats like me. And even if its in a few years, that she might want to date me. - Wed Dec  2 09:54:46 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) whispers: You are suprised by this after we earlier this day talked about how Lera and Kiyoko- also two girsl- are getting married? - Wed Dec  2 09:54:46 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) whispers: Hah! Man.. you really can be clueless, sometimes... Mrm. - Wed Dec  2 09:55:37 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) whispers: Oh no! I knew there were others like me, like you said Lera and Kiyoko. I just didn't think any of my friends would like people of the same gender, and then beyond that actually like me in return. I'm normally just...used to it being one sided. - Wed Dec  2 09:57:20 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) whispers: Hah, I see... Mrm. Well- I mean. I think the way you tend to act is kinda cute, you're fun to fight, generally fun to spend time with.. I get along with you- and I like both genders, so... I mean, I figure if you turn out to have a crush on me, it'd be pretty smooth. I guess that's an odd sounding way to put it- but.. - Wed Dec  2 09:58:11 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) whispers: The way I see it, someone I know I can be freinds with, would be someone pretty safe to date? - Wed Dec  2 09:59:02 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) whispers: Well... I mean I never look at my friends that way. Maybe this event thing has gone to my head a bit, but I really don't want to view my friends as merely crushes. Though- I think you're really beautiful, if you don't mind that coming from a younger person.  - Wed Dec  2 10:00:44 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) whispers: I guess I see what you mean. Honestly, I'da never guessed you where into chicks if not for this whole thing... - Wed Dec  2 10:01:36 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) whispers: You also fun, nice to talk with, you have a really solid way with thoughts and words. I guess fun to fight you as well, though you seem to enjoy it a bit too much. *She softly elbows Mitsunara in the side* - Wed Dec  2 10:01:36 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) whispers: Heh, it's whatever, I s'pose... Mrm. I guess I think of dating a bit over logically- but then.. - Wed Dec  2 10:02:27 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) whispers: I think of most things that aren't fighting a bit too logically.. and I think of fighting with almost no logic at all, bwahaha! - Wed Dec  2 10:02:27 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) whispers: Ahh.. Heh. - Wed Dec  2 10:02:27 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) whispers: Gah... You and Rias both said that, I thought it be obvious... Maybe I should wear a badge or something. - Wed Dec  2 10:02:27 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) whispers: I don't think with much logic in either. Hehehe! - Wed Dec  2 10:02:27 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) whispers: I don't see how it's really that obvious until such time as you actually show attraction to a chick. How am I s'posed to guess someone's sexuality unti they do something to show it off? - Wed Dec  2 10:03:18 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) whispers: Oh... I guess so... Hmm, ah that makes this all much harder. I have to be friends with people, as while subtly showing I'm attracted to them without making it seem thats the only reason I'm friends with them... Phhffaa! This is all really hard to think about. - Wed Dec  2 10:05:52 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) whispers: And stuff like this? - Wed Dec  2 10:05:52 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) whispers: Is why I don't even try to be subtle about that kinda stuff. - Wed Dec  2 10:05:52 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) whispers: Too much hassle. - Wed Dec  2 10:05:52 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) whispers: Hmm... Sounds good... I guess I'll be more obvious about this stuff. I guess I'll test it on you first! I think you look really pretty in that kimono you always wear. - Wed Dec  2 10:08:25 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) whispers: I mean, more often than not, I won't be picking up on subtle signals from someone else... and I'm no good at i- - Wed Dec  2 10:08:25 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) whispers: Heh. Thanks- I agree, I look fabulous in this Kimono!~ - Wed Dec  2 10:08:25 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) whispers: Meanwhile, your outfit goes nicely with your hair, even if it is a bit suprisingly skimpy! - Wed Dec  2 10:08:25 2015
