<br><font color=teal>*Engi, Ichiro(Master Roku) says: ..... - Sat Oct 31 02:01:10 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Ichiro-kun, I did like the bloodlust you were emitting. - Sat Oct 31 02:02:52 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Were you actually trying to kill me? - Sat Oct 31 02:02:52 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Possibly. - Sat Oct 31 02:06:17 2015
<br><br><font color=teal>*ANBU Agent(LavenderTown) says: Ooo yay. - Sat Oct 31 02:06:17 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm. - Sat Oct 31 02:09:42 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Good..good.. - Sat Oct 31 02:09:42 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I might be able to get off to that.. - Sat Oct 31 02:10:33 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: ..... - Sat Oct 31 02:11:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Huh? - Sat Oct 31 02:16:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: What do you mean..? - Sat Oct 31 02:16:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: It's like I said it.. - Sat Oct 31 02:16:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: There's a time for being a priest, and then there's a time for pleasure. - Sat Oct 31 02:16:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Huh? - Sat Oct 31 02:21:39 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You're judging me.. - Sat Oct 31 02:21:39 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Such a shame.. - Sat Oct 31 02:22:30 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I expect that from the Old Hag.. - Sat Oct 31 02:22:30 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm.. - Sun Nov  1 00:38:49 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: What are you looking down for?! - Tue Nov  3 01:15:31 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You're going to need a mirror to see the type of feet I'm talking about. - Tue Nov  3 01:15:31 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Ichiro-kun, tell her. - Tue Nov  3 01:15:31 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: I'm somewhat conflicted, but overall everything goes well. - Tue Nov  3 01:15:31 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .... - Tue Nov  3 01:16:22 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: She's getting up in the years, isn't she? - Tue Nov  3 01:16:22 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: I must ask that you stop... - Tue Nov  3 01:16:22 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: H-..heh. - Tue Nov  3 01:16:22 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I understand.. - Tue Nov  3 01:16:22 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You don't want to hurt her feelings. - Tue Nov  3 01:16:22 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm? - Tue Nov  3 01:17:13 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Oh. - Tue Nov  3 01:18:04 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You... - Tue Nov  3 01:18:04 2015
<br><br><font color=teal>*Asteroth(Lordlol45) thinks: I wonder when Ichiro will be strong enough to be at hreat. - Tue Nov  3 01:21:29 2015
<br><br><font color=teal>*Asteroth(Lordlol45) thinks: a threat to nigen* - Tue Nov  3 01:21:29 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Evening. - Tue Nov  3 01:21:29 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .... - Tue Nov  3 01:22:20 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Well...well.. - Tue Nov  3 01:23:12 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Oh yes.. - Tue Nov  3 01:23:12 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: There was a holy barrier erected close by. - Tue Nov  3 01:23:12 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .... - Tue Nov  3 01:24:03 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) thinks: I still don't understand....This holy...and dark thing. - Tue Nov  3 01:24:03 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) says: Best Friend Sado, you're a priest. You deal with Holy Stuff. Can't you make it go away? - Tue Nov  3 01:24:54 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm? - Tue Nov  3 01:24:54 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Potentially? - Tue Nov  3 01:24:54 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .... - Tue Nov  3 01:24:54 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Those people are heathens. - Tue Nov  3 01:24:54 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: They use evil... - Tue Nov  3 01:24:54 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) says: How can priests use evil? - Tue Nov  3 01:25:45 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: They aren't priests.. - Tue Nov  3 01:26:36 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: They're heathens. - Tue Nov  3 01:26:36 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Hrm>? - Tue Nov  3 01:27:28 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Holy Barrier. .? - Tue Nov  3 01:27:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Yeah.. - Tue Nov  3 01:27:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Go deal with it. - Tue Nov  3 01:27:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Psh.. - Tue Nov  3 01:32:35 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: She's probably going to back out of dealing with it.. - Tue Nov  3 01:32:35 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: . . . - Tue Nov  3 01:35:08 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: No. I have you people for a reason. - Tue Nov  3 01:35:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Why are you so lazy? - Tue Nov  3 01:36:00 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Hrm? You're acting like you got a crush on him. - Tue Nov  3 01:36:00 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Do I have to bring you there myself? - Tue Nov  3 01:36:00 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: ...I've not seen him in the passing month. - Tue Nov  3 01:36:00 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) says: He was here the other day. - Tue Nov  3 01:36:51 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) says: I asked him a question - Tue Nov  3 01:36:51 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) says: and he ran away. - Tue Nov  3 01:36:51 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) says: I don't like unfinished business okay... - Tue Nov  3 01:36:51 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hey.. - Tue Nov  3 01:36:51 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Mizumi..why is your mask off? - Tue Nov  3 01:37:42 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) says: . . . . - Tue Nov  3 01:37:42 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) says: It was getting too itchy. - Tue Nov  3 01:37:42 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I see.. - Tue Nov  3 01:37:42 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: That means someone is coming to kill you. - Tue Nov  3 01:38:33 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) says: Huh? - Tue Nov  3 01:38:33 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: When your mask becomes itchy..it means someone is coming for you. - Tue Nov  3 01:38:33 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) says: The comfortness of my mask is reliant on th- - Tue Nov  3 01:38:33 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) says: You're right. - Tue Nov  3 01:38:33 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) thinks: I thought he said it was melted onto his face... - Tue Nov  3 01:38:33 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Maybe.. - Tue Nov  3 01:38:33 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) says: Someone's coming to kill me. - Tue Nov  3 01:38:33 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I don't know.. - Tue Nov  3 01:38:33 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) thinks: Makes no difference... - Tue Nov  3 01:39:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Superstitions aren't the way. - Tue Nov  3 01:39:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Mizumi..you're pretty feminine now that I get to look at ya'. - Tue Nov  3 01:40:16 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: If we put you in a kimono we could make a nice bit of change.. - Tue Nov  3 01:40:16 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) says: Ugh... - Tue Nov  3 01:47:05 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) thinks: How does she know I wasn't stealthy? - Tue Nov  3 01:47:05 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) thinks: Spying? - Tue Nov  3 01:47:05 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Tue Nov  3 01:48:48 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Stealth.. - Tue Nov  3 01:48:48 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Was that apart of a mission? - Tue Nov  3 01:48:48 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I was just going around purifying the heathens. - Tue Nov  3 01:48:48 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: ....I apologize my queen... - Tue Nov  3 01:50:30 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) says: Yeah, Same. - Tue Nov  3 01:50:30 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) says: I was purifying. - Tue Nov  3 01:50:30 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Don't apologize. - Tue Nov  3 01:50:30 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .... - Tue Nov  3 01:51:21 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: . .  - Tue Nov  3 01:59:53 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) says: . . .  - Tue Nov  3 01:59:53 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Well I didn't ask for you to purify. - Tue Nov  3 01:59:53 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm.. - Tue Nov  3 01:59:53 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You didn't ask me. - Tue Nov  3 01:59:53 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I did it of my own will. - Tue Nov  3 02:00:44 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: As for him.. - Tue Nov  3 02:00:44 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I don't know what he was doing. - Tue Nov  3 02:00:44 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Whatever. - Tue Nov  3 02:02:27 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: So difficult..~ - Tue Nov  3 02:03:18 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .... - Tue Nov  3 02:16:57 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: It depends... - Tue Nov  3 02:29:45 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: What is this 'something' you describe as fun? - Tue Nov  3 02:30:36 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) says: Anything really....Boardgames...Dice games...Rock Paper Scissors.... - Tue Nov  3 02:30:36 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .... - Tue Nov  3 02:32:19 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: How about a game of strength. - Tue Nov  3 02:39:08 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Physical prowess, I should say. - Tue Nov  3 02:39:08 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) says: Mmmm....I'm not strong. - Tue Nov  3 02:39:08 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: ... - Tue Nov  3 02:39:08 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) says: Physically.... - Tue Nov  3 02:39:08 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: I do not. - Tue Nov  3 02:45:07 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: You guys are bores. Move out. - Tue Nov  3 02:51:05 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) says: I already moved out. I bought my own home. - Tue Nov  3 02:51:56 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .... - Tue Nov  3 02:53:39 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: . . I meant to the mission. - Tue Nov  3 02:55:21 2015
<br><br><font color=yellow>*Engi, Ichiro(Master Roku) nodded, setting on his way towards the mission site. Of course, he expected his comrades to follow. He wouldn't begin without at leats one to back him up of course.* - Tue Nov  3 02:57:04 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Ugh.. - Tue Nov  3 03:19:15 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You could have woken me up. - Tue Nov  3 03:19:15 2015
<br><br><font color=yellow>*Engi, Ichiro(Master Roku) observed the changes within the encampment as he moved deeper within, heading onwards to the north. The pillars that had been built up were definetly something new within his eyes, but he figured he could deal with one while his comrades dealt with the other. A simple stride forward and Ichiro eyed the towering construct to the East, choosing this as his target.

As he moved forward, he made no attempts at combat---at least not yet. Rather, Ichiro only observed them to try and get an idea of what he'd be dealing with and how to combat his target, expecting his retaliation to prove difficult in some way of course.* - Tue Nov  3 03:26:04 2015
<br><br><font color=yellow>*Engi, Ichiro(Master Roku) [REPOST]
(*Engi, Ichiro observed the changes within the encampment as he moved deeper within, heading onwards to the north. The pillars that had been built up were definetly something new within his eyes, but he figured he could deal with one while his comrades dealt with the other. A simple stride forward and Ichiro eyed the towering construct to the East, choosing this as his target.

As he moved forward, he made no attempts at combat---at least not yet. Rather, Ichiro only observed them to try and get an idea of what he'd be dealing with and how to combat his target, expecting his retaliation to prove difficult in some way of course.*)


(*Suimu, Mizumi rushed in behind Ichiro, making sure to pay attention to the surroundings and the barrier that defended their goal. Noticing Ichiro going after a structure to the east, and a similar structure being in the west. Deciding that he had to go after that one instead, he ran over towards the structure, making sure he kept a look out in case something flew out of the barrier. 

Forming a single handseal, a shadow clone was formed near Mizumi, as both began preparations to take on the structure.*)
* - Tue Nov  3 03:57:39 2015
<br><br><font color=yellow>*Engi, Ichiro(Master Roku) noted how the Eastern pillar hadn't picked up any action against him. A grunt from Ichiro as this seemed to be greatly beneficial to him. And of course, he heard the abrupt roar of lightning in the background, of course getting quieter as he moved, although remaining louder than ever. He simply brought his hands together now as he allowed them both to crack in each individual hand before bringing himself into a run, thrusting a hard fist forward as he planned to connect with the pillar, hoping nothing could possibly stop his actions.* - Tue Nov  3 04:27:31 2015
<br><br><font color=yellow>*Engi, Ichiro(Master Roku) took note of the enemy amassing, yet ignoring him through the corner of his own eyes. A light nod was made, finding that the plan had promptly introduced the same scenario from the previous day, although a bit altered. However he returned to his task, continuing to toss his forceful fists into the rocklike strucker. THen he promptly paused as he grunted, showing a grimace.

A mental lock within the mind seemed to come to drop against the unreal floor as he brought himself into an advanced state. His strength proceeded to develop tenfold as he proceeded to step back into his actions, thrusting forth another series of strikes into the large pillar. His attempts being to completely knock down the structure as he attacked it.* - Tue Nov  3 06:03:56 2015
<br><br><font color=yellow>*Engi, Ichiro(Master Roku) came to a stop as he realized their combined efforts were well enough. Backing away from the towering object, he assumed that the number they pulled on both was just wel enough to send them on their way, and now Ichiro could join the frontlines. He paused only for a moment to take in an observation of the area, surveying what was left. 

However, it was with the eruption of the earthquake that Ichiro took to a different action, running in the opposing direction to escape its expansive action. He had no idea of what it could do to him or his comrades, but he was sure they were better off than himself considering they had the ninjutsu to allow them easier movement amongst the area. He could only hope that he'd be just fine for the next section.* - Tue Nov  3 06:52:35 2015
<br><br><font color=yellow>*Engi, Ichiro(Master Roku) took a step up and ran back to the building that seemed to hold his comrades. His eyes looked to both of their options and proceeded to stand still for a moment. As he considered the both of them, he figured that he should consult with his comrades at the least before continuing. 

"I have a feeling, east is the way to go." With that, he set towards that building, regardless of which option they took. Yet, as he approached he observed Mizumi taking action and proceeded to pause, overlooking him for a while as he awaited his ninjutsu usage to be completed to see the results.* - Tue Nov  3 07:04:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Tue Nov  3 07:08:48 2015
<br><br><font color=yellow>*Engi, Ichiro(Master Roku) proceeded to act quickly, backing away now as he observed the smog setting in, considering that was truly the only thing that actually bothered him. In his movements, he kept his eyes on the speeding weaponry, figuring that he he'd have the durability to deal with the impact, of course, that was disregarding the tags. With the assumption he couldn't escape their reach with the propelled force, Ichiro activated his golden shell, using that as his basic defensive line for the moment, still trying to move back into a safe haven. Once he'd survive the onslaught, he knew he'd have to attend the northern house afterwards.* - Tue Nov  3 07:32:41 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: U--..Ugh... - Tue Nov  3 08:28:09 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: My back! - Tue Nov  3 08:28:09 2015
<br><br><font color=yellow>*Engi, Ichiro(Master Roku) took a moment to think about how to create a better and more conductive form of training for himself. Standing there amongst Amegakure's outer limits, his eyes peered on the slums that created the edge. He observed the many struggles of the various people within his village--and showed no emotion. He simply didn't care for the lower class, considering he was one of the greater people. Those with power normally looked down on those without, and he of course had some substantial power. A slow walk towards one of the already abandonded homes and Ichiro seemed to make his approach on the front door, finding it to be blocked by rubble. Hs hands reached down and gripped the first block of rubble and began to apply force.

Ichiro was now attempting to remove the rubble from his path, lifting it and pushing it in the opposing direction. Of course this was still difficult considering there was added weight from plenty more rubble being stuck behind this first obstacle. A pause in his actions as he looked over the block and caught sight of the rest. He assumed he could easily move these out of the way and began to apply his strength once again. A hard pushing motion against the stoke and wood mass of rubble and he felt it begin to give way.

More pressure was applied and he felt the stone grind against stone, pushing against the hard ground floor of the already decimated building. His legs pushed back and set themselves in an alternating stance as to brace himself in his pushing. With each movement of the block forward, he moved his feet, allowing them to follow along the same trail. For now, there was actually no form of exhaustion from Ichiro.

Soon he'd pushed the block in far enough that he could just slip past and make his way deeper into the building but decided against it. Rather, Ichiro proceeded to bring himself against the large obstruction without a problem. His strength proving to be enough for him to deal with it quite well. With the amount of force he was applying to move the block, it was now at halfway through the room, and Ichiro had no intent to stop until it touched the back wall.

A grunt and a half later and Ichiro felt himself coming to a stop, his pushing ending after he'd pressed the block to the blank canvas of the wall behind it. Coming back to a full stand he allowed himself to look around at the rest of the decimated building. With observation he found that there was practically nothing of use in here, and not as much rubble as he'd hope for. Yet, rather than leaving the building as it was, Ichiro moved back to the block and began to pull against it.

His hands gripped the sides of the rock tightly, finding a bit of trouble at first but eventually finding the grooves within it to be useful. With an acquired grip, Ichiro stepped backwwards, leading with his legs before bringing the stone closer to himself. He hadn't even planned on putting the stone back actually, but rather taking it out and giving it a new purpose.

With only a minute passing by, Ichiro had swapped positions so he stood behind the rock and pushed it towards the door rather than pulling. Mainly to avoid getting one hand crushed and to have an easier time moving the block once it reached the door. He paused when he felt the collision between the door frame and the rock thoung, finding that a corner piece had shifted its way through but everything else got blocked.

A grunt and Ichiro pushed onwards, bringing his shoulder into the matter as he forced the block onwards. He didn't care if the doorway was destroyed, he just cared about getting what he wanted. Applying his weight and so forth, he now grunted a bit more, listening to the sound of stone cracking against stone. The sound of both grinding together only left him to believe that he'd break through in only a few seconds.

The Engi's beliefs had been proven correct as the doorway gave way. Brick and mortar flying away from Ichiro and clattering against the ground as he observed the daylight settling on both his skin and the stone together. A few more grunts and he now had the block in the streets of Amegakure's slums. Turning, he observed what path he should set it on, and simply put himself on the side opposite of the wilds. Bringing himself against the stone once more, he pushed on to bring it from the starting point towards the exit of the village's boundaries.

With ease, Ichiro was moving the stone amongst the dirt, shifting it around underneath its weight and his own. He did nothing to show any care for the population as they observed him. As he pushed forward he could feel his muscles beginning to twist and distort themselves. Ripping and tearing for the healing process soon to come.

Ichiro was of course making progress, but he simply wanted to speed it up, and put the stone to full use. A lock within Ichiro's mind seemed to open, falling and clattering against a non-existant floor. A rush of energy shot through his body and he felt as though he'd become an entirely new person. No, his energy wasn't restored but he felt a great sense of strength.

Continuing with his efforts, he'd now brought this block to a single point far from its initial place. He left it within the woodlands, finding it to be in a good place for future usage. With that set in place, he proceeded to exit the area, bringing himself back towards Amegakure with the intentions of attending the barracks.* - Tue Nov  3 23:05:23 2015
<br><br><font color=yellow>*Engi, Ichiro(Master Roku) only stood still now as he entered the barracks, finding it rather impressive how many troops they'd gathered with the recent events in Amegakure. From poverty to rich, from rebuilt to a boneyard it was believed that Amegakure would remain unsuccessful, but yet it still prevailed in its efforts, finding itself coming through after its hard times, and still remaining better off than most other villages. Even then, Ichiro stompped his foot as he flexed his muscles and proceeded to stand tall and act forceful in his place.

His voice bellowed outwards as the muscles in his neck rippled a bit while he allowed himself to yell out to the troops. "Training. Physical attributes. Right now, bring a rope and meet me outside." Without even waiting he proceeded to exit the room and head around to the back, looking at the troops and joined him. It seemed that there was roughly twenty. All of them being rookies. "Toss one end here, five line up. Alternate." He was obviously planning to begin a game of tug o' war, taking up one end of the rope in his hands after it was tossed towards him. He then braced himself, using his legs to dig into the earth beneath himself while he awaited the troops to take their end.

Once it was confirmed that both ends of the rope had been taken, Ichiro signaled for a single troop to come forth and line up the middle. One did so very easily and quickly before returning to him. A bellowing, "Ready, Set, Go!" was sounded from the sidelines and within an instance the grip from both ends was intense. The troops pulling as hard as possible and of course winning for a moment. At least, until Ichiro began to apply his strength. He tugged backwads himself now, grinning as he did so. This wasn't just a test of strength, but one of endurance as well.

Ichiro's short game of tug o' war began to be very intense as he started out as the struggling side. But as the game went on, his strength seemed to increase with each interval of a second while the troops struggled. It was rather obvious they had no idea how to make the most out of their own stamina while they pushed on compared to Ichiro, whom still remained steady, getting his tugging position low as his eyes met the first man in line.

The brace within Ichiro's form and he found himself finally picking up the winning end, his feet only so close to the line that meant win or lose. However,he now raised his body up a bit as he found an easier footing and began to pull back. His intentions to slowly work his way from one end to the next. Using his right leg first, it moved backwards and pressed firmly into the ground while his grip tightened against the rope. His left foot promptly followed the others lead, standing firmly in the dirt as well.

For a moment Ichiro looked upwards and noticed the shaky position that his opponent was giving now, and he figured there was no longer a need to move slow. The win was his by now and all he needed to do was take his position back with his strength. And he did just that, tightening his grip even more as he stepped backwards and allowed himself to move with some speed added on, feeling the weight on the opposing end 'fly' towards him. The first man crossed the line and Ichiro came to a full stand. His skin was completely clear, showing no signs of fatique as he seemed to manage it to the max. "Ten this time."

Now, a longer rope had been applied and the number of men opposing Ichiro had been doubled. The angle had changed and so did the line, just to fit all ten on one end and give them an even chance at beating their superior. A few seconds passed before they silently agreed to begin and both ends applied stress to the rope, pulling on both ends. With the rope at full extension, they could easily see and hear the change within the tension.

Ichiro's position was low, just as it was in the previous game. His legs were bracing hard. They remained strong and tight as he stood still, letting his eyes remain stagnant upon his opponent. The pull that came from his enemies end being slightly weaker but just enough to keep the beast at bay for now. However, once Ichiro saw his opening, he took it. A step back with his right leg and he planted it directly into the Earth beneath him, kicking up some of the crust while he pulled hard against the opposing force. His eyes noticed the giant lurch from his opponent.

The lurch signified how easy it would be for him to take this win, and it became apparent in his opponent. Not only in their eyes, or in their breath, but in their strength as well. With ease he recognized how easily he'd won them over and knew now that if he could overpower these ten, then the third attempt would be even easier for him. To put an official Win on the event though, Ichiro tugged hard once mroe and brought forth the enemy line, finding their bodies to come crashing forward against the ground on his end of the line. He recoiled a bit, attempting to avoid being hit by one of the fallen. "All of you now."

A period of rest was given in the intermission so that all of the troops could be at full strength now when they challenged Ichiro. However when it was all done and done, both sides took up the reigns and Ichiro stood alone on his end. His eyes observed the twenty that stood tall against him while he remained still. Almost on instinct, both ends applied strength and the difference was much greater than they'd started with. Compared to the groupings of five and ten, twenty seemed to be a rather fair opponent for him.

Twenty seemed to bring Ichiro to test the pinnacle of his strength as he pulled away from them. His grip tightening to hold as hard as it possibly could against the combined efforts of the twenty. Looking upon their faces, it seemed they all thought they'd one, smirking and tugging as hard as they possibly could as Ichiro battled against them. But he wouldn't give in to their tactics and only allowed himself to remain confident and strong.

While he kept himself in his position, it didnt' work for long. The group finally pulling him from his post bit by bit. His feet slid throughout the soil and he could only attempt to hold his own. Figuring that now he could access the eighty perfcent he was holding back from his opponents. It was only now that he'd begun to test them in the same instance by allowing his mentality to shift only for an instance. A lock practically cracked open and now he felt his muscles tightening and delivering a newfound power into the world.

His strength was now tenfold that of a normal human being, putting him one above the rest. Rather than the normal twenty percent of strength most would produce, he brought forth a hundred percent. His power was incredible and he did nothing to waste it as he pulled against his enemy. The rope moving within Ichiro's direction almost immediately without a single problem. Several of the rookie shinobi seemed to find a great problem, stumbling forward and throwing off many more.

Keeping up with his unrelentless actions, he pulled once again, even harder this time now as he found the group of newbies flying forwards this time, quite literally. They left the ground and came forward until they all crashed to the ground before hsi feet. A grimace crossing Ichiro's face as he remained still. An exhale escaped his mouth while he dropped his end of the rope, looking onwards at the few that lay in the dirt. "Clean up, get some rest." was simply all he said in response to the situation.

Now, as he exitted the area he initiated a light jock in order to avoid letting his adrenaline go to waste as he allowed hsi body to settle for its basic strength. The lock seemingly kicking back into place and preventing him from draining his body even more. His running legs carried him on towards a new form of training, bringing him from his initial location now as he jogged the streets of Amegakure.* - Wed Nov  4 04:58:40 2015
<br><br><font color=yellow>*Engi, Ichiro(Master Roku) jogged through the pathways of Amegakure, finding it incredibly relaxing compared to tearing and ripping his skin against a tree or a stone block. It was better than playing tug o' war considering he didn't have to push or pull or even apply force to get much excersize out of this activity. His legs moved him while his upper body began to 'glow' and glisten from the sweat that now began to produce itself upon his skin.

Actively pumping his legs to get the most out of his jog, he continued through Amegakure's various parts. His intentions were to move from the barracks and make way to the slums, his eyes estimating the distance and time it would take for him. Ichiro wasn't a very fast patron, and figured it would take him a while, but with hard work and great stamina he'd make it there eventually.

However as he moved on, it was more like he'd only expended a fifth of his stamina in his expedition from one end to the next. It made no difference to him though as he continued. He could feel a strain beginning to pass throughout his legs, probably from the combination of both his jog and his game of tug o' war of course.

