<br><font color=teal>*Heiwa(Wantpark) says: Yes. - Wed Dec  9 03:28:38 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: And I believe, in a world like this, it's safe to assume that such a person would have access to a holy power. - Fri Dec 11 20:15:05 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Then we should deal with him before he ruins shit? - Fri Dec 11 20:15:05 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: No. - Fri Dec 11 20:15:05 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: He has no power here. - Fri Dec 11 20:15:05 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: He can't do what he wants. - Fri Dec 11 20:15:05 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: I still don't like him. - Fri Dec 11 20:15:56 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: That's fine. - Fri Dec 11 20:15:56 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: Just don't attract attention. - Fri Dec 11 20:15:56 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: He's gave us odd looks, makes me want to break his neck. - Fri Dec 11 20:15:56 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: But fine, I won't touch him. - Fri Dec 11 20:15:56 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: For now, I suggest we develop ourselves. - Fri Dec 11 20:17:39 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: I guess we should. - Fri Dec 11 20:21:55 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: By the way, heard from Kariudo? - Fri Dec 11 20:21:55 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: No. - Fri Dec 11 20:22:46 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: I planned to check on her. - Fri Dec 11 20:22:46 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: She's probably crying because you left her alone. Heh - Fri Dec 11 20:23:37 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: Emotions aren't my forte anyways. - Fri Dec 11 20:24:28 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: As long as she isn't physically hurt, she'll be fine. - Fri Dec 11 20:24:28 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: I guess so. - Fri Dec 11 20:33:00 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: So, should we be off? - Fri Dec 11 20:35:34 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: Hm? - Fri Dec 11 20:44:06 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Let's head back home. - Fri Dec 11 20:47:31 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Who knows, she might be there. - Fri Dec 11 20:47:31 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: I didn't plan to go back today... - Fri Dec 11 20:49:13 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Well it's not like there's much left for us to do here. - Fri Dec 11 20:53:29 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: I plan to make use of their training facilities. - Fri Dec 11 20:54:20 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: Before returning. - Fri Dec 11 20:54:20 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Good point. Then let's do that. - Fri Dec 11 20:54:20 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: I was learning a bit from Paine. - Fri Dec 11 20:55:12 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: Right. - Fri Dec 11 20:55:12 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: ---Paine. - Fri Dec 11 20:55:12 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: I see. - Fri Dec 11 20:55:12 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: The one with the hat. - Fri Dec 11 20:55:12 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: I know. - Fri Dec 11 20:55:12 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Let's go find her. I'm sure we can learn something new.  - Fri Dec 11 20:56:03 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: She won't benefit me. - Fri Dec 11 20:56:03 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: I already know that. - Fri Dec 11 20:56:54 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Why you think so? - Fri Dec 11 20:56:54 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: Because I know what she's capable of. - Fri Dec 11 20:57:45 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: What is she capable of then? - Fri Dec 11 20:57:45 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: Destructive taijutsu ability. - Fri Dec 11 20:57:45 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: Yet. - Fri Dec 11 20:57:45 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: Nothing within my style. - Fri Dec 11 20:57:45 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Ah. - Fri Dec 11 20:57:45 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Well that reads all me. - Fri Dec 11 20:57:45 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: She's more beneficial to you and Midori. - Fri Dec 11 20:58:36 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: You all have a focus on the lower body, while I focus on the upper. - Fri Dec 11 20:58:36 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: About that, I've been training a bit more and I'm dangerous with both my legs and arms. - Fri Dec 11 20:59:28 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: Good. - Fri Dec 11 20:59:28 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: I wasn't playing when I said I wanted to become the strongest. I'll take whatever I can get. If I have to break a few bones, then so be it.  - Fri Dec 11 21:00:19 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: I never doubted you. - Fri Dec 11 21:00:19 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: It's more like I've been doubting myself. Playing this role is getting to me. - Fri Dec 11 21:01:10 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Well, I'm going to look for Paine and see what else I can learn. - Fri Dec 11 21:01:10 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: You have an odd look on your face. - Fri Dec 11 21:02:01 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Ah, there you are. - Fri Dec 11 21:13:58 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Ren, you're good with your fists right? What's some good ways to hit someone?  - Fri Dec 11 21:14:49 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: I want to make it hurt. - Fri Dec 11 21:14:49 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: Oh. - Fri Dec 11 21:14:49 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: Well. - Fri Dec 11 21:15:40 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: It depends on the person. - Fri Dec 11 21:15:40 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: For the most part, striking their center of gravity is the best. - Fri Dec 11 21:15:40 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: So aim for the gut, central point. - Fri Dec 11 21:15:40 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: If you want them to be incapable of reacting---for an even longer amount of time. Just strike the center of their chest, a bit above the heart. - Fri Dec 11 21:16:32 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: Knocks the wind out of them, normally. - Fri Dec 11 21:16:32 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: So the diaphragm? - Fri Dec 11 21:16:32 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Hm.. - Fri Dec 11 21:16:32 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: Mhm. - Fri Dec 11 21:16:32 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: My favorite, is ther ribcage. - Fri Dec 11 21:18:14 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: If, and when it breaks, it normally strikes an organ. - Fri Dec 11 21:18:14 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: Maximum damage, slow death. - Fri Dec 11 21:19:05 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Hm..I think I have an idea. - Fri Dec 11 21:19:05 2015
<br><br><font color=yellow>*Fujimoro, Ren(Master Roku) Yes.* - Sat Dec 12 02:08:22 2015
<br><br><font color=yellow>*Fujimoro, Ren(Master Roku) found a fairly empty area within Sunagakure, staring at a rather large rock structure. It didn't seem to overwhelming, but it seemed like enough to be a challenge for Ichiro. To begin, he attemtped to alleviate it from its foundation and simply allowed himself to press hsi body immediately into the rock. His body pushed forward, pressing onwards.

As Ren applied his body weight, he was practically tackling the rock at hand. A couple of stressed grunts were made currently. Yet, Ren eventually came to a point where he could not only hear, but feel a shift in the rock's weight. One object as dense and durable as this rock wouldn't typically be broken from a tackle n' push technique.

With a further pushing movement, he found himself with a very loose but heavy rock before hsi eyes now. When finished, Ren simply backed away, relieving his grip as he stared immediately into the rock. Here in this moment, he allowed himself to access his chakra and simply spit forward. This produced a webbing which soon over came the rock and wrapped over it. The rest of the web remained extending, hanging from his maw. Both of Ren's hands simply moved to grasp this webbing and remove it.

Now that Ren had the rock under his control, and the web as his guiding tool, he simply had to pull. His body turned, back facing the rock as he held the webbing over the shoulder. Ren had now started forward, pulling the strong webbing along behind himself. In turn, this too had pulled the rock. Yet, due to the weight and difference in strength it barely moved.

Ren's face became rather serious as he moved onwards. His body pulling it along the sandy ground of Sunagakure. His legs continued to move in a pattern, the right leg being ahead of the left leg. With his pull, he could feel the webbing being tugged back by the massive boulder. The stress on the webbing still not being enough to force a break or snap at all.

His efforts continued, showing that he didn't plan to stop any time soon regardless of how tough the task was. His arm strength being his greatest asset here as he pulled onwards. The rock itself had simply shifted forward, moving along behind himself as he seemed to continue with his step.

Eventually Ren came to a stop, allowing himself to cease his movements as he now planned to utilize this technique in a different way. His training method would now switch up after a short rest period of course.* - Sat Dec 12 09:15:53 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: Oh look, conveniently placed in front of the inn. - Sat Dec 12 21:43:24 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: Mhm... - Sat Dec 12 21:44:16 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: I'm feeling better. - Sat Dec 12 21:45:58 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Good. - Sat Dec 12 21:45:58 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: So. - Sat Dec 12 21:45:58 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: When are we killing Kyubishu again? - Sat Dec 12 21:45:58 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: It's been so fucking long. - Sat Dec 12 21:45:58 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: Like, how long has it been? - Sat Dec 12 21:45:58 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Want to go now? - Sat Dec 12 21:45:58 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: Five years? - Sat Dec 12 21:45:58 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: I wouldn't mind. - Sat Dec 12 21:45:58 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Let's find him then. - Sat Dec 12 21:45:58 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: But first, why don't we go look around Sunagakure for some fun prey? - Sat Dec 12 21:46:49 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: Unless you're against it. - Sat Dec 12 21:46:49 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Why would I be against it? - Sat Dec 12 21:46:49 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: I'm up for a good time. - Sat Dec 12 21:46:49 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: Let's go look around. - Sat Dec 12 21:47:40 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Hm..Who would be a good target? - Sat Dec 12 21:47:40 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: We don't know. - Sat Dec 12 21:47:40 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: That's why we're looking. - Sat Dec 12 21:47:40 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Figures. - Sat Dec 12 21:47:40 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) whispers: Hm... - Sat Dec 12 21:49:23 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) whispers: Three females and a male... - Sat Dec 12 21:50:14 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) thinks: Take your pick. It'll be easy either way. - Sat Dec 12 21:51:05 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) whispers: Isn't that the Bryson guy? I don't like him. - Sat Dec 12 21:51:05 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) whispers: Don't mention the fuckboy's name. - Sat Dec 12 21:51:05 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) whispers: It hurts. - Sat Dec 12 21:51:05 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) whispers: Noted. - Sat Dec 12 21:51:56 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) whispers: I guess we found our target then.  - Sat Dec 12 21:52:48 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) thinks: So no complaints about breaking a few of his bones? - Sat Dec 12 21:55:21 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) whispers: What's with you and that guy? - Sat Dec 12 21:56:12 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) whispers: Nothing. - Sat Dec 12 21:56:12 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) whispers: Go beat him down. - Sat Dec 12 21:56:12 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) thinks: Something's up. - Sat Dec 12 21:57:55 2015
<br><br><font color=yellow>*Fujimoro, Ren(Master Roku) lightly coughs.* - Sat Dec 12 21:58:46 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: Hey. - Sat Dec 12 21:58:46 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: You there. - Sat Dec 12 21:59:37 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: ... - Sat Dec 12 22:03:53 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) thinks: Ugh. - Sat Dec 12 22:09:00 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) thinks: How annoying. - Sat Dec 12 22:09:00 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: ...Can we go? - Sat Dec 12 22:09:00 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: Let's do something else. - Sat Dec 12 22:09:00 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Sure. - Sat Dec 12 22:09:00 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Where to? - Sat Dec 12 22:09:52 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: Eh... - Sat Dec 12 22:09:52 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: I 'dunno. - Sat Dec 12 22:09:52 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Hm..What about home? - Sat Dec 12 22:10:43 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: ...Whatever. - Sat Dec 12 22:12:25 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: We haven't been there in a while. - Sat Dec 12 22:12:25 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: Better than here. - Sat Dec 12 22:12:25 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: Let's go. - Sat Dec 12 22:12:25 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: Let's go then. - Sat Dec 12 22:12:25 2015
<br><br><font color=yellow>*Fujimoro, Ren(Master Roku) purchases a caravan to Genjigakure.* - Sat Dec 12 22:13:16 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: Home sweet home... - Sat Dec 12 22:14:08 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Looks the same. - Sat Dec 12 22:14:08 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: I'd expect some things to be a bit different, with no one around. Guess not. - Sat Dec 12 22:14:59 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: I don't think anyone wishes to tread on our land. - Sat Dec 12 22:15:50 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: Whatever happened to your sister, Ichiro? - Sat Dec 12 22:15:50 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: ---Oh right. - Sat Dec 12 22:15:50 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: Private Exams. - Sat Dec 12 22:15:50 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: They were today, huh? - Sat Dec 12 22:15:50 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) thinks: Shit I missed them. - Sat Dec 12 22:15:50 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: I guess.  - Sat Dec 12 22:15:50 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: I believe so. - Sat Dec 12 22:15:50 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Didn't you want to take them? - Sat Dec 12 22:15:50 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: I did. - Sat Dec 12 22:16:41 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: Now I can't become a Private. - Sat Dec 12 22:16:41 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: You think you can skip the Privates and go directly to a Sergeant Exam? - Sat Dec 12 22:16:41 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: Maybe. - Sat Dec 12 22:16:41 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: I doubt it. - Sat Dec 12 22:17:32 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: Probably if you accomplish something incredible in the Gezo's eyes. - Sat Dec 12 22:17:32 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: I mean, it's the Gezo. They are anal about things. - Sat Dec 12 22:17:32 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: Oh look. - Sat Dec 12 22:20:57 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: It's your sister. - Sat Dec 12 22:20:57 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: She's as adorable as ever. - Sat Dec 12 22:21:48 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: You're looking.... really good Shiro-chan. - Sat Dec 12 22:21:48 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: I like her hair better this way. - Sat Dec 12 22:21:48 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: I don't swing that way. - Sat Dec 12 22:21:48 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...Neither do ---...but you kissed me. - Sat Dec 12 22:22:40 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: What's wrong with kissing people? - Sat Dec 12 22:22:40 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ....just.... I don't know....  - Sat Dec 12 22:22:40 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Stealing kisses and shit. - Sat Dec 12 22:22:40 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: ....What? - Sat Dec 12 22:22:40 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: Did I take your first love by chance? - Sat Dec 12 22:23:31 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: .....You stole my first kiss. - Sat Dec 12 22:23:31 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: . . . . . .  - Sat Dec 12 22:24:22 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: By taking your first kiss, did I take your chances for love? - Sat Dec 12 22:24:22 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: Lord. - Sat Dec 12 22:24:22 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: Don't believe in such bullcrap. - Sat Dec 12 22:24:22 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...No? - Sat Dec 12 22:24:22 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Of course not. - Sat Dec 12 22:24:22 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: That's stupid. - Sat Dec 12 22:24:22 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: Good. - Sat Dec 12 22:25:13 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: What'd you buy for groceries? - Sat Dec 12 22:25:13 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Where have you guys been... it's been age---... stuff for curry. - Sat Dec 12 22:25:13 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I eat spicy food. - Sat Dec 12 22:25:13 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: You guys have been gone forever. - Sat Dec 12 22:25:13 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: ...Oh. - Sat Dec 12 22:25:13 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: Yeah we have been.... - Sat Dec 12 22:25:13 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: It's been a long time. - Sat Dec 12 22:25:13 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: I've visited from time to time.  - Sat Dec 12 22:25:13 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Didn't think I might want to come along huh... - Sat Dec 12 22:25:13 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Well, you did leave us. - Sat Dec 12 22:26:04 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ... I leave in cycles and am always back in a few days. - Sat Dec 12 22:26:04 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: You left for OVER A YEAR. - Sat Dec 12 22:26:04 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: We should've taken her with us. - Sat Dec 12 22:26:04 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: It got to the point that I thought about going back to Kumogakure because I was basically just sitting here alone all the time. - Sat Dec 12 22:26:56 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: Did you miss us? - Sat Dec 12 22:26:56 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...of course I missed you. - Sat Dec 12 22:27:47 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: . . . . . . . - Sat Dec 12 22:27:47 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Aww, how sweet. - Sat Dec 12 22:27:47 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) thinks: Didn't think I fostered any friendly relationships with her. - Sat Dec 12 22:27:47 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) thinks: Well, that's nice. - Sat Dec 12 22:27:47 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Let's eat curry then. - Sat Dec 12 22:28:38 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: I bet she's imprinted on you. - Sat Dec 12 22:28:38 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: You don't mind if we join you? - Sat Dec 12 22:28:38 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Like... a duck? - Sat Dec 12 22:28:38 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ....of course not... I'll cook...but you guys don't like spicy food do you? - Sat Dec 12 22:28:38 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: Can't use green curry. - Sat Dec 12 22:28:38 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Yeah. - Sat Dec 12 22:28:38 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: I don't mind spicy food. - Sat Dec 12 22:28:38 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: I like whatever. - Sat Dec 12 22:28:38 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: As long as it's not a human leg. - Sat Dec 12 22:28:38 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: .... - Sat Dec 12 22:29:29 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: You didn't even try it. - Sat Dec 12 22:29:29 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Wasn't going to. - Sat Dec 12 22:30:20 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Is it me or is she more talkative? - Sat Dec 12 22:31:12 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: I noticed too. - Sat Dec 12 22:31:12 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: Crap... five years? - Sat Dec 12 22:43:08 2015
<br><br><font color=yellow>*Engi, Ichiro(Master Roku) observed his sister as she cooked, finding some sense of happiness that she too, had taken up the culinary arts. It nearly brought a tear to his eye---except not really. His face remained as hard as ever, showing barely any changes from before. Regardless though, he utilized his nose a bit to get the basic sense of smell from it.

He promptly took up his spot at the table, observing the meal. Of course, it was spicy and not really his forte, but he wished to take his chances. He had to know just how good his sister was in this field. Therefore, he dug in.

Of course, you could see how badly he was taking in the spicyness of the meal. It seemed that his face had become a quite red from it all. Regardless though, he did his best to keep himsel composed, utilizing the water when necessary.* - Sat Dec 12 22:44:51 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) thinks: ..Not good. - Sat Dec 12 22:45:42 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) thinks: I was always better with sweets. - Sat Dec 12 22:45:42 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) thinks: And sour foods. - Sat Dec 12 22:45:42 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) thinks: Not my kind of food but it's been done well. - Sat Dec 12 22:47:24 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Honestly... - Sat Dec 12 22:57:39 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: It was quite an adventure..Sadly, we still never got the chance to kill Kyubishu. - Sat Dec 12 22:57:39 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Which sucks. - Sat Dec 12 22:57:39 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Truly. - Sat Dec 12 22:57:39 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Oh.... that's too bad. - Sat Dec 12 22:58:30 2015
