<br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Sheesh.. - Sat Nov  7 05:03:21 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: I just don't want to speak out of place or something. . . . - Thu Nov 12 05:02:04 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Good! - Thu Nov 12 05:09:45 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You're so promising! - Thu Nov 12 05:09:45 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Gosh, Ichiro-kun. - Thu Nov 12 05:09:45 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Where did you find this one? - Thu Nov 12 05:09:45 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: . . . - Thu Nov 12 05:10:36 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: So, Harlot.. - Thu Nov 12 05:12:19 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: How about you come work for me? - Thu Nov 12 05:13:10 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: .... - Thu Nov 12 05:25:07 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: Doing what? - Thu Nov 12 05:25:07 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Meh.. - Thu Nov 12 05:29:23 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: A little bit of this.. - Thu Nov 12 05:29:23 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: a little bit of that.. - Thu Nov 12 05:29:23 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You know.. - Thu Nov 12 05:29:23 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: ...I don't know. - Thu Nov 12 05:33:39 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Come on..~ - Thu Nov 12 05:40:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: What's wrong? - Thu Nov 12 05:40:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'm a pretty nice boss. - Thu Nov 12 05:40:28 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: I don't know what you're talking about. - Thu Nov 12 05:40:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Come on, Harlot-chan.~ - Thu Nov 12 05:44:44 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: What do you want me to do? - Thu Nov 12 05:45:36 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Basically.. - Thu Nov 12 05:48:09 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: For the time being I need you to be the best "you", you can be. - Thu Nov 12 05:49:00 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Until I need to call upon you for certain jobs. - Thu Nov 12 05:49:00 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You know the deal converting people to our religion. - Thu Nov 12 05:49:00 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: Oh okay. - Thu Nov 12 05:56:41 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: I can do that! - Thu Nov 12 05:56:41 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Good! - Thu Nov 12 05:56:41 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I knew you had it in you. - Thu Nov 12 06:03:31 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Also..if you find any bodies..I'll need you to bring them here for me to properly pray for them. - Thu Nov 12 06:03:31 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm.. - Thu Nov 12 06:14:36 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Harlot.. - Thu Nov 12 06:14:36 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Do you live in Suna? - Thu Nov 12 06:14:36 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: I do. - Thu Nov 12 06:35:05 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: And why do you want bodies? - Thu Nov 12 06:35:05 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: To give them a proper burial. - Thu Nov 12 06:38:30 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I've been wandering for some time. - Thu Nov 12 06:38:30 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I've seen a lot of things, but the random acts of murder.. - Thu Nov 12 06:38:30 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Bodies being desecrated without a proper send off. - Thu Nov 12 06:39:21 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: It's disgusting.. - Thu Nov 12 06:39:21 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: ...Oh. - Thu Nov 12 06:40:12 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: I see! - Thu Nov 12 06:41:55 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: Sure. - Thu Nov 12 06:41:55 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: What does desecrated mean? - Thu Nov 12 06:41:55 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: ... - Thu Nov 12 06:43:37 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: It means the dead were violeted, disprespected. - Thu Nov 12 06:44:28 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: Violeted? - Thu Nov 12 06:47:02 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: Like purple? - Thu Nov 12 06:47:02 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .... - Thu Nov 12 06:48:44 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: No...I meant violated. - Thu Nov 12 06:49:36 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: Oh. - Thu Nov 12 06:50:27 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: H-..heh. - Thu Nov 12 06:53:52 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Violeted.. - Thu Nov 12 06:53:52 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: Well... - Thu Nov 12 06:54:43 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: I'll stay here... - Thu Nov 12 06:54:43 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: To train more! - Thu Nov 12 06:54:43 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Good. - Thu Nov 12 06:54:43 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: And then I have to go back to Sunagakure. - Thu Nov 12 06:54:43 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: And show them how much stronger I became. - Thu Nov 12 06:54:43 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I see.. - Thu Nov 12 06:54:43 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: And beat Paine in a one on one fight.  - Thu Nov 12 06:54:43 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Paine..eh? - Thu Nov 12 06:55:34 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'm sure you can beat them. - Thu Nov 12 06:56:25 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .... - Thu Nov 12 06:57:16 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Who? - Thu Nov 12 06:57:16 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: Paine! - Thu Nov 12 06:57:16 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: Paine-san is really strong. - Thu Nov 12 06:57:16 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: She can kick really fast! - Thu Nov 12 06:57:16 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Oh? - Thu Nov 12 06:58:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I should meet them sometime. - Thu Nov 12 06:58:08 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: Mhm. - Thu Nov 12 07:03:15 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Ah.. - Thu Nov 12 07:06:40 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Harlot.. - Thu Nov 12 07:08:22 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Are you loyal? - Thu Nov 12 07:08:22 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: Loyal? - Thu Nov 12 07:10:56 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Indeed. - Thu Nov 12 07:15:12 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: My employees need to be loyal. - Thu Nov 12 07:16:03 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: Employee? - Thu Nov 12 07:16:03 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: ...Um...... - Thu Nov 12 07:16:03 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: You just want me to pick up bodies for you, right? - Thu Nov 12 07:16:03 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Yes. - Thu Nov 12 07:17:45 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Also if the time comes to defend me. - Thu Nov 12 07:18:36 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'd like your guarding services aswell. - Thu Nov 12 07:18:36 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'm a feeble priest. - Thu Nov 12 07:18:36 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I tend to stray away from fighting. - Thu Nov 12 07:18:36 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: Uh, alright. - Thu Nov 12 07:19:28 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: Sure. - Thu Nov 12 07:19:28 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: I'll be off then. - Thu Nov 12 07:30:33 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) thinks: Oh...Okay....He forgot all about m-....wait...did he see me with the mask? I don't remember anymore...ugh..... - Sat Nov 14 03:05:10 2015
<br><br><font color=teal>*Supaiku, Eri(-Assassin.R-) thinks: ...that explains their attractiveness. - Sat Nov 14 03:10:17 2015
<br><br><font color=teal>*Supaiku, Eri(-Assassin.R-) thinks: They are all awkward. - Sat Nov 14 03:10:17 2015
<br><br><font color=teal>*Supaiku, Eri(-Assassin.R-) thinks: Who waves like that? It's like that one guy who used the word 'jam'. - Sat Nov 14 03:10:17 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) says: ugh....Once? - Sat Nov 14 03:11:08 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) says: I mean....we did defeat Ossa, Baen.... - Sat Nov 14 03:11:08 2015
<br><br><font color=teal>*Redrum, Ortho(DhatBoiNick) says: ...... - Sat Nov 14 03:11:08 2015
<br><br><font color=teal>*Redrum, Ortho(DhatBoiNick) says: It was you all..? - Sat Nov 14 03:11:08 2015
<br><br><font color=teal>*Redrum, Ortho(DhatBoiNick) says: ....... - Sat Nov 14 03:11:08 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) says: Yeah, most of the work was this guy behind me. - Sat Nov 14 03:12:00 2015
<br><br><font color=yellow>*Engi, Ichiro(Master Roku) enters the scene with a rather slow stride, carrying himself to join the short gathering as he looked between the few that seemed to stand there. His demeanor remained the same as always. A heavy presence that evoked a serious tone purely from his being as he let his eyes roll over each and every one of the individuals. Of course, this only meant that he was trying to guage their personality based off appearance. Ortho on the otherhand, being the only foreigner he'd recognized.

When he took up his location next to Mizumi, his fellow villager, he simply parted his lips and allowed a rather nonchalant voice exit his voice box. "Work...for...?"* - Sat Nov 14 03:15:24 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: ..... - Sat Nov 14 03:19:40 2015
<br><br><font color=teal>*Redrum, Ortho(DhatBoiNick) says: ...... - Sat Nov 14 03:19:40 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) thinks: Such a short attention span... - Sat Nov 14 03:19:40 2015
<br><br><font color=teal>*Supaiku, Eri(-Assassin.R-) says: .... - Sat Nov 14 03:21:23 2015
<br><br><font color=teal>*Redrum, Ortho(DhatBoiNick) thinks: I'll kill him later.. - Sat Nov 14 03:22:14 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) says: Guitar.......? - Sat Nov 14 03:23:56 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) says: Gi....Tar.... - Sat Nov 14 03:23:56 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .... - Sat Nov 14 03:23:56 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) says: I don't know what that is. What kind of instrument? - Sat Nov 14 03:23:56 2015
<br><br><font color=teal>*Fumatori, Hatsujin(Chaos Commander2015) says: . . . - Sat Nov 14 03:24:48 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) thinks: I hope its an instrument used to alleviate itches.... - Sat Nov 14 03:24:48 2015
<br><br><font color=teal>*Fumatori, Hatsujin(Chaos Commander2015) thinks: This kid may as well be mentally brain dead. - Sat Nov 14 03:24:48 2015
<br><br><font color=yellow>*Engi, Ichiro(Master Roku) simply raises both of his arms, crossing them in front of his chest. He remains silent only due to the fact that he's become irrelevant to the situation at hand once more.* - Sat Nov 14 03:24:48 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) says: Huh buddy? - Sat Nov 14 03:25:39 2015
<br><br><font color=teal>*Fumatori, Hatsujin(Chaos Commander2015) says: Ortho. . .? - Sat Nov 14 03:27:21 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) thinks: Does he not know what kind of instrument it is? - Sat Nov 14 03:28:12 2015
<br><br><font color=teal>*Supaiku, Eri(-Assassin.R-) says: .... - Sat Nov 14 03:31:37 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) says: Ah! Musical instrument. - Sat Nov 14 03:34:11 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) thinks: None of this is in my job description... - Sat Nov 14 03:37:36 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) says: This isn't helping the itch. - Sat Nov 14 03:52:06 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) thinks: Interesting... - Sat Nov 14 03:52:57 2015
<br><br><font color=teal>*Supaiku, Eri(-Assassin.R-) says: .... - Sat Nov 14 03:52:57 2015
<br><br><font color=teal>*Supaiku, Eri(-Assassin.R-) says: What are you doing to him? - Sat Nov 14 03:52:57 2015
<br><br><font color=teal>*Fumatori, Hatsujin(Chaos Commander2015) says: Eh. . . - Sat Nov 14 03:52:57 2015
<br><br><font color=teal>*Fumatori, Hatsujin(Chaos Commander2015) says: Nothing major. - Sat Nov 14 03:52:57 2015
<br><br><font color=teal>*Supaiku, Eri(-Assassin.R-) says: Well cut it out. - Sat Nov 14 03:52:57 2015
<br><br><font color=teal>*Fumatori, Hatsujin(Chaos Commander2015) says: . . . - Sat Nov 14 03:52:57 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: ...Hm? - Sat Nov 14 03:52:57 2015
<br><br><font color=teal>*Fumatori, Hatsujin(Chaos Commander2015) says: It'll be done with soon. - Sat Nov 14 03:52:57 2015
<br><br><font color=teal>*Supaiku, Eri(-Assassin.R-) thinks: So rude. - Sat Nov 14 03:53:48 2015
<br><br><font color=teal>*Redrum, Ortho(DhatBoiNick) says: ..Slit his throat. - Sat Nov 14 03:53:48 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) thinks: ...What're they talking about? I noticed noth- - Sat Nov 14 03:53:48 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .... - Sat Nov 14 03:53:48 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) thinks: Hngh....my...chakra is....don't throw up....odd.... - Sat Nov 14 03:53:48 2015
<br><br><font color=teal>*Fumatori, Hatsujin(Chaos Commander2015) says: Seriously Ortho. . .? - Sat Nov 14 03:55:31 2015
<br><br><font color=teal>*Redrum, Ortho(DhatBoiNick) says: Slit.. his.. throat.. - Sat Nov 14 03:55:31 2015
<br><br><font color=teal>*Fumatori, Hatsujin(Chaos Commander2015) says: I don't exactly carry a knife with me. . .I didn't expect to be killing anyone today. . . - Sat Nov 14 03:56:22 2015
<br><br><font color=teal>*Redrum, Ortho(DhatBoiNick) thinks: I got too much to train this guy.. - Sat Nov 14 03:57:13 2015
<br><br><font color=teal>*Redrum, Ortho(DhatBoiNick) thinks: What's the point in genjutsu if he can't finish someone off? - Sat Nov 14 03:57:13 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Mizumi. - Sat Nov 14 03:57:13 2015
<br><br><font color=teal>*Fumatori, Hatsujin(Chaos Commander2015) says: Heh. . . - Sat Nov 14 03:57:13 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Does my job apply to this? - Sat Nov 14 03:57:13 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Good. - Sat Nov 14 03:58:04 2015
<br><br><font color=teal>*Supaiku, Eri(-Assassin.R-) thinks: Wonder if he'll actually do it... too bad, that weirdo guy is handsome. - Sat Nov 14 04:04:03 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) thinks: Oh..Didn't work...Ohwell. - Sat Nov 14 04:05:45 2015
<br><br><font color=yellow>*Engi, Ichiro(Master Roku) only stepped back to avoid any blood spray and what not. He was after all, told that this didn't apply to his contract. His arms still stayed close to his chest, crossed. Once he settled in place once more, his head shook, allowing his red hair to shift wildly a bit.* - Sat Nov 14 04:08:19 2015
<br><br><font color=teal>*Supaiku, Eri(-Assassin.R-) says: .... - Sat Nov 14 04:18:33 2015
<br><br><font color=teal>*Fumatori, Hatsujin(Chaos Commander2015) says: -_ - Sat Nov 14 04:18:33 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) thinks: I think he does care... - Sat Nov 14 04:20:16 2015
<br><br><font color=yellow>*Engi, Ichiro(Master Roku) coughs.* - Sat Nov 14 04:21:07 2015
<br><br><font color=teal>*Fumatori, Hatsujin(Chaos Commander2015) says: Hey now, I'm not rich, I didn't have much money to afford other items aside from upkeep on my guitar. - Sat Nov 14 04:21:58 2015
<br><br><font color=teal>*Supaiku, Eri(-Assassin.R-) says: Get a job. - Sat Nov 14 04:23:40 2015
<br><br><font color=teal>*Fumatori, Hatsujin(Chaos Commander2015) thinks: I'd make a statement about music being my job. . .but she'd retort with 'Must not be very good at it then' or the such. . .I'll simply remain quiet. - Sat Nov 14 04:25:23 2015
<br><br><font color=teal>*Supaiku, Eri(-Assassin.R-) thinks: Haaaaaaaaaaaaaaa haaaaaaaaaaaaaaaa. - Sat Nov 14 04:28:48 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) says: What happened to your village? - Sat Nov 14 04:41:36 2015
<br><br><font color=teal>*Redrum, Ortho(DhatBoiNick) says: Nothing. - Sat Nov 14 04:41:36 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) thinks: Interesting. - Sat Nov 14 04:43:18 2015
<br><br><font color=teal>*Fumatori, Hatsujin(Chaos Commander2015) thinks: What a dick. - Sat Nov 14 04:44:09 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) thinks: I wonder where my Queen is... - Sat Nov 14 04:45:52 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) thinks: I can't be a guard if I don't know the whereabouts of the person of interest... - Sat Nov 14 04:46:43 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) says: Buddy Ortho, why are you not answering? - Sat Nov 14 04:47:34 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) says: Nothing is not a response. - Sat Nov 14 04:48:25 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) says: Oh. - Sat Nov 14 04:48:25 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) says: Did you get the lake? - Sat Nov 14 04:48:25 2015
<br><br><font color=teal>*Redrum, Ortho(DhatBoiNick) says: No. I'll make Hatsujin dig a big hole for me later. - Sat Nov 14 04:49:16 2015
<br><br><font color=yellow>*Engi, Ichiro(Master Roku) raises a single hand, using it to cover his mouth as he gives a short yawn.* - Sat Nov 14 04:53:32 2015
<br><br><font color=teal>*Redrum, Ortho(DhatBoiNick) says: Go a head. - Sat Nov 14 04:56:06 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) says: So....what's new? - Sat Nov 14 04:59:31 2015
<br><br><font color=teal>*Redrum, Ortho(DhatBoiNick) says: This small talk is boring. - Sat Nov 14 05:02:56 2015
<br><br><font color=teal>*Redrum, Ortho(DhatBoiNick) says: Oi, Mizumi. - Sat Nov 14 05:08:03 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) says: What? - Sat Nov 14 05:09:45 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) says: . . . . - Sat Nov 14 05:11:28 2015
<br><br><font color=teal>*Redrum, Ortho(DhatBoiNick) says: Tell me something: who runs this place? - Sat Nov 14 05:13:10 2015
<br><br><font color=teal>*Redrum, Ortho(DhatBoiNick) says: You? - Sat Nov 14 05:13:10 2015
<br><br><font color=teal>*Redrum, Ortho(DhatBoiNick) says: Nigen- - Sat Nov 14 05:13:10 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) says: Ugh - Sat Nov 14 05:13:10 2015
<br><br><font color=teal>*Redrum, Ortho(DhatBoiNick) says: Sabo? - Sat Nov 14 05:13:10 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) says: Who? - Sat Nov 14 05:13:10 2015
<br><br><font color=teal>*Redrum, Ortho(DhatBoiNick) says: ..Just tell me who runs this place. - Sat Nov 14 05:14:01 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) says: It's confidential. - Sat Nov 14 05:14:01 2015
<br><br><font color=teal>*Supaiku, Eri(-Assassin.R-) says: Sado* - Sat Nov 14 05:14:01 2015
<br><br><font color=teal>*Redrum, Ortho(DhatBoiNick) says: ..tch.. - Sat Nov 14 05:14:52 2015
<br><br><font color=teal>*Redrum, Ortho(DhatBoiNick) says: Very well then. - Sat Nov 14 05:16:35 2015
<br><br><font color=teal>*Redrum, Ortho(DhatBoiNick) says: I'll just kill him and claim this place for myself. - Sat Nov 14 05:16:35 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) says: Ugh.....Hi. - Sat Nov 14 05:18:17 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) says: What's your name. - Sat Nov 14 05:18:17 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) says: Are you Ortho's wife? - Sat Nov 14 05:18:17 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .... - Sat Nov 14 05:19:08 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) says: Right...Right...I'll take that as a ye-...What were you listening to? - Sat Nov 14 05:19:08 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: 'Him.' - Sat Nov 14 05:19:08 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .... - Sat Nov 14 05:19:08 2015
<br><br><font color=teal>*Supaiku, Eri(-Assassin.R-) says: I'm not hhahahahah...oh man... his wife! Jeez. - Sat Nov 14 05:20:00 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) thinks: Did I not clarify....that we had a Queen...during his last visit... - Sat Nov 14 05:20:00 2015
<br><br><font color=teal>*Supaiku, Eri(-Assassin.R-) says: I'm just his student. - Sat Nov 14 05:20:00 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) says: Oh. - Sat Nov 14 05:20:00 2015
<br><br><font color=teal>*Supaiku, Eri(-Assassin.R-) says: .... - Sat Nov 14 05:20:51 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) says: Oh...Cool. So why are you guys here? - Sat Nov 14 05:21:42 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) says: You know...not in a rude way... - Sat Nov 14 05:22:33 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) says: okay... - Sat Nov 14 05:22:33 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) says: a little rudeness... - Sat Nov 14 05:22:33 2015
<br><br><font color=teal>*Supaiku, Eri(-Assassin.R-) says: Rudeness is necessary. - Sat Nov 14 05:23:24 2015
<br><br><font color=teal>*Redrum, Ortho(DhatBoiNick) says: Speak for yourself. - Sat Nov 14 05:23:24 2015
<br><br><font color=teal>*Supaiku, Eri(-Assassin.R-) says: You cannot be honest unless you are a little rude. - Sat Nov 14 05:23:24 2015
<br><br><font color=teal>*Supaiku, Eri(-Assassin.R-) says: .... - Sat Nov 14 05:23:24 2015
<br><br><font color=teal>*Redrum, Ortho(DhatBoiNick) says: ...... - Sat Nov 14 05:24:16 2015
<br><br><font color=teal>*Redrum, Ortho(DhatBoiNick) says: ..N-No.. - Sat Nov 14 05:24:16 2015
<br><br><font color=teal>*Redrum, Ortho(DhatBoiNick) says: Forget.. it.. - Sat Nov 14 05:24:16 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) says: . . . - Sat Nov 14 05:25:07 2015
<br><br><font color=teal>*Supaiku, Eri(-Assassin.R-) says: I just follow him though, he wanted to show me this place. Said it was safe. - Sat Nov 14 05:25:07 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) says: Oh okay. - Sat Nov 14 05:25:58 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) says: Anyways.... - Sat Nov 14 05:27:40 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) says: Ugh.... - Sat Nov 14 05:27:40 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) says: What's your name, not Ortho's wife? - Sat Nov 14 05:27:40 2015
<br><br><font color=teal>*Supaiku, Eri(-Assassin.R-) says: You may call me Supaiku. - Sat Nov 14 05:28:32 2015
<br><br><font color=teal>*Supaiku, Eri(-Assassin.R-) thinks: Huh, never did tell Ortho my first name. - Sat Nov 14 05:28:32 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) says: Supaiku.....reminds me of pie. - Sat Nov 14 05:31:05 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) says: I like pie... - Sat Nov 14 05:31:05 2015
<br><br><font color=teal>*Supaiku, Eri(-Assassin.R-) says: ...Right. - Sat Nov 14 05:31:05 2015
<br><br><font color=teal>*Supaiku, Eri(-Assassin.R-) says: What is your name? - Sat Nov 14 05:31:05 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) says: My name is Mizumi. - Sat Nov 14 05:33:39 2015
<br><br><font color=teal>*Supaiku, Eri(-Assassin.R-) says: Mn, Mizumi. You are a strange man, Mizumi. - Sat Nov 14 05:34:30 2015
<br><br><font color=teal>*Supaiku, Eri(-Assassin.R-) says: You should look up guitar music, it would open your world. - Sat Nov 14 05:34:30 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) says: Ugh okay. - Sat Nov 14 05:35:21 2015
<br><br><font color=teal>*Supaiku, Eri(-Assassin.R-) says: It's your choice, Sensei. - Sat Nov 14 05:37:55 2015
<br><br><font color=teal>*Supaiku, Eri(-Assassin.R-) says: I am just the student. - Sat Nov 14 05:38:46 2015
