<br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Is Hideki still being Emo? - Thu Oct  1 19:08:35 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) thinks: Get away from the water so I can end this... - Sat Oct  3 03:59:47 2015
<br><br><font color=teal>*Saeki, Kenshin(Barock Obama) says: A Shadow Clone.  - Sat Oct  3 04:04:03 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) thinks: Shadow... what..? - Sat Oct  3 04:04:03 2015
<br><br><font color=teal>*ANBU Agent(LavenderTown) says: I would shunshin away to my spot...but... - Sat Oct  3 04:04:03 2015
<br><br><font color=teal>*Saeki, Kenshin(Barock Obama) says: Well, no matter. - Sat Oct  3 04:04:03 2015
<br><br><font color=teal>*Saeki, Kenshin(Barock Obama) says: Guess we're done. - Sat Oct  3 04:05:45 2015
<br><br><font color=teal>*Saeki, Kenshin(Barock Obama) says: I'm out. - Sat Oct  3 04:05:45 2015
<br><br><font color=teal>*Saeki, Kenshin(Barock Obama) says: Anywho. - Sat Oct  3 04:07:28 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) thinks: He's worthy of my thanks.. - Sat Oct  3 04:07:28 2015
<br><br><font color=teal>*Saeki, Kenshin(Barock Obama) says: Koeki. - Sat Oct  3 04:09:10 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: .... - Sat Oct  3 04:10:01 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: Hm? - Sat Oct  3 04:10:01 2015
<br><br><font color=teal>*Saeki, Kenshin(Barock Obama) says: I'm going to go home for today. - Sat Oct  3 04:10:01 2015
<br><br><font color=teal>*Saeki, Kenshin(Barock Obama) says: You need anything else. - Sat Oct  3 04:10:01 2015
<br><br><font color=yellow>*De la Cruze, Violet(Jarrodhun20) dropped from the mountain running to koeki...* - Sat Oct  3 04:10:01 2015
<br><br><font color=teal>*Saeki, Kenshin(Barock Obama) says: Just call me. - Sat Oct  3 04:10:01 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: Er..Alright. - Sat Oct  3 04:10:01 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: L-lady... thank you Lord Kenshin... - Sat Oct  3 04:10:52 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Setsuko... she was badly burned on the mountain - Sat Oct  3 04:12:35 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: You are truly my savior Lord Kenshin... - Sat Oct  3 04:14:17 2015
<br><br><font color=teal>*Saeki, Kenshin(Barock Obama) says: Nothing to worry about, Violet. - Sat Oct  3 04:14:17 2015
<br><br><font color=teal>*Saeki, Kenshin(Barock Obama) says: Just keep yourself safe. - Sat Oct  3 04:14:17 2015
<br><br><font color=teal>*Saeki, Kenshin(Barock Obama) says: Stay in the village grounds so that you aren't blindsided by some assassin. - Sat Oct  3 04:14:17 2015
<br><br><font color=teal>*Saeki, Kenshin(Barock Obama) says: The Jounin and Chuunin will protect you. - Sat Oct  3 04:14:17 2015
<br><br><font color=teal>*Saeki, Kenshin(Barock Obama) says: That goes for you too, Setsuko! - Sat Oct  3 04:14:17 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: I... will remember that. - Sat Oct  3 04:15:08 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Lady Koeki.... they were after the blades... - Sat Oct  3 04:16:00 2015
<br><br><font color=teal>*Saeki, Kenshin(Barock Obama) says: ....What blades? - Sat Oct  3 04:16:00 2015
<br><br><font color=teal>*Saeki, Kenshin(Barock Obama) says: Akask's or Hogetsu's? - Sat Oct  3 04:16:00 2015
<br><br><font color=teal>*Saeki, Kenshin(Barock Obama) says: I'll put in some funds for your treatment too. - Sat Oct  3 04:17:42 2015
<br><br><font color=teal>*Saeki, Kenshin(Barock Obama) says: Does one million yen sound alright for you to heal yourself up? - Sat Oct  3 04:17:42 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: No need... they'll make me remember... the peasant that... - Sat Oct  3 04:17:42 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: I need to get to a hospital before I think of that...though.. - Sat Oct  3 04:20:16 2015
<br><br><font color=teal>*Saeki, Kenshin(Barock Obama) says: ..... - Sat Oct  3 04:21:07 2015
<br><br><font color=teal>*Saeki, Kenshin(Barock Obama) says: You do that. - Sat Oct  3 04:21:07 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Once I figure out a way off of this mountain.. - Sat Oct  3 04:21:07 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Koeki, if it is alright with you... can I say in Lord Hassans village for a while... until this heat cools down? - Sat Oct  3 04:21:58 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: Agh, losing all my villagers... - Sat Oct  3 04:22:49 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: I'm interested in going as well... to see if there's anyone I can learn about swordsmanship from... - Sat Oct  3 04:22:49 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: Mmm..fine. - Sat Oct  3 04:22:49 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: Let me heal both of your injuries. - Sat Oct  3 04:22:49 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: Come closer, Setsuko. - Sat Oct  3 04:22:49 2015
<br><br><font color=teal>*Saeki, Kenshin(Barock Obama) says: . . . . - Sat Oct  3 04:23:40 2015
<br><br><font color=teal>*Saeki, Kenshin(Barock Obama) says: You'll always have me, Koeki. - Sat Oct  3 04:23:40 2015
<br><br><font color=teal>*Saeki, Kenshin(Barock Obama) says: If that's any consolation. - Sat Oct  3 04:23:40 2015
<br><br><font color=teal>*Saeki, Kenshin(Barock Obama) says: I would never work with Sunagakure after all. - Sat Oct  3 04:23:40 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) thinks: I might have to settle for basic taijutsu for now until I can get another katana... - Sat Oct  3 04:24:32 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: Did you hear about Sunagakure? - Sat Oct  3 04:25:23 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: *glances at Kenshin.* - Sat Oct  3 04:25:23 2015
<br><br><font color=teal>*Saeki, Kenshin(Barock Obama) says: Not really. - Sat Oct  3 04:25:23 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: I will come back, its just... as Lord Hassan is in with the Gezo he has higher security I will return... but I will miss you my Lady - Sat Oct  3 04:26:14 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: I... really should improve on Medical Ninjutsu... and Taijutsu... Ninjutsu too... - Sat Oct  3 04:27:05 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) thinks: I'm intact with Kenjutsu.. - Sat Oct  3 04:27:05 2015
<br><br><font color=teal>*Saeki, Kenshin(Barock Obama) says: Hassan's in charge? Nice. - Sat Oct  3 04:28:48 2015
<br><br><font color=teal>*Saeki, Kenshin(Barock Obama) says: Speaking of which. - Sat Oct  3 04:28:48 2015
<br><br><font color=teal>*Saeki, Kenshin(Barock Obama) says: Koeki, are you a Sergeant? - Sat Oct  3 04:28:48 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: No. - Sat Oct  3 04:28:48 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: You could be... ask Hassan my lady - Sat Oct  3 04:28:48 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: I - Sat Oct  3 04:28:48 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: have never been tested or moved up in rank.. - Sat Oct  3 04:29:39 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: Well..Mizukage counts, no? - Sat Oct  3 04:29:39 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: It does - Sat Oct  3 04:29:39 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: But you should take the exam also - Sat Oct  3 04:29:39 2015
<br><br><font color=teal>*Saeki, Kenshin(Barock Obama) says: I'm a Sergeant myself. - Sat Oct  3 04:31:21 2015
<br><br><font color=teal>*Saeki, Kenshin(Barock Obama) says: Lord Hassan is stronger than me. - Sat Oct  3 04:31:21 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: You think so> - Sat Oct  3 04:32:12 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: I'll take the exam... - Sat Oct  3 04:32:12 2015
<br><br><font color=teal>*Koeki(ZuuZuu) thinks: Taxing.. - Sat Oct  3 04:33:04 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: But be careful my Lady... I dont... want to lose you too - Sat Oct  3 04:33:04 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: So. - Sat Oct  3 04:33:04 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: Er. - Sat Oct  3 04:33:55 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: I'm not going anywhere. - Sat Oct  3 04:33:55 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: Haha, I'm too tough for that.. - Sat Oct  3 04:33:55 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Koeki... are there any medics other than yourself in this village..? - Sat Oct  3 04:39:02 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Whom may be as experienced as you..? - Sat Oct  3 04:39:02 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: No. - Sat Oct  3 04:39:02 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: There used to be other medics. - Sat Oct  3 04:39:53 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: In that case.. I place what little hope there is in my career as a medic in your hands. - Sat Oct  3 04:39:53 2015
<br><br><font color=teal>*Saeki, Kenshin(Barock Obama) says: Aren't you a swordsman? - Sat Oct  3 04:39:53 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: I specialize in Kenjutsu and Medical Ninjutsu.. - Sat Oct  3 04:40:44 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: I'm much better at Kenjutsu, though. - Sat Oct  3 04:40:44 2015
<br><br><font color=teal>*Saeki, Kenshin(Barock Obama) says: I see. - Sat Oct  3 04:40:44 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: Hm. - Sat Oct  3 04:42:27 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: I see. - Sat Oct  3 04:42:27 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: Alright then. - Sat Oct  3 04:43:18 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: Hopefully you don't get yourself killed. - Sat Oct  3 04:43:18 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: I could've avoided those injuries if I was more experienced at Ninjutsu.. - Sat Oct  3 04:44:09 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Im just trying to be a samuri and fight for my village but its hard to train when your a target - Sat Oct  3 04:44:09 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: *nod* - Sat Oct  3 04:44:09 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: Hm.. - Sat Oct  3 04:44:09 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: I could give you a different Identity. - Sat Oct  3 04:44:09 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: ubt I doubt you'd want that. - Sat Oct  3 04:45:00 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Koeki. - Sat Oct  3 04:45:52 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: Yeah? - Sat Oct  3 04:45:52 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: I just want to train until I can help this village grow - Sat Oct  3 04:45:52 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Can I speak to you? - Sat Oct  3 04:45:52 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Privately? - Sat Oct  3 04:45:52 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: Uhm. - Sat Oct  3 04:45:52 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: Sure. - Sat Oct  3 04:45:52 2015
<br><br><font color=teal>*Saeki, Kenshin(Barock Obama) says: Speaking of which. - Sat Oct  3 04:46:43 2015
<br><br><font color=teal>*Saeki, Kenshin(Barock Obama) says: I wonder where Kohaku is. - Sat Oct  3 04:46:43 2015
<br><br><font color=teal>*Saeki, Kenshin(Barock Obama) says: I was supposed to teach her some moves today. - Sat Oct  3 04:46:43 2015
<br><br><font color=teal>*Saeki, Kenshin(Barock Obama) says: Koeki. - Sat Oct  3 04:46:43 2015
<br><br><font color=teal>*Saeki, Kenshin(Barock Obama) says: Call me -anytime- alright? - Sat Oct  3 04:46:43 2015
<br><br><font color=teal>*Saeki, Kenshin(Barock Obama) says: I'll be there to help you. - Sat Oct  3 04:46:43 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Kenshin... - Sat Oct  3 04:47:34 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: What is the trick to your speed... I need to know... - Sat Oct  3 04:47:34 2015
<br><br><font color=teal>*Saeki, Kenshin(Barock Obama) says: No trick. - Sat Oct  3 04:48:25 2015
<br><br><font color=teal>*Saeki, Kenshin(Barock Obama) says: Just running. - Sat Oct  3 04:48:25 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Running...? - Sat Oct  3 04:48:25 2015
<br><br><font color=teal>*Saeki, Kenshin(Barock Obama) says: Just running every day. - Sat Oct  3 04:49:16 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Thats what I need to do... - Sat Oct  3 04:49:16 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Run.... - Sat Oct  3 04:49:16 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Thank you my Lord... - Sat Oct  3 04:49:16 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) thinks: I must be like Kenshin... - Sat Oct  3 04:49:16 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) thinks: I have to get faster... - Sat Oct  3 04:50:08 2015
<br><br><font color=teal>*Saeki, Kenshin(Barock Obama) says: 'Course. - Sat Oct  3 04:50:08 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: run.... I needed those weights yesterday - Sat Oct  3 04:50:08 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Violet. I apologize for being unable to help with that situation. - Sat Oct  3 04:50:59 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) thinks: My vision feels more.. precise. I feel immensely quicker as well... - Sat Oct  3 04:50:59 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) thinks: Did I actually gain something from getting beaten up so badly? - Sat Oct  3 04:50:59 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Its ok... Im sorry for putting you through that... - Sat Oct  3 04:51:50 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: It's alright. - Sat Oct  3 04:55:15 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: That's enough kenjutsu training for now. Koeki, mind showing me some basics to Medical Ninjutsu? - Sat Oct  3 05:02:04 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Do... you want to get some more clothing first? - Sat Oct  3 05:02:04 2015
<br><br><font color=yellow>*De la Cruze, Violet(Jarrodhun20) felt bad for her was also she was starting to grow on her. "Ya, your a reeeeeal bomb shell babe" she joked* - Sat Oct  3 05:05:29 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Naturally.~ I'm about to go to my apartment and get some rest or something. - Sat Oct  3 05:09:45 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Unless you want to tag along....~ - Sat Oct  3 05:10:36 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Sure, I dont mind... - Sat Oct  3 05:11:28 2015
<br><br><font color=yellow>*De la Cruze, Violet(Jarrodhun20) was grabbed as she walked along...* - Sat Oct  3 05:14:01 2015
<br><br><font color=yellow>*De la Cruze, Violet(Jarrodhun20) would look at her with curious eyes, "By yours you mean???" she said looking the girl up and down* - Sat Oct  3 05:26:49 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Mmmmhmm...~ - Sat Oct  3 05:26:49 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Even beauties such as I get lonely at night. - Sat Oct  3 05:27:40 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) thinks: I pray I can keep my emotions composed. She intoxicates me with her desirable air.. - Sat Oct  3 05:31:56 2015
<br><br><font color=yellow>*De la Cruze, Violet(Jarrodhun20) thinks 'I guess one night cant hurt right?'

"Sure I dont mind..." she said win a now womanly voice. She walked in the apartment and gracefully sat down on the couch. She looked around at the womans decor. She would keep to herself and relax do a moment... she had her dream of mastering her blades now she had to improve her own skills.* - Sat Oct  3 05:43:02 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Nnnh.... - Sat Oct  3 05:54:59 2015
<br><br><font color=yellow>*De la Cruze, Violet(Jarrodhun20) would he taken back my her apperent sudden burst of trying to get with her... She would allow her to sit on her lap but was alittle taken back by it. When their bodies pressed together she would start to get uncomfortable and then she did it. She tried to kiss her, Violet was not ready for that at all, she would press her finger against Setsuko's lips... "No... please dont... Im not here nor am I ready for that..." she said and let off a big sigh. She was tired and not trying get into a intimate relationship. Most likely the nose nuzzzle wouldnt go through either. 

<This isnt Netflix and chill... nor am I a booty call; im just here to see if your ok and relax...>* - Sat Oct  3 06:06:04 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Alright... fine.. - Sat Oct  3 06:06:56 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Im just not comfortable dating right now... - Sat Oct  3 06:10:20 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Makes sense.. - Sat Oct  3 06:12:54 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Its nice... I like it...  - Sat Oct  3 06:18:01 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) thinks: Setsuna's was better - Sat Oct  3 06:18:01 2015
<br><br><font color=teal>*Lera(Bailey42) says: ...You're going to Suna? - Sat Oct  3 06:45:20 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: When I contact hassan again - Sat Oct  3 06:50:27 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: But so you mind is I crash here?? - Sat Oct  3 06:51:18 2015
<br><br><font color=yellow>*De la Cruze, Violet(Jarrodhun20) didnt wait for a responce and violet fell asleep curling up on her self* - Sat Oct  3 06:52:09 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Sure... - Sat Oct  3 06:53:00 2015
<br><br><font color=yellow>*De la Cruze, Violet(Jarrodhun20) Woke up from her slumber to see Setsuko coiled up on her as she slept. "This girl needs a hobby... But this is the least I can do for causing her all this trouble..." she said rolling off the sofa getting up and stretching... I guess I have to go to Suna now...

She said packing her swords and heading out the door.* - Sun Oct  4 00:35:24 2015
<br><br><font color=yellow>*De la Cruze, Violet(Jarrodhun20) turned to her, adjusting her clothes, "Sunagakure...  hoping it would be a safe haven for the moment..." she continued adjusting her regular blades and hiding her kiba blades...* - Sun Oct  4 00:43:05 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Can we... go together..? - Sun Oct  4 00:43:05 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: It's not safe... to travel alone... - Sun Oct  4 00:43:05 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Why are you going to Suna your safer behind the walls of Kiri... the only reason im going  is for protection - Sun Oct  4 00:48:12 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: I want to see if there's anyone I can learn from in Suna. - Sun Oct  4 00:49:04 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: I doubt it... plus you need permission form koeki and Hassan - Sun Oct  4 00:55:53 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Kiri is the location for kenjutsu - Sun Oct  4 00:56:44 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: I don't wanna learn more about kenjutsu. I want to learn more about Ninjutsu.. - Sun Oct  4 00:57:36 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Well did you ask Koeki? - Sun Oct  4 01:02:43 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: I did. - Sun Oct  4 01:02:43 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Very well - Sun Oct  4 01:04:25 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Alright, you ready to go? - Sun Oct  4 01:07:50 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Yes Lets go - Sun Oct  4 01:13:48 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: First... I want to go to the village square - Sun Oct  4 01:13:48 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Alright.. - Sun Oct  4 01:14:40 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Literally no one here.. - Sun Oct  4 01:16:22 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Well I guess its off to Suna... - Sun Oct  4 01:16:22 2015
<br><br><font color=yellow>*De la Cruze, Violet(Jarrodhun20) paid the caravan for a trip to suna and hopped in; waiting for Setsuko. When she got in the trip to suna was commenced it would take them a while to get there but she would arrive to quite a suprise  * - Sun Oct  4 01:22:20 2015
<br><br><font color=yellow>*De la Cruze, Violet(Jarrodhun20) As they entered the space of Suna the caravan was stopped by hostile guards at the gate, she didnt resist and she put her hands up waiting for the guards to inform Hassan* - Sun Oct  4 01:33:26 2015
<br><br><font color=yellow>*De la Cruze, Violet(Jarrodhun20) the guards took them in the village and arrested them* - Sun Oct  4 01:41:07 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: Well that happened. - Sun Oct  4 01:43:40 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: You sir, is Lord Hassan awake? - Sun Oct  4 01:44:32 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Huh, eh. Oh, well. He's kind of standing yet sleeping at the same time. - Sun Oct  4 01:44:32 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) thinks: Typical Hassan - Sun Oct  4 01:45:23 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Oh. . You know them Sanoke? - Sun Oct  4 01:46:14 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Chicks from Kiri. - Sun Oct  4 01:46:14 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Hi Sanoke... - Sun Oct  4 01:46:14 2015
<br><br><font color=yellow>*De la Cruze, Violet(Jarrodhun20) Guards bring in two ladies from kiri, they were arrested with guards surrounding them... Violet was not worried for stressed in the slightest. She was actually relieved as she would feel save until she returned to Kirigakure stronger.

"Lord Hassan, Koeki gave the ok... can you release your guards?" she said not resisting* - Sun Oct  4 01:49:39 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) thinks: really nigga - Sun Oct  4 01:51:21 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Sigh.. - Sun Oct  4 01:52:12 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: Amazing. - Sun Oct  4 01:54:46 2015
<br><br><font color=yellow>*De la Cruze, Violet(Jarrodhun20) was taken into custody* - Sun Oct  4 01:54:46 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) thinks: Well being jailed is better than nothing - Sun Oct  4 01:56:28 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: How much we gettin' paid? - Sun Oct  4 02:29:45 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Was a pretty easy mission. Hrm, next time, we should do one where we gotta beat up rogues. - Sun Oct  4 02:34:52 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: You two. - Sun Oct  4 02:35:44 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: What brings ya here? - Sun Oct  4 02:35:44 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: On that note i'm out. - Sun Oct  4 02:35:44 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Where are you going? - Sun Oct  4 02:36:35 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Home. - Sun Oct  4 02:36:35 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Why? - Sun Oct  4 02:36:35 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: ... - Sun Oct  4 02:36:35 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Why not? - Sun Oct  4 02:36:35 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I'unno. Just wondering. - Sun Oct  4 02:37:26 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I'mma go see what happened to those two kunoichi,I guess. Catch ya later? - Sun Oct  4 02:37:26 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Of course you going to check on your friends. - Sun Oct  4 02:38:17 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Uh.. - Sun Oct  4 02:38:17 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Should I not? Gotta find out. - Sun Oct  4 02:39:08 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Hi. - Sun Oct  4 02:39:08 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: What's happenin' in Kiri. - Sun Oct  4 02:39:08 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Nothing. - Sun Oct  4 02:39:08 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I don't care what you do. - Sun Oct  4 02:39:08 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: 'Kay then. - Sun Oct  4 02:39:08 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: <*Would have arrived at the cells*> - Sun Oct  4 02:39:08 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yo, yo. So why'd you all. - Sun Oct  4 02:39:08 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Leave Kirigakure? - Sun Oct  4 02:39:08 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Violet came to hide from people that want the Kiba Blades. I came to learn more Ninjutsu techniques. - Sun Oct  4 02:40:00 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Uh. . .And which people are these? - Sun Oct  4 02:40:00 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: A person with a white and blue mask. - Sun Oct  4 02:40:00 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Proficient at Katon and Suiton. - Sun Oct  4 02:40:00 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: . . .  - Sun Oct  4 02:40:51 2015
