<br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Mon Nov  2 21:43:53 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: Yea. . .pretty sure I did, oh well. - Tue Nov  3 05:57:07 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I see. - Tue Nov  3 05:57:07 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Anyway. . . - Tue Nov  3 05:58:49 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Well, training. - Tue Nov  3 05:59:40 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Just saying.~ - Tue Nov  3 05:59:40 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Hit the gym. - Tue Nov  3 05:59:40 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Tue Nov  3 05:59:40 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: My body isn't exactly one to get stronger from that sort of training Mizukage. - Tue Nov  3 05:59:40 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I thought you'd know that. - Tue Nov  3 06:00:32 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Hmm. - Tue Nov  3 06:01:23 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: There are plenty of things to do. - Tue Nov  3 06:01:23 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Nothing exactly fun though. - Tue Nov  3 06:01:23 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: If you excuse me I have to get to work. - Tue Nov  3 06:01:23 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: - - Tue Nov  3 06:01:23 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Of course. - Tue Nov  3 06:01:23 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: - - Tue Nov  3 06:03:05 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Knowing us? Are we going somewhere? - Tue Nov  3 06:03:05 2015
<br><br><font color=teal>*Nina(Ninasky115) says: No idea.. - Tue Nov  3 06:04:48 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Well regardless. - Tue Nov  3 06:04:48 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Anything you guys want to do? - Tue Nov  3 06:04:48 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Not like we can do much. - Tue Nov  3 06:05:39 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Well, all the shops are back open. - Tue Nov  3 06:05:39 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: We could all go grab a meal. . . - Tue Nov  3 06:07:21 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Or train. - Tue Nov  3 06:07:21 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I dunno. - Tue Nov  3 06:07:21 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Well, lets train. - Tue Nov  3 06:08:12 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Tue Nov  3 06:09:04 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: What do you recommend? - Tue Nov  3 06:10:46 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: For training that is. - Tue Nov  3 06:10:46 2015
<br><br><font color=teal>*Nina(Ninasky115) says: No idea. - Tue Nov  3 06:13:20 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Tue Nov  3 06:14:11 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Well, ask that girl. She might know something. - Tue Nov  3 06:15:53 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: What girl? - Tue Nov  3 06:16:44 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Oh, I meant him. Sorry. - Tue Nov  3 06:16:44 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: ....... - Tue Nov  3 06:18:27 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: ...... - Tue Nov  3 06:21:52 2015
<br><br><font color=teal>*Nina(Ninasky115) says: So uhhh, what's going on...? - Tue Nov  3 06:23:34 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Tue Nov  3 06:24:25 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: *Cough* I nominate myself as the new Mizukage -Omit, cause too soon- - Tue Nov  3 06:35:31 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: ... Is... the lady - Tue Nov  3 06:40:38 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: ...Well? - Tue Nov  3 06:43:12 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . .Nothing. - Tue Nov  3 06:43:12 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Elon can you sense anything? - Tue Nov  3 06:44:03 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: She most likely was burnt to a crisp. - Tue Nov  3 06:44:03 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ...... - Tue Nov  3 06:44:03 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: .... - Tue Nov  3 06:44:03 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: I'll see. - Tue Nov  3 06:44:03 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: ............. - Tue Nov  3 06:44:54 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: ....Nothing. - Tue Nov  3 06:49:10 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: So.... is...... she.... - Tue Nov  3 06:49:10 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: As I said. - Tue Nov  3 06:49:10 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Likely burnt to nothing. - Tue Nov  3 06:49:10 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: .... - Tue Nov  3 06:50:52 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . .What do we do now? - Tue Nov  3 06:51:44 2015
<br><br><font color=teal>*Elon(Chevy Corolla) thinks: I've done it again... - Tue Nov  3 06:51:44 2015
<br><br><font color=yellow>*De la Cruze, Violet(Jarrodhun20) was distrought by the news and she slammed her foot in the ground to leave a crack. "Another one,,,, we fucking lost another one.... Why are we so cursed... We were so close to rebuilding... SO CLOSE" she yelled* - Tue Nov  3 06:52:35 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: . . . . - Tue Nov  3 06:52:35 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: W-Who will lead us now? - Tue Nov  3 06:53:26 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I will! -omit- - Tue Nov  3 06:53:26 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: He have to lead ourselves for know... - Tue Nov  3 06:53:26 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: No one can take her place  - Tue Nov  3 06:53:26 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Tue Nov  3 06:54:17 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: You're distraught. - Tue Nov  3 06:54:17 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Someone has to replace her. - Tue Nov  3 06:54:17 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ...She's not. - Tue Nov  3 06:54:17 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Could any of you handle an assassination attempt that Kirie couldn't? - Tue Nov  3 06:55:08 2015
<br><br><font color=teal>*Nina(Ninasky115) says: ....... - Tue Nov  3 06:55:08 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Not reall, fuck you Marco. -omit- - Tue Nov  3 06:57:42 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: ...I.... need a moment... we need to inform the villagers and tighten security.. well from what e have leftr - Tue Nov  3 06:59:24 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I'm going to find my brother, I'm not in the mood to deal with this. - Tue Nov  3 06:59:24 2015
<br><br><font color=teal>*Heiwa(PythonJedi) thinks: ...Is he thinking Nina did it? - Tue Nov  3 06:59:24 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Oh. - Tue Nov  3 06:59:24 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Aight. - Tue Nov  3 06:59:24 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Have fun. - Tue Nov  3 06:59:24 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: ..... - Tue Nov  3 07:00:16 2015
<br><br><font color=yellow>*De la Cruze, Violet(Jarrodhun20) walks off dragging her feet in deep thought* - Tue Nov  3 07:00:16 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: I think it's time to move on. - Tue Nov  3 07:01:07 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: The kage was the one who promised me protection. - Tue Nov  3 07:01:07 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: She is gone. - Tue Nov  3 07:01:07 2015
<br><br><font color=teal>*Heiwa(PythonJedi) thinks: With her gone there goes my guardian again...they just keep dying.. - Tue Nov  3 07:01:07 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Nina. - Tue Nov  3 07:01:07 2015
<br><br><font color=teal>*Nina(Ninasky115) says: What. - Tue Nov  3 07:01:07 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Mind if I come with you? - Tue Nov  3 07:01:07 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Come with me for what. - Tue Nov  3 07:01:58 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: . .  - Tue Nov  3 07:01:58 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Or that can be ignored, I suppose. - Tue Nov  3 07:01:58 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: You said you were off to find someone. - Tue Nov  3 07:01:58 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Are serious? - Tue Nov  3 07:36:57 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: What happened now? - Tue Nov  3 07:38:40 2015
<br><br><font color=yellow>*De la Cruze, Violet(Jarrodhun20) cut it in half like a boss* - Tue Nov  3 07:40:22 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: What are you doing?! - Tue Nov  3 07:43:47 2015
<br><br><font color=yellow>*De la Cruze, Violet(Jarrodhun20) Would walk back to the seen, tears in her eyes. He was already upset losing the 4th leader in her lifespan. She was not in the mood to fight, is she wanted to fight she would probuly kill everyone she didnt care about... She would see what ever was in front of her and say in sorrow "What the hell is happening now? Havent we suffered enough.... I cant take it any longer!" She said with starting to come out her voice rather than sorrow* - Tue Nov  3 08:39:15 2015
<br><br><font color=yellow>*De la Cruze, Violet(Jarrodhun20) Stands there... in the mist od her anger as her village gets rampaged on and destroyed countless times. "This has happened so many times...  this is the life of Kirigakure?" she says gripping her blades... "I need a leader like Hassan a role model that can show me how to lead and be strong... This village... with its hopes and dreams that always gets trampled on... The village that I love.  This village who continues to struggle... Is it dying is it being reborn? Who knows... All I know is that im tired of waiting... I will stay in this village untill it turns into sand in the ground." she said with resolve to never leave the village again. 

She had no reason to leave... she had to find a way to repay the village for all that it has done for her* - Tue Nov  3 08:57:10 2015
<br><br><font color=yellow>*De la Cruze, Violet(Jarrodhun20) would be embraced by her and hold her tight... "Its nobodies fault... but I will not let this get me down... I will reqify this action and stand firm... I wont give up on this village... Even if i have run this damn place myself..." she would place her hand on Nina's hair. "I no its not your fault." she said as Nina ran away... "Please stay with me... dont run... I need you Nina... you and Lera." she yelled. She had no idea if her words would reach her but she did know Nina didnt have a attachment to Kiriagakure like Violet did and she didnt want to make her stay.

She looked at Marco... "Your right and I plan to help this place rise from the ashes like the era of Noriko Hogo... I will make this place great... even if I have to become a Gezo Field Commander like Lord Hassan" she said with dreams* - Tue Nov  3 09:07:24 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: ... I guess I have alot of work to do...  - Tue Nov  3 09:33:52 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: This village is not going to fix itsself - Tue Nov  3 09:33:52 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Tell me. Who do you see as becoming the next leader? - Tue Nov  3 09:35:34 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says:  It would probuly be Me or Elon... noone else is really fit for it - Tue Nov  3 09:45:48 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: I honestly have no idea... - Tue Nov  3 09:45:48 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Then who you prefer? - Tue Nov  3 09:46:40 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: We have been here the longest.... Oh! And Lera too - Tue Nov  3 09:46:40 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Ah. Just curious of preference is all. - Tue Nov  3 09:49:13 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: I personally think Lera should get it becasue of her high powered ninjutsu... but that could also be said for me and my high powered Taijutsu - Tue Nov  3 09:49:13 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Leadership isn't solely based on power. - Tue Nov  3 09:51:47 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Pick whomever -- or endorse rather. . . Who you think would do the best to nurture Kirigakure. - Tue Nov  3 09:51:47 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Yea I know but you cant lead without it - Tue Nov  3 09:51:47 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: I personally would pick myself just becasue I love this village and want to see it back to its formor glory - Tue Nov  3 09:53:29 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: I see. . I see. In anycase, I assume you'd want to get to work. As a note, I still offer my services as a blacksmith -- although money is tight right now, in terms of resources. - Tue Nov  3 09:55:12 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: I completely understand, we have had a huge loss and some of our shinobi have little to no money...  and Hassan will come eventually to offer another deal to bankrupt us - Tue Nov  3 09:58:36 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Then simply don't accept? - Tue Nov  3 09:59:28 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: I wish it was that simple... - Tue Nov  3 10:00:19 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: And why isn't it? - Tue Nov  3 10:01:10 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: I really want to know whats best for kiri right now - Tue Nov  3 10:02:01 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Im going back to the village square - Tue Nov  3 10:09:42 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: I suppose I'll join you. Not anything to be had here. - Tue Nov  3 10:13:07 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: This place has gone to shit... and I will deal with it tomorrow...  I dont have any power but I will try my best to personally lead this village until my Love wakes up - Tue Nov  3 10:13:58 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: And what will he do to solve the issues? - Tue Nov  3 10:19:05 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: She... might take the mantle of Mizukage... she is strong enough to enter the Gezo exams - Tue Nov  3 10:20:48 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: .... - Tue Nov  3 10:27:37 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Did I walk into something I wasn't supposed to hear. - Tue Nov  3 10:27:37 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: No - Tue Nov  3 10:28:28 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Okay...because that just sounded really onimous there... 'This has gone to shit'... 'Deal with it tomorrow' Just wanted to be sure. - Tue Nov  3 10:30:11 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: .. - Tue Nov  3 10:31:53 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Ah. And who is she? - Tue Nov  3 10:32:44 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Her lover? - Tue Nov  3 10:36:09 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Yes, - Tue Nov  3 10:37:00 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: As in name. - Tue Nov  3 10:37:00 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Lera. - Tue Nov  3 10:37:00 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Ah. Then her, yes. I've heard of her. - Tue Nov  3 10:38:43 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Good for you. - Tue Nov  3 10:43:50 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: You're aware of the village's turmoil, yes? - Tue Nov  3 10:45:32 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Oh man... I mean... which turmoil... the one where my village was blown up in front of my eyes... or the one where one of the few people I found compitent in this village died along with a bunch of our newly recruited forces? - Tue Nov  3 10:46:24 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: I'll take that as a yes. - Tue Nov  3 10:52:22 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Theres a high chance you're right. - Tue Nov  3 10:54:04 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Well then. Are you too in support of 'Lera's capabilities? - Tue Nov  3 10:54:56 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Are they deciding Lera should be Mizukage? - Tue Nov  3 10:56:38 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Not really. - Tue Nov  3 11:07:44 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: I'm just gauging your opinion. - Tue Nov  3 11:07:44 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: You want me to be honest? - Tue Nov  3 11:09:26 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Yes. - Tue Nov  3 11:14:33 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Nobody is fit for that suicidal job, and anyone who takes it has no common sense. - Tue Nov  3 11:16:16 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Reasonable claim. - Tue Nov  3 11:41:00 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Yeah...its just a claim. - Tue Nov  3 11:46:08 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Then what would you suggest be done? Kirigakure abandoned? - Tue Nov  3 12:24:32 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Its what I did. - Tue Nov  3 12:25:23 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: A pity. . It would be a lost of culture. - Tue Nov  3 12:28:48 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: ... - Tue Nov  3 12:46:43 2015
<br><br><font color=teal>*Lera(Bailey42) says: ... - Tue Nov  3 13:52:25 2015
<br><br><font color=teal>*Lera(Bailey42) says: What...the heck happened... - Tue Nov  3 13:52:25 2015
<br><br><font color=teal>*Lera(Bailey42) says: I go away for just a little while...and all hell breaks loose. - Tue Nov  3 13:54:08 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Thats what I said... - Tue Nov  3 13:54:08 2015
<br><br><font color=teal>*Lera(Bailey42) says: ....Kirie better not have been inside when whatever happened happened.... - Tue Nov  3 13:54:59 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: .... - Tue Nov  3 13:55:50 2015
<br><br><font color=teal>*Lera(Bailey42) thinks: I am NOT ready to be Mizukage yet... - Tue Nov  3 13:57:32 2015
<br><br><font color=teal>*Lera(Bailey42) thinks: Screw that... - Tue Nov  3 13:57:32 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: If we don't find her in the scraps, and she doesn't show up soon. Then, there no reason to assume shes still alive. - Tue Nov  3 13:58:24 2015
<br><br><font color=teal>*Lera(Bailey42) says: ..... - Tue Nov  3 13:58:24 2015
<br><br><font color=teal>*Lera(Bailey42) thinks: I need to retrieve the blades then... - Tue Nov  3 13:59:15 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: I wanted to say I'm happy you're back lera... and thank god how you saved me... but then this shit happens. - Tue Nov  3 14:00:06 2015
<br><br><font color=teal>*Lera(Bailey42) says: Saved you? - Tue Nov  3 14:00:06 2015
<br><br><font color=teal>*Lera(Bailey42) says: When did I save you? - Tue Nov  3 14:00:06 2015
<br><br><font color=teal>*Lera(Bailey42) says: ... - Tue Nov  3 14:01:48 2015
<br><br><font color=teal>*Lera(Bailey42) says: I think I do. - Tue Nov  3 14:01:48 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: No...no you don't. - Tue Nov  3 14:01:48 2015
<br><br><font color=teal>*Lera(Bailey42) says: I really do. - Tue Nov  3 14:01:48 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Anyways... Lera, if you decide to leave the village again. I have one request... take Violet with you. - Tue Nov  3 14:04:22 2015
<br><br><font color=teal>*Lera(Bailey42) says: If I leave then I will - Tue Nov  3 14:04:22 2015
<br><br><font color=teal>*Lera(Bailey42) says: I won't leave her behind... - Tue Nov  3 14:04:22 2015
<br><br><font color=teal>*Lera(Bailey42) says: Sadly...I intended to take over for Kirie when she eventually stepped down...I wasn't expecting this.. - Tue Nov  3 14:05:13 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: You're actually going to take that suicidal seat. - Tue Nov  3 14:05:13 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) thinks: God shes not ready for this... and thank god shes not going to leave Violet. - Tue Nov  3 14:05:13 2015
<br><br><font color=teal>*Lera(Bailey42) says: I don't know - Tue Nov  3 14:06:04 2015
<br><br><font color=teal>*Lera(Bailey42) says: I'm not ready, not even in the slightest. - Tue Nov  3 14:06:04 2015
<br><br><font color=teal>*Lera(Bailey42) says: *sigh* - Tue Nov  3 14:06:04 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: You aren't. - Tue Nov  3 14:06:56 2015
<br><br><font color=teal>*Lera(Bailey42) says: Hah...thanks for the vote in confidence. - Tue Nov  3 14:07:47 2015
<br><br><font color=teal>*Lera(Bailey42) says: Perhaps...Kirigakure would be better off if we moved the villagers..for the time being. - Tue Nov  3 14:07:47 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: You welcome, I always be here to give the truth. - Tue Nov  3 14:07:47 2015
<br><br><font color=teal>*Lera(Bailey42) says: Sad to say, we don't have the forces to protect it. - Tue Nov  3 14:07:47 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Well, I mean... to be fair. I don't think theres much you can do to protect from a giant snake. - Tue Nov  3 14:10:20 2015
<br><br><font color=teal>*Lera(Bailey42) says: ... - Tue Nov  3 14:15:28 2015
<br><br><font color=teal>*Lera(Bailey42) says: A giant snake huh... - Tue Nov  3 14:15:28 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: I wondered how the other villages will take it. When they here that Kirigakure got messed up again.  - Tue Nov  3 14:17:10 2015
<br><br><font color=teal>*Lera(Bailey42) says: Most likely...they won't do much... - Tue Nov  3 14:17:10 2015
<br><br><font color=teal>*Lera(Bailey42) says: I may go see my father, see what help he can offer...but he has his hands full with Sunagakure. - Tue Nov  3 14:18:01 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Wait... your father is in Sunagakure? - Tue Nov  3 14:18:52 2015
<br><br><font color=teal>*Lera(Bailey42) says: My father is the kazekage. - Tue Nov  3 14:20:35 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: ... - Tue Nov  3 14:24:00 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Well, that was a shocker. - Tue Nov  3 14:24:00 2015
<br><br><font color=teal>*Lera(Bailey42) says: You didn't know that? - Tue Nov  3 14:24:51 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: First no... and two what does your father look like? - Tue Nov  3 14:25:42 2015
<br><br><font color=teal>*Lera(Bailey42) says: Muhammed, Hassan - Tue Nov  3 14:25:42 2015
<br><br><font color=teal>*Lera(Bailey42) says: You don't know him? - Tue Nov  3 14:25:42 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Oh I know him... He was the guy that kicked me out of the village.... also, hes ancient. When did he have you? - Tue Nov  3 14:26:33 2015
<br><br><font color=teal>*Lera(Bailey42) says: He's not my biological father. Adoptive - Tue Nov  3 14:26:33 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Oh... oh okay that makes a lot more sense now. - Tue Nov  3 14:28:16 2015
<br><br><font color=teal>*Lera(Bailey42) says: Mhm... - Tue Nov  3 14:29:07 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Hmm... well I know and was taught a little by the adoptive daughter of the Kazekage... and I was also kicked out by the Kazekage. Meh, my life feels a bit more notable now. - Tue Nov  3 14:29:58 2015
<br><br><font color=teal>*Lera(Bailey42) says: ...I taught you? I don't remembe. - Tue Nov  3 14:29:58 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Yeah, you taught me some jutsus when we first met. - Tue Nov  3 14:33:23 2015
<br><br><font color=teal>*Lera(Bailey42) says: I see... - Tue Nov  3 14:34:14 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: It was while you were dating... Oh.. forgot don't mention him. - Tue Nov  3 14:34:14 2015
<br><br><font color=teal>*Lera(Bailey42) says: *sigh* I'm not that sensitive. - Tue Nov  3 14:35:05 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Well, anyways.... yeah. Well, I mean do you really want to stay in Kirigakure when you could be with Hassan. - Tue Nov  3 14:37:39 2015
<br><br><font color=teal>*Lera(Bailey42) says: Kirigakure is my home - Tue Nov  3 14:38:30 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: ...Well its your choice.  - Tue Nov  3 14:53:00 2015
<br><br><font color=teal>*Lera(Bailey42) says: Yeah - Tue Nov  3 14:54:43 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: Well doesn't this place seem utterly destroyed. - Tue Nov  3 15:39:56 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Yep... its not utterly destroyed - Tue Nov  3 15:43:21 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: What happened? - Tue Nov  3 15:44:12 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: ...? - Tue Nov  3 15:48:28 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Giant snake came through... mizukage mansion blew u. - Tue Nov  3 15:50:11 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: Stress. - Tue Nov  3 15:50:11 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: Where's Kirie? - Tue Nov  3 15:51:02 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Dead apparently... - Tue Nov  3 15:51:02 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: She died? - Tue Nov  3 15:52:44 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: That's an impact on Kirigakure. - Tue Nov  3 15:52:44 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: I know... - Tue Nov  3 15:53:36 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Who's gonna take over for her? - Tue Nov  3 15:58:43 2015
