<br><font color=teal>*Trent(Fang7777) says: Hi. - Fri Nov  6 17:38:08 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: It's a bit weird. - Sat Nov  7 09:05:42 2015
<br><br><font color=teal>*Mei(Fang7777) says: . . . - Sat Nov  7 09:05:42 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: . . .And trust me, I'm not a role model. - Sat Nov  7 09:05:42 2015
<br><br><font color=teal>*Mei(Fang7777) says: Wasn't weird untill you said something. - Sat Nov  7 09:06:33 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: I as a person am pretty shity. - Sat Nov  7 09:06:33 2015
<br><br><font color=teal>*Mei(Fang7777) says: Now just awkward... - Sat Nov  7 09:06:33 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: I just want to make the village better, and stronger. - Sat Nov  7 09:06:33 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: How is it awkward? - Sat Nov  7 09:06:33 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: Are you uncomfortable now? - Sat Nov  7 09:07:24 2015
<br><br><font color=teal>*Mei(Fang7777) says: Maybe I little. - Sat Nov  7 09:09:07 2015
<br><br><font color=teal>*Mei(Fang7777) says: a - Sat Nov  7 09:09:07 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: Oh? I'm sorry, I thought you were mature enough for bedroom humor. - Sat Nov  7 09:09:07 2015
<br><br><font color=teal>*Mei(Fang7777) says: Humor right. - Sat Nov  7 09:09:58 2015
<br><br><font color=yellow>*Mei(Fang7777) contenues to paint her toe nails.* - Sat Nov  7 09:09:58 2015
<br><br><font color=teal>*Mei(Fang7777) thinks: jack ass - Sat Nov  7 09:09:58 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) thinks: She is quite cute. . .I wonder what she looks like without clothes. - Sat Nov  7 09:12:32 2015
<br><br><font color=teal>*Mei(Fang7777) says: Right. - Sat Nov  7 09:15:56 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: But I assume, now I'm simply a creep I assume? - Sat Nov  7 09:15:56 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: Mei. - Sat Nov  7 09:18:30 2015
<br><br><font color=teal>*Mei(Fang7777) says: Sorry I spaced out. - Sat Nov  7 09:18:30 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: Being that I'm already bordering on creep anyway. - Sat Nov  7 09:18:30 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: Have you, ya know? - Sat Nov  7 09:19:21 2015
<br><br><font color=teal>*Mei(Fang7777) says: Have I? - Sat Nov  7 09:19:21 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: Had sex yet. - Sat Nov  7 09:19:21 2015
<br><br><font color=teal>*Mei(Fang7777) thinks: ..................................................................... - Sat Nov  7 09:19:21 2015
<br><br><font color=yellow>*Mei(Fang7777) face gets red* - Sat Nov  7 09:19:21 2015
<br><br><font color=teal>*Mei(Fang7777) says: No. - Sat Nov  7 09:20:12 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: I assume. . . - Sat Nov  7 09:20:12 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: That's a no. - Sat Nov  7 09:20:12 2015
<br><br><font color=teal>*Mei(Fang7777) says: I just..No. - Sat Nov  7 09:20:12 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: And why not? - Sat Nov  7 09:20:12 2015
<br><br><font color=teal>*Mei(Fang7777) says: I never wanted to? - Sat Nov  7 09:20:12 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: How do you know if you haven't tried? - Sat Nov  7 09:21:04 2015
<br><br><font color=teal>*Mei(Fang7777) says: I don't know just..No - Sat Nov  7 09:21:04 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: . . . - Sat Nov  7 09:21:04 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: Well the issue is. - Sat Nov  7 09:21:04 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: I find you quite attractive. - Sat Nov  7 09:21:04 2015
<br><br><font color=teal>*Mei(Fang7777) says: awkward and creepy.. - Sat Nov  7 09:21:04 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: So. I- - Sat Nov  7 09:21:04 2015
<br><br><font color=teal>*Mei(Fang7777) says: Well.. - Sat Nov  7 09:21:04 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: . . . - Sat Nov  7 09:21:04 2015
<br><br><font color=teal>*Mei(Fang7777) says: Look at the time. - Sat Nov  7 09:21:55 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: That was rude. - Sat Nov  7 09:21:55 2015
<br><br><font color=yellow>*Mei(Fang7777) moves to put her toe nail paint away and just kind of looks to her bed.

"Well you kind of came on a little strong...I would like hmm go bed in piece..So if you could exit the room.."She said.* - Sat Nov  7 09:23:37 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: But the pain x.x0 - Sat Nov  7 09:25:20 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: -omit- - Sat Nov  7 09:25:20 2015
<br><br><font color=yellow>*Mei(Fang7777) Eyes widen up as she was caught off guard. Her wrsits and feet are now binded by threads and she is struggling to get her self free...

"W-what are you doing...Stop it.."she said* - Sat Nov  7 09:29:36 2015
<br><br><font color=yellow>*Mei(Fang7777) struggles to move her arms andf eet around trying so hard to get free. 

"please stop this.."She said..

She wears red bra and red panties with little black hearts on them.

"Jehan, stop this please... Don't do this."she said.* - Sat Nov  7 09:35:34 2015
<br><br><font color=yellow>*Mei(Fang7777) Would cring a little as she felt him touch her skin. she looks at him and kind of glares. "Stop it now please...Just stop it now and I'll forget it eve rhappned please.."She said, begging for him to stop. But e kept going. Her breast being exposed made her panic a little. She trys tos truggle to free her self but nothing her will to fight slowly being drained..

"Please, stop touching me... Just let me go, I wont say a word to any one.."She said looking at him tears in her eyes a little bit. She then closes her eyes and just shivers as he plays withher breast..

* - Sat Nov  7 09:53:29 2015
<br><br><font color=yellow>*Mei(Fang7777) pproaches the mizukage.* - Sat Nov  7 21:00:48 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Hm? - Sat Nov  7 21:01:39 2015
<br><br><font color=teal>*Mei(Fang7777) says: Hello Lord Jehan. - Sat Nov  7 21:03:21 2015
<br><br><font color=yellow>*Mei(Fang7777) tilts her head down a little staring at the ground. Her long hair drapes over her face a little hiding her face. * - Sat Nov  7 21:04:12 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) thinks: Hm, I wonder if she hates me now. - Sat Nov  7 21:07:37 2015
<br><br><font color=teal>*Mei(Fang7777) says: Is there any thing you need me to do? - Sat Nov  7 21:08:28 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) thinks: I can't let her go off talking about it. . . - Sat Nov  7 21:08:28 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Stay here, be my assistant. - Sat Nov  7 21:08:28 2015
<br><br><font color=teal>*Mei(Fang7777) says: Yes my Lord. - Sat Nov  7 21:08:28 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: . . . - Sat Nov  7 21:09:20 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Tell me Mei. - Sat Nov  7 21:09:20 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Are you mad with me - Sat Nov  7 21:09:20 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: ? - Sat Nov  7 21:09:20 2015
<br><br><font color=teal>*Mei(Fang7777) says: No my Lord. - Sat Nov  7 21:11:53 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Don't lie. - Sat Nov  7 21:11:53 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Then, what do you think of me then? - Sat Nov  7 21:11:53 2015
<br><br><font color=teal>*Mei(Fang7777) says: I think you are. A smart, and powerful lord...That I serve. - Sat Nov  7 21:13:36 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: I see. - Sat Nov  7 21:13:36 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: And in private? - Sat Nov  7 21:13:36 2015
<br><br><font color=teal>*Mei(Fang7777) says: A smart and powerful man I serve. - Sat Nov  7 21:14:27 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Hm. . . - Sat Nov  7 21:14:27 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) thinks: Perhaps I had too much fun with her. - Sat Nov  7 21:14:27 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Well then. If I said from now on you're my pet? - Sat Nov  7 21:15:18 2015
<br><br><font color=teal>*Mei(Fang7777) says: Then I would  except that and behave as such. - Sat Nov  7 21:18:43 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Then so be it. - Sat Nov  7 21:18:43 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: That's what you are. - Sat Nov  7 21:18:43 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Though, around others, you're my assistant. - Sat Nov  7 21:18:43 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: I assume you're fine with that?~ - Sat Nov  7 21:19:34 2015
<br><br><font color=teal>*Mei(Fang7777) says: Yes. - Sat Nov  7 21:20:25 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Then show me that you are. - Sat Nov  7 21:20:25 2015
<br><br><font color=yellow>*Mei(Fang7777) would tilt her head back up lifting her right hand up moving her hair behind her ears then would smile.
* - Sat Nov  7 21:21:16 2015
<br><br><font color=teal>*Mei(Fang7777) says: Is there any paper work you need completed Lord, Jehan? - Sat Nov  7 21:38:20 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: No. . .just keep me company. . - Sat Nov  7 21:40:03 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: And. . .I do want you as my pet. But I do feel back for what I did. - Sat Nov  7 21:40:03 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Thus, I'll do anything in my power to help you advance in medical training. - Sat Nov  7 21:40:03 2015
<br><br><font color=teal>*Mei(Fang7777) says: Okay. - Sat Nov  7 21:40:54 2015
<br><br><font color=teal>*Mei(Fang7777) says: Can I go grab something? - Sat Nov  7 21:40:54 2015
<br><br><font color=teal>*Mei(Fang7777) says: It's just up the steps. - Sat Nov  7 21:40:54 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Eh? What would that be? - Sat Nov  7 21:40:54 2015
<br><br><font color=teal>*Mei(Fang7777) says: My bag. - Sat Nov  7 21:40:54 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: . . .And you need it why? - Sat Nov  7 21:41:45 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) thinks: Maybe she isn't as broken as I thought? - Sat Nov  7 21:41:45 2015
<br><br><font color=teal>*Mei(Fang7777) says: I use the item in it to train. - Sat Nov  7 21:41:45 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Sure, I guess. - Sat Nov  7 21:41:45 2015
<br><br><font color=yellow>*Mei(Fang7777) turns on her heals and walks off to the steps. She quickly walks them and move around grabing her bag then comes back down. She sits down on her knees near the kages desk opening her bag. She eaches in and removes a fish, and sets it down on the floor.* - Sat Nov  7 21:43:28 2015
<br><br><font color=yellow>*Mei(Fang7777) Extends her right hand placing it into the bag letting it shuffle around a little. She then pulls it out holding a scaple in her hand. She looks down at the fish on the floor and moves her hand dow torward it. She places the scaple onto the fishes scaley skin and then makes  vertical cut on it. She then sets the scaple down on floor and extends her hands out placing them just over the wound on the fesh. Closing her eyes she began to focus on her chakra carefully kneding it up in her hands. Soon after a faint green arua of chakra surrounds her hands. The wound on the fish slowly began to heal up, sealing shut ever so carefuly.

Once it was done being healed she stops her flow of chakra and moves her right back over to grab the scaple. Again she brings it to the fishes scaley flesh and makes a vertical cut a little deeper then the first in it. She sets the scaple down and extends her hands out over the wound. Closing her eyes as she focuses on kneading her chakra ot her hands slowly but carefuly. Soon her hands would be surrounded in a light green arua of chakra. er chakra is then poured nito the wound on the fish slowly healing it back up. 

Opening her eyes and stopping her flow of chakra. She titls her head down a little letting her mouth open up a tad. She huffs quietly to her self before moving her right hand back over to the scaple. Using the sharp blade she cuts another vertical line in the fish but makes it a bit deeper then the first and second time. Se sets the blade to her side and extends her hands over the wound and closes her eyes. Chakra from her inner core began to spiral out into her body. s her body was being filled with her chakra she focuses on kneading some of that chakra to her hands. A green aura of chakra would surround her hands. With hat being done she carefuly pours her chakra into the wond allowing for it slowly seal back up as she heals it for the thrid time. 

Once done she sets her hands in her lap. Her crimson colored eyes stare down at the fis threw the many strands of hair over her face. <One more time.> She thought moving to grab teh scaple using it to cut another deeper vertical slash into fishes flesh. Not only is it deeper but she makes it longer as well. She then sets the scaple down next to her and extends her hands out. Letting them rest still just over the wound a tad s she focuses on kneading her chakra. Hands are surrounded by a green aura of chakra that is carefully poured nto the wound. This one taking longer and more focus for her to heal. She focus on controling her chakr aas well trying to knead more chakra so she keep jutsu going. Once the wound was completely sealed she would stop placing her hands in her lap. She lets out a quiet huff to her self feeling a bit drained.* - Sat Nov  7 21:59:40 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: . . .Impressive. - Sat Nov  7 22:00:32 2015
<br><br><font color=teal>*Mei(Fang7777) says: Not really. - Sat Nov  7 22:02:14 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: I can't do it. - Sat Nov  7 22:02:14 2015
<br><br><font color=teal>*Mei(Fang7777) says: Doesn't mean it's impressive. - Sat Nov  7 22:02:14 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: It is to me. - Sat Nov  7 22:03:05 2015
<br><br><font color=teal>*Mei(Fang7777) says: Right. - Sat Nov  7 22:05:39 2015
<br><br><font color=teal>*Mei(Fang7777) says: It's pieceful. - Sat Nov  7 22:15:53 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: True. . . - Sat Nov  7 22:15:53 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Hungry. . . - Sat Nov  7 22:16:44 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Want a piece? - Sat Nov  7 22:17:36 2015
<br><br><font color=teal>*Mei(Fang7777) says: No thank you. - Sat Nov  7 22:17:36 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Oh. . .right. - Sat Nov  7 22:18:27 2015
<br><br><font color=teal>*Mei(Fang7777) says: I don't really like to partake in eating poison. - Sat Nov  7 22:18:27 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Bad for me eh? - Sat Nov  7 22:18:27 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Well. . .as you saw. - Sat Nov  7 22:18:27 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: I'm not exactly human. - Sat Nov  7 22:18:27 2015
<br><br><font color=teal>*Mei(Fang7777) says: But I am. - Sat Nov  7 22:18:27 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: I know. - Sat Nov  7 22:19:18 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: But you made the point that I shouldn't eat it. - Sat Nov  7 22:19:18 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: I'm curious. - Sat Nov  7 22:20:09 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: As a medic, you don't wonder what I am? - Sat Nov  7 22:20:09 2015
<br><br><font color=teal>*Mei(Fang7777) says: I do. - Sat Nov  7 22:21:52 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Would you like to truely see? - Sat Nov  7 22:22:43 2015
<br><br><font color=teal>*Mei(Fang7777) says: I would. - Sat Nov  7 22:22:43 2015
<br><br><font color=yellow>*Mei(Fang7777) stands up and follows behind.* - Sat Nov  7 22:28:41 2015
<br><br><font color=yellow>*Mei(Fang7777) stare at Jehan as he shows off his true self to her. She is lsot for words at the sight before her...

"..."* - Sat Nov  7 22:33:48 2015
<br><br><font color=teal>*Index(Jjking217) says: Not important. - Sat Nov  7 22:35:31 2015
<br><br><font color=yellow>*Mei(Fang7777) Side steps and turns.* - Sat Nov  7 22:36:22 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: . . . - Sat Nov  7 22:36:22 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: Well regardless. - Sat Nov  7 22:37:13 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: How may I help you? - Sat Nov  7 22:37:13 2015
<br><br><font color=teal>*Index(Jjking217) says: I'm bored. - Sat Nov  7 22:38:04 2015
<br><br><font color=teal>*Index(Jjking217) says: Looking for entertainment. - Sat Nov  7 22:38:04 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: . . .And you want me why? - Sat Nov  7 22:38:04 2015
<br><br><font color=teal>*Index(Jjking217) says: I've come for your head. - Sat Nov  7 22:38:04 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: I see. . . - Sat Nov  7 22:38:04 2015
<br><br><font color=teal>*Index(Jjking217) says: ---Twas a joke, don't get your panties in a bunch. - Sat Nov  7 22:38:04 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: Mhm. - Sat Nov  7 22:38:56 2015
<br><br><font color=teal>*Index(Jjking217) says: Aren't you going to introduce me to your lady friend? - Sat Nov  7 22:39:47 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: This is my new assistant. Mei. - Sat Nov  7 22:39:47 2015
<br><br><font color=teal>*Mei(Fang7777) says: Hi. - Sat Nov  7 22:39:47 2015
<br><br><font color=teal>*Index(Jjking217) says: She's beautiful, It's a pleasure Mei-san. - Sat Nov  7 22:39:47 2015
<br><br><font color=teal>*Index(Jjking217) says: How would you like to go for a Drink? - Sat Nov  7 22:40:38 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: . . . - Sat Nov  7 22:40:38 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: I'd prefer you didn't hit on my help. - Sat Nov  7 22:40:38 2015
<br><br><font color=teal>*Mei(Fang7777) says: Like wise. No I'm fine. - Sat Nov  7 22:40:38 2015
<br><br><font color=teal>*Index(Jjking217) says: Hm.. - Sat Nov  7 22:40:38 2015
<br><br><font color=teal>*Index(Jjking217) says: I'll donate a Million to the Village if you do. - Sat Nov  7 22:40:38 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: We are fine on money. - Sat Nov  7 22:40:38 2015
<br><br><font color=teal>*Index(Jjking217) says: Man, you guys are absolutely no fun. - Sat Nov  7 22:40:38 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: I ran out of fun after your display the other day. - Sat Nov  7 22:41:29 2015
<br><br><font color=teal>*Index(Jjking217) says: I doubt there was much there to begin with anyway. - Sat Nov  7 22:41:29 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: At one point, there might have been. - Sat Nov  7 22:42:20 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: Not much anymore. - Sat Nov  7 22:42:20 2015
<br><br><font color=teal>*Index(Jjking217) says: I'll leave you two then. - Sat Nov  7 22:43:12 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: Anyway, as I was saying before. - Sat Nov  7 22:44:54 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: I'm simply threads, skin, and heart. - Sat Nov  7 22:44:54 2015
<br><br><font color=teal>*Mei(Fang7777) says: Oh my. - Sat Nov  7 22:45:45 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: I lack most everything else. - Sat Nov  7 22:46:36 2015
<br><br><font color=teal>*Mei(Fang7777) says: I don't know what to say. - Sat Nov  7 22:48:19 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: Well, now you know. - Sat Nov  7 22:49:10 2015
<br><br><font color=yellow>*Mei(Fang7777) has no real reaction to kiss other then a nod and a little smile. She follows behind Jehan.* - Sat Nov  7 22:52:35 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Well Mei. - Sat Nov  7 23:00:16 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: What would you like to do now? - Sat Nov  7 23:00:16 2015
<br><br><font color=teal>*Mei(Fang7777) says: Hm? Just training is all I'm doing. - Sat Nov  7 23:01:07 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: That's not any fun. - Sat Nov  7 23:01:07 2015
<br><br><font color=teal>*Mei(Fang7777) says: I know but It has to be done. - Sat Nov  7 23:01:07 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) thinks: I wouldn't mind playing with her now. . . - Sat Nov  7 23:01:07 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) thinks: . . .Sometimes being the Kage is a hassle. . . - Sat Nov  7 23:01:58 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Ture. - Sat Nov  7 23:03:40 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: *true - Sat Nov  7 23:03:40 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: But, Pet's usually need to be played with and spoiled. - Sat Nov  7 23:03:40 2015
<br><br><font color=yellow>*Mei(Fang7777) Looks away from Jehan string down at the fish that lays there on the ground. Her right moves over grabbing her scaple that rested near her right knee. She uses that scaple to cut three vertical cuts into the fish flesh. She then sets her scaple to her side again and extends her hands over the wounds. She closes her eyes and focused on kneading her chakra to her hands. A green colored aura of the chakra energy surrounds her hands. Her chakra being poured into the wounds, now sinc it was three cuts she was healing it would take longer then healing one. Slowly but carefully each wound starts to seal up but it was moving slowly. Her focus was really on her chakra and healing the wounds but it was just to much for her rookie level. So she stops the flow of chakra and inhales through her nose then exhales from her mouth taking a breather.

After she had gathered some much needed rest from her little break she extend her hands back down over fishes wounds. She closes her eyes and began to knead chakra into her hands pouring her chakra into one of the wounds. This surely would be faster then having to heal all trhee at the same time it took less chakra and less focus. She would then move to heal the next wound once other was done then next wound. Once all three wounds were healed she would place her hands in her lap and huff quietly to her self. <Trying to heal more then one wound at teh same time was to hard.> She thought.

Her right hand again grabs teh scaple using it ot cut deep and long vertical cut into the fish again. She sets the scaple to her side and extends her hands over the wound. Closing her eyes and breathing calmly she began to knead chakra to herhands. Letting the chakra surround her hands and then carefully pouring it into the wound trying to keep cnotrol on her chakra. Slowly the wound began to seal shut and once it was healed she sets her hands in her lap and huffs. <It gets harder when you have low chakra.>she thought.

Uses her left hand to move the strands of her hair infront of her fac eback behind her ear. She thengr abs her scaple with her left hand and moves to make a cut into the fish starting from its head and going all the way down to its tail. She sets her scaple down to her side and then extends her hands out over the fish. Her chakra being slowly kneaded into her hands. Letting her hands being covered in a gree aura of chakra that is carefuly used to pour medical charka intofishes wounds. Slowly but carefuly the wound starts to heal, she starts at the tail and moves along with  the wound to heal the up. IT take some time and chakra but once done she again puts her hand sin her lap and pants softly.* - Sat Nov  7 23:04:32 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Well? - Sat Nov  7 23:07:05 2015
<br><br><font color=teal>*Mei(Fang7777) says: If it's what you desire. - Sat Nov  7 23:07:05 2015
<br><br><font color=yellow>*Mei(Fang7777) would scoot a little closer to Jehan. * - Sat Nov  7 23:07:56 2015
<br><br><font color=teal>*Mei(Fang7777) says: Don't most people rub on there pets? - Sat Nov  7 23:09:39 2015
<br><br><font color=teal>*Mei(Fang7777) says: Where ever you desire. - Sat Nov  7 23:12:12 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: That's not what I asked~ - Sat Nov  7 23:12:12 2015
<br><br><font color=teal>*Mei(Fang7777) says: My head is fine I suppose. - Sat Nov  7 23:12:12 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Oh? That's it? No fun~ - Sat Nov  7 23:13:04 2015
<br><br><font color=teal>*Mei(Fang7777) says: her hands in her lap - Sat Nov  7 23:13:04 2015
<br><br><font color=teal>*Mei(Fang7777) says: It feels relaxing to me. - Sat Nov  7 23:13:55 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) thinks: I wasn't exactly going for relaxing. - Sat Nov  7 23:13:55 2015
<br><br><font color=teal>*Mei(Fang7777) says: Just the same as you ptting my head. - Sat Nov  7 23:18:11 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: It doesn't feel good? - Sat Nov  7 23:19:53 2015
<br><br><font color=teal>*Mei(Fang7777) says: Is it post to? - Sat Nov  7 23:19:53 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: I asked if it did. - Sat Nov  7 23:19:53 2015
<br><br><font color=teal>*Mei(Fang7777) says: No. - Sat Nov  7 23:19:53 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Hmph. - Sat Nov  7 23:20:44 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: I see. - Sat Nov  7 23:20:44 2015
<br><br><font color=teal>*Mei(Fang7777) says: Can I go outside? - Sat Nov  7 23:21:36 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: What for? - Sat Nov  7 23:21:36 2015
<br><br><font color=teal>*Mei(Fang7777) says: I need a fish. - Sat Nov  7 23:21:36 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Be quick about it. Don't talk to anyone. - Sat Nov  7 23:22:27 2015
<br><br><font color=teal>*Mei(Fang7777) says: Okay. - Sat Nov  7 23:22:27 2015
<br><br><font color=teal>*Mei(Fang7777) says: Awkward. - Sat Nov  7 23:25:52 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Good awkward, or bad akward? - Sat Nov  7 23:26:43 2015
<br><br><font color=teal>*Mei(Fang7777) says: Just awkward. - Sat Nov  7 23:26:43 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: . . . - Sat Nov  7 23:27:34 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: So you don't like the way it feels then. . . - Sat Nov  7 23:27:34 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: . . . - Sat Nov  7 23:29:16 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: I'm going to have to play with you some later. - Sat Nov  7 23:29:16 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Be ready~ - Sat Nov  7 23:29:16 2015
<br><br><font color=teal>*Mei(Fang7777) says: Okay. - Sat Nov  7 23:29:16 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Hmph. . . - Sat Nov  7 23:30:08 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: It's no fun if you're apathetic about it. - Sat Nov  7 23:30:08 2015
<br><br><font color=teal>*Mei(Fang7777) says: Should I prep? - Sat Nov  7 23:30:08 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Hm. . .Prep? - Sat Nov  7 23:30:08 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: And what do you have in mind for prep? - Sat Nov  7 23:30:59 2015
