<br><font color=teal>*Hassan, Trilliam(ZaVante) says: We dont eat rice. - Sun Dec  6 08:41:23 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Trill, when are we going on that mission again? - Mon Dec  7 02:52:48 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: It is a mission right? - Mon Dec  7 02:52:48 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: . . .  - Mon Dec  7 02:53:39 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Koji. . These guys are dazing out a bit too much for me. - Mon Dec  7 02:53:39 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: If fcontinued, you can handle it on your own. - Mon Dec  7 02:53:39 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Hmm? What mission is this? - Mon Dec  7 02:54:30 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I'm not even sure myself. - Mon Dec  7 02:54:30 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Hmm. - Mon Dec  7 02:54:30 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Something about operation get rich or something? - Mon Dec  7 02:54:30 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: No. A different mission. - Mon Dec  7 02:54:30 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I have a different one now? - Mon Dec  7 02:55:21 2015
<br><br><font color=yellow>*Hokuma, Koji(Akainu_Hellhound) nods// 
"Understood, wake up team don't want to miss out on your Kage's request."* - Mon Dec  7 02:55:21 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: ` - Mon Dec  7 02:55:21 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *shrugs*  I'll be back Nami. - Mon Dec  7 02:55:21 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Ok. - Mon Dec  7 02:55:21 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: We can train when I come back. - Mon Dec  7 02:55:21 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: What is this guy doing here? - Mon Dec  7 02:56:12 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I thought he was with you? - Mon Dec  7 02:57:04 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Nah. That's Lera's friend she invited. - Mon Dec  7 02:57:04 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I don't want him in the briefing. - Mon Dec  7 02:57:04 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: I'm her side-piece. - Mon Dec  7 02:57:04 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: -omit- - Mon Dec  7 02:57:04 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) thinks: Am I the onlyone who is wearing the vest. - Mon Dec  7 02:57:04 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Eh...Alright. - Mon Dec  7 02:57:55 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: I don't even have one. . . .  - Mon Dec  7 02:57:55 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: The youngin' isn't coming in? - Mon Dec  7 02:57:55 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Guess not. - Mon Dec  7 02:57:55 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Who? - Mon Dec  7 02:57:55 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Hmm, which youngi'n we are all kind of young haha. - Mon Dec  7 02:58:46 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: How old are you Koji? - Mon Dec  7 02:58:46 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: The white-haired one. - Mon Dec  7 02:58:46 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: 13. - Mon Dec  7 02:58:46 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: There he is. - Mon Dec  7 03:00:28 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: Who the hell is that? - Mon Dec  7 03:00:28 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) thinks: Hmm 2 chunins me and the new guy what in the world could we be doing. - Mon Dec  7 03:04:44 2015
<br><br><font color=teal>*Hokuma, Otorius(OtoTheChannel) says: Hmph. - Mon Dec  7 03:14:59 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Who are you kid? - Mon Dec  7 03:14:59 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) whispers: (aite cool) - Mon Dec  7 03:15:50 2015
<br><br><font color=teal>*Hokuma, Otorius(OtoTheChannel) says: I'm Otorius. Hokuma, Otorius at that. - Mon Dec  7 03:17:32 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Get going, people. - Mon Dec  7 03:17:32 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Nice to meet you I am Hiroshi. - Mon Dec  7 03:17:32 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: That must be the kid Green told me about. . . .  - Mon Dec  7 03:17:32 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Repport any information uncovered. - Mon Dec  7 03:17:32 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Understood buddy! - Mon Dec  7 03:18:24 2015
<br><br><font color=teal>*Hokuma, Otorius(OtoTheChannel) says: Yes, sir. - Mon Dec  7 03:18:24 2015
<br><br><font color=yellow>*Hokuma, Koji(Akainu_Hellhound) nods//
"Everyone ready?"* - Mon Dec  7 03:20:06 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Yup yup. - Mon Dec  7 03:20:06 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Yeah we are not walking I can tll  you that much. - Mon Dec  7 03:20:06 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: How are we getting there then Trill? - Mon Dec  7 03:20:06 2015
<br><br><font color=teal>*Hokuma, Otorius(OtoTheChannel) says: OH GOD THE LAGS - Mon Dec  7 03:20:57 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Let's go. - Mon Dec  7 03:24:22 2015
<br><br><font color=yellow>*Hokuma, Koji(Akainu_Hellhound) 's Ravenscrotum squad would arrive Via Trilliam's flying method. Koji as they flew would be utilizing his Byakugan periodically in the swift speed of their arrival. Dictating that it was safe Koji would direct Trilliam to land, and once on the ground team Ravenscrotum survived the area as they followed the instructions given by Lord Megatron "Sanoke". 

Koji would peer into the house and see a mourning mother. This is to be expected given the fact that one of her children was killed in the prior mission concercing the present case. Koji would ask Hiroshi to speak with the mother, but all memeber would be expected to introduce themselves this was to lower admosity toward the squad. prying through their space and time of mourning. 

Koji didn't ask Trilliam cause he's too unpredictable and didn't ask otorius because this was his first mission. Koji didn't elect himself due to the expressionless figure of his face due to his eyes. (This would carry over to Otorus as well.) Hiroshi has displayed enough manners in the past to have Koji's favor. 

Now Koji would have notified the team of the mourning mother and family members in the house. But, it seems there were just females present at the time. The males must be out doing something. 

"Ortorius, scan the house from the outside let me know if anything is suspicous to you. I'll scan from the inside itself. Hiroshi if you feel that the mother is witholding information. Report to Trilliam." (This was said as they made it to the door.) 

"KNOCK, KNOCK! The door is answered by a relative but not by the mother she could be seen crying in the back. Holding a baby booty to her cheeks. That were dirtied from lack of shower. Her eyes would be dry due to cnstant crying, but that wouldn't be all! Bags would be present as she was restless in nature. She would be catered to by the other women in the house. 

* - Mon Dec  7 03:55:05 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) thinks: Why am i even here.,,..... This is like not what I do. - Mon Dec  7 04:01:55 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: Even if she is crying. . I don't know these people. . . I am keeping an eye out for everything. . .  - Mon Dec  7 04:08:44 2015
<br><br><font color=teal>*Hokuma, Otorius(OtoTheChannel) says: Nothing..strange. - Mon Dec  7 04:11:18 2015
<br><br><font color=yellow>*Hokuma, Koji(Akainu_Hellhound) Person who answered door - "Come in but if you upset the mistress I'll have you out of here." 

Upon a first couple of responses the mother would be silent toward Hiroshi. To the point he might have felt irratated or compassionate. Once he built a quick relation the mother would look at him. And call out her son's name very silently. Would Hiroshi play along? Would he use this to get valuable information? Find out on the next episode of Illusion of Granduer dun dun dunnnananna! (DBZ ending narration theme). 

As this happens Koji would be peering through the home where nothing would seem out of place, but he'd slowly make his way toward the master bedroom. This would be occuring during the time of Hiroshi and the mournnig mother's interaction. (Once Hiroshi made his choice the fun would begin.

Bloodthirsty Trilliam would be seen slacking through the three hundred and sixty vision provided by Koji's Byakugan. Koji would say, "Show some dignity homie." * - Mon Dec  7 04:26:40 2015
<br><br><font color=teal>*Hokuma, Otorius(OtoTheChannel) says: gasp* - Mon Dec  7 05:17:00 2015
<br><br><font color=yellow>*Hokuma, Koji(Akainu_Hellhound) unbeknowst to the group, or anyone in the room for that matter Trilliams actions and Hiroshi's appearance would have set the mother off! Within the moment her eys would widen with a smile, and she'd begin to shout! 

"KIRI KIRI KIRI! DON'T YOU RECOGNIZE ME? YOU DIDN'T LOSE ME I'M RIGHT HERE!"

* - Mon Dec  7 05:22:08 2015
<br><br><font color=teal>*Hokuma, Otorius(OtoTheChannel) thinks: Kiri...? - Mon Dec  7 05:23:50 2015
<br><br><font color=yellow>*Hokuma, Koji(Akainu_Hellhound) //
The ladies smile was glued on her face, but she was creepy now , spooky as she stood up she was rather tall in stature. Hair dry and lips crunchy from dehydration. This woman wasn't normal however she possessed an abnormal power that rendered her immune to genjutsu, but her distraught created a path for Trilliam's jutsu to travel, but it wouldn't go the way he'd hoped. 

The woman stopped shouting her son's name and began to scream,
"NEMUS! NEMUS! NEMUS! THEY TOOK HIM FROM ME FROOOOOOM ME GGGRAHHHH!" The woman's voice softened.. As she began to calm herelf by reaching out to Hiroshi. 
"But it's okay now... He's come back to me." The woman attempts to fondle with his hair." Sadly, her immunity to genjutsu was fighting back Trilliam she grabs a senbon from the table and begins combing through Hiroshi's blueberry hair. 
"Kiri, your hair always was beautiful." 

What would happen if one approached? What is Nemus? 

Koji seeing all this goes down looks at Trilliam with a frown.... He calls for Ortorius to enter. Koji attempts to walk into the master bedroom, but he's stopped by the mother.Swiftly moving the senbon through Hiroshi's hair and out the back of it she'd say,
"STOP! NEMUS DOESN'T LIKE IT WHEN STRANGERS GO THERE! HUSBAND DOESN'T LIKE WHEN STRANGERS GO THERE!"
Koji freezes...* - Mon Dec  7 05:33:13 2015
<br><br><font color=yellow>*Hokuma, Koji(Akainu_Hellhound) //
The mother would answer Hiroshi's question without fail,
"Nemus took you away they're the organization your father's in. I told him to leave but he never listened he said it was someting he had to do... There's a hideout in the master bedroom. The key is ---" 

Her resistances to the genjutsu makes her lash out unhumanly stregnth this would make her charge Ortorius with the senbon. In this distraction Koji would run to grab Trilliam and shout, 

"Deal with her you two and come here immediately when you're done... Make her think he's your friend." Koji would move past the frightened people in the house to the masterbedroom where he's find a door that blended well with the interior of the house. And, thus is why it wasn't seen outside not only that the material made it impossible to see through even with the Byakugan.. WEIRD PLOT ARMOR* 

Koji says, "Blow the dorr down.. Just the door... Not the house homie." * - Mon Dec  7 06:10:46 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: I'm sorry lady. . . I hope you get stuck though. . .  - Mon Dec  7 06:25:16 2015
<br><br><font color=yellow>*Hokuma, Koji(Akainu_Hellhound) nods// 
with the squad back together and the mini threat avoided the teams heads down the dark secret corridor of the house. Weird symbols could be seen scribbled on the wall. Resembled seals but of what. Usage of the byakugan would reveal the word, "Those who trespass will be crushed." 

Koji would say, "Watch out it's a riddle. I hear crumbling from the roof." 
Indeed anyone could hear crumbling Koji shouts//
"The roof is falling!" It wasn't the roof entirely but an earthly block with the pre warning everyone would be able to show their worth to stop what would presumably crush them if left unattended. 

After success the group would continue you down where they would find an entire excavation beneath the houses of the neighborhood. A network! Written on the walls read "Pigs of Nemus." 

In the shadows crept a man watching he could be seen channeling chakra from the distance. Grinning if one could see or hear his grin emminated and brethe heavy as he spoke, 

"More pigs." * - Mon Dec  7 06:38:04 2015
<br><br><font color=yellow>*Hokuma, Koji(Akainu_Hellhound) would aide in the destruction of the rock as well! Allowing Trilliam to go in hard on the guy. 
Assuming Otorius was using his own Byakugan he would see plans of their project and notes on a table in the network. Readings future plans whereabbouts, members, resources, and fundings... Earn that worth and pick it up homie for the one time. Misiion complete! 

Meanwhile Koji and Hiroshi double team the falling rock like champs. KOji follows his lead!* - Mon Dec  7 06:50:01 2015
<br><br><font color=yellow>*Hokuma, Koji(Akainu_Hellhound) receives notes and  the squad heads back to the village. * - Mon Dec  7 06:52:35 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: I still can't belive that this woman just combed my hair with a senbon. . .  - Mon Dec  7 06:52:35 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: Why did I let her do that - Mon Dec  7 06:52:35 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Where the hell is Sanoke? - Mon Dec  7 06:56:51 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I'm glad that thing is over. - Mon Dec  7 07:16:28 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: That lady was creepy. - Mon Dec  7 07:16:28 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Was a bit crazy but it turned in our favor haha. - Mon Dec  7 07:18:11 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: You weren't the one with a crazy, crusty lipped lady combing your hair with a senbon. . . .  - Mon Dec  7 07:19:02 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: .... - Mon Dec  7 07:19:53 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: ..... - Mon Dec  7 07:19:53 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: .... - Mon Dec  7 07:19:53 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Ha you handeld it better than me Hiro. - Mon Dec  7 07:20:44 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I didn't like that shit. . .  - Mon Dec  7 07:20:44 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Again Hiro you handeld it better than me. - Mon Dec  7 07:20:44 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: We had a mission to do, so I sucked it up. - Mon Dec  7 07:20:44 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: You showed ya worth as a shinobi haha. - Mon Dec  7 07:21:36 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: I would have probaly ben like bang bang ppew pew boom splahh wahhhhhhhh. - Mon Dec  7 07:21:36 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *laughs* Sounds about right. - Mon Dec  7 07:21:36 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Ahhh Marco my man. - Mon Dec  7 07:21:36 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Buddy ole pal. - Mon Dec  7 07:22:27 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Ive been looking for you where you been. - Mon Dec  7 07:22:27 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Hey Hiro Im suprised you havent cut your hiar. - Mon Dec  7 07:28:25 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Hmmm? - Mon Dec  7 07:28:25 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Why would I do that? - Mon Dec  7 07:28:25 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: No telling what that lady laced your hair with. - Mon Dec  7 07:29:16 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: . . .  - Mon Dec  7 07:29:16 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: What if that was some wired technqiue or something. - Mon Dec  7 07:29:16 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: . . .  - Mon Dec  7 07:29:16 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Koji, can you check my hair? - Mon Dec  7 07:29:16 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: You're good, I don't think the woman would harm her own child. - Mon Dec  7 07:30:59 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: . . . .  - Mon Dec  7 07:30:59 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: That lady was creepy. - Mon Dec  7 07:30:59 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: You guys back? - Mon Dec  7 07:34:24 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Yea. . .  - Mon Dec  7 07:34:24 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Koji. Write up a report and deliver it to my office first thing in the morning. - Mon Dec  7 07:34:24 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: Creepy ass lady. . .  - Mon Dec  7 07:34:24 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Will do. - Mon Dec  7 07:34:24 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Good work, however. Or so Iassume. - Mon Dec  7 07:36:06 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: I should take the little girl iinto custody. - Mon Dec  7 07:36:06 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: You all go take a break. - Mon Dec  7 07:36:57 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Ireccomend gving the mother a psyche check. - Mon Dec  7 07:36:57 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: A break will be nice. - Mon Dec  7 07:36:57 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: . . .  - Mon Dec  7 07:37:48 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: That lady is creepy. - Mon Dec  7 07:37:48 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I - Mon Dec  7 07:37:48 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I'll look into it. - Mon Dec  7 07:37:48 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Thanks. . .  - Mon Dec  7 07:38:40 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Boss. - Mon Dec  7 07:41:13 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Mission was fun for me. - Mon Dec  7 07:41:13 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: That lady was crazy though. - Mon Dec  7 07:41:13 2015
<br><br><font color=teal>*Tsukinomi(Original Ziare) says: Koji nii! - Mon Dec  7 19:11:34 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: My Tsuki. How are you? - Mon Dec  7 19:11:34 2015
<br><br><font color=teal>*Tsukinomi(Original Ziare) says: Strong, like a bull! - Mon Dec  7 19:11:34 2015
<br><br><font color=teal>*Tsukinomi(Original Ziare) says: Just like you. - Mon Dec  7 19:11:34 2015
<br><br><font color=yellow>*Hokuma, Koji(Akainu_Hellhound) raises his arms and shapes his fingers in a way to imitate a bull, then he roars towards Tsukinomi.* - Mon Dec  7 19:13:16 2015
<br><br><font color=teal>*Hiroshi(Marchie15) thinks: Oh hey it's them. I wonder if Oto is around then. - Mon Dec  7 19:15:50 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *yawn* - Mon Dec  7 19:18:24 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Tired already? - Mon Dec  7 19:18:24 2015
<br><br><font color=yellow>*Hokuma, Koji(Akainu_Hellhound) was enjoying the time he got to act like other kids his age for a time. As they play Koji attempts to catch and nudge Tsuki softly whil pretending to be a buull.

"Muuu"* - Mon Dec  7 19:18:24 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *rubs the back of his head*  I think I just want to take a nap. - Mon Dec  7 19:18:24 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I'll be ok. - Mon Dec  7 19:19:15 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: What's he doin'? - Mon Dec  7 19:20:06 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: You should - Mon Dec  7 19:20:06 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Why is that bro? - Mon Dec  7 19:20:06 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Have to stay sharp *nods* - Mon Dec  7 19:20:06 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Iza just salty her brother in a box 6ft deep -OMIT- - Mon Dec  7 19:20:57 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *yawns again*  I'm always sharp man. - Mon Dec  7 19:20:57 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: That's a nice way of say whoops I wasn't ready, heheh. - Mon Dec  7 19:23:31 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *laughs*  You're funny Green. - Mon Dec  7 19:23:31 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: That little bastard actually caught me slipping. . . Good job Bro. . . I can't tell him that though. - Mon Dec  7 19:24:22 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: i try I try *nods* You can't have a boring little bro can you? - Mon Dec  7 19:24:22 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Hell nah man. - Mon Dec  7 19:24:22 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Iza, how is your sword holding up? - Mon Dec  7 19:24:22 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Eh, its pretty much done for. - Mon Dec  7 19:25:13 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: My bad. - Mon Dec  7 19:25:13 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: But it's okay, M- - Mon Dec  7 19:25:13 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Hmm? - Mon Dec  7 19:25:13 2015
<br><br><font color=yellow>*Hokuma, Koji(Akainu_Hellhound) stops and thinks.... (A bull goes Fruf?!) 

He continues playing as he attempts to sweep up Tsuki over his shoulders he goes FRUF all the way to Iza.

"Yo Iza want in on this?" 
* - Mon Dec  7 19:26:04 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hm... - Mon Dec  7 19:26:04 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *opens scroll* - Mon Dec  7 19:26:04 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: What's up Iza? - Mon Dec  7 19:26:04 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Why are they coming here?  Your house got blown to bits a while agao -omit- - Mon Dec  7 19:27:47 2015
<br><br><font color=teal>*Tsukinomi(Original Ziare) says: Koji, have you met Golden Horn yet - Mon Dec  7 19:27:47 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Hmm, glad to hear that you are helping others Iza. - Mon Dec  7 19:28:38 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Whose that?? - Mon Dec  7 19:28:38 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: How old are you again Green? - Mon Dec  7 19:31:12 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Seven. Why? - Mon Dec  7 19:32:03 2015
<br><br><font color=teal>*Tsukinomi(Original Ziare) says: Wanna meet him? - Mon Dec  7 19:32:03 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Hmmm. - Mon Dec  7 19:32:03 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: What are you thinking...? - Mon Dec  7 19:32:54 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Nothing bro. - Mon Dec  7 19:32:54 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Suure lets go my Tsuki. - Mon Dec  7 19:32:54 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: You will find out eventually!~ - Mon Dec  7 19:32:54 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Uh.. okay? - Mon Dec  7 19:32:54 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *yawn* Damn. . I can't stop yawning. - Mon Dec  7 19:33:45 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Oh bro, don't let Koji talk you into talking to a crying lady ok. - Mon Dec  7 19:33:45 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Huh? - Mon Dec  7 19:34:36 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Long story short. - Mon Dec  7 19:34:36 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I had my hair combed by a crusty lipped crying lady with a senbon. - Mon Dec  7 19:34:36 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Not fun. . .  - Mon Dec  7 19:34:36 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: ......... - Mon Dec  7 19:35:28 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: O-okay? - Mon Dec  7 19:35:28 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Life lessons bro. . .  - Mon Dec  7 19:35:28 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Life lessons. - Mon Dec  7 19:35:28 2015
<br><br><font color=yellow>*Hokuma, Koji(Akainu_Hellhound) follows his speedy little gonzalez//* - Mon Dec  7 19:36:19 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Didn't know they were here too. - Mon Dec  7 19:43:08 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Oh well, I want you to hit me with everthing you got Green. - Mon Dec  7 19:43:08 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: People are always here. - Mon Dec  7 19:43:08 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I want to see how strong you are. - Mon Dec  7 19:43:08 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: I'm not? - Mon Dec  7 19:43:08 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Well, lets see how much you have to improve. - Mon Dec  7 19:44:51 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Hit me with your best shot. - Mon Dec  7 19:44:51 2015
<br><br><font color=yellow>*Hokuma, Koji(Akainu_Hellhound) does a slight back bend watching the bull emerge from the ground. 
"Haha, he's like a gentle giant.. I imagine you're going to take care of my Tsuki when I'm away?" 

Koji speaks this as the beasts looks upon him.* - Mon Dec  7 19:45:42 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Uh~...Hmmm... that's probably dangerous seeing as my best shots are combos. - Mon Dec  7 19:46:33 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Dang it where were you when I was sparring the other day~ - Mon Dec  7 19:46:33 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I don't know bro. *laughs* - Mon Dec  7 19:47:24 2015
