<br><font color=teal>*Rias(LionHunter) says: Whats happening? - Fri Nov  6 03:43:34 2015
<br><br><font color=teal>*Ziare(Meekee) says: Welcome to my sweet hell. - Mon Nov  9 06:04:48 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: It's not so bad. - Mon Nov  9 06:05:39 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: At least you have people to talk to. - Mon Nov  9 06:05:39 2015
<br><br><font color=teal>*Ziare(Meekee) says: Crazy people. - Mon Nov  9 06:06:30 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: I think they're fun to be around. - Mon Nov  9 06:08:12 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: So...Rias. - Mon Nov  9 06:10:46 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: How do you like your green tea? - Mon Nov  9 06:10:46 2015
<br><br><font color=teal>*Rias(LionHunter) says: Hot and steamy~ - Mon Nov  9 06:11:37 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Always the best way. - Mon Nov  9 06:12:28 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: I am not crazy. - Mon Nov  9 06:12:28 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: You are the crazy one. - Mon Nov  9 06:12:28 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: And Ria shes just bubbly. - Mon Nov  9 06:13:20 2015
<br><br><font color=teal>*Rias(LionHunter) says: But he loves us~ - Mon Nov  9 06:13:20 2015
<br><br><font color=teal>*Rias(LionHunter) says: J knows~ - Mon Nov  9 06:13:20 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Rias, Can I ask you a somewhat weird question? - Mon Nov  9 06:15:53 2015
<br><br><font color=teal>*Rias(LionHunter) says: Whats up? - Mon Nov  9 06:17:36 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Well uh, Do you dye your hair? - Mon Nov  9 06:17:36 2015
<br><br><font color=teal>*Rias(LionHunter) says: Do I dye it? I can - Mon Nov  9 06:17:36 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: No I mean. - Mon Nov  9 06:18:27 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Is your hairs current colour your natural one? - Mon Nov  9 06:18:27 2015
<br><br><font color=teal>*Rias(LionHunter) says: Oh... yea, but im not a Uzumaki - Mon Nov  9 06:18:27 2015
<br><br><font color=teal>*Rias(LionHunter) says: Im just a random red head - Mon Nov  9 06:19:18 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Huh, Weird. - Mon Nov  9 06:19:18 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: I don't meet many people with hair like mine. - Mon Nov  9 06:20:09 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Naturally anyway. - Mon Nov  9 06:20:09 2015
<br><br><font color=teal>*Ziare(Meekee) says: ... - Mon Nov  9 06:20:09 2015
<br><br><font color=teal>*Rias(LionHunter) says: Yea im just a reddie - Mon Nov  9 06:21:00 2015
<br><br><font color=teal>*Rias(LionHunter) says: Why do you ask? - Mon Nov  9 06:21:52 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Just interested is all. - Mon Nov  9 06:21:52 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: I don't see anyone outside my clan with natural hair like that. - Mon Nov  9 06:21:52 2015
<br><br><font color=teal>*Rias(LionHunter) says: Clan? - Mon Nov  9 06:27:50 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Uh...Yeah. - Mon Nov  9 06:29:32 2015
<br><br><font color=teal>*Ziare(Meekee) says: Intresting. - Mon Nov  9 06:30:24 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Hmmm. - Mon Nov  9 06:32:06 2015
<br><br><font color=teal>*Rias(LionHunter) says: Iwant to go to Sunagakure! - Mon Nov  9 06:32:57 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Why i hear its like hot there?? - Mon Nov  9 06:32:57 2015
<br><br><font color=teal>*Ziare(Meekee) says: You're crazy. - Mon Nov  9 06:32:57 2015
<br><br><font color=teal>*Rias(LionHunter) says: It is but its so pretty, I want to meet Hassan-sama! - Mon Nov  9 06:34:40 2015
<br><br><font color=teal>*Ziare(Meekee) says: I jsut have a generally bad feeling about that. - Mon Nov  9 06:36:22 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: I think i'd like to see Kirigakure one day. - Mon Nov  9 06:36:22 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Maybe not Sunagakure...too much sand and heat. - Mon Nov  9 06:36:22 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Doesn't seem like there would be a lot there. - Mon Nov  9 06:36:22 2015
<br><br><font color=teal>*Rias(LionHunter) says: Non sense! Its perfectly fine there - Mon Nov  9 06:38:04 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: You've been? - Mon Nov  9 06:38:04 2015
<br><br><font color=teal>*Rias(LionHunter) says: Nope - Mon Nov  9 06:38:04 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Hm... - Mon Nov  9 06:38:56 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Well, I heard they don't really let people just 'visit'. - Mon Nov  9 06:38:56 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Hmmm. - Mon Nov  9 06:43:12 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Hm. - Mon Nov  9 06:47:28 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Well, looks like we're all pretty finished here. - Mon Nov  9 06:47:28 2015
<br><br><font color=teal>*Rias(LionHunter) says: Well im going back to training - Mon Nov  9 06:49:10 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Mind if I join you? I've got some stuff I need to work on. - Mon Nov  9 06:49:10 2015
<br><br><font color=teal>*Rias(LionHunter) says: Sure cutie~ - Mon Nov  9 06:50:52 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Well, Lead the way then. - Mon Nov  9 06:51:44 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: I gotta get payed up real quick. - Mon Nov  9 06:52:35 2015
<br><br><font color=teal>*Ziare(Meekee) says: We gotta go too Slim. - Mon Nov  9 06:54:17 2015
<br><br><font color=teal>*Ziare(Meekee) says: We have no choice. - Mon Nov  9 06:54:17 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Hmmm. - Mon Nov  9 06:55:08 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Oh wow he payed. - Mon Nov  9 06:55:08 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Ha. - Mon Nov  9 06:55:08 2015
<br><br><font color=teal>*Ziare(Meekee) says: He's lucky Rias didn't eat. - Mon Nov  9 06:56:00 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: You are a good person guy. - Mon Nov  9 06:56:00 2015
<br><br><font color=teal>*Ziare(Meekee) says: Or he may not be able to make rent. - Mon Nov  9 06:56:00 2015
<br><br><font color=teal>*Rias(LionHunter) says: Alrightly... come along me- hey! I dont eat alot! I just have expensive tastes~ - Mon Nov  9 06:56:51 2015
<br><br><font color=teal>*Ziare(Meekee) says: No. - Mon Nov  9 06:56:51 2015
<br><br><font color=teal>*Ziare(Meekee) says: You eat alot and have expensive tastes. - Mon Nov  9 06:56:51 2015
<br><br><font color=teal>*Rias(LionHunter) says: N-not as much as J! - Mon Nov  9 06:57:42 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Hey, if you like it then you should have a lot of it. Am I right? - Mon Nov  9 06:57:42 2015
<br><br><font color=teal>*Ziare(Meekee) says: Still, you eat a lot for you. - Mon Nov  9 06:57:42 2015
<br><br><font color=teal>*Ziare(Meekee) says: And then use the excuse "Well i'm a growing girl" - Mon Nov  9 06:57:42 2015
<br><br><font color=teal>*Rias(LionHunter) says: What ever... - Mon Nov  9 06:58:33 2015
<br><br><font color=teal>*Ziare(Meekee) says: You d-...Jeez, you got me all worked up for this... - Mon Nov  9 06:58:33 2015
<br><br><font color=teal>*Ziare(Meekee) says: I already know i'm right. - Mon Nov  9 06:58:33 2015
<br><br><font color=yellow>*Rias(LionHunter) pounted and grabbed Akiras and walked tothe training arena. * - Mon Nov  9 06:59:24 2015
<br><br><font color=teal>*Ziare(Meekee) says: Looks like we got out of training today. - Mon Nov  9 07:01:07 2015
<br><br><font color=teal>*Rias(LionHunter) says: Hi~ - Mon Nov  9 08:11:56 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Ah... so you're both busy, huh? - Mon Nov  9 08:15:21 2015
<br><br><font color=teal>*Rias(LionHunter) says: Im training currently - Mon Nov  9 08:15:21 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Mrm.. and here I was, looking for a good fight...  - Mon Nov  9 08:15:21 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Sorry, I just wouldn't put up much of a fight currently. - Mon Nov  9 08:17:04 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Maybe later on though? - Mon Nov  9 08:17:04 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Hrm? Well, if you'd like. - Mon Nov  9 08:17:04 2015
<br><br><font color=teal>*Rias(LionHunter) says: Yea... Im not much of a figher... sorry - Mon Nov  9 08:17:55 2015
<br><br><font color=teal>*Rias(LionHunter) says: Like for example I cant use chakra nature transformation but I can use basic shinobi techniques like bushin and shushin - Mon Nov  9 08:19:37 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Hrm? - Mon Nov  9 08:20:28 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Well, I mean. I can't use any kind of nature transformation yet either. - Mon Nov  9 08:20:28 2015
<br><br><font color=teal>*Rias(LionHunter) says: -omit- - Mon Nov  9 08:20:28 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: I'm just a Genin, after all. - Mon Nov  9 08:20:28 2015
<br><br><font color=teal>*Rias(LionHunter) says: Im a genin - Mon Nov  9 08:21:20 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: As am I. - Mon Nov  9 08:21:20 2015
<br><br><font color=teal>*Rias(LionHunter) says: But I dont use my elemental nature... I dont need it - Mon Nov  9 08:21:20 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: I believe everyone in the village is. - Mon Nov  9 08:21:20 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Sadly. - Mon Nov  9 08:21:20 2015
<br><br><font color=teal>*Rias(LionHunter) says: And your Mitsunara? - Mon Nov  9 08:22:11 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Mhrm, yes. That is my name. - Mon Nov  9 08:22:11 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Hi, I'm Akira. - Mon Nov  9 08:23:02 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Nice to meetcha! - Mon Nov  9 08:23:02 2015
<br><br><font color=teal>*Rias(LionHunter) says: Im Rias, like to meet you - Mon Nov  9 08:23:02 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: I can't do much so you're both better than me, Heh. - Mon Nov  9 08:23:02 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: No way of knowing whose better until you test it, y'know? Still- that's your decision. - Mon Nov  9 08:24:44 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: I guess, Fair point. - Mon Nov  9 08:26:27 2015
<br><br><font color=teal>*Rias(LionHunter) says: Im a special fighter... so I can fight how you want - Mon Nov  9 08:27:18 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Special..? - Mon Nov  9 08:27:18 2015
<br><br><font color=teal>*Rias(LionHunter) says: Yea, I om not a taijutsu user or ninjutsu user - Mon Nov  9 08:29:00 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Interesting... are you sure you wouldn't be interested in a spar? - Mon Nov  9 08:29:00 2015
<br><br><font color=teal>*Rias(LionHunter) says: I mean... what do you use? - Mon Nov  9 08:29:52 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) thinks: Hm, Not Tai or Nin...could be Genjutsu she uses. I doubt it would be Fuuinjutsu like me. - Mon Nov  9 08:29:52 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Just simple Kenjutsu. - Mon Nov  9 08:29:52 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Sounds a little risky Rias. - Mon Nov  9 08:30:43 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: If you get sliced up...well we don't have many doctors in the village... - Mon Nov  9 08:31:34 2015
<br><br><font color=teal>*Rias(LionHunter) says: See... I cant match that... it would be over rather quickly unless you stll want to try... - Mon Nov  9 08:31:34 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Heh. Easy for which of us, hrm? - Mon Nov  9 08:31:34 2015
<br><br><font color=teal>*Rias(LionHunter) says: Well I guess we can give it ago... - Mon Nov  9 08:32:25 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) thinks: This is a bad idea... - Mon Nov  9 08:32:25 2015
<br><br><font color=yellow>*Rias(LionHunter) //

"Ok..".let me start with this. Rias started to look at the scroll for the new moves Z would tell her to study. She sat down and study the scrolls. It was a taijutsu move which completely disinterested in. Its not like she couldnt attack , be it was useless for her to do so. Her body was soft and spongy and was not combat ready.

She would read over the scroll and and get the mechanics of the move. It was rather simple to execute the move in question, and it would make her look wierd. She continued to read on read and look at some examples of the move. She move was basicly a flying kick. <Im not using this at all > she though tossing away the scrolls and putting them back in the bad she had* - Mon Nov  9 08:33:16 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Uh, Sword lady. - Mon Nov  9 08:34:08 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: I don't doubt your skill with a blade but. - Mon Nov  9 08:34:08 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Please don't inflict any deep cuts. - Mon Nov  9 08:34:59 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: We have nearly no medics in the village. - Mon Nov  9 08:34:59 2015
<br><br><font color=yellow>*Rias(LionHunter) Would walk to the side oppisite her and get in a ready stance, Her letgs were spread and her body was stand straight. She had a great body, her chest was a D cup with a big but to match. However it was propotionally perfect to her shaply figure. Her skinw as soft and her body bounced with every movement. She wore a combat dress that hugged ger curves and she would form several hand seals  with a relatively fact pace to ready her first move* - Mon Nov  9 08:37:32 2015
<br><br><font color=yellow>*Rias(LionHunter) As she noticed her hands she would be cause in a genjutsu... the point of this jutsu would be to thorw off her opponents sense of direction. She would manupulate the jutsu to make it see like Rias was alot closer then she seemed to be. It would be like Mitsunara's vision would be zoomed  in do she would not beable to reach her.

if this worked she would throw 1 shuriken at her. If she had good eyesight she would see that where was something under the shuriken.* - Mon Nov  9 08:51:12 2015
<br><br><font color=yellow>*Rias(LionHunter) was close... in fact she didnt really move from her spot. She stood still as the gen took effect just before she reached her. As the weapons bouced off her skin she looked on and thought. <Well she has me beat if she attacks> she thought. She formed a wierd hand seal... she though to herself. <No..I can use that... I have to accept the loss...>she thpought again. She would break the genjutsu and put her hands up..."I give up...your too strong" she said* - Mon Nov  9 09:09:58 2015
<br><br><font color=yellow>*Rias(LionHunter) Mitsunara was still not close to Rias from her genjutsu effect...nor did she indicatated that she moved. So as she still held her blade and moved forward intending to attack Rias would put up one hand seal in the fraction of a second and pass out. Her body would lay helplessly on the ground as Mitsunara would feel a presence taking control of her body and hear a voice in her head.

Rias would have cause to do this becasue she never seemed to stop the spar in the first place. * - Mon Nov  9 09:31:18 2015
<br><br><font color=yellow>*Rias(LionHunter) would dispense the genjutsu from a distance and say, "Im done... you win your way stronger than I am" she said walking to Akira... she would think <Im glad Z is not here... He would bug me to train.> 

All of this were to happen of she was allowed to leave* - Mon Nov  9 09:57:45 2015
<br><br><font color=yellow>*Rias(LionHunter) Would shake her head, "Sorry but we literally just ate... but maybe next time ok?" She smiled to the woman."Every one has their strengths and weaknesses; for example you could destroy me with that in close range, but im not a Taijutsu fighter so of course I couldnt win. Its all about strategy."

Rias then said, "But your definatly a strong person... I cant underestimate you." "Akira, do you want to walk me home?" she smiled at him* - Mon Nov  9 10:06:17 2015
<br><br><font color=teal>*Rias(LionHunter) says: Yes bye~ - Mon Nov  9 10:08:51 2015
<br><br><font color=teal>*Rias(LionHunter) says: Such a nice girl - Mon Nov  9 10:08:51 2015
<br><br><font color=teal>*Rias(LionHunter) says: So...walk me home? - Mon Nov  9 10:10:33 2015
<br><br><font color=teal>*Rias(LionHunter) says: Yea, im fine but I cant puch my uck in spars anymore... - Mon Nov  9 10:13:07 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: It's fine, don't worry you did great. - Mon Nov  9 10:13:58 2015
<br><br><font color=yellow>*Rias(LionHunter) grabbed his hand and walked home* - Mon Nov  9 10:13:58 2015
<br><br><font color=yellow>*Rias(LionHunter) arrived at her house safe... "Thanks cutie... you sweet." She would kiss him on his cheek and wave him off. * - Mon Nov  9 10:16:32 2015
<br><br><font color=teal>*Rias(LionHunter) says: Maybe~ - Mon Nov  9 10:18:14 2015
<br><br><font color=yellow>*Rias(LionHunter) walks inside and locks her door before saying, "You just have to wait and see~" she said smiling* - Mon Nov  9 10:19:56 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: So do I. - Tue Nov 10 05:37:04 2015
<br><br><font color=teal>*Shakaku, Daiki(Dazzer) says: Heh. Both in the same boat I suppose. - Tue Nov 10 05:37:55 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Yeah, Might ask that lady after her spar. - Tue Nov 10 05:38:46 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: She seems to know a thing or two. - Tue Nov 10 05:38:46 2015
<br><br><font color=teal>*Shakaku, Daiki(Dazzer) says: Hmm. That does seem like a good idea. - Tue Nov 10 05:39:37 2015
<br><br><font color=teal>*Shakaku, Daiki(Dazzer) says: I'll let you have her though, no point slumping two of us onto her. - Tue Nov 10 05:39:37 2015
<br><br><font color=yellow>*Rias(LionHunter) walked up swaying her hips playfully and say, "Helloooooooooooooo everyone~"* - Tue Nov 10 05:40:28 2015
<br><br><font color=teal>*Shakaku, Daiki(Dazzer) thinks: Judging by that hip movement. I'm guessing this is the village bike. - Tue Nov 10 05:42:11 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) thinks: They're still going at it..? - Tue Nov 10 05:43:53 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) thinks: Atta boy, Ziare.. - Tue Nov 10 05:43:53 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) thinks: I knew you showed potential. - Tue Nov 10 05:43:53 2015
<br><br><font color=yellow>*Rias(LionHunter) Would walk up to Akira with her hands behind her back smile at him,  she looked at the other guy and smiled to. Rias was taller then average for a girl. She stood 5'10'' with a busty figure. She had D cup breasts with a butt to match. Her measurements were porportioned just right to match her body type. Her skin look very soft , and her personallty looked very bubbly.

She faintely sensed everyone in the area naturally to sense what kind of chakra they had. She then walked to her partner sparring and stood by to watch* - Tue Nov 10 06:07:47 2015
<br><br><font color=teal>*Rias(LionHunter) says: Way to go Z! - Tue Nov 10 06:09:29 2015
<br><br><font color=teal>*Ziare(Meekee) says: I'm not holding back. - Tue Nov 10 06:16:19 2015
<br><br><font color=teal>*Ziare(Meekee) says: And why would I want to be trained? - Tue Nov 10 06:16:19 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Oi. - Tue Nov 10 06:16:19 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: I don't think this is quite done. It's been a while since I've went a round with you, Marrisa. - Tue Nov 10 06:17:10 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: I must've fallen behind in my training, but I'm sure I can entertain you well. - Tue Nov 10 06:17:10 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: What do you say? - Tue Nov 10 06:17:10 2015
<br><br><font color=yellow>*Rias(LionHunter) would walk to him and hand him a towel, "Nice fight out there Z! I like it when you actually try~" she said with a smile on her face. She could sense his chakra and see he wasnt -THAT- tired... <He probuly ran out of stratgies> she thought.* - Tue Nov 10 06:18:01 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) thinks: ....he's going to fight her? - Tue Nov 10 06:18:01 2015
<br><br><font color=teal>*Rias(LionHunter) thinks: Love? Are they close or together? - Tue Nov 10 06:23:08 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) thinks: Hm... - Tue Nov 10 06:23:08 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) thinks: Don't think I've been noticed yet, ooOoo I'm invisible.~ - Tue Nov 10 06:24:51 2015
<br><br><font color=teal>*Rias(LionHunter) says: Sure whats on your mind hun? - Tue Nov 10 06:26:33 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Well uh...I was just wondering if you wanted to go to that tea shop any time soon..? - Tue Nov 10 06:27:24 2015
<br><br><font color=yellow>*Rias(LionHunter) would look at Z for a moment, "Hmm the tea shop... Z do you want some tea?" she asked him. Rias never really did anything without J or Z. It wasa reflex for her* - Tue Nov 10 06:31:40 2015
<br><br><font color=teal>*Rias(LionHunter) thinks: Hmm, thats cool... I wonder what she is doing? And are there traces of chakra in her eyes? And why am I asking so many questions ? I really dont care.... - Tue Nov 10 06:35:05 2015
<br><br><font color=teal>*Shakaku, Daiki(Dazzer) thinks: Hmm.. So he knows fire style? - Tue Nov 10 06:39:21 2015
<br><br><font color=teal>*Shakaku, Daiki(Dazzer) thinks: I'm guessing I better speak to him soonish.. - Tue Nov 10 06:39:21 2015
<br><br><font color=yellow>*Rias(LionHunter) would watch the lewd actions and be a alittle shocked what she saw... "Get a room you two!"she yelled* - Tue Nov 10 07:30:33 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ..... - Tue Nov 10 07:33:07 2015
<br><br><font color=teal>*Shakaku, Daiki(Dazzer) says: Excuse me. Miss with the read hair. Fancy a spar? - Tue Nov 10 07:41:39 2015
<br><br><font color=teal>*Ziare(Meekee) says: I think he's talking to you Rias. - Tue Nov 10 07:41:39 2015
<br><br><font color=teal>*Rias(LionHunter) says: Hmm me? Ugh, I dont think thats a good idea... - Tue Nov 10 07:42:30 2015
<br><br><font color=teal>*Shakaku, Daiki(Dazzer) says: Why not? - Tue Nov 10 07:42:30 2015
<br><br><font color=teal>*Ziare(Meekee) says: She isn't good at sparring. - Tue Nov 10 07:42:30 2015
<br><br><font color=teal>*Rias(LionHunter) says: Becasue we are opposing fighting types - Tue Nov 10 07:43:21 2015
<br><br><font color=teal>*Shakaku, Daiki(Dazzer) says: Neither am I. I don't think. - Tue Nov 10 07:43:21 2015
<br><br><font color=teal>*Ziare(Meekee) says: We? - Tue Nov 10 07:43:21 2015
<br><br><font color=teal>*Ziare(Meekee) says: I don't fight...I don't know about you. - Tue Nov 10 07:43:21 2015
<br><br><font color=teal>*Rias(LionHunter) says: We can spar... just as long as you promise me you will stop before you hit - Tue Nov 10 07:46:46 2015
<br><br><font color=teal>*Shakaku, Daiki(Dazzer) says: Hmm? So you.. don't want to get hurt? - Tue Nov 10 07:49:20 2015
<br><br><font color=teal>*Shakaku, Daiki(Dazzer) says: Basically. - Tue Nov 10 07:49:20 2015
<br><br><font color=teal>*Rias(LionHunter) says: Yes - Tue Nov 10 07:51:02 2015
<br><br><font color=teal>*Shakaku, Daiki(Dazzer) says: Sounds boring. - Tue Nov 10 07:52:44 2015
<br><br><font color=teal>*Rias(LionHunter) says: Well an angel like myself should never succumb to such attacks - Tue Nov 10 07:53:36 2015
<br><br><font color=teal>*Shakaku, Daiki(Dazzer) says: Modest too. - Tue Nov 10 07:53:36 2015
<br><br><font color=teal>*Rias(LionHunter) thinks: That and the fact that I wouls snap like a twig - Tue Nov 10 07:53:36 2015
<br><br><font color=teal>*Rias(LionHunter) says: As I said I dont really spar - Tue Nov 10 07:55:18 2015
<br><br><font color=teal>*Ziare(Meekee) says: Rias, you don't need to spar. - Tue Nov 10 07:56:09 2015
<br><br><font color=teal>*Rias(LionHunter) says: But Z might be able to help... or Ortho or Marrisa - Tue Nov 10 07:56:09 2015
<br><br><font color=teal>*Shakaku, Daiki(Dazzer) says: Hmm.. I might go Sunagakure. I'm bored here already. - Tue Nov 10 07:56:09 2015
<br><br><font color=teal>*Rias(LionHunter) says: Good luck getting in there - Tue Nov 10 07:56:09 2015
<br><br><font color=teal>*Shakaku, Daiki(Dazzer) says: Why would I need luck? - Tue Nov 10 07:57:00 2015
<br><br><font color=teal>*Rias(LionHunter) says: I dont know, but leaving any village is dangerous - Tue Nov 10 07:57:52 2015
<br><br><font color=teal>*Shakaku, Daiki(Dazzer) says: I wouldn't even know the way.. Now  I think about it. - Tue Nov 10 07:57:52 2015
<br><br><font color=teal>*Rias(LionHunter) says: Well now you go another problem  - Tue Nov 10 08:00:25 2015
<br><br><font color=teal>*Shakaku, Daiki(Dazzer) says: Mhm.. - Tue Nov 10 08:02:08 2015
<br><br><font color=teal>*Ziare(Meekee) says: Hrm? - Tue Nov 10 08:04:41 2015
<br><br><font color=teal>*Ziare(Meekee) says: Do I have something on my face? - Tue Nov 10 08:04:41 2015
<br><br><font color=teal>*Rias(LionHunter) says: No - Tue Nov 10 08:04:41 2015
<br><br><font color=teal>*Ziare(Meekee) says: Why are you looking at me so closely? - Tue Nov 10 08:05:32 2015
<br><br><font color=teal>*Rias(LionHunter) says: Becasue I can~ - Tue Nov 10 08:06:24 2015
<br><br><font color=teal>*Rias(LionHunter) says: I hope Marrisa is ok... - Tue Nov 10 08:06:24 2015
<br><br><font color=teal>*Ziare(Meekee) says: I'll check over her. - Tue Nov 10 08:07:15 2015
<br><br><font color=yellow>*Rias(LionHunter) caught the wire and looked at it.... <I think I can make something that could help with this...> she thought to herself. he would ask Marrisa. "So your our teacher now? Should we call you Sensei~?" she wondered. "And we need chakra to shoot out the wire?" she questioned the logic of the jutsu... could it even be called a jutsu?* - Tue Nov 10 08:14:56 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: Right. . So the process behind this jutsu is deceptivly simple - Tue Nov 10 08:16:38 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: You keep the spool hidden in your sleeve or on your belt, or where ever. Then you gather up chakra and form your handsigns, flowing it into the hidden wire. With that don, you use your chakra to direct where you want the wire to go. It can be amazingly helpful in combat, or in a suprise attack.  - Tue Nov 10 08:18:20 2015
<br><br><font color=teal>*Rias(LionHunter) says: Well its not so much of a surprise to the two people behind us - Tue Nov 10 08:20:03 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: yea. . my bad.  .but let's hope neither of you ever have to fight ortho. .  - Tue Nov 10 08:20:54 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: In a real battle. .  - Tue Nov 10 08:20:54 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: I'd be dead right now. .  - Tue Nov 10 08:20:54 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: and so would both of you if you tired to engage him. .  - Tue Nov 10 08:20:54 2015
<br><br><font color=teal>*Rias(LionHunter) says: I can believe we could never take him in real fight - Tue Nov 10 08:21:45 2015
