<br><font color=teal>*Reguel(Airide) says: He went somewhere with some girl. - Thu Oct  1 00:17:55 2015
<br><br><font color=yellow>*Hideki(Assassin241) got his leg touched, as he winced in pain, but this of course stopped him from laughing evily. But instead he stared at Misa's hand, it is true, he wasn't acting like himself. Something in him just, cracked.* - Fri Oct  2 06:52:35 2015
<br><br><font color=yellow>*Hideki(Assassin241) grabbed her wrist, as she continued to squeeze on his leg, which was one of his femurs that were broken. He clenched his teeth holding back the pain she was giving him. "It's to late, for the old me, but the new me is a lot better, Misa." he stated rather blankly.* - Fri Oct  2 06:55:08 2015
<br><br><font color=yellow>*Hideki(Assassin241) slowly turned his head to look at Misa's emerald eyes, his eyes however, showing sorrow, hate, pain. He was hurting from the inside out, he didn't know what else to do, his mind was racing on what he could do to avenge those that have died near him, to those that got injured near him. He didn't know what to do.* - Fri Oct  2 06:57:42 2015
<br><br><font color=yellow>*Hideki(Assassin241) gently kissed Misa back, as he pulled away from her. "...What.....Was that for..."* - Fri Oct  2 07:01:58 2015
<br><br><font color=yellow>*Hideki(Assassin241) went in for another kiss, gently kissing her on the lips, his hand grabbing her shoulder, bringing her closer toward Hideki, his mind was starting to get cleared from whatever pain he was feeling from the lost of his loved ones. His heart was beating rapidly.* - Fri Oct  2 07:07:56 2015
<br><br><font color=yellow>*Hideki(Assassin241) saw that Misa pulled away, stating she took advantage of him, he was slightly confused as he stared at her while she went for the exit. "I see....." however his heart rate starting to go back to a steady pace. He was being used it would seem, he continued to stare blankly at the wall ahead of him. Not seeming to care that Misa left the room.* - Fri Oct  2 07:12:12 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: ----- - Fri Oct  2 07:13:04 2015
<br><br><font color=yellow>*Hideki(Assassin241) got a bird from Fujitora, after grabbing it and reading the information on it, he quickly wrote into the scroll, and after he was done doing that, he attached the scroll onto the birds leg, and had it fly off into the distance. Hoping no one would intercept the bird that he was sending to Fujitora on news of not only Tetsujin's abilities, but also news about his cousin's death.* - Fri Oct  2 09:06:33 2015
<br><br><font color=yellow>*Hideki(Assassin241) stared blankly at the wall while on his wheel chair, he was unable to do anything, and a factor still remained, he kept thinking in his mind, was Misa a spy? Why was she trying to toy with Hideki's feelings. Hideki was slowly losing his sanity, if it came down to it, he would kill Misa on the spot, but all in due time for that matter. He was thinking on what to do for right now, what did Seisuke want with Ushinawa's body? Was he also going to take Ushinawa's eye and implant it in himself? No, he can't allow that, no one is to wield the Sharingan unless they were of Uchiha blood-line.

Hideki couldn't allow this, or could he? What if he was to partner up with Erebus? And esentially take over the shinobi world, would peace be established then? Would there even be a need for wars anymore if he did? Erebus always preached about gods, and how Ushinawa and Erebus were gods of the sort. And yet, if they both were gods, why would Ushinawa have died so early in his life time. And a factor still remained, could Erebus also be killed? After what he witnessed when he took damage from Hanabi's snakes, they barely even seemed to scratch the surface on Erebus' body.

He placed his hands on his head, gripping his hair, his eyes widening, he has no idea on what to do. Fujitora, Hiewa, Niza, and Kush Misa were his only family members left, he wondered what the fuck Ushinawa and Mariana did to have themselves killed, Mariana though, was injured due to the fight against Tetsujin. Could it have been those injuries that could have killed her? Hideki started to inhale deeply and exhaled slowly soon after, as he moved his hands from the top of his head, and covered his face with both of his hands.

Slowly, he dropped his hands to his lap, so many decisions needed to be made, what was he to do? Kuro also preached about non violence acts, and yet we live in a world full of violence, we live in a world full of hate, we live in a world of betrayal. His hate just now started to fuel, rage building over his body, as he actually -finally- made his decision on who is actual target was. And that target was to remain the same, he was going to Kill Katsune and Kilm. But in order to do this successfully, he would need to get them both out of the same area.

He would need to isolate them, and if Erebus holds his end of the deal, then this shouldn't even be a problem. But however, what would Hideki do with his new fond power? What could it do, what could it mean? Could losing people have awakened his eyes? If this was the fact, then he would need to isolate himself from everyone, he would need to stop sharing feelings, stop sharing friendly bonds. He would have to cut them all off in general, his body started to shake all of a sudden, could it have been the fact that Hideki was getting excited? Or was it based off of fear?

By this point, Hideki didn't even know himsef, but he stopped shaking, and continued to sit in his wheel chair, staring at the wall ahead of him, thinking about why Mariana and Ushinawa got themselves killed, thinking about why they would leave their only son in this cruel world. In fact their son could barely defend himself, it was a sad yet true fact. Seisuke however, tried comforting Hiewa which was always a plus. Hideki wasn't good at those kind of things, and conisdering he was losing his sanity, he wasn't fit for the role of role model. * - Fri Oct  2 09:55:12 2015
<br><br><font color=yellow>*Hideki(Assassin241) continued to sit on his wheel chair, staring out in the distance.* - Fri Oct  2 23:08:48 2015
<br><br><font color=yellow>*Hideki(Assassin241) sighed, and patted Heiwa's head.

"I wish I knew what happened to your father, Heiwa. His death is still a mystery for me." he stated rather blankly, he continued to stare into the distance, after speaking with Heiwa.* - Fri Oct  2 23:14:46 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hmm.. - Fri Oct  2 23:20:44 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Do you know the fireball jutsu yet? - Fri Oct  2 23:20:44 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Fireball jutsu? - Fri Oct  2 23:20:44 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Mhm. - Fri Oct  2 23:20:44 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: No. - Fri Oct  2 23:20:44 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Do you know.... - Fri Oct  2 23:20:44 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Mist Servant Jutsu? It's a genjutsu however. - Fri Oct  2 23:21:36 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: No. Dad only tried to teach Kai..and.. - Fri Oct  2 23:21:36 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Right. - Fri Oct  2 23:22:27 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hmm.. - Fri Oct  2 23:22:27 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Here...Take this. - Fri Oct  2 23:22:27 2015
<br><br><font color=yellow>*Hideki(Assassin241) hands Heiwa the Mist Servant Technique scroll.* - Fri Oct  2 23:22:27 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Basically, when using the technique you can summon forth eerie black ninja that act as illusions. - Fri Oct  2 23:25:00 2015
<br><br><font color=teal>*Hideki(Assassin241) says: And once they are to be hit, they multiply. - Fri Oct  2 23:25:00 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: How many times? - Fri Oct  2 23:27:34 2015
<br><br><font color=teal>*Hideki(Assassin241) says: First time use. - Fri Oct  2 23:27:34 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I believe it's about two. - Fri Oct  2 23:28:25 2015
<br><br><font color=teal>*Hideki(Assassin241) says: But. - Fri Oct  2 23:28:25 2015
<br><br><font color=teal>*Hideki(Assassin241) says: If you master it. - Fri Oct  2 23:28:25 2015
<br><br><font color=teal>*Hideki(Assassin241) says: You can summon forth a lot more. - Fri Oct  2 23:28:25 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Did my dad ever use it? - Fri Oct  2 23:29:16 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Of course. - Fri Oct  2 23:29:16 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I'd rather..Not.. - Fri Oct  2 23:49:45 2015
<br><br><font color=teal>*Hideki(Assassin241) says: However, did your father ever give you the Genjutsu Kai scroll? - Fri Oct  2 23:49:45 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Mm. He did. I never read through it much. - Fri Oct  2 23:50:36 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I see, well when you're done with it. I'd like to read it, if you'd allow me to. - Fri Oct  2 23:50:36 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Mhm. Okay. - Fri Oct  2 23:51:28 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: ...You needed to speak to me? - Fri Oct  2 23:56:35 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Yes. - Fri Oct  2 23:56:35 2015
<br><br><font color=teal>*Hideki(Assassin241) says: You know of, Ushinawa's eyes....Right? - Fri Oct  2 23:56:35 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Yes, I do. - Fri Oct  2 23:58:17 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Then I shouldn't keep this a secret from you, Niza-sama. - Fri Oct  2 23:58:17 2015
<br><br><font color=teal>*Hideki(Assassin241) says: But I also have the same eyes, as Ushinawa. - Fri Oct  2 23:58:17 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I see...I assumed you would. - Fri Oct  2 23:59:08 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I just, didn't want to reveal it, because of what Ushinawa told me. When I was within Kenryoku. - Fri Oct  2 23:59:08 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Right...I understand. - Sat Oct  3 00:00:00 2015
<br><br><font color=teal>*Hideki(Assassin241) says: However, do you have any idea of what happened to Ushinawa? And Mariana? - Sat Oct  3 00:00:00 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: No....why? - Sat Oct  3 00:00:51 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Has something happened? - Sat Oct  3 00:00:51 2015
<br><br><font color=teal>*Hideki(Assassin241) says: . . . . - Sat Oct  3 00:00:51 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Do you not know that Ushinawa passed away? Along with Mariana? - Sat Oct  3 00:00:51 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ... - Sat Oct  3 00:00:51 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Mom..is gone too..? - Sat Oct  3 00:00:51 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: ........ - Sat Oct  3 00:00:51 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Yes. - Sat Oct  3 00:00:51 2015
<br><br><font color=teal>*Niza(Chevy Malibu) thinks: He just ruined that child's life...Ruthless... - Sat Oct  3 00:01:42 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ---- - Sat Oct  3 00:01:42 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: I just ruined his life. - Sat Oct  3 00:01:42 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: H- - Sat Oct  3 00:01:42 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Wh- - Sat Oct  3 00:01:42 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: ..... - Sat Oct  3 00:01:42 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: How? - Sat Oct  3 00:01:42 2015
<br><br><font color=teal>*Hideki(Assassin241) says: It's still a mystery. - Sat Oct  3 00:02:33 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: ..... - Sat Oct  3 00:02:33 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I also, notified Fujitora on this matter. - Sat Oct  3 00:03:24 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I see... - Sat Oct  3 00:03:24 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I... - Sat Oct  3 00:03:24 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: ... - Sat Oct  3 00:03:24 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: I am so fucking Ruthless. - Sat Oct  3 00:06:49 2015
<br><br><font color=yellow>*Hideki(Assassin241) looked at the raikage as he turned away. Hideki too was hurting in the inside and out for that matter. He spoke toward Niza "I know you're hurting Niza-sama...Trust me I am too..." he paused, Niza had yet to see what else Hideki unlocked deep within his eyes, after seeing Ushinawa's dead body, he unlocked something far more powerful, something far greater. He lost two mentors in a span of a month and a half. However, he sighed, as he then said "Just....be careful Niza-sama.... You, Heiwa, and Fujitora are the only family I have left."* - Sat Oct  3 00:16:12 2015
<br><br><font color=teal>***Raikage**(Chevy Malibu) says: .... - Sat Oct  3 01:22:46 2015
<br><br><font color=yellow>*Hideki(Assassin241) ||
Activates mangekyo sharingan and warps Niza into his kamui dimention.

omit* - Sat Oct  3 01:22:46 2015
<br><br><font color=teal>***Raikage**(Chevy Malibu) says: My senses. - Sat Oct  3 01:23:37 2015
<br><br><font color=teal>***Raikage**(Chevy Malibu) says: They were tingling. - Sat Oct  3 01:23:37 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hm? - Sat Oct  3 01:23:37 2015
<br><br><font color=teal>***Raikage**(Chevy Malibu) says: Everything is fine? - Sat Oct  3 01:23:37 2015
<br><br><font color=teal>*Hideki(Assassin241) says: For now, yes. But I am worried about a certain Individual in our village. - Sat Oct  3 01:23:37 2015
<br><br><font color=teal>***Raikage**(Chevy Malibu) says: Who? - Sat Oct  3 01:23:37 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Misa, she has been acting rather...Strange. - Sat Oct  3 01:23:37 2015
<br><br><font color=teal>***Raikage**(Chevy Malibu) says: I see. - Sat Oct  3 01:24:28 2015
<br><br><font color=teal>***Raikage**(Chevy Malibu) says: I will investigae. - Sat Oct  3 01:24:28 2015
<br><br><font color=teal>*Hideki(Assassin241) says: However. - Sat Oct  3 01:24:28 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Be very cautious of her, Niza-sama. - Sat Oct  3 01:24:28 2015
<br><br><font color=teal>*Hideki(Assassin241) says: She's very....tricky I should say. - Sat Oct  3 01:24:28 2015
<br><br><font color=teal>***Raikage**(Chevy Malibu) says: I see. - Sat Oct  3 01:24:28 2015
<br><br><font color=teal>***Raikage**(Chevy Malibu) says: I will be as cautious as possible. - Sat Oct  3 01:24:28 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Be safe. - Sat Oct  3 01:24:28 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Well.... - Sat Oct  3 03:35:02 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Misa is acting rather....Strange right now, Heiwa. - Sat Oct  3 03:35:53 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Strange how? - Sat Oct  3 03:41:00 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Acting differently. Playing with peoples feelings. - Sat Oct  3 03:41:52 2015
<br><br><font color=teal>*Hideki(Assassin241) says: That sort of deal. - Sat Oct  3 03:41:52 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: I see. Do you..think it has anything to do with my parents? - Sat Oct  3 03:43:34 2015
<br><br><font color=teal>*Hideki(Assassin241) says: No idea. - Sat Oct  3 03:47:50 2015
<br><br><font color=teal>*Hideki(Assassin241) says: -- - Sat Oct  3 04:07:28 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: ...This is kind of awkward. - Sat Oct  3 04:13:26 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: . . . - Sat Oct  3 04:13:26 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: How are you... - Sat Oct  3 04:14:17 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ......Fine.. - Sat Oct  3 04:14:17 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Still in pain? - Sat Oct  3 04:14:17 2015
<br><br><font color=teal>*Hideki(Assassin241) says: .......I don't think that's any of your concern. - Sat Oct  3 04:14:17 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: . . . - Sat Oct  3 04:15:08 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: It is my concern... - Sat Oct  3 04:15:08 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Highly doubt. - Sat Oct  3 04:16:00 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: . . . Why are you being so hostile? - Sat Oct  3 04:16:00 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Dunno.. - Sat Oct  3 04:16:51 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: . . . - Sat Oct  3 04:17:42 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ... - Sat Oct  3 04:17:42 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Have I wronged you? - Sat Oct  3 04:17:42 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Possibly. - Sat Oct  3 04:18:33 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Doesn't matter, though. - Sat Oct  3 04:18:33 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: . . . - Sat Oct  3 04:19:24 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: What's wrong? - Sat Oct  3 04:19:24 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Nothing. - Sat Oct  3 04:20:16 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Nothing at all. - Sat Oct  3 04:20:16 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: I.....--------------- - Sat Oct  3 04:20:16 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Im sorry...If I...did anything wrong.. - Sat Oct  3 04:27:05 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Right.. - Sat Oct  3 04:28:48 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Look..... - Sat Oct  3 04:34:46 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Something is obviously wrong... - Sat Oct  3 04:34:46 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hm? - Sat Oct  3 04:35:37 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Can you man up....and talk to me? - Sat Oct  3 04:36:28 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I am talking to you, though. - Sat Oct  3 04:37:20 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Are you really though? - Sat Oct  3 04:38:11 2015
<br><br><font color=teal>*Hideki(Assassin241) says: What's that suppose to mean? - Sat Oct  3 04:38:11 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: You' - Sat Oct  3 04:39:02 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: You're being rude... - Sat Oct  3 04:39:02 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I think it was pretty rude what you did last night aswell. - Sat Oct  3 04:39:02 2015
<br><br><font color=teal>*Hideki(Assassin241) says: But I won't complain. - Sat Oct  3 04:39:02 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: What did I do? - Sat Oct  3 04:39:53 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Nothin. - Sat Oct  3 04:40:44 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Then why are you being such an ass? - Sat Oct  3 04:40:44 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I guess you can say, I've changed quiet a bit. - Sat Oct  3 04:41:36 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: ... - Sat Oct  3 04:42:27 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hm - Sat Oct  3 04:45:00 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ? - Sat Oct  3 04:45:00 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: I...I don't know what to say to you... - Sat Oct  3 04:46:43 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Odd..... - Sat Oct  3 04:46:43 2015
<br><br><font color=teal>*Hideki(Assassin241) says: You don't know what to say to me. - Sat Oct  3 04:46:43 2015
<br><br><font color=teal>*Hideki(Assassin241) says: But yet, didn't you say you took advantage of me.. - Sat Oct  3 04:46:43 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Odd.. - Sat Oct  3 04:46:43 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Very odd, Misa. - Sat Oct  3 04:46:43 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Yes...we were both vulnerable emotionally...and I did something I shouldn't have done....but I said I was sorry. - Sat Oct  3 04:48:25 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Odd.. - Sat Oct  3 04:48:25 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Why are you doing this? - Sat Oct  3 05:01:13 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Doing what? - Sat Oct  3 05:02:04 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Pushing me away. - Sat Oct  3 05:02:04 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Odd... - Sat Oct  3 05:02:56 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: . . . - Sat Oct  3 05:04:38 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: ...Why is everyone here. - Sat Oct  3 05:05:29 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Hideki. - Sat Oct  3 05:05:29 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hm? - Sat Oct  3 05:06:20 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Are you doing well? - Sat Oct  3 05:06:20 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Yeah. - Sat Oct  3 05:06:20 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Kuro wanted to ask you something. - Sat Oct  3 05:07:12 2015
<br><br><font color=teal>*Hideki(Assassin241) says: .... - Sat Oct  3 05:07:12 2015
<br><br><font color=teal>*Hideki(Assassin241) says: What. - Sat Oct  3 05:07:12 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Mamoru...How is your jaw? - Sat Oct  3 05:07:12 2015
<br><br><font color=yellow>*Hideki(Assassin241) ||
Kamui'd this fool into his pocket dimnetion.

omit* - Sat Oct  3 05:08:03 2015
<br><br><font color=teal>*Kuro(Ichigo10101) thinks: I did? -repost- - Sat Oct  3 05:09:45 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Right. - Sat Oct  3 05:10:36 2015
<br><br><font color=teal>*Hideki(Assassin241) whispers: Why are you all here? - Sat Oct  3 05:10:36 2015
<br><br><font color=teal>*Hideki(Assassin241) whispers: omit - Sat Oct  3 05:11:28 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Why are you all here? - Sat Oct  3 05:11:28 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) whispers: Hey there lil mamma lemme whisper in your ear~ - Sat Oct  3 05:11:28 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: My jaw? It's getting better. - Sat Oct  3 05:12:19 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Mamoru brought me here. - Sat Oct  3 05:12:19 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I see. - Sat Oct  3 05:12:19 2015
<br><br><font color=teal>*Hideki(Assassin241) says: You all have fun now. - Sat Oct  3 05:12:19 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Do you need another dose? - Sat Oct  3 05:13:10 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Don't worry - Sat Oct  3 05:15:44 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Probably might need one. - Sat Oct  3 05:15:44 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I won't let them sell you. - Sat Oct  3 05:15:44 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Thank you. - Sat Oct  3 05:15:44 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) thinks: The lord approves of the black market - Sat Oct  3 05:15:44 2015
<br><br><font color=teal>*Hideki(Assassin241) says: -- - Sat Oct  3 05:15:44 2015
<br><br><font color=teal>*Reign(Psychic_Warrior) says: Look.... - Sat Oct  3 05:16:35 2015
<br><br><font color=teal>*Reign(Psychic_Warrior) says: At all of the worms in this room right now. - Sat Oct  3 05:16:35 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ---- - Sat Oct  3 05:17:26 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: . . . - Sat Oct  3 05:17:26 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: ..... - Sat Oct  3 05:17:26 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) thinks: The lord Also approves of worms - Sat Oct  3 05:17:26 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ---- - Sat Oct  3 05:17:26 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: I'm in a damn wheel chair. - Sat Oct  3 05:18:17 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: With broken bones. - Sat Oct  3 05:18:17 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Is this really happening to me. - Sat Oct  3 05:18:17 2015
<br><br><font color=teal>*Reign(Psychic_Warrior) says: I seek a couple of bodies. - Sat Oct  3 05:18:17 2015
<br><br><font color=teal>*Reign(Psychic_Warrior) says: Anatomical research and purposes. - Sat Oct  3 05:18:17 2015
<br><br><font color=teal>*Reign(Psychic_Warrior) says: You will all fit this agenda nicely. - Sat Oct  3 05:18:17 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Will those purposes be used for evil deeds? - Sat Oct  3 05:18:17 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) thinks: The lord approves of evil deeds - Sat Oct  3 05:19:08 2015
<br><br><font color=teal>*Reign(Psychic_Warrior) says: -------- - Sat Oct  3 05:19:08 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ---- - Sat Oct  3 05:19:08 2015
<br><br><font color=teal>*Reign(Psychic_Warrior) says: ..... - Sat Oct  3 05:19:08 2015
<br><br><font color=teal>*Reign(Psychic_Warrior) says: It appears..... - Sat Oct  3 05:19:08 2015
<br><br><font color=teal>*Reign(Psychic_Warrior) says: The father is here. - Sat Oct  3 05:19:08 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: ..... - Sat Oct  3 05:20:00 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: ? - Sat Oct  3 05:20:00 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: .... - Sat Oct  3 05:20:00 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: ..D..Daddy? - Sat Oct  3 05:20:00 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Oh. Him. - Sat Oct  3 05:20:00 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Papa...? - Sat Oct  3 05:20:00 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: You lied. - Sat Oct  3 05:20:00 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: That is not papa. - Sat Oct  3 05:20:00 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: ....Who are you? - Sat Oct  3 05:20:00 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: . . . - Sat Oct  3 05:20:00 2015
<br><br><font color=teal>*Reign(Psychic_Warrior) says: I'm Reign. - Sat Oct  3 05:20:00 2015
<br><br><font color=teal>*Reign(Psychic_Warrior) says: It's only proper for me to give you my name after all, seeing as you're going to fall to me. You can ruminate over the meaning of my name when I sentence you to purgatory. - Sat Oct  3 05:20:51 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Will I get to see the lord? - Sat Oct  3 05:20:51 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: ....Fall? - Sat Oct  3 05:20:51 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: To you? - Sat Oct  3 05:20:51 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: In my current state..I can't do much. - Sat Oct  3 05:20:51 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: ...You think I'm a pushover... - Sat Oct  3 05:20:51 2015
<br><br><font color=teal>*Reign(Psychic_Warrior) says: I don't think you're a pushover. I know you're a pushover. - Sat Oct  3 05:21:42 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I see... - Sat Oct  3 05:21:42 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Lord Niza. - Sat Oct  3 05:21:42 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Let me handle him.  - Sat Oct  3 05:21:42 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: That does not answer my question. - Sat Oct  3 05:21:42 2015
