<br><font color=teal>*Ambrocio(XenoKuthric) says: ... - Thu Oct  8 22:10:46 2015
<br><br><font color=yellow>*Hideki(Assassin241) ||

headbutted this nigga Heiwa. "You stealin my woman ya fgt?""


omit* - Fri Oct  9 05:49:00 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Hey Hideki. - Fri Oct  9 15:47:12 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hello, Nina. - Fri Oct  9 15:47:12 2015
<br><br><font color=yellow>*Hideki(Assassin241) beats the fuck out of Nina. "INITIATION!"

omit* - Fri Oct  9 15:48:54 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: . . .So, who is the new leader? - Fri Oct  9 15:48:54 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Deez nuts. - Fri Oct  9 15:48:54 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I was informed someone here would be teaching. - Fri Oct  9 15:48:54 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: May I inquire to what? - Fri Oct  9 15:48:54 2015
<br><br><font color=yellow>*Hideki(Assassin241) stretched for a short while, then observed the others. "Yeah, I'm the one teaching at the moment. I was recently promoted to a Jounin." he stated.* - Fri Oct  9 15:49:45 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Booooooooooooooooooooooooooooooooo. - Fri Oct  9 15:49:45 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I'll be teaching you guys Suimen. - Fri Oct  9 15:49:45 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I can understand why giving your villages recent...events. - Fri Oct  9 15:49:45 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Suimen? - Fri Oct  9 15:49:45 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Mhm. - Fri Oct  9 15:49:45 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Is that the ability to walk on water or am I mistaken? - Fri Oct  9 15:50:36 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Yes, you apply chakra to the soles of your feet, and you can use that to walk on any surface. - Fri Oct  9 15:50:36 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I see, It's not jutsu but i'll learn it. I can see where that will come in handy. - Fri Oct  9 15:51:28 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Mhm. - Fri Oct  9 15:51:28 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: That is of course, if you'll have me. - Fri Oct  9 15:51:28 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Of course, anyone is invited to learn. - Fri Oct  9 15:52:19 2015
<br><br><font color=teal>*Hideki(Assassin241) says: We can start now, since no one else is coming it seems. - Fri Oct  9 15:52:19 2015
<br><br><font color=yellow>*Hideki(Assassin241) looked around once more, and nodded his head. "Follow me." he stated as he started to walk off, hoping the others followed.* - Fri Oct  9 15:56:35 2015
<br><br><font color=yellow>*Hideki(Assassin241) and the other genin finally made it to their destination. He then evenly distributed chakra to the soles of his feet, as he started to walk on the water. He turned around looking at the young genin before him. "It's rather easy to use this technique, however you -must- evenly distribute chakra to the soles of your feet, however if you distribute to much, you'll fall right into the water and get your cloths wet." he stated as he waited to see if the other genin perform the suimen technique.* - Fri Oct  9 16:02:33 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Wu- - Fri Oct  9 16:11:05 2015
<br><br><font color=teal>*Hideki(Assassin241) says: omit - Fri Oct  9 16:11:05 2015
<br><br><font color=yellow>*Hideki(Assassin241) nodded his head in approval. "Great job....However, I have to go somewhere....So you guys keep training, Ortho if you want to come with, you can." he stated before heading out, ordering himself a caravan.* - Fri Oct  9 16:17:04 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I'll tag along. I'll have ot discuss something with you anyways. - Fri Oct  9 16:17:04 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: (Rping for my sharingan) - Fri Oct  9 16:17:55 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Hm. - Fri Oct  9 16:17:55 2015
<br><br><font color=teal>*Hideki(Assassin241) whispers: Alright) - Fri Oct  9 16:17:55 2015
<br><br><font color=yellow>*Hideki(Assassin241) ||
Hideki and Ortho were on their way to Konohue.* - Fri Oct  9 16:17:55 2015
<br><br><font color=yellow>*Hideki(Assassin241) and Ortho arrived to Konohagakure, Hideki however, shunshined over the rubble that was blocking the enterance to Konohagakure.* - Fri Oct  9 16:19:37 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Ur fkin dun kid - Fri Oct  9 16:20:28 2015
<br><br><font color=teal>*Hideki(Assassin241) says: omit - Fri Oct  9 16:20:28 2015
<br><br><font color=yellow>*Hideki(Assassin241) appeared at the konohagakure square. His eyes however, shifted to see a new individual that he's never seen before. He continued to stare at him.* - Fri Oct  9 16:26:27 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Who are you? - Fri Oct  9 16:27:18 2015
<br><br><font color=teal>*Azure(LordxPatrick) says: Who are you? - Fri Oct  9 16:27:18 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ---- - Fri Oct  9 16:27:18 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Sherlock. - Fri Oct  9 16:27:18 2015
<br><br><font color=teal>*Azure(LordxPatrick) says: They call me Holmes. - Fri Oct  9 16:27:18 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: Kill him with fire. -omit- - Fri Oct  9 16:27:18 2015
<br><br><font color=teal>*Hideki(Assassin241) says: omit - Fri Oct  9 16:27:18 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hideki. - Fri Oct  9 16:27:18 2015
<br><br><font color=teal>*Azure(LordxPatrick) says: I'm Azure. - Fri Oct  9 16:27:18 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Nice to meet you, Azure. - Fri Oct  9 16:27:18 2015
<br><br><font color=teal>*Azure(LordxPatrick) says: Pleasure is mine, Mr. Hideki. - Fri Oct  9 16:28:09 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Any news on your villages progression? - Fri Oct  9 16:28:09 2015
<br><br><font color=teal>*Azure(LordxPatrick) says: Uh... - Fri Oct  9 16:28:09 2015
<br><br><font color=teal>*Azure(LordxPatrick) says: Well...You see. When a village gets fucking rekt...Takes some time. You know? - Fri Oct  9 16:28:09 2015
<br><br><font color=teal>*Azure(LordxPatrick) says: We haven't made much progress.... - Fri Oct  9 16:28:09 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: Fuck it.. Drown him. - Fri Oct  9 16:29:00 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I se- - Fri Oct  9 16:29:00 2015
<br><br><font color=teal>*Hideki(Assassin241) whispers: Calm... - Fri Oct  9 16:29:00 2015
<br><br><font color=teal>*Hideki(Assassin241) says: No one stepped up to be the new Kage? - Fri Oct  9 16:29:52 2015
<br><br><font color=teal>*Azure(LordxPatrick) says: I don't even pretend we have a hierarchy anymore. - Fri Oct  9 16:29:52 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hm... - Fri Oct  9 16:29:52 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Has anyone by the name of Edge been here before? - Fri Oct  9 16:30:43 2015
<br><br><font color=teal>*Azure(LordxPatrick) says: Edge... - Fri Oct  9 16:30:43 2015
<br><br><font color=teal>*Azure(LordxPatrick) says: Nope. Never heard of him. - Fri Oct  9 16:30:43 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I see. - Fri Oct  9 16:31:34 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Well... - Fri Oct  9 16:32:25 2015
<br><br><font color=teal>*Hideki(Assassin241) says: We'll be on our way then. - Fri Oct  9 16:32:25 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Thanks. - Fri Oct  9 16:32:25 2015
<br><br><font color=teal>*Azure(LordxPatrick) says: Yo. - Fri Oct  9 16:32:25 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hm? - Fri Oct  9 16:32:25 2015
<br><br><font color=teal>*Azure(LordxPatrick) says: Where you going? - Fri Oct  9 16:32:25 2015
<br><br><font color=teal>*Nozumi(Dragonfile) says: u dead nigga. - Fri Oct  9 16:32:25 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Back ho- - Fri Oct  9 16:32:25 2015
<br><br><font color=teal>*Nozumi(Dragonfile) says: Thats what. - Fri Oct  9 16:32:25 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Well, we're going to be heading back home. - Fri Oct  9 16:33:16 2015
<br><br><font color=teal>*Azure(LordxPatrick) says: Where's home? - Fri Oct  9 16:33:16 2015
<br><br><font color=teal>*Hideki(Assassin241) says: That's classified. - Fri Oct  9 16:34:08 2015
<br><br><font color=teal>*Azure(LordxPatrick) says: Sounds fun. - Fri Oct  9 16:34:08 2015
<br><br><font color=teal>*Azure(LordxPatrick) says: We leaving now? - Fri Oct  9 16:34:08 2015
<br><br><font color=teal>*Hideki(Assassin241) says: --- - Fri Oct  9 16:34:08 2015
<br><br><font color=teal>*Hideki(Assassin241) says: We? - Fri Oct  9 16:34:08 2015
<br><br><font color=teal>*Azure(LordxPatrick) says: We is a term used to describe a group... - Fri Oct  9 16:34:08 2015
<br><br><font color=teal>*Azure(LordxPatrick) says: So yeah. We. - Fri Oct  9 16:34:08 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Yes, I know. But I don't remember.. - Fri Oct  9 16:34:08 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Adding you to our group. - Fri Oct  9 16:34:08 2015
<br><br><font color=teal>*Azure(LordxPatrick) says: You didn't. I did. - Fri Oct  9 16:34:59 2015
<br><br><font color=teal>*Hideki(Assassin241) says: That's to bad. - Fri Oct  9 16:34:59 2015
<br><br><font color=teal>*Azure(LordxPatrick) says: I got snacks?~ - Fri Oct  9 16:34:59 2015
<br><br><font color=teal>*Hideki(Assassin241) says: You got to prove to me that your fit for our group however. - Fri Oct  9 16:34:59 2015
<br><br><font color=teal>*Azure(LordxPatrick) says: Oh? - Fri Oct  9 16:34:59 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Well.. - Fri Oct  9 16:35:50 2015
<br><br><font color=teal>*Hideki(Assassin241) says: We'll be on our way. - Fri Oct  9 16:35:50 2015
<br><br><font color=teal>*Nozumi(Dragonfile) says: Better pnk. - Fri Oct  9 16:36:41 2015
<br><br><font color=teal>*Azure(LordxPatrick) says: I'll make you a deal, eh? - Fri Oct  9 16:36:41 2015
<br><br><font color=yellow>*Hideki(Assassin241) quickly did a set of handsigns, mixing katon chakra within his bodies system with the oxygen in his system, mixing the two together, his chest however expanded, as he jumped back at sent a fireball toward the kage statue. And if it was to collide with it, it would fling up debris, and smoke. As Hideki grabbed Ortho and they were gone from the area, as they went back into their caravan and went back to Kumogakure no sato. However, from the fireball colliding with the statue, it also created a smoke screen to cover there escape.* - Fri Oct  9 16:39:15 2015
<br><br><font color=yellow>*Hideki(Assassin241) ||
The fireball still created a smoke screen, you blind now homes. We outty.* - Fri Oct  9 16:40:57 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: That was quick. - Fri Oct  9 16:43:31 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Yeah. - Fri Oct  9 17:01:26 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Hideki. - Fri Oct  9 17:08:16 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hm? - Fri Oct  9 17:08:16 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I know you're busy with being a Jounin...and now even more busy since what happened here. - Fri Oct  9 17:09:07 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Yeah.. - Fri Oct  9 17:09:07 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: But I was wondering if you'd train me? - Fri Oct  9 17:09:07 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hm.. - Fri Oct  9 17:09:07 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Or at least teach me some stuff. - Fri Oct  9 17:09:07 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Take this chakra paper. - Fri Oct  9 17:09:58 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: .... - Fri Oct  9 17:10:49 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Chakra paper? - Fri Oct  9 17:10:49 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Why? - Fri Oct  9 17:10:49 2015
<br><br><font color=teal>*Hideki(Assassin241) says: So I can see your elements. - Fri Oct  9 17:10:49 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I can use all five. - Fri Oct  9 17:10:49 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ---- - Fri Oct  9 17:10:49 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: And am proficient in all five. - Fri Oct  9 17:10:49 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: So can I. - Fri Oct  9 17:10:49 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: omit - Fri Oct  9 17:10:49 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hmm.. - Fri Oct  9 17:11:40 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I'll learn anything you can give me. - Fri Oct  9 17:12:32 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Jutsu, skills, anything. - Fri Oct  9 17:12:32 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Learn deez nuts, bitch. - Fri Oct  9 17:12:32 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Do you know how to flow chakra through your blade? - Fri Oct  9 17:12:32 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Or a kunai for that matter. - Fri Oct  9 17:12:32 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: --- - Fri Oct  9 17:13:23 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: No, But i've been meaning to learn that. - Fri Oct  9 17:13:23 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I've seen multiple people accomplish that, It would be much appreciated if you could teach e. - Fri Oct  9 17:13:23 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Alright. - Fri Oct  9 17:13:23 2015
<br><br><font color=teal>*Hideki(Assassin241) says: We'll start now then. - Fri Oct  9 17:13:23 2015
<br><br><font color=yellow>*Hideki(Assassin241) he took out a scroll and tossed it to Hideyoshi. "....I would teach you personally, but however I forgot I needed to take care of something."* - Fri Oct  9 17:14:14 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: It's fine. - Fri Oct  9 17:15:05 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: .... - Fri Oct  9 17:15:05 2015
<br><br><font color=yellow>*Hideki(Assassin241) got a bird, unraveled the scrol, stared at it for awhile, reading its contents. He threw it on the ground, did several handsigns and burned that shit. That scroll was bout gay as hell.* - Fri Oct  9 17:16:48 2015
<br><br><font color=yellow>*Hideki(Assassin241) sat down across from her.* - Fri Oct  9 17:28:44 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hello there. - Fri Oct  9 17:36:25 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: . . . ? - Fri Oct  9 17:37:16 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Hi. . - Fri Oct  9 17:37:16 2015
<br><br><font color=teal>*Hideki(Assassin241) says: What's your name? - Fri Oct  9 17:37:16 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Genesis. - Fri Oct  9 17:38:08 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Nice to meet you, Genesis. My name is Hideki. - Fri Oct  9 17:38:59 2015
<br><br><font color=teal>*Hideki(Assassin241) says: So, what do you do? Are you a ninja? - Fri Oct  9 17:40:41 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: No. - Fri Oct  9 17:43:15 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: I'm the head medic of Kumogakure. - Fri Oct  9 17:43:15 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Oh, that's right. I see. - Fri Oct  9 17:43:15 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Any news of who is the new Raikage by chance? - Fri Oct  9 17:44:06 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: The country is silent, Hideki. They hold their breath because they do not know who will lead them. - Fri Oct  9 17:45:48 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hm....... - Fri Oct  9 17:45:48 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Do you hold your breath because you are not aware of your leader? - Fri Oct  9 17:48:22 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: I'm tired of the silence. I'm tired of the cowardice that this country holds.  - Fri Oct  9 17:48:22 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: My brother is dead. - Fri Oct  9 17:49:13 2015
<br><br><font color=teal>*Hideki(Assassin241) says: .... - Fri Oct  9 17:49:13 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I'm sorry to hear that, Genesis. - Fri Oct  9 17:49:13 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: .... - Fri Oct  9 17:49:13 2015
<br><br><font color=teal>*Hideki(Assassin241) says: However. - Fri Oct  9 17:50:04 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I don't hold my breath wondering who the new leader is. - Fri Oct  9 17:50:56 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: .... - Fri Oct  9 17:50:56 2015
<br><br><font color=teal>*Hideki(Assassin241) says: However, this country, Kumogakure. Isn't cowardly. - Fri Oct  9 17:50:56 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) thinks: She'll speak to him...but not me... - Fri Oct  9 17:51:47 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) thinks: I've done something wrong... - Fri Oct  9 17:51:47 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: .... - Fri Oct  9 17:52:38 2015
<br><br><font color=teal>*Hideki(Assassin241) says: https://gyazo.com/15856ee5fb0c38d551bbc4110957cb8e <Repost> - Fri Oct  9 17:52:38 2015
<br><br><font color=teal>*Hideki(Assassin241) says: So....I assume that you'll try to change that? - Fri Oct  9 17:55:12 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Try? No - Fri Oct  9 17:55:12 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: I -will- - Fri Oct  9 17:55:12 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Heh.....So you plan on going for Raikage in order to change this? - Fri Oct  9 17:55:12 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: .... - Fri Oct  9 17:56:03 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: I'm not interested in a military rank, Hideki. I'm not strong, I'm not worthy of being the protector and guardian of this village. Everyone has forgtten of their previous rulers. - Fri Oct  9 17:56:03 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: forgotten*> - Fri Oct  9 17:56:03 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Before this whole country was integrated into a system of espionage. - Fri Oct  9 17:56:03 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: and Ninja warfare. - Fri Oct  9 17:56:54 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Before it was supported by Lightning Daimyos. - Fri Oct  9 17:56:54 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: The greed of people made this country suffer, when it was doing well in the past. - Fri Oct  9 17:56:54 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Do you understand what I'm speaking about? - Fri Oct  9 17:57:45 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Yes, I do. - Fri Oct  9 17:57:45 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: My clan, my bloodline was the ruling dynasty of this country before the arts of recording history and written documents existed. - Fri Oct  9 17:57:45 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: WE were the ancient rulers. - Fri Oct  9 17:57:45 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Second, Ortho. - Fri Oct  9 17:58:36 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Continue, Genesis. - Fri Oct  9 17:58:36 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) thinks: ...Ancient...rulers? - Fri Oct  9 17:58:36 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ---------- - Fri Oct  9 17:59:28 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Oh no.. - Fri Oct  9 17:59:28 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Only my bloodline has recorded every individual that has existed, and at least had a bit of power, they were the heads of the state for so long. From The First Yamanshi King, Fengsis. - Fri Oct  9 18:00:19 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I see... - Fri Oct  9 18:01:10 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: To the great conquerer king, Dig'rist, and to the great depraved steward queen, Aeschylus - Fri Oct  9 18:01:10 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: We've all ruled. - Fri Oct  9 18:01:10 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: And to be overthrown by some petty - Fri Oct  9 18:01:10 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Coup'detat - Fri Oct  9 18:02:01 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Pitiful, disgusting. - Fri Oct  9 18:02:01 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: This is the reason why this country has succumbed to such low standings - Fri Oct  9 18:02:01 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: In the world. - Fri Oct  9 18:02:01 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: When it was so great. - Fri Oct  9 18:02:01 2015
<br><br><font color=teal>*Hideki(Assassin241) says: It's still a great country. - Fri Oct  9 18:02:01 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: A great country doesn't have single invaders blow up their mountains. - Fri Oct  9 18:02:52 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: and kill their leaders. - Fri Oct  9 18:02:52 2015
<br><br><font color=teal>*Hideki(Assassin241) says: However, from the way you're talking, you seem like you want the position of Raikage...However, if you do go for the position and get it.....I request one thing from you. - Fri Oct  9 18:02:52 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) thinks: ....This sounds like something beyond...Raikage... - Fri Oct  9 18:03:44 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: What is it that you request? - Fri Oct  9 18:03:44 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I want control of the military, one hundred percent of it. - Fri Oct  9 18:04:35 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Control of the military is a great, and big thing. Do you know that those of the Yamanshi Dynasty of the past, to those that have not gotten the crown were given high general positions? And had tried to overthrow their own blood for the throne of this country? Do you understand the power, and responsiblity that you'll be receiving even if you are not of the Yamanshi Bloodline? - Fri Oct  9 18:06:17 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: you are not of the Yamanshi Bloodline? - Fri Oct  9 18:06:17 2015
<br><br><font color=yellow>*Hideki(Assassin241) got a bird that landed on his shoulder, the scroll dropped into his lap, he quickly unraveled it and read it's contents. He nodded his head, and rolled up the scroll, as he got up from his seat. "Sorry to say, however you are not to lead. I just read this scroll and it seems he was framed. Good day." he stated as he started to walk out of the ramen shop.* - Fri Oct  9 18:08:00 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: .... - Fri Oct  9 18:11:24 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) thinks: -- - Fri Oct  9 18:11:24 2015
<br><br><font color=yellow>*Hideki(Assassin241) turned around, he took a glance at Genesis's face. "This scroll tells everything. You are not to lead, and I will abide by this scroll however...Niza was also a relative to me. And if he was framed, then he was framed." he stated as he continued to stare at Genesis, a rather blank expression was on his face by this point.* - Fri Oct  9 18:13:07 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: .... - Fri Oct  9 18:13:58 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: The Raikage was framed? - Fri Oct  9 18:13:58 2015
<br><br><font color=teal>*Hideki(Assassin241) says: From what it says on this scroll, he was. - Fri Oct  9 18:13:58 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Framed for...? - Fri Oct  9 18:14:49 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Doesn't say what he was framed for. Just says he was framed. - Fri Oct  9 18:14:49 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: .... - Fri Oct  9 18:14:49 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Your sources are horrendous. - Fri Oct  9 18:14:49 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Sit down, Hideki. - Fri Oct  9 18:14:49 2015
<br><br><font color=yellow>*Hideki(Assassin241) shifted his gaze toward Sabo, glancing at the mans face.* - Fri Oct  9 18:16:32 2015
<br><br><font color=teal>*Hideki(Assassin241) says: . . . . - Fri Oct  9 18:16:32 2015
<br><br><font color=yellow>*Hideki(Assassin241) ||
And just like that, Hideki placed Sabo into a genjutsu with his sharingans visual prowess. And once he was caught in the genjutsu, he looked at Genesis. And if this technique was to work, he'd have Sabo stand there silently like he was doing before hand, saving him for later.* - Fri Oct  9 18:19:56 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Sorry Sabo buddy...But I'm going to need you to stay immobile. - Fri Oct  9 18:22:30 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: Mmn.. - Fri Oct  9 18:25:04 2015
<br><br><font color=teal>*Hideki(Assassin241) says: However...This scroll and it's contents will remain with me, Genesis. - Fri Oct  9 18:25:04 2015
<br><br><font color=teal>*Hideki(Assassin241) says: And I will hand this scroll. To the person that's suppose to take the roll as Raikage. - Fri Oct  9 18:25:55 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Have you not heard me? - Fri Oct  9 18:25:55 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Sabo will probably know what I did sooner or later, which will put me in a tight spot.. - Fri Oct  9 18:25:55 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: I do not want the Raikage Position, Hideki. That is a position only for someone with great military prowess. - Fri Oct  9 18:26:46 2015
<br><br><font color=teal>*Hideki(Assassin241) says: So you want to command in the shadows? - Fri Oct  9 18:26:46 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: I want the Lightning country to usher into a golden age once more, I want the lightning country to know of their true ruling dynasty. I could care less of who takes the mantle of the military as long as they perform with the monarch's will in mind.  - Fri Oct  9 18:27:37 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: I'm weak, I have no power in fighting. - Fri Oct  9 18:27:37 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: The strong has polished their fangs. - Fri Oct  9 18:28:28 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: I've polished my wisdom. - Fri Oct  9 18:28:28 2015
