<br><font color=teal>*Hideki(Assassin241) says: omit - Sun Oct  4 05:08:28 2015
<br><br><font color=teal>*Hideki(Assassin241) says: --------- - Sun Oct  4 21:03:21 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Icecream? - Sun Oct  4 21:03:21 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Or is it a bomb.. - Sun Oct  4 21:03:21 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) thinks: ..Ended the spar for this..? - Sun Oct  4 21:03:21 2015
<br><br><font color=yellow>*Hideki(Assassin241) threw a kunai at the paper birds that were bringing Suitengu the bowl.

omit* - Sun Oct  4 21:04:12 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hmm.. - Sun Oct  4 21:05:04 2015
<br><br><font color=teal>*Hideki(Assassin241) says: What's your name - Sun Oct  4 21:05:04 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: ..Ortho.. - Sun Oct  4 21:05:04 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I see, do you know the fuuton element? - Sun Oct  4 21:05:55 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I do. - Sun Oct  4 21:05:55 2015
<br><br><font color=yellow>*Hideki(Assassin241) took off the gunbai that was on his back, however there was a chain connecting the two together. However he lent the gunbai over to Ortho. "Here....I think you'll find more use for it then I will, my mentor gave this to me before he passed away, and I want to pass it down to someone who would probably have more use for it than I." he stated as he gave the gunbai to Ortho. "How old are you, Ortho?"* - Sun Oct  4 21:06:46 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I see. - Sun Oct  4 21:11:53 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Take good care of it. - Sun Oct  4 21:11:53 2015
<br><br><font color=yellow>*Hideki(Assassin241) ||
Hideki had his sharingan scanning Sabo. "Been awhile, Sabo." * - Sun Oct  4 21:19:34 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: I thought Suitengu was the only on with unique eyes... - Sun Oct  4 21:21:16 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: (Yes, I purposely said that outloud.) - Sun Oct  4 21:22:08 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: (Rather to myself, that directly to you) - Sun Oct  4 21:22:08 2015
<br><br><font color=teal>*Hideki(Assassin241) whispers: kk) - Sun Oct  4 21:22:08 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: (I aint a fuck boy that's gonna -think- and pussy out) - Sun Oct  4 21:22:08 2015
<br><br><font color=teal>*Hideki(Assassin241) whispers: Yes, I too have unique eyes. - Sun Oct  4 21:22:08 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: I see.. - Sun Oct  4 21:22:59 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: gimme (omit) - Sun Oct  4 21:22:59 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) thinks: Sabo...I spoke to him before...He looks like he's changed... - Sun Oct  4 21:23:50 2015
<br><br><font color=yellow>*Hideki(Assassin241) ||
Took a caravan back to Kumogakure. "I'll catch ya later Suitengu, and you too Sabo." he was going back to Kumogakure.* - Sun Oct  4 21:26:24 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: - Omit - Sun Oct  4 21:26:24 2015
<br><br><font color=yellow>*Hideki(Assassin241) ||
waved back at Sabo before he left, he wasn't trying to get on that nigga's bad side* - Sun Oct  4 21:28:57 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Think you gotta order them. - Sun Oct  4 22:39:47 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Where from? - Sun Oct  4 22:39:47 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Raikage gotta put in the order. - Sun Oct  4 22:40:38 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Raikage man. - Sun Oct  4 22:40:38 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Put in a order for two of'em. - Sun Oct  4 22:40:38 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: A pair for Kojiro and I. - Sun Oct  4 22:40:38 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: From the Gezo. - Sun Oct  4 22:40:38 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I wish for a pair too. - Sun Oct  4 22:40:38 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Such a thing. - Sun Oct  4 22:40:38 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Is beyond our funds. - Sun Oct  4 22:40:38 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: I got'chu - Sun Oct  4 22:40:38 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I see. - Sun Oct  4 22:40:38 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: A million is indeed, not enough. - Sun Oct  4 22:41:29 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Nor ten million. - Sun Oct  4 22:41:29 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: .... - Sun Oct  4 22:41:29 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Then what of sand bags? - Sun Oct  4 22:41:29 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: ? - Sun Oct  4 22:41:29 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: We'll make our own. - Sun Oct  4 22:41:29 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I saw the uh...  - Sun Oct  4 22:41:29 2015
<br><br><font color=yellow>*Hideki(Assassin241) appeared behind Kida.* - Sun Oct  4 22:41:29 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hey. - Sun Oct  4 22:44:03 2015
<br><br><font color=yellow>*Hideki(Assassin241) got hugged tightly by Lyala. He looked at her, a blank expression still on his face. "We can be, if you'd like." he stated, * - Sun Oct  4 22:46:36 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: I mean... you don't sound like you want too..? - Sun Oct  4 22:47:28 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Just a lot on my mind. - Sun Oct  4 22:47:28 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Oh.. - Sun Oct  4 22:48:19 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Well, yeah. - Sun Oct  4 22:48:19 2015
<br><br><font color=yellow>*Hideki(Assassin241) got his hands grabbed, however he didn't expect for Lyala to give Hideki a peck on the cheek. He was shocked, he stood there looking at Lyala. ".........Do you want to get something to eat?" * - Sun Oct  4 22:49:10 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Sure!~  - Sun Oct  4 22:50:52 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Oh.. - Sun Oct  4 22:50:52 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Uhh. - Sun Oct  4 22:50:52 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Can we go visit my village? - Sun Oct  4 22:50:52 2015
<br><br><font color=teal>*Hideki(Assassin241) says: .....Sorry to say.. - Sun Oct  4 22:50:52 2015
<br><br><font color=teal>*Hideki(Assassin241) says: But that village is obliterated. - Sun Oct  4 22:50:52 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I was passing by with a caravan, and I took a quick glimpse at the village. Majority of it is destroied. - Sun Oct  4 22:50:52 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Oh... - Sun Oct  4 22:51:44 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Well, let's go. - Sun Oct  4 22:54:17 2015
<br><br><font color=yellow>*Hideki(Assassin241) enters the ramen shop with Lyala. A waiter comes by asking what they'd like for a drink, food, ect.* - Sun Oct  4 22:56:00 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: So, where have you been? - Sun Oct  4 22:56:51 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Amegakure. - Sun Oct  4 22:57:42 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Oh... what's there? I never heard of that place. - Sun Oct  4 22:57:42 2015
<br><br><font color=yellow>*Hideki(Assassin241) ||
Hideki looked at the waiter. "Just get us some waters." the waiter wrote it down on his checkbook and went to fetch them some water.* - Sun Oct  4 22:57:42 2015
<br><br><font color=teal>*Hideki(Assassin241) says: It's a pretty quiet place. - Sun Oct  4 22:57:42 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Mmm. - Sun Oct  4 23:00:16 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: I would love to visit it one day! - Sun Oct  4 23:00:16 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: You are not hungry, hun? - Sun Oct  4 23:00:16 2015
<br><br><font color=teal>*Hideki(Assassin241) says: No, I'm not. I ate earlier. - Sun Oct  4 23:00:16 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Good. - Sun Oct  4 23:01:58 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: I mean.. - Sun Oct  4 23:01:58 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: What? -- - Sun Oct  4 23:01:58 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Sigh. - Sun Oct  4 23:01:58 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Sorry. - Sun Oct  4 23:01:58 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Just nervous.. - Sun Oct  4 23:01:58 2015
<br><br><font color=teal>*Hideki(Assassin241) says: About? - Sun Oct  4 23:01:58 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Never had a boyfriend.. before. - Sun Oct  4 23:01:58 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Oh, I see. - Sun Oct  4 23:01:58 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Don't be nervous, Lyala. Cause that ass is grass fam. - Sun Oct  4 23:02:49 2015
<br><br><font color=teal>*Hideki(Assassin241) says: omit - Sun Oct  4 23:02:49 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Don't be nervous, if you think we're moving to fast, we can go back to being just friends. - Sun Oct  4 23:03:40 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: No no no. I want us to do it, you know? Since we like each-other... do you think we are moving fast? - Sun Oct  4 23:03:40 2015
<br><br><font color=teal>*Hideki(Assassin241) says: You want us to do it? Bitch you tryna to fuck sum?  - Sun Oct  4 23:04:32 2015
<br><br><font color=teal>*Hideki(Assassin241) says: omit - Sun Oct  4 23:04:32 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I don't think we are. - Sun Oct  4 23:04:32 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Yeah.~ Hehe. - Sun Oct  4 23:06:14 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Mmmm. - Sun Oct  4 23:06:14 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Oh! I forgot to tell you. - Sun Oct  4 23:06:14 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hm? - Sun Oct  4 23:06:14 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: I gave one of my skills to Heiwa, so he can learn it.~ - Sun Oct  4 23:06:14 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Oh cool, what did you teach him? - Sun Oct  4 23:07:05 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: A water technique, hehe. - Sun Oct  4 23:07:05 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ---- - Sun Oct  4 23:07:05 2015
<br><br><font color=teal>*Hideki(Assassin241) says: What kind of water technique? - Sun Oct  4 23:07:05 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: You know, the one called Syrup? - Sun Oct  4 23:08:48 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: It makes you stuck on the ground? - Sun Oct  4 23:09:39 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Oh. - Sun Oct  4 23:09:39 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I see. Sounds useful. - Sun Oct  4 23:09:39 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Mhm. - Sun Oct  4 23:10:30 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Is water your element? - Sun Oct  4 23:10:30 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Sadly, no. - Sun Oct  4 23:11:21 2015
<br><br><font color=teal>*Hideki(Assassin241) says: My elements are Katon, and Raiton. - Sun Oct  4 23:11:21 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Mmmmm. - Sun Oct  4 23:12:12 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Well, that sounds good. - Sun Oct  4 23:12:12 2015
<br><br><font color=yellow>*Hideki(Assassin241) ||
Lyala laid her head on Hideki's shoulder, Hideki however kept a rather blank expression. He activated his sharingan, scanning the room for anything that's out of the ordinary. Yes this may be a casual date, but you never know what's going to happen. He just wanted to be on the safe side.* - Sun Oct  4 23:13:55 2015
<br><br><font color=yellow>*Hideki(Assassin241) Lyala laid her head on Hideki's shoulder, Hideki however kept a rather blank expression. He activated his sharingan, scanning the room for anything that's out of the ordinary. Yes this may be a casual date, but you never know what's going to happen. He just wanted to be on the safe side. (Repost)* - Sun Oct  4 23:19:53 2015
<br><br><font color=yellow>*Hideki(Assassin241) ||
There arms locked elbows,  linking them together. "I can probably ask Niza-sama if he'd let you stay here for a bit. I'm sure he wouldn't mind. Wheres your brother Maloth at?" he asked rather curious, he wanted to get into a spar with Maloth himself. He wanted to see how well he'd do against him.* - Sun Oct  4 23:21:36 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: I... haven't seen him.. - Sun Oct  4 23:22:27 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I see. - Sun Oct  4 23:22:27 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Yeah, wanna go find him or something? - Sun Oct  4 23:24:09 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I'll look for him later. - Sun Oct  4 23:24:09 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Well, we should go back to the center? - Sun Oct  4 23:26:43 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Perhaps, seek for Niza. - Sun Oct  4 23:26:43 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: And ask if I can stay here. - Sun Oct  4 23:26:43 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: This is a beautiful village. - Sun Oct  4 23:26:43 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Alright. - Sun Oct  4 23:26:43 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: OOOH! - Sun Oct  4 23:27:34 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Maloth! - Sun Oct  4 23:27:34 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: HEEY! - Sun Oct  4 23:27:34 2015
<br><br><font color=teal>*Hideki(Assassin241) says: --------------- - Sun Oct  4 23:27:34 2015
<br><br><font color=teal>*Hideki(Assassin241) says: -- - Sun Oct  4 23:28:25 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: This man.. - Sun Oct  4 23:28:25 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: I swear.. - Sun Oct  4 23:28:25 2015
<br><br><font color=yellow>*Hideki(Assassin241) looked at these fighting fgts.* - Sun Oct  4 23:29:16 2015
<br><br><font color=teal>*Hideki(Assassin241) says: --- - Sun Oct  4 23:32:41 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Aye fools. - Sun Oct  4 23:32:41 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Don't be fighting. - Sun Oct  4 23:32:41 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: LaRIaT! - Sun Oct  4 23:34:24 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) thinks: So many idiots. - Sun Oct  4 23:35:15 2015
<br><br><font color=yellow>*Hideki(Assassin241) quickly ran forward, and upon running forward two large white snakes came out of his back, and went through his arm sleeve, their purpose? To immobolize Kojiro, and Amon. These nigga's were just to violent.* - Sun Oct  4 23:37:48 2015
<br><br><font color=teal>*Hideki(Assassin241) says: shit - Sun Oct  4 23:39:31 2015
<br><br><font color=teal>*Hideki(Assassin241) says: omit - Sun Oct  4 23:40:22 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: ................... - Sun Oct  4 23:41:13 2015
<br><br><font color=yellow>*Hideki(Assassin241) disappeared from the area. He had to go do some shit.* - Sun Oct  4 23:44:38 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Yo' - Mon Oct  5 01:21:04 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Mammaries or something. - Mon Oct  5 01:21:55 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Is that your name? - Mon Oct  5 01:21:55 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: ..... - Mon Oct  5 01:28:44 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Mammaries? - Mon Oct  5 01:28:44 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: That an insult? - Mon Oct  5 01:28:44 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: .. I guess that wasn't your name.. Shit. - Mon Oct  5 01:30:27 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Anyways!.. - Mon Oct  5 01:30:27 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: About that sword you didn't think was useful. - Mon Oct  5 01:31:18 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: What about it? - Mon Oct  5 01:34:43 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: What if I said I'd pay ya' for it? - Mon Oct  5 01:36:25 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Since ya'll clearly aren't happy with me pulling it out of yer' sight. - Mon Oct  5 01:36:25 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: How much? - Mon Oct  5 01:38:08 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: One mil. Right out off the bat. - Mon Oct  5 01:38:59 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: I need somethin' to do while I wait for them weights to be mailed.. - Mon Oct  5 01:38:59 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I'll ask Chiharu. - Mon Oct  5 01:39:50 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: A'ight. - Mon Oct  5 01:39:50 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) thinks: This guy's strength is unreal. - Mon Oct  5 02:50:40 2015
<br><br><font color=yellow>*Hideki(Assassin241) ran into Kojiro.* - Mon Oct  5 02:50:40 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Move. - Mon Oct  5 02:50:40 2015
<br><br><font color=teal>*Hideki(Assassin241) says: --- - Mon Oct  5 02:51:31 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Nah. - Mon Oct  5 02:51:31 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: ...Das right. - Mon Oct  5 02:51:31 2015
<br><br><font color=teal>*Hideki(Assassin241) says: -- - Mon Oct  5 02:51:31 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: There is room. - Mon Oct  5 02:51:31 2015
<br><br><font color=yellow>*Hideki(Assassin241) glared at Kojiro. "You want to fight?"* - Mon Oct  5 02:52:22 2015
<br><br><font color=teal>*Amon(William O. Wisper) thinks: Im gonna lift things up and put them down. - Mon Oct  5 02:52:22 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: The way I look at it is. - Mon Oct  5 02:52:22 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: You want to fight me. - Mon Oct  5 02:52:22 2015
<br><br><font color=yellow>*Hideki(Assassin241) headbutts* - Mon Oct  5 02:52:22 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: You - - Mon Oct  5 02:52:22 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ---- - Mon Oct  5 02:53:13 2015
<br><br><font color=teal>*Hideki(Assassin241) says: My fault.. - Mon Oct  5 02:53:13 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: It's all good. - Mon Oct  5 02:53:13 2015
<br><br><font color=yellow>*Hideki(Assassin241) headbutts again.* - Mon Oct  5 02:53:13 2015
<br><br><font color=yellow>*Hideki(Assassin241) got headbutted with all of Kojiro's force, to where he rubbed his head, however, Genesis was thrashing about, throwing kicks wildly, he got kicked right in his side. He looked at Amon, he blamed that nigga for causing so much commotion.* - Mon Oct  5 02:55:47 2015
<br><br><font color=teal>*Hideki(Assassin241) says: --- - Mon Oct  5 02:59:12 2015
<br><br><font color=teal>*Hideki(Assassin241) says: What the fuck.. - Mon Oct  5 02:59:12 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: ....Who's Gene? - Mon Oct  5 03:04:19 2015
<br><br><font color=yellow>*Hideki(Assassin241) was passing by, until he saw some random stranger. "Who are you?" he asked curious, he's never seen this man around here before either.* - Mon Oct  5 03:08:35 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Do you even know where you are? - Mon Oct  5 03:11:08 2015
<br><br><font color=teal>*Daishou(Simple.Sloth) says: Nope. - Mon Oct  5 03:11:08 2015
<br><br><font color=teal>*Daishou(Simple.Sloth) says: You? - Mon Oct  5 03:11:08 2015
<br><br><font color=teal>*Hideki(Assassin241) says: -- - Mon Oct  5 03:11:08 2015
<br><br><font color=teal>*Hideki(Assassin241) says: This is Kumogakure no Sato. - Mon Oct  5 03:11:08 2015
<br><br><font color=teal>*Daishou(Simple.Sloth) says: Oho.... - Mon Oct  5 03:11:08 2015
<br><br><font color=teal>*Daishou(Simple.Sloth) says: I'm...very far from home. - Mon Oct  5 03:11:08 2015
<br><br><font color=teal>*Hideki(Assassin241) says: .....From the looks of things, and from your headband. - Mon Oct  5 03:12:00 2015
<br><br><font color=teal>*Hideki(Assassin241) says: You must be from Sunagakure? - Mon Oct  5 03:12:00 2015
<br><br><font color=teal>*Daishou(Simple.Sloth) says: Spot on! - Mon Oct  5 03:12:51 2015
<br><br><font color=teal>*Hideki(Assassin241) says: You are very far from home indeed. - Mon Oct  5 03:12:51 2015
<br><br><font color=teal>*Daishou(Simple.Sloth) says: Yeah...exploring is fun - Mon Oct  5 03:15:24 2015
<br><br><font color=teal>*Hideki(Assassin241) says: You should probably...Get going. - Mon Oct  5 03:15:24 2015
<br><br><font color=teal>*Daishou(Simple.Sloth) says: Something bads gonna happen, isn't it. - Mon Oct  5 03:16:16 2015
<br><br><font color=teal>*Hideki(Assassin241) says: If you stay here. Yes. - Mon Oct  5 03:16:16 2015
<br><br><font color=teal>*Daishou(Simple.Sloth) says: ...Herm... - Mon Oct  5 03:17:07 2015
<br><br><font color=teal>*Daishou(Simple.Sloth) says: Whats your name stranger? - Mon Oct  5 03:17:07 2015
<br><br><font color=teal>*Daishou(Simple.Sloth) says: Before I go. - Mon Oct  5 03:17:07 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Can't say. - Mon Oct  5 03:17:07 2015
<br><br><font color=teal>*Daishou(Simple.Sloth) says: Welp! - Mon Oct  5 03:17:07 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: I'm already wanted in Sunagakure. - Mon Oct  5 03:17:07 2015
<br><br><font color=teal>*Daishou(Simple.Sloth) says: I'm Daishou. - Mon Oct  5 03:17:07 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Nice to meet you. - Mon Oct  5 03:17:07 2015
<br><br><font color=teal>*Daishou(Simple.Sloth) says: Likewise stranger. - Mon Oct  5 03:17:07 2015
<br><br><font color=teal>*Daishou(Simple.Sloth) says: Adoo! - Mon Oct  5 03:17:58 2015
<br><br><font color=yellow>*Hideki(Assassin241) leaned against the moutain.* - Mon Oct  5 03:18:49 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hey, Maloth. - Mon Oct  5 03:23:05 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I'ma go chill at the local onsen. - Mon Oct  5 03:23:05 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Who's game? - Mon Oct  5 03:23:56 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: 'Lo. - Mon Oct  5 03:24:48 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Huh? - Mon Oct  5 03:24:48 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Uh, it's a - You prob haven't been there. - Mon Oct  5 03:25:39 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Let's spar, Maloth. - Mon Oct  5 03:25:39 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Tis a public bathing place. - Mon Oct  5 03:25:39 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: But it's. - Mon Oct  5 03:25:39 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Like'a spa? - Mon Oct  5 03:25:39 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: 'Kay. - Mon Oct  5 03:26:30 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Coo. - Mon Oct  5 03:27:21 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Are you going to make the first move? - Mon Oct  5 03:27:21 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Ye', I'll check it out. - Mon Oct  5 03:29:55 2015
<br><br><font color=yellow>*Hideki(Assassin241) smirked.

He ran forward, his sharingan still active, as he wielded a single handsign, and while closing the distance between the two, he had raiton chakra manifest within his bodies system, molding it to perfection, and once he was done molding it, he unleashed the raiton based technique, and that technique being raiton flash. The air around Hideki's body surges with raiton chakra, as it went straight forward, attempting to numb Maloth.* - Mon Oct  5 03:31:37 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Ready? - Mon Oct  5 03:35:02 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Ye'. - Mon Oct  5 03:36:44 2015
<br><br><font color=yellow>*Hideki(Assassin241) ducked his head from the man's swing, quickly Hideki utilized the technique Niza taught him, he brung up his right arm, blocking Maloth's strike, and instead brought up his knee and aimed to strike Maloth right in the gut.* - Mon Oct  5 03:46:59 2015
<br><br><font color=yellow>*Hideki(Assassin241) was no fool, he quckly side stepped the headbutt Maloth was a fucking monster no less he jumped back, looking at Maloth. "....Hey big guy....Did you know Hanabi?" he asked rather curious.* - Mon Oct  5 03:58:04 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I see. Did you know her very well? - Mon Oct  5 03:59:47 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: <*nods*> Is friend o' Maloth. - Mon Oct  5 04:00:38 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I see. I was one of her students. - Mon Oct  5 04:00:38 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Hrm? Is goo'. . . More strong than Hanabi? - Mon Oct  5 04:04:54 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) thinks: It's the Hulk I met in Konohagakure... - Mon Oct  5 04:04:54 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I don't know about that. - Mon Oct  5 04:05:45 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hanabi was pretty strong. - Mon Oct  5 04:05:45 2015
<br><br><font color=teal>*Hideki(Assassin241) says: -- - Mon Oct  5 04:08:19 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Dunno. - Mon Oct  5 04:08:19 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: I've become more skilled like you said was needed. - Mon Oct  5 04:09:10 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Right... - Mon Oct  5 04:09:10 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Then let's go, I suppose. - Mon Oct  5 04:09:10 2015
