<br><font color=teal>*Komaru(JustCallMeGnar) says: S-Stop being so mean.. - Wed Oct  7 03:47:50 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I know just about everything about the basics. - Thu Oct  8 20:07:02 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: By everything I mean all fi- - Thu Oct  8 20:07:02 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Fine. Bye mean girl!~ - Thu Oct  8 20:07:02 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ..... - Thu Oct  8 20:07:02 2015
<br><br><font color=teal>*Hideki(Assassin241) says: *Coughs* - Thu Oct  8 20:07:02 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Mean? - Thu Oct  8 20:07:02 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Righ- - Thu Oct  8 20:07:02 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Oh no.. - Thu Oct  8 20:07:02 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: You are saying, I am mean? - Thu Oct  8 20:07:02 2015
<br><br><font color=yellow>*Nina(Ninasky115) crossed her arms and turned to Takeda, making a big show as well as a loud "Hmph" sound. "Are you sure you can help me?"* - Thu Oct  8 20:07:53 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Phew.. - Thu Oct  8 20:07:53 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) thinks: ...I'll just look past that... - Thu Oct  8 20:08:44 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Uh yeah, I can use all five elements. - Thu Oct  8 20:08:44 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: ...That's interesting.. - Thu Oct  8 20:08:44 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Though you'd probably be better off learning from a wind specialist. - Thu Oct  8 20:08:44 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Suitengu could also use about every element. - Thu Oct  8 20:09:36 2015
<br><br><font color=teal>*Nina(Ninasky115) says: But can I still learn another element? Variety is better. - Thu Oct  8 20:09:36 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) thinks: lil nigga was also OP as fuck - Thu Oct  8 20:09:36 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) thinks: -omit- - Thu Oct  8 20:09:36 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Yes, I learned my elements since they were natural to me. - Thu Oct  8 20:10:27 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Learning elements that aren't natural to you is a little more difficult, but can still be done. - Thu Oct  8 20:10:27 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Yay.~ - Thu Oct  8 20:10:27 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I still think you should learn from someone that knows better than me. - Thu Oct  8 20:11:18 2015
<br><br><font color=teal>*Nina(Ninasky115) says: But, you said you'd help me. - Thu Oct  8 20:11:18 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I mean, I can show you the basics - Thu Oct  8 20:11:18 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: But you should find a real teacher in the long run. - Thu Oct  8 20:12:09 2015
<br><br><font color=teal>*Nina(Ninasky115) says: There aren't many people that want to train a nine year old girl. - Thu Oct  8 20:12:09 2015
<br><br><font color=teal>*Nina(Ninasky115) says: But others called me a prodigy here and there. - Thu Oct  8 20:12:09 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Age shouldn't matter, I'm only twelve. - Thu Oct  8 20:13:00 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Well tell them that! - Thu Oct  8 20:13:00 2015
<br><br><font color=teal>*Nina(Ninasky115) says: But anyway. If you teach me your wind jutsu, I can teach you mine that you just saw. If you'd like. - Thu Oct  8 20:13:52 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I can't teach you that jutsu right now, I'm not that great with it yet. - Thu Oct  8 20:14:43 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: But give me a few days and i'll teach you, deal? - Thu Oct  8 20:14:43 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Alrighty. - Thu Oct  8 20:14:43 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: As for your wind training, you could ask the Raikage. - Thu Oct  8 20:14:43 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Hideki said he knows wind, Maybe he's really good at it. - Thu Oct  8 20:15:34 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I never see him. - Thu Oct  8 20:15:34 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Not many do, You'll just have to find a way around that I guess. - Thu Oct  8 20:16:25 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Or ask around for anyone that knows wind quite well. - Thu Oct  8 20:16:25 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Fine... - Thu Oct  8 20:17:16 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Sorry I couldn't be of more help but...It's best to learn from people that are more experienced users. - Thu Oct  8 20:18:08 2015
<br><br><font color=teal>*Nina(Ninasky115) says: It's fine. I guess I'll go and see what everyone's doing. - Thu Oct  8 20:19:50 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I'm going to stay here for a bit and practise some more. - Thu Oct  8 20:19:50 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: It's about time I strarted again. - Thu Oct  8 20:19:50 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Is crowd. .  - Thu Oct  8 20:59:05 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: <*Relocates*> - Thu Oct  8 20:59:05 2015
<br><br><font color=teal>*Nina(Ninasky115) says: W-What.....? - Fri Oct  9 00:48:38 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: I said it's a pity. - Fri Oct  9 00:49:29 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: ..... - Fri Oct  9 00:51:12 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: I love this smell... - Fri Oct  9 00:51:12 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: It's fantastic... - Fri Oct  9 00:51:12 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Hi Heiwa. - Fri Oct  9 01:02:17 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: dragun tarp 4 me thn - Fri Oct  9 01:04:00 2015
<br><br><font color=teal>*Heiwa(PythonJedi) thinks: This nigga still smell like shit. - Fri Oct  9 01:08:16 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: ..Whats going on?... - Fri Oct  9 01:09:07 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: YOU TALKING SHIT - Fri Oct  9 01:09:58 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Yes - Fri Oct  9 01:09:58 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) whispers: (he can't kill us if we're afk) - Fri Oct  9 01:15:56 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) whispers: u rite) - Fri Oct  9 01:15:56 2015
<br><br><font color=yellow>*Nina(Ninasky115) turned around and quickly started sprinting away, her eyes wide with fear as she moved. She had literally seen a person disappear from view just from moving fast. She hadn't even been a kunoichi for a week.* - Fri Oct  9 01:18:30 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: YOU KILLEd - Fri Oct  9 01:33:52 2015
<br><br><font color=yellow>*Nina(Ninasky115) continued running away from the man who seemed to be disappearing from the scene. She was too young, too unexperienced to do anything, but she knew she couldn't just stand around and get killed. Kojiro told people to run away, so that's what she was going to do as hard as she possibly could. There really wasn't anything else.

Looking at Heiwa, she'd see that he was stunned now, taking all of the paim and emotions in as if his brain had shut down. "Move already! Run!" She'd continue running, smashing into him a bit but never stopping her run. As she ran, she'd attempt to wrap her hands around him and do a series of handseals, holding tightly on to him. If she was successful, she'd hopefully shunshin away, as well as Heiwa in her arms.* - Fri Oct  9 01:36:25 2015
<br><br><font color=teal>*Niza(Chevy Malibu) thinks: Note to self, write a letter to Kenshin...from the afterlife... - Fri Oct  9 01:38:59 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) thinks: This nigga's on my nuts. - Fri Oct  9 01:40:41 2015
<br><br><font color=yellow>*Nina(Ninasky115) finally got away from the carnage, her body feeling woozy and her mind feeling disoriented beyond what she could have been apart of. She'd fall to the ground, not knowing where she was, hopefully Heiwa was okay enough to take care of her for the time being.* - Fri Oct  9 01:44:06 2015
<br><br><font color=yellow>*Nina(Ninasky115) slowly leaned upwards, her hands on her knees and her mind rattled, her face looking as though she might even though up. Which, after a while, she does. From both the sight and fear of what happened. And on top of that the sudden movement that disoriented her so much. It was impossible to hold it all back and survive what had happened, she barely had enough mind space to talk.

But she had to snap out of it, looking up at Heiwa. She couldn't help but feel as though she was the target of his rage. "W-We got away.......I had to get us away from there, there was nothing we could do."* - Fri Oct  9 02:01:10 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I'm sorry..... - Fri Oct  9 02:19:05 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Lets just stay away for a while.... - Fri Oct  9 02:21:39 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: .... - Fri Oct  9 02:31:53 2015
<br><br><font color=teal>*Nina(Ninasky115) says: What? - Fri Oct  9 02:33:36 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I think it is.... - Fri Oct  9 02:37:00 2015
<br><br><font color=yellow>*Nina(Ninasky115) followed after him.* - Fri Oct  9 02:50:40 2015
<br><br><font color=teal>*Nina(Ninasky115) says: .... - Fri Oct  9 02:52:22 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Well. - Fri Oct  9 02:54:04 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: This was a very interesting day. - Fri Oct  9 02:54:56 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: I bet no one saw this coming when they woke up this morning. - Fri Oct  9 02:54:56 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Kill...yourself. - Fri Oct  9 02:55:47 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: omit - Fri Oct  9 02:55:47 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Atleast no one di-..Atleast we've still go the vi-...At least we've still got..each oth-....Atleast we still have our healt-...At least we still have our m-memories..? - Fri Oct  9 02:55:47 2015
<br><br><font color=teal>*Nina(Ninasky115) says: What should we do.....? - Fri Oct  9 02:56:38 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: You should rebuild. - Fri Oct  9 02:56:38 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: I try. - Fri Oct  9 02:56:38 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: .... - Fri Oct  9 02:58:20 2015
<br><br><font color=teal>*Marrisa(Roxinea) says: My name is Marrisa. . I know of no one with the skill to save you. . Shall I make it swift? - Fri Oct  9 03:06:01 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: . . . . . . - Fri Oct  9 03:06:52 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: ........ - Fri Oct  9 03:06:52 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: .......... - Fri Oct  9 03:06:52 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: Someone, help Niza. - Fri Oct  9 03:06:52 2015
<br><br><font color=teal>*Marrisa(Roxinea) says: He has a hole in his chest. . I seriously doubt anyone could save him at this point. - Fri Oct  9 03:07:44 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: . . . . . . - Fri Oct  9 03:07:44 2015
<br><br><font color=teal>*Marrisa(Roxinea) says: Mild anastheic - Fri Oct  9 03:08:35 2015
<br><br><font color=teal>*Marrisa(Roxinea) says: . . .  - Fri Oct  9 03:08:35 2015
<br><br><font color=teal>*Marrisa(Roxinea) says: Admitidly, I hadn't thought of that - Fri Oct  9 03:09:26 2015
<br><br><font color=teal>*Marrisa(Roxinea) says: Move him, and he'll bleed to death - Fri Oct  9 03:09:26 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: rip - Fri Oct  9 03:19:40 2015
<br><br><font color=teal>*Nina(Ninasky115) says: ....... - Fri Oct  9 03:19:40 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: The Raikage needs a hospital? - Fri Oct  9 03:22:14 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: Miss. - Fri Oct  9 03:23:56 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: Can you treat Lord Niza afterwards for me? - Fri Oct  9 03:23:56 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: . . . . - Fri Oct  9 03:29:55 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) thinks: That doesn't tell me what's wrong! - Fri Oct  9 03:29:55 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: . . . - Fri Oct  9 03:30:46 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: How...how am I suppose to find him? - Fri Oct  9 03:30:46 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: . . . - Fri Oct  9 03:31:37 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: . . . - Fri Oct  9 03:33:20 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: ..... - Fri Oct  9 03:33:20 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: We need to find Lord Niza. - Fri Oct  9 03:33:20 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: I'll go look for him. - Fri Oct  9 03:33:20 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: Treat the girl. - Fri Oct  9 03:33:20 2015
<br><br><font color=yellow>*Nina(Ninasky115) simply blinked at the situation that was going on in front of her. Spinning around, she'd begin walking away, obvious that she was going to the training ground. She couldn't allow this to happen any longer, especially when she was around...* - Fri Oct  9 03:35:53 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Anything Orange Haired guy? - Fri Oct  9 03:37:36 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Did you find the Raikage? - Fri Oct  9 03:38:27 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: I was not able to locate Lord Niza. - Fri Oct  9 03:39:18 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: I'll check the mansion. - Fri Oct  9 03:39:18 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Did you check every house? - Fri Oct  9 03:39:18 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: ... - Fri Oct  9 03:39:18 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: ... - Fri Oct  9 03:39:18 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: .. - Fri Oct  9 03:39:18 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: . - Fri Oct  9 03:39:18 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: ... - Fri Oct  9 03:39:18 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: .. - Fri Oct  9 03:39:18 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: . - Fri Oct  9 03:39:18 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: . - Fri Oct  9 03:39:18 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: .. - Fri Oct  9 03:39:18 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: .. - Fri Oct  9 03:39:18 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: . - Fri Oct  9 03:39:18 2015
<br><br><font color=teal>*Xia Ping(Sage of Six Booties) says: I think we should worry about the lives that we lost rather than our own. - Fri Oct  9 03:42:43 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: I think I know where the Raikage is....I can't fight by myself. - Fri Oct  9 03:45:16 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Heiwa...can you fight? - Fri Oct  9 03:45:16 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I can... - Fri Oct  9 03:45:16 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Where are we going? - Fri Oct  9 03:46:08 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ..I can..use my genjutsu. Why? - Fri Oct  9 03:46:08 2015
<br><br><font color=teal>*Nina(Ninasky115) says: ...... - Fri Oct  9 03:48:41 2015
<br><br><font color=teal>*Nina(Ninasky115) says: .... - Fri Oct  9 03:50:24 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: . . . - Fri Oct  9 03:51:15 2015
<br><br><font color=yellow>*Nina(Ninasky115) moved forward a little, looking towards Misa. "I said I can fight too, I'm coming along..." It seemed she was confident, maybe she just had a death wish, maybe it was her way of fighting back, but she felt that she had to do something.* - Fri Oct  9 03:54:40 2015
<br><br><font color=teal>*Nina(Ninasky115) says: ...... - Fri Oct  9 03:58:04 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Hideki, where were you.... - Fri Oct  9 03:58:04 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I was kidnapped. - Fri Oct  9 03:58:04 2015
<br><br><font color=teal>*Nina(Ninasky115) says: People died, Hideki, a lot of them.... - Fri Oct  9 03:58:56 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I couldn't do anything but run away... - Fri Oct  9 03:58:56 2015
<br><br><font color=teal>*Hideki(Assassin241) says: And? - Fri Oct  9 03:58:56 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I've lost a lot of people myself.. - Fri Oct  9 03:58:56 2015
<br><br><font color=teal>*Nina(Ninasky115) says: You could've helped them, that's what! - Fri Oct  9 03:58:56 2015
<br><br><font color=teal>*Hideki(Assassin241) says: That's life kid. - Fri Oct  9 03:58:56 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: ... Mmn. - Fri Oct  9 03:58:56 2015
<br><br><font color=teal>*Nina(Ninasky115) says: ,,,,,,,Well, I'll get stronger so that I don't have to deal with that life. Watch me... - Fri Oct  9 03:59:47 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: I thought we lost this man.. - Fri Oct  9 03:59:47 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: ... *Face twitch.* - Fri Oct  9 03:59:47 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Good luck Nina. - Fri Oct  9 03:59:47 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I don't need luck. - Fri Oct  9 03:59:47 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Yeah you do. - Fri Oct  9 03:59:47 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I won't lose anyone else on my watch. - Fri Oct  9 03:59:47 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Keep thinking that. - Fri Oct  9 04:00:38 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Thought the same thing. - Fri Oct  9 04:00:38 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Lost five friends. - Fri Oct  9 04:00:38 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Well, that won't happen to me. - Fri Oct  9 04:00:38 2015
<br><br><font color=teal>*Hideki(Assassin241) says: -- - Fri Oct  9 04:00:38 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I'll make friends, get teachers, become a better kunoichi in all. - Fri Oct  9 04:00:38 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Fuck this guy.. - Fri Oct  9 04:01:29 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Taking her to the hospital. - Fri Oct  9 04:01:29 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) thinks: OneTwoThreeFour... - Fri Oct  9 04:01:29 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) whispers: You guys said you were going ot the bathroom! - Fri Oct  9 04:01:29 2015
<br><br><font color=teal>*Xia Ping(Sage of Six Booties) says: The hospital's messed up. - Fri Oct  9 04:01:29 2015
<br><br><font color=teal>*Xia Ping(Sage of Six Booties) says: I'm a shinobi of Kumogakure. I'm taking her to my house so she can rest. She's battered up. - Fri Oct  9 04:02:20 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: H-Hideki.... take me to your home.... - Fri Oct  9 04:02:20 2015
<br><br><font color=teal>*Hideki(Assassin241) says: No. - Fri Oct  9 04:02:20 2015
<br><br><font color=teal>*Hideki(Assassin241) says: -- - Fri Oct  9 04:02:20 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Alright. - Fri Oct  9 04:02:20 2015
<br><br><font color=teal>*Xia Ping(Sage of Six Booties) says: I hope you didn't think I had malicious intentions. - Fri Oct  9 04:03:12 2015
<br><br><font color=teal>*Hideki(Assassin241) says: You never know nowadays.. - Fri Oct  9 04:03:12 2015
<br><br><font color=teal>*Xia Ping(Sage of Six Booties) says: I'm loyal to Kumogakure. I never, and never will betray my comrades. - Fri Oct  9 04:04:03 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Easier said than done. - Fri Oct  9 04:04:03 2015
<br><br><font color=yellow>*Nina(Ninasky115) clenched her fists slightly. Her hands burned slightly from the pressure of her hands. She couldn't forgive herself for running away. Without a word, she'd walk with Hideki, trying to help him take the girl to his house, or at least not be by herself with strangers...* - Fri Oct  9 04:04:03 2015
<br><br><font color=teal>*Xia Ping(Sage of Six Booties) says: That's a self-rule I'll abide by. Especially if I plan on becoming Raikage some day. - Fri Oct  9 04:04:03 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Right. - Fri Oct  9 04:04:03 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Come along, Ambrocio. - Fri Oct  9 04:04:54 2015
<br><br><font color=teal>*Xia Ping(Sage of Six Booties) says: Mind if I tag along.. or? - Fri Oct  9 04:04:54 2015
<br><br><font color=teal>*Xia Ping(Sage of Six Booties) says: -omit- - Fri Oct  9 04:08:19 2015
<br><br><font color=yellow>*Nina(Ninasky115) sighed as she saw Lyala laying on the ground, feeling sorry for her more than anything. Standing next to Hideki, she'd look down at him, but was a bit further back so that she wasn't in their personal space. "I'm sorry I called you mean and couldn't help." She felt really bad, and felt weaker than anything.* - Fri Oct  9 04:16:00 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Pffft. Nah. - Fri Oct  9 04:16:51 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: It's not your fault...hun. - Fri Oct  9 04:16:51 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: And d-don't be sorry, I promise. - Fri Oct  9 04:16:51 2015
<br><br><font color=teal>*Nina(Ninasky115) thinks: Guess I got ignored again..... - Fri Oct  9 04:17:42 2015
<br><br><font color=teal>*Hideki(Assassin241) says: It's okay though, Nina. - Fri Oct  9 04:17:42 2015
<br><br><font color=teal>*Hideki(Assassin241) says: You're still yung. - Fri Oct  9 04:17:42 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Agh, don't worry about it. - Fri Oct  9 04:18:33 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: But.... - Fri Oct  9 04:18:33 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: I'm not mean. - Fri Oct  9 04:18:33 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I'm sorry... - Fri Oct  9 04:18:33 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Why did you even try fightng though, why didn't you run.. - Fri Oct  9 04:18:33 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: B-Because... innocents were being hurt... - Fri Oct  9 04:18:33 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I see. - Fri Oct  9 04:19:24 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I promise Hideki, next time I'll do something. - Fri Oct  9 04:19:24 2015
<br><br><font color=teal>*Hideki(Assassin241) says: You're too young to even do anything, Nina. - Fri Oct  9 04:20:16 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I don't care! - Fri Oct  9 04:20:16 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I suggest waiting until you are stronger. - Fri Oct  9 04:20:16 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I can get stronger, and I can help! - Fri Oct  9 04:20:16 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: The good always die young. - Fri Oct  9 04:20:16 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Niza was all about peace. - Fri Oct  9 04:21:07 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Shame. - Fri Oct  9 04:21:07 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I can...... - Fri Oct  9 04:21:07 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I can find a teacher, I can train my own body, I can try to create jutsu if I have to. - Fri Oct  9 04:21:07 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I can...... - Fri Oct  9 04:21:07 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I can form a team! - Fri Oct  9 04:21:07 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I'm probably.. - Fri Oct  9 04:21:07 2015
<br><br><font color=teal>*Hideki(Assassin241) says: The only Jounin left in the village. - Fri Oct  9 04:21:07 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: -- - Fri Oct  9 04:21:58 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: What? - Fri Oct  9 04:21:58 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Y-You became a Jounin? - Fri Oct  9 04:21:58 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I don't know if I'm the only Jounin or not- - Fri Oct  9 04:21:58 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Yeah. - Fri Oct  9 04:21:58 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: C-Congratulations!! - Fri Oct  9 04:21:58 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Thanks, it's nothing..Really. - Fri Oct  9 04:21:58 2015
<br><br><font color=teal>*Nina(Ninasky115) says: ...... - Fri Oct  9 04:22:49 2015
<br><br><font color=teal>*Nina(Ninasky115) thinks: I need someone close to me like that............ - Fri Oct  9 04:23:40 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ..... - Fri Oct  9 04:24:32 2015
<br><br><font color=teal>*Lyala(BoyFlareon) thinks: Bbaby u are 9 years old - Fri Oct  9 04:24:32 2015
<br><br><font color=teal>*Nina(Ninasky115) thinks: I still have no friends but 1!!! - Fri Oct  9 04:25:23 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Hrn... I can't believe I am dating a Jounin, haha. - Fri Oct  9 04:27:05 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: You can rest here besides me, in bed if you want. - Fri Oct  9 04:28:48 2015
<br><br><font color=yellow>*Nina(Ninasky115) sighed and sat on the ground, her head looking down between her legs with her arms covering her head. Now she just felt alone, weak, and depressed. Everybody seemed to get depressed on this day, even the girl with no real friends to lose.* - Fri Oct  9 04:30:30 2015
<br><br><font color=yellow>*Nina(Ninasky115) was still looking down, all depressed and lonely.* - Fri Oct  9 04:33:55 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: ----------------------------------------- - Fri Oct  9 04:34:46 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: ------------ - Fri Oct  9 04:34:46 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: ... - Fri Oct  9 04:35:37 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: Mmn.. *He nodded in return.* - Fri Oct  9 04:39:02 2015
