<br><font color=teal>*Nina(Ninasky115) says: Yeah yeah. - Tue Nov  3 04:55:40 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: I'm a bit sick of being the nice one. - Wed Nov  4 07:38:14 2015
<br><br><font color=teal>*** Peasant Girl **(TenaciousRiven) thinks: Wow...no one is going to answer me. - Wed Nov  4 07:39:05 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Wed Nov  4 07:43:21 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: Nothing more I can really do now. - Wed Nov  4 07:45:04 2015
<br><br><font color=teal>*Nina(Ninasky115) says: .... - Wed Nov  4 07:45:04 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: If I get any closer she'd be likely to go for my head again, and then Ortho might threaten to cut my lips off once more. - Wed Nov  4 07:46:46 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: Such a hostile family. - Wed Nov  4 07:46:46 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Take your time.  - Wed Nov  4 07:49:20 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Wed Nov  4 07:50:11 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: You alright? - Wed Nov  4 07:50:11 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I'm fine. - Wed Nov  4 07:51:02 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . .Wanna get out of here before he comes back? - Wed Nov  4 07:51:53 2015
<br><br><font color=teal>*Nina(Ninasky115) says: No. - Wed Nov  4 07:51:53 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Well. . . - Wed Nov  4 07:51:53 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Alright then. - Wed Nov  4 07:51:53 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: I tried. - Wed Nov  4 07:51:53 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Still want to train then? Or anything at all you want to do? - Wed Nov  4 07:53:36 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I don't care what we do. - Wed Nov  4 07:54:27 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: - - Wed Nov  4 07:54:27 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I told you I'm fine. - Wed Nov  4 07:57:00 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . .I see. - Wed Nov  4 07:57:52 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: If only I had been strong enough to stop him. - Wed Nov  4 07:57:52 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Uh. . . - Wed Nov  4 07:58:43 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: I've got nothing. - Wed Nov  4 07:58:43 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Well. . . - Wed Nov  4 07:59:34 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Do me a favor next time. . . - Wed Nov  4 07:59:34 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Ask questions, then swing your sword. . . - Wed Nov  4 08:00:25 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Tell that to the guy holding your moms dead body. - Wed Nov  4 08:00:25 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: - - Wed Nov  4 08:00:25 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Right before he goes for you nex, ask him questions. - Wed Nov  4 08:00:25 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Would you rather me have left her there? - Wed Nov  4 08:00:25 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I would rather she be alive. - Wed Nov  4 08:01:16 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: - - Wed Nov  4 08:01:16 2015
<br><br><font color=yellow>*Nina(Ninasky115) sighed once again and closed her eyes. She needed an escape right at that second. She couldn't keep going through the pain at that moment, she had just lost her adoptive mother at the hands of her brother. That was enough to tear someone apart psychologically, and she was already losing sight of herself. She had to break away from it all, just like she had at the waterfall. This was all she could think of doing to get rid of all of the pain. She wasn't sure if she could accept the facts of what happened, but she could at least accept it enough to where it didn't feel like there was a black hole in the pit of her stomach that was trying to take her in as well as everything else around her.

She'd begin to slowly lose herself in her mind, her focus on nothing at all but escaping the world that she had been in at that moment. It was easy to slip away from the pain and suffering in that world through meditation, it was a neat technique that she had learned. She was extremely grateful for the fact that she had learned about it. Looking back, she was at least happy that she was able to peacefully bury her mothers body and say a few goodbye words. It was more than others got to do, so she was also grateful about that. But in the back of her brain, it ached her to think that Kirigakure simply sat around and watched her fight to death. And on top of that, they took her present that Lera had given her? Unacceptable.

But this was all things to think about in the future. For now, she simply allowed the events that took place to happen and relaxed her body and mind. There was nothing there but a haze, and she was focused on nothing at all. Her heart rate seemed to drop a bit lower than usual, but this was simply because of how calm she was. She didn't forget what happened, she simply let it go. Allowed it to blend into her psyche as a part of her being for the time being. But it definitely would cause things to be quite different in the future. Nina was a changed female forever, and the cause of it was both Ortho and Kirigakure. At least, in her eyes it was.* - Wed Nov  4 08:24:19 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I can't put her in danger if I don't know where she is. - Wed Nov  4 23:49:20 2015
<br><br><font color=teal>*Index(Jjking217) says: But you can definately taint her reputation further. - Wed Nov  4 23:50:11 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Wed Nov  4 23:51:02 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Nina. - Wed Nov  4 23:51:02 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Want to go for a walk with me? - Wed Nov  4 23:51:02 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I'm a bit sick of hearing these two talk. - Wed Nov  4 23:51:02 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Why would I do that? - Wed Nov  4 23:51:02 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Wed Nov  4 23:51:02 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: Stubborn girl. - Wed Nov  4 23:51:02 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Just humor me. - Wed Nov  4 23:51:53 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: ..What an eye opener this meeting has come to be. - Wed Nov  4 23:53:36 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: No? - Wed Nov  4 23:53:36 2015
<br><br><font color=teal>*Nina(Ninasky115) says: No thank you. Not in a walking mood. - Wed Nov  4 23:53:36 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) whispers: Nina. . .it's important. - Wed Nov  4 23:54:27 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Then say it here. - Wed Nov  4 23:54:27 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: - - Wed Nov  4 23:54:27 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: Stupid girl. - Wed Nov  4 23:54:27 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Nevermind then,. - Wed Nov  4 23:55:18 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: Yes on my part. - Wed Nov  4 23:57:52 2015
<br><br><font color=teal>*** Peasant Girl **(TenaciousRiven) thinks: That explains a lot. - Wed Nov  4 23:57:52 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Wed Nov  4 23:58:43 2015
<br><br><font color=teal>*Index(Jjking217) whispers: And yea. - Wed Nov  4 23:59:34 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: Marrisa.. will end up like Violet and Elon.. - Thu Nov  5 00:02:59 2015
<br><br><font color=teal>*Index(Jjking217) whispers: Ume. - Thu Nov  5 00:02:59 2015
<br><br><font color=teal>*Index(Jjking217) whispers: Want me to tell you something? - Thu Nov  5 00:02:59 2015
<br><br><font color=teal>*Index(Jjking217) whispers: An old friend used to tell me this. - Thu Nov  5 00:03:50 2015
<br><br><font color=teal>*Index(Jjking217) whispers: Everyone is deserving of Death until they prove themselves worthy of living. - Thu Nov  5 00:03:50 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: If she steps before me like those two did, then yes. She is deserving. - Thu Nov  5 00:03:50 2015
<br><br><font color=teal>*** Peasant Girl **(TenaciousRiven) thinks: Makes no sense for me, but it's a nice sentiment. - Thu Nov  5 00:04:41 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: We're simply at that point, Ume. - Thu Nov  5 00:08:06 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: Breathe to live, live to breathe. - Thu Nov  5 00:08:57 2015
<br><br><font color=teal>*** Peasant Girl **(TenaciousRiven) thinks: She's nice....she reads to me. Hmph. - Thu Nov  5 00:08:57 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: If Marrisa attempts to block my air way.. I swat her. - Thu Nov  5 00:08:57 2015
<br><br><font color=teal>*Index(Jjking217) whispers: Ume-chan. - Thu Nov  5 00:14:04 2015
<br><br><font color=teal>*Index(Jjking217) whispers: Would you like some new clothes? - Thu Nov  5 00:14:04 2015
<br><br><font color=teal>*Index(Jjking217) whispers: Your skin is nice, It's unique. - Thu Nov  5 00:14:56 2015
<br><br><font color=teal>*Index(Jjking217) whispers: I like it. - Thu Nov  5 00:14:56 2015
<br><br><font color=teal>*Index(Jjking217) whispers: I think you'd look pretty in a dress. Hm....Maybe a----What? - Thu Nov  5 00:14:56 2015
<br><br><font color=teal>*Index(Jjking217) says: ... - Thu Nov  5 00:15:47 2015
<br><br><font color=teal>*Index(Jjking217) whispers: Ortho. - Thu Nov  5 00:15:47 2015
<br><br><font color=teal>*Index(Jjking217) whispers: Speaking of him, I need to talk with you later. - Thu Nov  5 00:15:47 2015
<br><br><font color=yellow>*Nina(Ninasky115) spun around and walked up until she was behind Index. "What are you whispering about back here, trying to kill other people now?"* - Thu Nov  5 00:16:38 2015
<br><br><font color=teal>*Index(Jjking217) whispers: Definatley cotemplating it. - Thu Nov  5 00:16:38 2015
<br><br><font color=teal>*Index(Jjking217) whispers: But. - Thu Nov  5 00:16:38 2015
<br><br><font color=teal>*Index(Jjking217) whispers: More up Ortho's alley. - Thu Nov  5 00:16:38 2015
<br><br><font color=teal>*Index(Jjking217) says: contemplating* - Thu Nov  5 00:17:29 2015
<br><br><font color=teal>*Nina(Ninasky115) whispers: Yeah, understatement of the day there. - Thu Nov  5 00:17:29 2015
<br><br><font color=teal>*** Peasant Girl **(TenaciousRiven) thinks: She never stops... - Thu Nov  5 00:17:29 2015
<br><br><font color=teal>*Index(Jjking217) whispers: Well Ume-chan, Don't let him do that again. - Thu Nov  5 00:18:20 2015
<br><br><font color=teal>*** Peasant Girl **(TenaciousRiven) says: Why? - Thu Nov  5 00:18:20 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: Just.. don't. - Thu Nov  5 00:18:20 2015
<br><br><font color=teal>*Index(Jjking217) whispers: He may get the wrong idea, if you let him. - Thu Nov  5 00:18:20 2015
<br><br><font color=teal>*** Peasant Girl **(TenaciousRiven) whispers: Wrong idea? - Thu Nov  5 00:18:20 2015
<br><br><font color=teal>*** Peasant Girl **(TenaciousRiven) whispers: I didn't like him seeing my chakra. - Thu Nov  5 00:18:20 2015
<br><br><font color=teal>*** Peasant Girl **(TenaciousRiven) whispers: He looked at me.... different. - Thu Nov  5 00:19:12 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: This is why I wanted to go on a walk. . . - Thu Nov  5 00:19:12 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: No one ever thinks to listen to the fodder. - Thu Nov  5 00:19:12 2015
<br><br><font color=teal>*Index(Jjking217) whispers: You felt exposed, didn't you? - Thu Nov  5 00:19:12 2015
<br><br><font color=teal>*Index(Jjking217) whispers: Like  he was peeping into your privacy. - Thu Nov  5 00:20:03 2015
<br><br><font color=teal>*** Peasant Girl **(TenaciousRiven) whispers: He saw -me-.... like he knew something. - Thu Nov  5 00:20:03 2015
<br><br><font color=yellow>*Nina(Ninasky115) spun around and began walking away for a while, and then turning over towards Thaenan. "Come on, we're going to start training now."* - Thu Nov  5 00:20:03 2015
<br><br><font color=teal>*** Peasant Girl **(TenaciousRiven) whispers: He became....careful about what he said to me. - Thu Nov  5 00:20:03 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: ..... - Thu Nov  5 00:24:19 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: There he goes thinking I'm fodder again.  - Thu Nov  5 00:25:10 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Leaving again? Big surprise. - Thu Nov  5 00:25:10 2015
<br><br><font color=teal>*Index(Jjking217) says: Moving on so soon Ortho-kun? - Thu Nov  5 00:25:10 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Watch your mouth, Index.. - Thu Nov  5 00:28:35 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Boundaries are still existent. - Thu Nov  5 00:28:35 2015
<br><br><font color=teal>*** Peasant Girl **(TenaciousRiven) thinks: Oh. - Thu Nov  5 00:28:35 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: Deez nuts are still existent -omit- - Thu Nov  5 00:28:35 2015
<br><br><font color=teal>*Index(Jjking217) says: Ortho, If I cared for boundaries, I'd be long dead. - Thu Nov  5 00:29:26 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: ..tch.. - Thu Nov  5 00:29:26 2015
<br><br><font color=teal>*Index(Jjking217) says: Boredom would've killed me. - Thu Nov  5 00:29:26 2015
<br><br><font color=teal>*Index(Jjking217) says: / - Thu Nov  5 00:29:26 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I have a vilalge to destroy. - Thu Nov  5 00:29:26 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I'll be back. - Thu Nov  5 00:29:26 2015
<br><br><font color=teal>*** Peasant Girl **(TenaciousRiven) says: Wait...what? - Thu Nov  5 00:29:26 2015
<br><br><font color=teal>*Index(Jjking217) says: Don't die. - Thu Nov  5 00:29:26 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: - - Thu Nov  5 00:29:26 2015
<br><br><font color=teal>*** Peasant Girl **(TenaciousRiven) says: I thought? - Thu Nov  5 00:29:26 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Which one this time? - Thu Nov  5 00:29:26 2015
<br><br><font color=teal>*Nina(Ninasky115) says: ...... - Thu Nov  5 00:30:17 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: The one that I didn't finish.. - Thu Nov  5 00:30:17 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Thu Nov  5 00:30:17 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Ortho. - Thu Nov  5 00:30:17 2015
<br><br><font color=teal>*** Peasant Girl **(TenaciousRiven) thinks: He said he was coming with us. - Thu Nov  5 00:30:17 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I had a talk with you about this once already. . . - Thu Nov  5 00:30:17 2015
<br><br><font color=teal>*** Peasant Girl **(TenaciousRiven) thinks: That's cute, the fodder thinks the people with power care what he thinks. - Thu Nov  5 00:31:08 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: ..Thaenan.. - Thu Nov  5 00:31:08 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: It was made apparent. - Thu Nov  5 00:31:08 2015
<br><br><font color=teal>*** Peasant Girl **(TenaciousRiven) says: omit- - Thu Nov  5 00:31:08 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I'm going back to sleep. - Thu Nov  5 00:31:08 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: You can have the village when I am done.. - Thu Nov  5 00:31:08 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Thu Nov  5 00:31:08 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Nina. - Thu Nov  5 00:31:08 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I need to talk to you first. - Thu Nov  5 00:31:08 2015
<br><br><font color=teal>*Nina(Ninasky115) says: About what, Thaenan. - Thu Nov  5 00:32:00 2015
<br><br><font color=teal>*Index(Jjking217) says: I'll take care of our Ume-chan while you're gone~. - Thu Nov  5 00:32:00 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: A few different things. - Thu Nov  5 00:32:00 2015
<br><br><font color=teal>*Index(Jjking217) says: *In an joking manner* - Thu Nov  5 00:32:00 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Come and tell me. - Thu Nov  5 00:32:00 2015
<br><br><font color=yellow>*Nina(Ninasky115) followed since he didn't know the wonders of whispering.* - Thu Nov  5 00:32:51 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I'm going to tell you the less angering thing first. - Thu Nov  5 00:33:42 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I plan to take ahold of Kirigakure and lead it myself once I have the strength. I want you to come back once this happens. - Thu Nov  5 00:34:33 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Umm, congratulations about that? I guess? - Thu Nov  5 00:35:24 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . .That wasn't the important news really. - Thu Nov  5 00:35:24 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Just a side note. - Thu Nov  5 00:35:24 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Now. - Thu Nov  5 00:35:24 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: For the important part. - Thu Nov  5 00:35:24 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Find Lera. - Thu Nov  5 00:35:24 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Tell her to lay low. - Thu Nov  5 00:36:16 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Last I heard she went to Suna. - Thu Nov  5 00:36:16 2015
<br><br><font color=teal>*Nina(Ninasky115) says: ......Why. - Thu Nov  5 00:36:16 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Ortho is looking for her. . .he claims he 'isn't done.' - Thu Nov  5 00:36:16 2015
<br><br><font color=teal>*Nina(Ninasky115) says: .......... - Thu Nov  5 00:36:16 2015
<br><br><font color=yellow>*Nina(Ninasky115) turned her head back to where they came from, and quickly began sprinting out in that direction, not caring about what he could say to try to stop her.* - Thu Nov  5 00:37:07 2015
<br><br><font color=yellow>*Nina(Ninasky115) spun around and unsheathed her katana, quickly bringing it up to cut the threads in half before they could even wrap around her. "You think I give a fuck about being supplied with information? He's not killing my other mother, not on my life. If he knows you said it, oh well. I'm saving -my- mother." And with that, she'd spin around and begin running off again.* - Thu Nov  5 00:40:32 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Go to Kirigakure right now. - Thu Nov  5 00:41:23 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: If it makes you feel better. . . - Thu Nov  5 00:41:23 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Make sure Lera stays alive. - Thu Nov  5 00:41:23 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: She is in Suna. - Thu Nov  5 00:41:23 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: He doesn't know this yet. - Thu Nov  5 00:41:23 2015
<br><br><font color=teal>*Nina(Ninasky115) says: He better not find out either. - Thu Nov  5 00:42:14 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . . - Thu Nov  5 00:42:14 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Don't get mad at me. - Thu Nov  5 00:42:14 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I'm trying to help you. - Thu Nov  5 00:43:56 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I'm going to get mad at you. You tried to -stop- me. - Thu Nov  5 00:44:48 2015
<br><br><font color=teal>*Nina(Ninasky115) says: To save your own skin. - Thu Nov  5 00:44:48 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Wrong. - Thu Nov  5 00:44:48 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Right. - Thu Nov  5 00:44:48 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I tried to stop you from doing something stupid. - Thu Nov  5 00:44:48 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: You know you can't beat him right now. - Thu Nov  5 00:45:39 2015
<br><br><font color=teal>*Nina(Ninasky115) says: No, no you're not. - Thu Nov  5 00:45:39 2015
<br><br><font color=teal>*Nina(Ninasky115) says: That's why you said. - Thu Nov  5 00:45:39 2015
<br><br><font color=teal>*Nina(Ninasky115) says: He'll know I said it. - Thu Nov  5 00:45:39 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: - - Thu Nov  5 00:45:39 2015
<br><br><font color=teal>*Nina(Ninasky115) says: To save your own ass. - Thu Nov  5 00:45:39 2015
<br><br><font color=yellow>*Nina(Ninasky115) stabs the ground and sits on the ground. "Do whatever you want."* - Thu Nov  5 00:47:21 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . .I'll find you later, when we've both cooled off. - Thu Nov  5 00:47:21 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Don't count on it. - Thu Nov  5 00:47:21 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: - - Thu Nov  5 00:47:21 2015
<br><br><font color=teal>*Nina(Ninasky115) says: If you leave, there isn't any coming back. - Thu Nov  5 00:48:12 2015
<br><br><font color=teal>*Nina(Ninasky115) says: We can spar. And we can try to vent our pain. - Thu Nov  5 01:21:29 2015
<br><br><font color=teal>*Nina(Ninasky115) says: But trust me, it'll hurt you. - Thu Nov  5 01:21:29 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Like hell. - Thu Nov  5 01:21:29 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Thu Nov  5 01:22:20 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: That's what I'm used to. - Thu Nov  5 01:22:20 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Just, please refrain from kill me if you would. - Thu Nov  5 01:22:20 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Death and I don't sit well together. - Thu Nov  5 01:22:20 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I don't care for killing you, you'll be useful. - Thu Nov  5 01:23:12 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: - - Thu Nov  5 01:24:03 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: So I'm just a tool? I see. - Thu Nov  5 01:24:03 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: So that's what you think of me? - Thu Nov  5 01:24:03 2015
<br><br><font color=teal>*Nina(Ninasky115) says: After all that has happened, I think differently about a lot of things. - Thu Nov  5 01:24:54 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I've been thought of as a lot of things. - Thu Nov  5 01:24:54 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: A tool isn't one I like. - Thu Nov  5 01:24:54 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Prove you're something else then, like I am. - Thu Nov  5 01:25:45 2015
<br><br><font color=yellow>*Nina(Ninasky115) crossed her arms and looked at Thaenan, her face and body expression was one of sheer emotionlessness. "If you plan on getting better, you'll have to fight and train as I have, so suck it up and lets get to it." If they had met a month ago, this would've never even popped into Nina's mind, but now things were different.* - Thu Nov  5 01:28:19 2015
<br><br><font color=yellow>*Nina(Ninasky115) shook her head and turned her body, dropping down to the ground with a hand underneath her head. Looking into the sky, she'd sigh lightly and once again shake her head.* - Thu Nov  5 01:31:44 2015
<br><br><font color=yellow>*Nina(Ninasky115) turned her head over towards him. "No threads for you to use then. Straight taijutsu."* - Thu Nov  5 01:35:08 2015
<br><br><font color=yellow>*Nina(Ninasky115) stood up from her laying down position, before pulling her arms up. Her arms took a very specific style when she looked out at Thaenan. "None. Taijutsu is one of my professions." After saying that, she'd sprint forward, giving Thaenan just enough time to try to set up a defense.* - Thu Nov  5 01:37:42 2015
<br><br><font color=yellow>*Nina(Ninasky115) quickly moved forward now, an evil smile appearing on her face. This was the first time she had time to actually vent without it being a death wish. Ducking down slightly, she'd bring her fist up hard in an attempt to uppercut him, taking him off of the ground a bit from the punch. But she wasn't done there, if she was successful, she would continue to throw the blurs of attacks with no hesitation.

In this uppercutting attack, she aimed to keep him up in the air before pulling back her right arm. Taking a step forward, she'd throw her fist forward hard, aiming to connect with the center of his stomach and send him flying back against the ground. If this had worked, she'd quickly begin following after him with her arms thrown backwards, but she was prepared for any of his attacks to come towards her.* - Thu Nov  5 01:45:23 2015
<br><br><font color=yellow>*Nina(Ninasky115) sighed as she stood up and crossed her arms. "No thank you. It's too easy...You won't even put up a fight."* - Thu Nov  5 01:56:28 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: As I said before. - Thu Nov  5 01:57:20 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Even if I did. - Thu Nov  5 01:57:20 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: It wouldn't matter. - Thu Nov  5 01:57:20 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: The outcome would be the same. - Thu Nov  5 01:57:20 2015
<br><br><font color=teal>*Nina(Ninasky115) says: It would be better than just sitting around beating on someone. No thank you. - Thu Nov  5 01:57:20 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Okay, then nothing will happen. It's that simple. - Thu Nov  5 01:59:02 2015
<br><br><font color=yellow>*Nina(Ninasky115) didn't care to actually look in his direction. She didn't even try to show him that he had a chance. She said she was done now so she was exactly that. Raising up her hand, she'd simply catch his fist and push him back on his ass. "I said I'm done."* - Thu Nov  5 02:05:00 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Well, do what you decide to do, and I'll decide what to do in return. - Thu Nov  5 02:07:34 2015
<br><br><font color=teal>*Nina(Ninasky115) says: It could in the future, you never know. - Thu Nov  5 02:14:24 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: But it isn't now? - Thu Nov  5 02:15:15 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Like I said, you never know. - Thu Nov  5 02:15:15 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I'm not asking of the future. - Thu Nov  5 02:16:57 2015
<br><br><font color=teal>*Nina(Ninasky115) says: What if you leave and someone tries to attack me. - Thu Nov  5 02:16:57 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Two against one could scare them off. - Thu Nov  5 02:16:57 2015
<br><br><font color=teal>*Nina(Ninasky115) says: So, like I said, you never know. - Thu Nov  5 02:16:57 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Let me rephrase. - Thu Nov  5 02:16:57 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Do you want me here? - Thu Nov  5 02:16:57 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I don't care if you're here, as long as you're on my side. - Thu Nov  5 02:17:48 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Thu Nov  5 02:17:48 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Hell, I don't care if Ortho is here. - Thu Nov  5 02:17:48 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: That doesn't exactly help my problem. - Thu Nov  5 02:19:31 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Look, I'm going to be straight to the point. If you want to leave, then leave. - Thu Nov  5 02:19:31 2015
