<br><font color=yellow>*Termine, Jover(Bosshoggoutlaw) Boxer and big eater* - Mon Nov  2 22:10:20 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Well I mean. - Mon Nov  9 05:57:58 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: I'm only paying for the food because I invited you all out. - Mon Nov  9 05:58:49 2015
<br><br><font color=teal>*Ziare(Meekee) says: That means it's a one time thing. - Mon Nov  9 05:58:49 2015
<br><br><font color=teal>*Ziare(Meekee) says: You better go hard Slim. - Mon Nov  9 05:59:40 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Try not to go too hard, I do have to pay rent after all. - Mon Nov  9 05:59:40 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: I already ate one of everything on the menu. - Mon Nov  9 06:01:23 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Thats fine. - Mon Nov  9 06:03:05 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Like I just finshed eating it all. - Mon Nov  9 06:03:56 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: ...Right... - Mon Nov  9 06:04:48 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) thinks: Where did all that food go..? - Mon Nov  9 06:04:48 2015
<br><br><font color=teal>*Ziare(Meekee) says: Welcome to my sweet hell. - Mon Nov  9 06:04:48 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: It's not so bad. - Mon Nov  9 06:05:39 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: At least you have people to talk to. - Mon Nov  9 06:05:39 2015
<br><br><font color=teal>*Ziare(Meekee) says: Crazy people. - Mon Nov  9 06:06:30 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: I think they're fun to be around. - Mon Nov  9 06:08:12 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: So...Rias. - Mon Nov  9 06:10:46 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: How do you like your green tea? - Mon Nov  9 06:10:46 2015
<br><br><font color=teal>*Rias(LionHunter) says: Hot and steamy~ - Mon Nov  9 06:11:37 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Always the best way. - Mon Nov  9 06:12:28 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: I am not crazy. - Mon Nov  9 06:12:28 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: You are the crazy one. - Mon Nov  9 06:12:28 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: And Ria shes just bubbly. - Mon Nov  9 06:13:20 2015
<br><br><font color=teal>*Rias(LionHunter) says: But he loves us~ - Mon Nov  9 06:13:20 2015
<br><br><font color=teal>*Rias(LionHunter) says: J knows~ - Mon Nov  9 06:13:20 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Rias, Can I ask you a somewhat weird question? - Mon Nov  9 06:15:53 2015
<br><br><font color=teal>*Rias(LionHunter) says: Whats up? - Mon Nov  9 06:17:36 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Well uh, Do you dye your hair? - Mon Nov  9 06:17:36 2015
<br><br><font color=teal>*Rias(LionHunter) says: Do I dye it? I can - Mon Nov  9 06:17:36 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: No I mean. - Mon Nov  9 06:18:27 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Is your hairs current colour your natural one? - Mon Nov  9 06:18:27 2015
<br><br><font color=teal>*Rias(LionHunter) says: Oh... yea, but im not a Uzumaki - Mon Nov  9 06:18:27 2015
<br><br><font color=teal>*Rias(LionHunter) says: Im just a random red head - Mon Nov  9 06:19:18 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Huh, Weird. - Mon Nov  9 06:19:18 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: I don't meet many people with hair like mine. - Mon Nov  9 06:20:09 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Naturally anyway. - Mon Nov  9 06:20:09 2015
<br><br><font color=teal>*Ziare(Meekee) says: ... - Mon Nov  9 06:20:09 2015
<br><br><font color=teal>*Rias(LionHunter) says: Yea im just a reddie - Mon Nov  9 06:21:00 2015
<br><br><font color=teal>*Rias(LionHunter) says: Why do you ask? - Mon Nov  9 06:21:52 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Just interested is all. - Mon Nov  9 06:21:52 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: I don't see anyone outside my clan with natural hair like that. - Mon Nov  9 06:21:52 2015
<br><br><font color=teal>*Rias(LionHunter) says: Clan? - Mon Nov  9 06:27:50 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Uh...Yeah. - Mon Nov  9 06:29:32 2015
<br><br><font color=teal>*Ziare(Meekee) says: Intresting. - Mon Nov  9 06:30:24 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Hmmm. - Mon Nov  9 06:32:06 2015
<br><br><font color=teal>*Rias(LionHunter) says: Iwant to go to Sunagakure! - Mon Nov  9 06:32:57 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Why i hear its like hot there?? - Mon Nov  9 06:32:57 2015
<br><br><font color=teal>*Ziare(Meekee) says: You're crazy. - Mon Nov  9 06:32:57 2015
<br><br><font color=teal>*Rias(LionHunter) says: It is but its so pretty, I want to meet Hassan-sama! - Mon Nov  9 06:34:40 2015
<br><br><font color=teal>*Ziare(Meekee) says: I jsut have a generally bad feeling about that. - Mon Nov  9 06:36:22 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: I think i'd like to see Kirigakure one day. - Mon Nov  9 06:36:22 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Maybe not Sunagakure...too much sand and heat. - Mon Nov  9 06:36:22 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Doesn't seem like there would be a lot there. - Mon Nov  9 06:36:22 2015
<br><br><font color=teal>*Rias(LionHunter) says: Non sense! Its perfectly fine there - Mon Nov  9 06:38:04 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: You've been? - Mon Nov  9 06:38:04 2015
<br><br><font color=teal>*Rias(LionHunter) says: Nope - Mon Nov  9 06:38:04 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Hm... - Mon Nov  9 06:38:56 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Well, I heard they don't really let people just 'visit'. - Mon Nov  9 06:38:56 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Hmmm. - Mon Nov  9 06:43:12 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Hm. - Mon Nov  9 06:47:28 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Well, looks like we're all pretty finished here. - Mon Nov  9 06:47:28 2015
<br><br><font color=teal>*Rias(LionHunter) says: Well im going back to training - Mon Nov  9 06:49:10 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Mind if I join you? I've got some stuff I need to work on. - Mon Nov  9 06:49:10 2015
<br><br><font color=teal>*Rias(LionHunter) says: Sure cutie~ - Mon Nov  9 06:50:52 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Well, Lead the way then. - Mon Nov  9 06:51:44 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: I gotta get payed up real quick. - Mon Nov  9 06:52:35 2015
<br><br><font color=teal>*Ziare(Meekee) says: We gotta go too Slim. - Mon Nov  9 06:54:17 2015
<br><br><font color=teal>*Ziare(Meekee) says: We have no choice. - Mon Nov  9 06:54:17 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Hmmm. - Mon Nov  9 06:55:08 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Oh wow he payed. - Mon Nov  9 06:55:08 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Ha. - Mon Nov  9 06:55:08 2015
<br><br><font color=teal>*Ziare(Meekee) says: He's lucky Rias didn't eat. - Mon Nov  9 06:56:00 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: You are a good person guy. - Mon Nov  9 06:56:00 2015
<br><br><font color=teal>*Ziare(Meekee) says: Or he may not be able to make rent. - Mon Nov  9 06:56:00 2015
<br><br><font color=teal>*Rias(LionHunter) says: Alrightly... come along me- hey! I dont eat alot! I just have expensive tastes~ - Mon Nov  9 06:56:51 2015
<br><br><font color=teal>*Ziare(Meekee) says: No. - Mon Nov  9 06:56:51 2015
<br><br><font color=teal>*Ziare(Meekee) says: You eat alot and have expensive tastes. - Mon Nov  9 06:56:51 2015
<br><br><font color=teal>*Rias(LionHunter) says: N-not as much as J! - Mon Nov  9 06:57:42 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Hey, if you like it then you should have a lot of it. Am I right? - Mon Nov  9 06:57:42 2015
<br><br><font color=teal>*Ziare(Meekee) says: Still, you eat a lot for you. - Mon Nov  9 06:57:42 2015
<br><br><font color=teal>*Ziare(Meekee) says: And then use the excuse "Well i'm a growing girl" - Mon Nov  9 06:57:42 2015
<br><br><font color=teal>*Rias(LionHunter) says: What ever... - Mon Nov  9 06:58:33 2015
<br><br><font color=teal>*Ziare(Meekee) says: You d-...Jeez, you got me all worked up for this... - Mon Nov  9 06:58:33 2015
<br><br><font color=teal>*Ziare(Meekee) says: I already know i'm right. - Mon Nov  9 06:58:33 2015
<br><br><font color=teal>*Ziare(Meekee) says: Looks like we got out of training today. - Mon Nov  9 07:01:07 2015
<br><br><font color=teal>*Ziare(Meekee) says: I'll cath you later. - Mon Nov  9 07:01:07 2015
<br><br><font color=yellow>*Termine, Grover(Bosshoggoutlaw) he enters the kage house lika a boss he looks just like his borther Jover but with lighter hiar and eye color "Rias! Pop it Le Flare..."Whee the heck have you been huh." he would eye his child hood friend eating cinamiorlls like hey where going out of style.* - Tue Dec  8 05:25:07 2015
<br><br><font color=teal>*Termine, Grover(Bosshoggoutlaw) says: Thats what i came to tell you. - Tue Dec  8 05:37:55 2015
<br><br><font color=teal>*Termine, Grover(Bosshoggoutlaw) says: His head was in my mailbox. - Tue Dec  8 05:38:46 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Tue Dec  8 05:59:15 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .... - Tue Dec  8 06:06:04 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: *kicks in its face* "Stop bitching fuuu!!!" -omit- - Tue Dec  8 06:06:56 2015
<br><br><font color=teal>*Jiki, Hayate(Assassin241) says: *has brain damage* - Tue Dec  8 06:06:56 2015
<br><br><font color=teal>*Jiki, Hayate(Assassin241) says: omit - Tue Dec  8 06:07:47 2015
<br><br><font color=teal>***Hokage**(LionHunter) thinks: Seriously? - Tue Dec  8 06:11:12 2015
<br><br><font color=teal>***Hokage**(LionHunter) thinks: Now I have to take him - Tue Dec  8 06:11:12 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) thinks: Father would be proud! Good parenting. Ahhh... - Tue Dec  8 06:11:12 2015
<br><br><font color=yellow>*Termine, Grover(Bosshoggoutlaw) he looks Rias in the eyes "When you find them point me in there direction Since  jover is gone I have been sent in as his replacement by the Tribunial I know Im not as awesome as him but bare with me." he would nod.* - Tue Dec  8 06:12:54 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: Rias? - Tue Dec  8 06:15:28 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: Hmm? - Tue Dec  8 06:17:10 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: Ah, so it is you. I'm surprise that you've become Hokage. - Tue Dec  8 06:18:01 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: Yes Im trying to do something good for this village - Tue Dec  8 06:18:01 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Tue Dec  8 06:19:44 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Lady Hokage.. - Tue Dec  8 06:19:44 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: That child.. - Tue Dec  8 06:19:44 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: Yes? - Tue Dec  8 06:20:35 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Is it yours? - Tue Dec  8 06:20:35 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: Yes - Tue Dec  8 06:20:35 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I didn't expect you to be a mother. - Tue Dec  8 06:20:35 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'll have to take note of that. - Tue Dec  8 06:20:35 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: Well im full of suprises just like you Osuda~ - Tue Dec  8 06:22:17 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) thinks: A newly born child. Starting them on the path to righteousness should come early. I'll have to be sure to train them.. - Tue Dec  8 06:22:17 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Am..I full of surprises? - Tue Dec  8 06:22:17 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) thinks: Have I been compromised? This whore actually found out about me? Impossible.. - Tue Dec  8 06:23:08 2015
<br><br><font color=teal>*Kai(Ultimate_Odyssey) says: Mm...I-I will just...go home... - Tue Dec  8 06:23:08 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: Yes but more on that later... I have a meeting... Dont do anthing rash ok? - Tue Dec  8 06:23:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Of course not. - Tue Dec  8 06:23:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: No..no.. - Tue Dec  8 06:24:00 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: Hrm? - Tue Dec  8 06:24:00 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Have a great trip.~ - Tue Dec  8 06:27:24 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: Ah..? - Tue Dec  8 06:27:24 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: Miss Hokage is going on a trip..? - Tue Dec  8 06:27:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: If she is on leave, I assume she'll be taking a break to care for her child. - Tue Dec  8 06:28:16 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: I will see you all in a few... yes to Sunagakure... Osuda only has power to answer questions... I will return to pass out missions - Tue Dec  8 06:29:07 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: Ah.... - Tue Dec  8 06:29:58 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: Well okay then.. - Tue Dec  8 06:29:58 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I don't get paid enough for this.. - Tue Dec  8 06:29:58 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: Ah... I was actually hoping, if you're standing in, you could handle the reward for the other mission.. - Tue Dec  8 06:31:40 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Sadly, I can not. - Tue Dec  8 06:31:40 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: Ah... alright.. then.. - Tue Dec  8 06:31:40 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: Uhm, how are you today, Osuda? - Tue Dec  8 06:31:40 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: All I am able to do is answer questions when it comes to matters. - Tue Dec  8 06:32:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Pretty good. How are you doing? - Tue Dec  8 06:32:32 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: Ah.. I am well... a bit bored... but my studies are going well. - Tue Dec  8 06:32:32 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Yo. - Tue Dec  8 06:32:32 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: ...... - Tue Dec  8 06:33:23 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: Where did the Kage go? - Tue Dec  8 06:34:14 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: Fuck man. - Tue Dec  8 06:34:14 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Tue Dec  8 06:34:14 2015
<br><br><font color=teal>*Takuma(Brosis55) says: I don't know! - Tue Dec  8 06:34:14 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Well, you should continue studying. - Tue Dec  8 06:34:14 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: It'll pay off, I'm sure of it. - Tue Dec  8 06:34:14 2015
<br><br><font color=teal>*Takuma(Brosis55) says: You dozed off! - Tue Dec  8 06:34:14 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Baka! - Tue Dec  8 06:34:14 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You're quite smart. - Tue Dec  8 06:34:14 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: Shit. - Tue Dec  8 06:35:05 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: It's not my fault. - Tue Dec  8 06:35:05 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: Let's get going. - Tue Dec  8 06:35:05 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: We have to find her. - Tue Dec  8 06:35:05 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Who are you looking for? - Tue Dec  8 06:35:05 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: The Hokage. - Tue Dec  8 06:35:56 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Ah. - Tue Dec  8 06:35:56 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: She is heading to Sunagakure. - Tue Dec  8 06:35:56 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: Sunagaku-- - Tue Dec  8 06:35:56 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: ..... - Tue Dec  8 06:35:56 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Good luck. - Tue Dec  8 06:35:56 2015
<br><br><font color=teal>*Takuma(Brosis55) says: . . . - Tue Dec  8 06:35:56 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: Son. - Tue Dec  8 06:35:56 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: Of. - Tue Dec  8 06:35:56 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: A. - Tue Dec  8 06:35:56 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: Bitch. - Tue Dec  8 06:35:56 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: Ah..? - Tue Dec  8 06:36:48 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: ...Sucks. - Tue Dec  8 06:37:39 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Hm. . . - Tue Dec  8 06:38:30 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Tue Dec  8 06:38:30 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: They're from Kumogakure. - Tue Dec  8 06:39:21 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: What business do you have with Lady Hokage? - Tue Dec  8 06:39:21 2015
<br><br><font color=yellow>*Termine, Grover(Bosshoggoutlaw) he stands in the office by the desk akwardly his mind would begin to wonder <Where the heck is Z.> the guy was somewhat shy compared to his borther.* - Tue Dec  8 06:40:12 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Oh. - Tue Dec  8 06:40:12 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Hey Osda. - Tue Dec  8 06:40:12 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: Ah.. - Tue Dec  8 06:41:04 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Greetings. - Tue Dec  8 06:41:04 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: ...Right? - Tue Dec  8 06:42:46 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Maybe. - Tue Dec  8 06:43:37 2015
<br><br><font color=teal>*Takuma(Brosis55) says: We came here to discuss a treaty. - Tue Dec  8 06:43:37 2015
<br><br><font color=teal>*Takuma(Brosis55) says: But seeing as the Hokage has left. - Tue Dec  8 06:43:37 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I see... - Tue Dec  8 06:43:37 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Yes, you'll most likely have to reschedule. Sorry for the wasted trip. - Tue Dec  8 06:43:37 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You just missed her. - Tue Dec  8 06:43:37 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You are welcome to stay for a few days. - Tue Dec  8 06:44:28 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Eh. . . - Tue Dec  8 06:44:28 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: Last time we were here. . .I placed a panty flag ontop of the mansion's pole. .  - Tue Dec  8 06:44:28 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: Ah.. yes. - Tue Dec  8 06:44:28 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: Lady Hokage is, as we said, out and about. - Tue Dec  8 06:44:28 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: Apologies. - Tue Dec  8 06:44:28 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Alright, see ya. - Tue Dec  8 06:45:20 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Well that was great. - Tue Dec  8 06:45:20 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: ..Ah.. Unfortunate. - Tue Dec  8 06:46:11 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: It seems war really is brewing.. - Tue Dec  8 06:46:11 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Is it? - Tue Dec  8 06:47:02 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Maybe this is why she left.. - Tue Dec  8 06:47:02 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: Possibly so.. - Tue Dec  8 06:47:02 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: Ah, and I'm certainly not ready for war.. oh my. - Tue Dec  8 06:47:53 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm.. - Tue Dec  8 06:48:44 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I doubt war will happen. - Tue Dec  8 06:48:44 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: Ah... what makes you say that? - Tue Dec  8 06:49:36 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: I mean.. it looks like it, right? - Tue Dec  8 06:55:34 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: What may seem to be true, may not always be the case. - Tue Dec  8 06:59:50 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Even if a war breaks out, there's nothing stating that Konoha will have to be involved. - Tue Dec  8 06:59:50 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: True.. - Tue Dec  8 07:00:41 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: So don't worry. - Tue Dec  8 07:02:24 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: Yeah.. even if it happens.. it's not our fight.. - Tue Dec  8 07:08:22 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Yep. - Tue Dec  8 07:10:56 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: What. .? - Tue Dec  8 07:22:01 2015
<br><br><font color=teal>*Rias(LionHunter) says: Oh her Asteroth... - Tue Dec  8 07:22:52 2015
<br><br><font color=teal>*Rias(LionHunter) says: Get ready... there might me trouble... hide of you need to - Tue Dec  8 07:22:52 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Tue Dec  8 07:22:52 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Packed. - Tue Dec  8 07:23:44 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) thinks: I deserve this seat... - Tue Dec  8 07:23:44 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .... - Tue Dec  8 07:24:35 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) thinks: This is awkward.. - Tue Dec  8 07:25:26 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) thinks: I wonder what can I sell to these people here. - Tue Dec  8 07:25:26 2015
<br><br><font color=teal>*Asteroth(Lordlol45) thinks: Weird. - Tue Dec  8 07:26:17 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) thinks: I should try to get information on the two while I'm here. I'm sure she'll know something. - Tue Dec  8 07:28:51 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .... - Tue Dec  8 07:29:42 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: . . . - Tue Dec  8 07:29:42 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: What are all of these people here for, Lady Hokage? - Tue Dec  8 07:30:33 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: ZE KRIEEEEGGGGG! - Tue Dec  8 07:30:33 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) thinks: Seems as if she's still eating from the palm of Sunagakure.. - Tue Dec  8 07:32:16 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: So that's what this is all about. - Tue Dec  8 07:33:07 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) thinks: If I keep this up, I'll learn something. - Tue Dec  8 07:33:07 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: Unecessary. - Tue Dec  8 07:33:07 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Kekekekek.. - Tue Dec  8 07:33:07 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Maybe I was. - Tue Dec  8 07:33:07 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I still doubt there will be a war. - Tue Dec  8 07:33:07 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: Ah.. maybe. - Tue Dec  8 07:33:07 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: Anyway.. ah, Hokage-Sama... I'll talk to you later, then. I'll.. be around town, training. I'm.. certainly not ready to help with this kind of thing. - Tue Dec  8 07:33:58 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: War huh? - Tue Dec  8 07:33:58 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: I guess I should start making some calls. Whoever has the better supplies will win in the end. - Tue Dec  8 07:33:58 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) thinks: Wait... War?... Nope! Going to flee this village too! Nope Nope, NOT AT ALL! I WON'T BE DRAFTED!!!! - Tue Dec  8 07:33:58 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) thinks: ..... - Tue Dec  8 07:34:49 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) thinks: Gentlemen... - Tue Dec  8 07:34:49 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) thinks: I.... - Tue Dec  8 07:34:49 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) thinks: ... Like... - Tue Dec  8 07:34:49 2015
