<br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Ehh? - Tue Dec  8 12:34:20 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...Neither do ---...but you kissed me. - Sat Dec 12 22:22:40 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: What's wrong with kissing people? - Sat Dec 12 22:22:40 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) squinted and shifted the groceries in her grip.* - Sat Dec 12 22:22:40 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ....just.... I don't know....  - Sat Dec 12 22:22:40 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Stealing kisses and shit. - Sat Dec 12 22:22:40 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: ....What? - Sat Dec 12 22:22:40 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: Did I take your first love by chance? - Sat Dec 12 22:23:31 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) grumbled and shuffled off for the kitchen.* - Sat Dec 12 22:23:31 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: .....You stole my first kiss. - Sat Dec 12 22:23:31 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: . . . . . .  - Sat Dec 12 22:24:22 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: By taking your first kiss, did I take your chances for love? - Sat Dec 12 22:24:22 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: Lord. - Sat Dec 12 22:24:22 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: Don't believe in such bullcrap. - Sat Dec 12 22:24:22 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...No? - Sat Dec 12 22:24:22 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Of course not. - Sat Dec 12 22:24:22 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: That's stupid. - Sat Dec 12 22:24:22 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: Good. - Sat Dec 12 22:25:13 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: What'd you buy for groceries? - Sat Dec 12 22:25:13 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Where have you guys been... it's been age---... stuff for curry. - Sat Dec 12 22:25:13 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I eat spicy food. - Sat Dec 12 22:25:13 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: You guys have been gone forever. - Sat Dec 12 22:25:13 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: ...Oh. - Sat Dec 12 22:25:13 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: Yeah we have been.... - Sat Dec 12 22:25:13 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: It's been a long time. - Sat Dec 12 22:25:13 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: I've visited from time to time.  - Sat Dec 12 22:25:13 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Didn't think I might want to come along huh... - Sat Dec 12 22:25:13 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Well, you did leave us. - Sat Dec 12 22:26:04 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ... I leave in cycles and am always back in a few days. - Sat Dec 12 22:26:04 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: You left for OVER A YEAR. - Sat Dec 12 22:26:04 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: We should've taken her with us. - Sat Dec 12 22:26:04 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: It got to the point that I thought about going back to Kumogakure because I was basically just sitting here alone all the time. - Sat Dec 12 22:26:56 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: Did you miss us? - Sat Dec 12 22:26:56 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...of course I missed you. - Sat Dec 12 22:27:47 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: . . . . . . . - Sat Dec 12 22:27:47 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Aww, how sweet. - Sat Dec 12 22:27:47 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) thinks: Didn't think I fostered any friendly relationships with her. - Sat Dec 12 22:27:47 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) thinks: Well, that's nice. - Sat Dec 12 22:27:47 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Let's eat curry then. - Sat Dec 12 22:28:38 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: I bet she's imprinted on you. - Sat Dec 12 22:28:38 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: You don't mind if we join you? - Sat Dec 12 22:28:38 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Like... a duck? - Sat Dec 12 22:28:38 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ....of course not... I'll cook...but you guys don't like spicy food do you? - Sat Dec 12 22:28:38 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: Can't use green curry. - Sat Dec 12 22:28:38 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Yeah. - Sat Dec 12 22:28:38 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: I don't mind spicy food. - Sat Dec 12 22:28:38 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: I like whatever. - Sat Dec 12 22:28:38 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: As long as it's not a human leg. - Sat Dec 12 22:28:38 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) nodded and then walked up the steps into the kitchen. "Come on then... I at least want to hear what you did without me."* - Sat Dec 12 22:29:29 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: .... - Sat Dec 12 22:29:29 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: You didn't even try it. - Sat Dec 12 22:29:29 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) notably is much more natural socially and friendly.* - Sat Dec 12 22:29:29 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Wasn't going to. - Sat Dec 12 22:30:20 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) walked into the kitchen and sat all the bags on the counter. She pulled out the items and went to work, there was sea bass, with a coconut and a variety of other fruits, spices, and such. She put on a skillet, a pot, and pulled out a cutting board. Running some water she started to clean the fish and then place it in the fridge as she prepared the spicy green curry base. Cutting fresh herbs, adding ground spices, cracking open the coconut, and generally preparing the meal that took a long while until the curry sauce was bubbling in a sweet extra spicy way. Green curry was the spiciest curry in the world, so they were in for a surprise. 

She then went to searing the fish and preparing steamed rice. When all of the meal was finished off she plated each one and cleaned off the table. Setting out a large bottle of sake and a pitcher of water with four glasses and a steaming hot plate of food for each person that likely was going to be way too spicy for any of them to eat unless they -really- liked spicy food. --- at least it was delicious?* - Sat Dec 12 22:38:01 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: Crap... five years? - Sat Dec 12 22:43:08 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) thinks: ..Not good. - Sat Dec 12 22:45:42 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) thinks: I was always better with sweets. - Sat Dec 12 22:45:42 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) thinks: And sour foods. - Sat Dec 12 22:45:42 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) thinks: Not my kind of food but it's been done well. - Sat Dec 12 22:47:24 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) took up her fork and started to eat easily enough. She seemed to greatly enjoy the spicy food and devoured it at a rather fast pace. When her social attitude was brought up she pushed some of the fish around on the plate. "I uh... traveling a lot, training... making friends... lots...and lots of training mostly--but I wanted to hear about your time traveling more." She left out a few details but that was for later conversations. * - Sat Dec 12 22:55:05 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Honestly... - Sat Dec 12 22:57:39 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: It was quite an adventure..Sadly, we still never got the chance to kill Kyubishu. - Sat Dec 12 22:57:39 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Which sucks. - Sat Dec 12 22:57:39 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Truly. - Sat Dec 12 22:57:39 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Oh.... that's too bad. - Sat Dec 12 22:58:30 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: You just like... adventured? It wasn't business? - Sat Dec 12 22:58:30 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: That just makes it worse that they left me behind. - Sat Dec 12 22:58:30 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Adventured..... - Sat Dec 12 22:59:21 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: I guess. - Sat Dec 12 22:59:21 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: It was boring. - Sat Dec 12 22:59:21 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: It was. I mean, we left acting like we were merchants. - Sat Dec 12 23:00:12 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I got close to killing him, but things happened. - Sat Dec 12 23:01:04 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...So it was all just to kill one boy? - Sat Dec 12 23:01:04 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Oh right, that Ryo kid, seems like he died from the injuries you gave him Shiro. - Sat Dec 12 23:01:04 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: If I knew that I would have just gone and killed him myself. - Sat Dec 12 23:01:04 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Mostly. Also, we owed Shiro an adventure. - Sat Dec 12 23:01:04 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Which, we never finished. Oh well.  - Sat Dec 12 23:01:55 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...right. - Sat Dec 12 23:01:55 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Uh... brother... - Sat Dec 12 23:01:55 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: ---Oooh. - Sat Dec 12 23:02:46 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: He died because of my injuries? - Sat Dec 12 23:02:46 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Are you serious? - Sat Dec 12 23:02:46 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Didn't know I hit that hard. - Sat Dec 12 23:03:37 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Yep. Well a mix of both, but mostly from yours. - Sat Dec 12 23:03:37 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: So. - Sat Dec 12 23:03:37 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: What's our plan and goal? - Sat Dec 12 23:03:37 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Let's recap. - Sat Dec 12 23:03:37 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Hm? - Sat Dec 12 23:03:37 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I have a boyfriend. - Sat Dec 12 23:04:28 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Well, I kind of want to mutilate that Bryson guy. He just pisses me off for some reason. - Sat Dec 12 23:04:28 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: Just gonna put it out there, get it over with. - Sat Dec 12 23:04:28 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: And I rea-Wait what!? - Sat Dec 12 23:04:28 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Who? - Sat Dec 12 23:04:28 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: What? When? - Sat Dec 12 23:04:28 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: How? - Sat Dec 12 23:04:28 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: . . . . - Sat Dec 12 23:05:20 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: A girl as cute as her? - Sat Dec 12 23:05:20 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: ...... - Sat Dec 12 23:05:20 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Of course she'd have a girlfriend. - Sat Dec 12 23:05:20 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: A boyfriend - Sat Dec 12 23:05:20 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Er. - Sat Dec 12 23:05:20 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Boyfriend. - Sat Dec 12 23:05:20 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: ..... - Sat Dec 12 23:05:20 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: A boyfriend. - Sat Dec 12 23:05:20 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Yes, a boyfriend. - Sat Dec 12 23:05:20 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: A. - Sat Dec 12 23:05:20 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Boy. - Sat Dec 12 23:05:20 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Friend. - Sat Dec 12 23:05:20 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) thinks: Ichiro's family isn't Arabian right? - Sat Dec 12 23:05:20 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) thinks: -omit- - Sat Dec 12 23:05:20 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Yes. - Sat Dec 12 23:05:20 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) continued eating as if nothing was wrong.* - Sat Dec 12 23:05:20 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: You mean, a boy that is a friend, right? - Sat Dec 12 23:05:20 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Don't fucking kill her boyfriend if that's what you're thinking. - Sat Dec 12 23:06:11 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: No, I mean a boy. Who I date and spend a lot of time with. - Sat Dec 12 23:06:11 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: We don't even know if he's an asshole or not. - Sat Dec 12 23:06:11 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I mean...he's an ass but in the good kind of way. Like you guys. - Sat Dec 12 23:07:02 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I wasn't going to kill him. - Sat Dec 12 23:07:02 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .... - Sat Dec 12 23:07:02 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: What's his name? - Sat Dec 12 23:07:02 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: ......So....... - Sat Dec 12 23:07:02 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Plus he's a bad ass. - Sat Dec 12 23:07:53 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) whispers: More like break half of his bones and make him eat through a straw... - Sat Dec 12 23:07:53 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ---- - Sat Dec 12 23:07:53 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: It isn't the Raikage, is it?  - Sat Dec 12 23:07:53 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: .....no. - Sat Dec 12 23:07:53 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: So yeah..I thought you weren't into that stuff? - Sat Dec 12 23:07:53 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) said that rather coldly.* - Sat Dec 12 23:07:53 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: ...Do you not like him? - Sat Dec 12 23:07:53 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: What's his name? What does he look like? - Sat Dec 12 23:07:53 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I never said I wasn't into emotions. - Sat Dec 12 23:07:53 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I'm not telling you who he is until you've calmed your antics of trying to do anything to him. - Sat Dec 12 23:08:44 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I'm pretty sure the whole concept of sex and relationships creeped you out. - Sat Dec 12 23:08:44 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: ...... - Sat Dec 12 23:08:44 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: No, only sex. - Sat Dec 12 23:08:44 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: They aren't. - Sat Dec 12 23:08:44 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Killing your boyfriend. - Sat Dec 12 23:08:44 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Relax. - Sat Dec 12 23:09:36 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I said I wouldn't kill him. - Sat Dec 12 23:09:36 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: They aren't touching. - Sat Dec 12 23:09:36 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Your boyfriend. - Sat Dec 12 23:09:36 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I mean he sort of deserves some respect, killed a hundred and two people in my name and shit. - Sat Dec 12 23:09:36 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: . . . . - Sat Dec 12 23:09:36 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: ...... - Sat Dec 12 23:09:36 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: You aren't breaking his bones either. - Sat Dec 12 23:09:36 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Tch. - Sat Dec 12 23:09:36 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: ............ - Sat Dec 12 23:09:36 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: A hundred and two people? - Sat Dec 12 23:09:36 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: He sounds pretty strong. - Sat Dec 12 23:09:36 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Yeah, cool right? - Sat Dec 12 23:09:36 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .................. - Sat Dec 12 23:09:36 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Now you've piqued my curiousity. - Sat Dec 12 23:09:36 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) felt her lips curl up into a smile.* - Sat Dec 12 23:10:27 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) thinks: Damn..I'm probably going to have to out do him. - Sat Dec 12 23:11:18 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Brother, you are very silent. - Sat Dec 12 23:11:18 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: He's probably thinking the same as me; rough him up a bit. - Sat Dec 12 23:12:09 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Not that I mind if you 'rough' him up. - Sat Dec 12 23:13:00 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I used to kick his ass but he easily surpassed me--probably because you guys left me alone for so long. - Sat Dec 12 23:13:00 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Long as he isn't dead or has every bone in his body destroyed. - Sat Dec 12 23:13:00 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: ..... - Sat Dec 12 23:13:00 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: I have no idea who the hell you're talking about. - Sat Dec 12 23:13:00 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Maybe I know him. - Sat Dec 12 23:13:00 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Just spit it ou. - Sat Dec 12 23:13:00 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Now why would I break every bone in his body? - Sat Dec 12 23:13:52 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: That's not fun. - Sat Dec 12 23:13:52 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Then he wouldn't be able to cry for help. - Sat Dec 12 23:13:52 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: And don't blame us for you getting your ass kicked.  - Sat Dec 12 23:13:52 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I'm waiting for my brother to speak before saying who he is. - Sat Dec 12 23:14:43 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Where's he from? - Sat Dec 12 23:14:43 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I got my ass kicked because I was training him, why else would he kick my ass? - Sat Dec 12 23:14:43 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ----Why did you think it was the Raikage? - Sat Dec 12 23:15:34 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I don't know. Maybe that's what turns you on. - Sat Dec 12 23:15:34 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Is it....that guy...the one that called you a liar? - Sat Dec 12 23:15:34 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...HAHAHAHAH NO WOAH. - Sat Dec 12 23:15:34 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Good. - Sat Dec 12 23:15:34 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: That's just Tsu-san, he's my friend. - Sat Dec 12 23:15:34 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I train with him too. - Sat Dec 12 23:15:34 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) thinks: Better be. - Sat Dec 12 23:15:34 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: It's Sogeki, in Kumogakure. - Sat Dec 12 23:16:25 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: So you don't mind if tear an arm off? - Sat Dec 12 23:16:25 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Sogeki? - Sat Dec 12 23:16:25 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: You aren't hurting him. - Sat Dec 12 23:16:25 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: ....Never heard of him. - Sat Dec 12 23:16:25 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I know. - Sat Dec 12 23:16:25 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) snickered and stood up to start cleaning up from the dinner.* - Sat Dec 12 23:16:25 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: What's to stop me from doing so? If I wanted to, I'm sure I can find him. - Sat Dec 12 23:16:25 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: How deep is this relationship? - Sat Dec 12 23:16:25 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: So you can't have an opinion about him already except for what I've told yo--I will stop you from doing so, Kida. - Sat Dec 12 23:17:16 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...not to make that sound like a threat, but I will at least try. - Sat Dec 12 23:17:16 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: And what do you mean by how deep? - Sat Dec 12 23:17:16 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: As in...have you let him past first base? - Sat Dec 12 23:18:59 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ....that's kind of private, why would I tell you guys that. - Sat Dec 12 23:19:50 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Especially knowing how I am. - Sat Dec 12 23:19:50 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: ..... - Sat Dec 12 23:19:50 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) finished cleaning up and set the dishes in the sink to be washed later. She walked back over and sat down at the table realizing how serious this was going to become when it really shouldn't have to be.* - Sat Dec 12 23:21:32 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Alright. - Sat Dec 12 23:21:32 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: I won't touch him. - Sat Dec 12 23:21:32 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ....really? - Sat Dec 12 23:22:24 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Mhm. - Sat Dec 12 23:22:24 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I will. - Sat Dec 12 23:22:24 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: .... - Sat Dec 12 23:22:24 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: You won't. - Sat Dec 12 23:22:24 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Fine. - Sat Dec 12 23:22:24 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Now... - Sat Dec 12 23:22:24 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Excuse me for a moment. - Sat Dec 12 23:22:24 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ....uh... okay. - Sat Dec 12 23:23:15 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: He's gonna go kill him isn't he? - Sat Dec 12 23:23:15 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: If he is, I want to watch. - Sat Dec 12 23:23:15 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Kidding of course. - Sat Dec 12 23:24:06 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: It's not like I'll kill the guy or anything. - Sat Dec 12 23:24:06 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Same with Ichiro. - Sat Dec 12 23:24:06 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: He does realize he left me alone for five years? - Sat Dec 12 23:24:06 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: And I grew up? - Sat Dec 12 23:24:06 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Well you did leave right before we left. - Sat Dec 12 23:24:57 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...because my best friend killed herself. - Sat Dec 12 23:24:57 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: And you didn't come back for me in -five years-? - Sat Dec 12 23:24:57 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Because I had to go on an emergency run? - Sat Dec 12 23:24:57 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Things happened. - Sat Dec 12 23:24:57 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...you just sound like a dick now. - Sat Dec 12 23:25:48 2015
