<br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: Fuckk.. I have nooothing.. - Mon Dec  7 09:02:17 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Are you going to request their forces to leave? - Tue Dec  8 02:53:13 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: That is a thought. - Tue Dec  8 02:54:04 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I'm conflicted. - Tue Dec  8 02:54:04 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I suppose so. - Tue Dec  8 02:54:04 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: What's going on for the village to be on high alert? - Tue Dec  8 02:54:56 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Kumogakure's independence. - Tue Dec  8 02:55:47 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: Kumogakure's independence? - Tue Dec  8 02:57:29 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Yes. - Tue Dec  8 02:57:29 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: I haven't been keeping up with village news, but can you explain to me what do you mean? Independence from what? - Tue Dec  8 02:57:29 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Lord Raikage. - Tue Dec  8 02:57:29 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Yes, and I will explain in a second? - Tue Dec  8 02:57:29 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: This goes back to my request from earlier. - Tue Dec  8 02:58:20 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Hmm. - Tue Dec  8 02:58:20 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: I wish to travel the lands. - Tue Dec  8 02:58:20 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Even if it's Konohagakure and back. - Tue Dec  8 02:58:20 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I think such a task is dangerous for you right now, though I will permit it under one ondition. - Tue Dec  8 02:58:20 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Condition being? - Tue Dec  8 02:59:12 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Should you find the Hokage. - Tue Dec  8 02:59:12 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Tell them I need to speak to them. - Tue Dec  8 02:59:12 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Of course. - Tue Dec  8 02:59:12 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Consider it done. - Tue Dec  8 02:59:12 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Then your request is granted. - Tue Dec  8 02:59:12 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: There's a Hokage now? - Tue Dec  8 02:59:12 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: Hm..Is it that woman with the blonde hair? - Tue Dec  8 03:00:03 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: I forget her name. - Tue Dec  8 03:00:03 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I don't know. - Tue Dec  8 03:00:03 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) thinks: I rememeber the last Hokage...He wanted to train me since i reminded of him... - Tue Dec  8 03:00:03 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: The new Hokage has Red Hair. - Tue Dec  8 03:00:03 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) thinks: More shattered bonds... - Tue Dec  8 03:00:54 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) thinks: New Hokage?.. Mm', atleast now I have something interesting to go off of now. - Tue Dec  8 03:00:54 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) thinks: Guess my time here is done, nothing interesting for me. - Tue Dec  8 03:00:54 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: Red hair? - Tue Dec  8 03:00:54 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Mhm. - Tue Dec  8 03:00:54 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: What do they look like? - Tue Dec  8 03:01:45 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: ... - Tue Dec  8 03:06:01 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: I don't know. A female? - Tue Dec  8 03:06:52 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Wears the Hokage clothing? - Tue Dec  8 03:06:52 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: Hm.. - Tue Dec  8 03:06:52 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: Oh, that reminds me! - Tue Dec  8 03:06:52 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: I saw the previous Raikage in Konoha not too long ago. - Tue Dec  8 03:07:44 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: To say she was a leader is an insult to Kumogakure. We let her go where she wishes. - Tue Dec  8 03:07:44 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) thinks: She? How many Kages has this village has seen. - Tue Dec  8 03:08:35 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: But she was still a Raikage. You can't erase history. - Tue Dec  8 03:09:26 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: A lot of things in this village should be erased. - Tue Dec  8 03:09:26 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: I think the opposite.  We must accept the past and present, our flaws and assets.  - Tue Dec  8 03:10:17 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Hmm. - Tue Dec  8 03:11:08 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: I wonder how far you will get those naive principles. - Tue Dec  8 03:11:08 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: That's foolish. A person that abandoned their village shouldn't have the honor to be claimed.. She left Kumogakure in the midst of danger, she was no Raikage. - Tue Dec  8 03:14:33 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Hmm? What? - Tue Dec  8 03:17:07 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) thinks: I wonder how many people has he lost....probably none. - Tue Dec  8 03:17:58 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) thinks: Shit...where is my nephew. - Tue Dec  8 03:17:58 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Raikage. - Tue Dec  8 03:18:49 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) thinks: Heiwa... - Tue Dec  8 03:18:49 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Yes? - Tue Dec  8 03:19:40 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Did you recive my Pidgeon? - Tue Dec  8 03:20:32 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: I did. - Tue Dec  8 03:20:32 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: I informed your kin. - Tue Dec  8 03:20:32 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Thank you. - Tue Dec  8 03:20:32 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Where is he now? - Tue Dec  8 03:20:32 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: receive* - Tue Dec  8 03:21:23 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: The training field. - Tue Dec  8 03:21:23 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: - - Tue Dec  8 03:21:23 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: Oh. - Tue Dec  8 03:21:23 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: I ate him. - Tue Dec  8 03:21:23 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: .... - Tue Dec  8 03:21:23 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: Raikage. - Tue Dec  8 03:22:14 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: Hm? - Tue Dec  8 03:22:14 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Alright thanks. - Tue Dec  8 03:23:05 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: You may not know me but i am a native of this village...I have to ask what has happened in the last couple of years. - Tue Dec  8 03:23:05 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: Hm. - Tue Dec  8 03:23:56 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: Well, Edge sundered Kumogakure. - Tue Dec  8 03:23:56 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: Destroyed it. - Tue Dec  8 03:23:56 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: Planted explosive booby traps in the interior. - Tue Dec  8 03:23:56 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: But I discovered them personally. - Tue Dec  8 03:23:56 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: Then disarmed them. - Tue Dec  8 03:23:56 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: Most of the previous generation had been wiped out. - Tue Dec  8 03:24:48 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: Hm. - Tue Dec  8 03:24:48 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: What of a Shinobi by the name of Heiwa? - Tue Dec  8 03:24:48 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: ... - Tue Dec  8 03:26:30 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: Yes. - Tue Dec  8 03:26:30 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: Why on earth... - Tue Dec  8 03:26:30 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: Would h-... - Tue Dec  8 03:26:30 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: I.. don't know what's going on anymore. - Tue Dec  8 03:26:30 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: He's the Captain of their Genjutsu and Fuuinjutsu division. - Tue Dec  8 03:26:30 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: Or so he says. - Tue Dec  8 03:27:21 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: That's a first..Last I saw, he was in Konoha. - Tue Dec  8 03:27:21 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: I have no clue either. - Tue Dec  8 03:27:21 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: He was in Kumo a while back. - Tue Dec  8 03:27:21 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: What is the relations with Kirigakure? - Tue Dec  8 03:27:21 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: I guess I'll pay him a visit. It's been a while since I last saw Heiwa. - Tue Dec  8 03:27:21 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: Tried to take on Ortho by himself, heard he did well... Or -  - Tue Dec  8 03:27:21 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: Kirigakure? - Tue Dec  8 03:27:21 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: Uh, it's strained. - Tue Dec  8 03:28:12 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: Ortho and Heiwa fighting? - Tue Dec  8 03:28:12 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: Well that's an improvement.... - Tue Dec  8 03:28:12 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: That's odd.  - Tue Dec  8 03:28:12 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) thinks: For the village... - Tue Dec  8 03:28:12 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: I'd assume they would be on friendly terms because of Hideki. - Tue Dec  8 03:28:12 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Who the fuck is she and why is she asking these questions? - Tue Dec  8 03:28:12 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: It's funny. - Tue Dec  8 03:28:12 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: Hi-Hideki? - Tue Dec  8 03:28:12 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: None of the surrounding villages care. - Tue Dec  8 03:29:04 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: What's been done in the past. - Tue Dec  8 03:29:04 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: For them. - Tue Dec  8 03:29:04 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: Kirigakure wanted my head on a platter. - Tue Dec  8 03:29:04 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: That bastard is also in Kirigakure? - Tue Dec  8 03:29:04 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: Hideki is deceased. - Tue Dec  8 03:29:04 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: Hideki? No. He passed a while ago. - Tue Dec  8 03:29:04 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: He unlocked Obito's sharingan too smh - Tue Dec  8 03:29:55 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: He died around the time Edge attacked the village. - Tue Dec  8 03:29:55 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Obito's sharingan? - Tue Dec  8 03:29:55 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: ... - Tue Dec  8 03:29:55 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: I see. - Tue Dec  8 03:29:55 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: Raikage..with your permision i need to visit my nephew. - Tue Dec  8 03:30:46 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: Or do you not recomend it. - Tue Dec  8 03:30:46 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: Do not. - Tue Dec  8 03:31:37 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: Go. - Tue Dec  8 03:31:37 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: There is a good chance you will be killed. - Tue Dec  8 03:31:37 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: Old habbits die hard... - Tue Dec  8 03:31:37 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) thinks: Peace my ass. - Tue Dec  8 03:31:37 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: Wow she's a bitch. - Tue Dec  8 03:41:00 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: Perhaps, but I doubt they'd be shattered so easily. - Tue Dec  8 03:41:52 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: Why are you interested in Heiwa? Speaking of which, you seem awfully familar. - Tue Dec  8 03:42:43 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: I see..Then I suppose you're his last living blood relative.  From which side are you related to him from if I may ask? - Tue Dec  8 03:47:50 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: I feel as though we've met before, or at least I've seen your face around the village. - Tue Dec  8 03:47:50 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Want to play a game? - Tue Dec  8 03:48:41 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: Hm. - Tue Dec  8 03:49:32 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: From his father side. - Tue Dec  8 03:49:32 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: What kind of game? - Tue Dec  8 03:50:24 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: I have three thousand that says they're going to end up fighting. - Tue Dec  8 03:50:24 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Want to make that bet? - Tue Dec  8 03:50:24 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: And yes i'm quite aware now...Tis the reason why i belittle your principles...Why they won't last in such a world were everything is ripped from you... - Tue Dec  8 03:51:15 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: So you're related to him through Ushinawa, Misa, and Hideki huh? - Tue Dec  8 03:51:15 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) thinks: I wonder if she too was warned by Niza. - Tue Dec  8 03:51:15 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: Hideki... - Tue Dec  8 03:52:06 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: And Gintoki... - Tue Dec  8 03:52:06 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: I can't bet that because I believe it. - Tue Dec  8 03:52:57 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: Gintoki? I don't think I've met them before. - Tue Dec  8 03:52:57 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: But I've a question, did Niza ever give you a warning? - Tue Dec  8 03:52:57 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Alright then.. - Tue Dec  8 03:53:48 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: We bet who might win? - Tue Dec  8 03:53:48 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) thinks: Of course not...Niza Killed Gintoki.. - Tue Dec  8 03:53:48 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: If they do fight. - Tue Dec  8 03:53:48 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Mn... probably the guy. - Tue Dec  8 03:53:48 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Course I bet he also is the 'bigger man' and walks away. - Tue Dec  8 03:53:48 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: To stop the fight. - Tue Dec  8 03:54:40 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Being the bigger man is winning. - Tue Dec  8 03:54:40 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: I was given many warnings in the past..But by Niza none. - Tue Dec  8 03:54:40 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: I see. - Tue Dec  8 03:55:31 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: Which is why it strikes me as odd that Heiwa decided to live in Kirigakure despite the past. - Tue Dec  8 03:56:22 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: I know nothing of Heiwa. - Tue Dec  8 03:57:13 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: Other than he had intense hatred for Ortho. - Tue Dec  8 03:57:13 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: Many things happened.  - Tue Dec  8 03:57:13 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) thinks: Hatred?....Sounds A lot like his father... - Tue Dec  8 03:59:47 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: I see. - Tue Dec  8 03:59:47 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: This is boring. - Tue Dec  8 04:04:54 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Yeah.. Was expecting a fight. - Tue Dec  8 04:04:54 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Let's play a different game. - Tue Dec  8 04:05:45 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: Yeah. After Niza's death, things started to go downhill for the village. - Tue Dec  8 04:06:36 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Alright, what do you have in mind? - Tue Dec  8 04:08:19 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: Is the Gezo world goverment still in power? - Tue Dec  8 04:09:10 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: I don't know..anything but this. Bright side, I'm not root sealed anymore. - Tue Dec  8 04:09:10 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Hmmm.. - Tue Dec  8 04:10:52 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Let me think of something I know I can win.~ - Tue Dec  8 04:10:52 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Butt head. - Tue Dec  8 04:11:44 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: I bet-- - Tue Dec  8 04:11:44 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: ....... - Tue Dec  8 04:11:44 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Couldn't hear you.~ - Tue Dec  8 04:11:44 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: What you say? - Tue Dec  8 04:11:44 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Called you a butt head. - Tue Dec  8 04:12:35 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: Yes, sadly. - Tue Dec  8 04:12:35 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Hmph.. - Tue Dec  8 04:12:35 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Alright. - Tue Dec  8 04:13:26 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Let's go. - Tue Dec  8 04:13:26 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) blinked a bit and followed after Sogeki.* - Tue Dec  8 04:13:26 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Ready? - Tue Dec  8 04:16:00 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...Uh? - Tue Dec  8 04:18:33 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Alright.. - Tue Dec  8 04:18:33 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: I'm going to roll a dice.. - Tue Dec  8 04:19:24 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: What are we doing here? - Tue Dec  8 04:19:24 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Number it rolls on is how many tries I have to catch you. If I can't catch you, you make me do whatever you want me to.. If I catch you.. I get the same thing from you. - Tue Dec  8 04:20:16 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ....catch? - Tue Dec  8 04:20:16 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Mhmm. - Tue Dec  8 04:20:16 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Grab you.. subdue you.. - Tue Dec  8 04:21:07 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Anything.. - Tue Dec  8 04:21:07 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Any.. thing.~ - Tue Dec  8 04:21:07 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: .... - Tue Dec  8 04:21:07 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Why are we in the academy though? - Tue Dec  8 04:21:07 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: The thrill that we might get caught. - Tue Dec  8 04:21:58 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: .... - Tue Dec  8 04:22:49 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: But if I get caught I will be in much worse trouble than you. - Tue Dec  8 04:22:49 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Should be even more of a thrill for you then. - Tue Dec  8 04:22:49 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: .... - Tue Dec  8 04:22:49 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: We can't like...at least go to the civilian district or something?? - Tue Dec  8 04:23:40 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) looked very nervous.* - Tue Dec  8 04:23:40 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: We're on government land. - Tue Dec  8 04:23:40 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...R-really? O-okay. - Tue Dec  8 04:26:14 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) intentionally brought him to their first...altercation.* - Tue Dec  8 04:27:56 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: .......... - Tue Dec  8 04:27:56 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Something wrong? - Tue Dec  8 04:29:39 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: N-Nah.. - Tue Dec  8 04:29:39 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: You ready then? - Tue Dec  8 04:35:37 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Yeah.. - Tue Dec  8 04:36:28 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: You doing oooooookay?~ - Tue Dec  8 04:43:18 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Getting any FEELINGS? - Tue Dec  8 04:43:18 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) nudged his hip with her finger.* - Tue Dec  8 04:43:18 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: ...Let me ask you something. - Tue Dec  8 04:44:09 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Do you want me to hold back? - Tue Dec  8 04:44:09 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...hm... - Tue Dec  8 04:55:15 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I mean... - Tue Dec  8 04:55:15 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: If you don't hold back I'm going to instantly lose aren't I? - Tue Dec  8 04:55:15 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: But I don't want you to hold back. - Tue Dec  8 04:56:06 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: ..... - Tue Dec  8 04:56:06 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Alright. - Tue Dec  8 04:56:06 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: I'll give you a head start. - Tue Dec  8 04:56:06 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Hmph.... - Tue Dec  8 04:56:57 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: This is gonna be fast probably. - Tue Dec  8 04:56:57 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) sighed out and then started to run down the docks. She wasn't fast...like...at all.* - Tue Dec  8 05:10:36 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: Should've picked a game I know she can win with ease as well. - Tue Dec  8 05:12:19 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) kept running and then formed a single seal and rotated as she spat out chakra in his direction as a giant web was formed and aiming to cover his entire body to knock him to the ground.* - Tue Dec  8 05:16:35 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Made this all that much more interesting!~ - Tue Dec  8 05:18:17 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: Ugh. - Tue Dec  8 05:22:33 2015
