<br><font color=teal>*Sanoke(Gamuhz2) says: He's too carefree. - Tue Dec  1 02:05:00 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Okay. - Tue Dec  1 05:51:08 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Ivel. - Tue Dec  1 05:51:08 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: .... - Tue Dec  1 06:15:53 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: You said Hi... - Tue Dec  1 06:15:53 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Never said it was my message. - Tue Dec  1 06:17:36 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: ...... - Tue Dec  1 06:17:36 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Well whatever. I did it. Can I have my reward now? - Tue Dec  1 06:17:36 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Jump man. - Tue Dec  1 06:46:36 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: .... Oh wait that's me right? - Tue Dec  1 06:47:28 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Yup. - Tue Dec  1 06:49:10 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Can you use earth? - Tue Dec  1 06:49:10 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: No... why? - Tue Dec  1 06:49:10 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: uhu? - Tue Dec  1 06:50:01 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: *at Lera* Oh hi. Blue says I have to introduce myself more and I forgot to tell you my name when I touched your demon sword sooo... yeah... Hi I'm Hiroshi. - Tue Dec  1 06:50:52 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Hmm. - Tue Dec  1 06:50:52 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: That I could take you on a mission with me. - Tue Dec  1 06:50:52 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Hello Hiroshi. I'm Lera. Nice to meet you. - Tue Dec  1 06:51:44 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) thinks: Demon sword...? - Tue Dec  1 06:51:44 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Same to you~ - Tue Dec  1 06:51:44 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: His name is Jumpman. - Tue Dec  1 06:51:44 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: In honor of Izatour. - Tue Dec  1 06:51:44 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: I like... Green Hiro better.. - Tue Dec  1 06:51:44 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Naaaa Jumpman. - Tue Dec  1 06:52:35 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Just like the other Kuro's name is Kid. - Tue Dec  1 06:52:35 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: I can't even jump high. Plus it sounds like a lame super hero! I wanna be a ranger - Tue Dec  1 06:52:35 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Green Ranger it is. - Tue Dec  1 06:52:35 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Ah~ much better~ - Tue Dec  1 06:52:35 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Call you GR for short. - Tue Dec  1 06:53:26 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: M'kay - Tue Dec  1 06:53:26 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: But uh... what's your name? You never told me. - Tue Dec  1 06:53:26 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Blue called you Till or something? - Tue Dec  1 06:54:17 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Trill. - Tue Dec  1 06:54:17 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: My full name is Trilliam Q Hassan. - Tue Dec  1 06:54:17 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: That's long. - Tue Dec  1 06:54:17 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Going with Trill. - Tue Dec  1 06:55:08 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: So Trill do you know raiton? - Tue Dec  1 06:55:08 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Some say Im the lightniing master around here. - Tue Dec  1 06:55:08 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Really? That's awesome cause you can teach me stuff right~? - Tue Dec  1 06:56:00 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Hmm somepeole dont like my traning regime. - Tue Dec  1 07:00:16 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: ..... Why? - Tue Dec  1 07:02:49 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: What did u even say - Tue Dec  1 07:02:49 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: -omit- - Tue Dec  1 07:02:49 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hm> - Tue Dec  1 07:04:32 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Hmm. - Tue Dec  1 07:06:14 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Because. - Tue Dec  1 07:06:14 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: The School of Lightnig is tough. - Tue Dec  1 07:06:14 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Once must be cool. - Tue Dec  1 07:06:14 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: One must be Awesome. - Tue Dec  1 07:07:05 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: One must be.....Lightning. - Tue Dec  1 07:07:05 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: .... oh.. kay? - Tue Dec  1 07:07:05 2015
<br><br><font color=teal>*Hiroshi(Marchie15) thinks: I don't... I'm finding someone else. - Tue Dec  1 07:07:56 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Also . - Tue Dec  1 07:08:48 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: You will have to prrome every move . - Tue Dec  1 07:10:30 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Preform - Tue Dec  1 07:10:30 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Mean.... that's all well and fine I guess. It doesn't sound that hard... - Tue Dec  1 07:13:04 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: The moxes to mastred like levels. - Tue Dec  1 07:13:04 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: .... Right... so are you the only raiton user here or are there more people I can learn from too? - Tue Dec  1 07:14:46 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Who wasnts to pop it for pimp -omit- - Tue Dec  1 07:15:37 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Ummm. - Tue Dec  1 07:15:37 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Iza knoqs a few technqiues. - Tue Dec  1 07:15:37 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Who? - Tue Dec  1 07:16:28 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: My cousin. - Tue Dec  1 07:16:28 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: I taught her - Tue Dec  1 07:16:28 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Cool? - Tue Dec  1 07:16:28 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Hmm. - Tue Dec  1 07:17:20 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: You and Abra will be a handfull. - Tue Dec  1 07:17:20 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Aint that a fuckin pokemon/ - Tue Dec  1 07:17:20 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: .... Abra? - Tue Dec  1 07:17:20 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: -omit- - Tue Dec  1 07:17:20 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Yup - Tue Dec  1 07:18:11 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: He enrolled in my school of earth. - Tue Dec  1 07:18:11 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: So Gr what can you do? - Tue Dec  1 07:18:11 2015
<br><br><font color=teal>*Hiroshi(Marchie15) thinks: I can't tell if he's just feeling himself that much... or if he's actually super stong. - Tue Dec  1 07:19:02 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Just some raiton stuff. - Tue Dec  1 07:19:02 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Show me. - Tue Dec  1 07:19:02 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Iza you wanna go fam? - Tue Dec  1 07:19:53 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Is that permission to zap you?! - Tue Dec  1 07:19:53 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: -omit- - Tue Dec  1 07:19:53 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Nope. - Tue Dec  1 07:19:53 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Awh~ - Tue Dec  1 07:19:53 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Fire off into the distance. - Tue Dec  1 07:19:53 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hm. - Tue Dec  1 07:30:59 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Whoa~! Yeah teach me that! - Tue Dec  1 07:32:41 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: -omit- - Tue Dec  1 07:33:32 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: ... - Tue Dec  1 07:34:24 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Do you know any other lghtning techniques that don't require handseals? - Tue Dec  1 07:34:24 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I need to broaden my limited arsenal in preperation for the finals.. - Tue Dec  1 07:35:15 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Ughhh oh yeah Iza. - Tue Dec  1 07:40:22 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Do you knwo lighting ball? - Tue Dec  1 07:41:13 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Yo! - Tue Dec  1 07:41:13 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Mhm. - Tue Dec  1 07:41:13 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Do you know the justu I just used? - Tue Dec  1 07:41:13 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Mhm. - Tue Dec  1 07:42:04 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Hmm. - Tue Dec  1 07:42:04 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Well Iza. - Tue Dec  1 07:42:04 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: I guess its time for me and you to make a New move. - Tue Dec  1 07:42:04 2015
<br><br><font color=teal>*Hiroshi(Marchie15) thinks: Awh~... Eveyone knows all the cool jutsu! I wanna learn something~ - Tue Dec  1 07:42:56 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Pistol Art Lightning Shot Gun. - Tue Dec  1 07:42:56 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Is that reall it? Just two other raiton jutsus around? - Tue Dec  1 07:42:56 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: And GR get beeter at the justu you know and I'll show you how. - Tue Dec  1 07:42:56 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Awh~ - Tue Dec  1 07:42:56 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Hey you have to be good at the basics Lightgin is dangerous one wrong move and you can rosast your self. - Tue Dec  1 07:43:47 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: *sighs* Fine~ - Tue Dec  1 07:44:38 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: I guess I'll have to do a lot of jutsu practice. - Tue Dec  1 07:44:38 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Create a new technique you say? - Tue Dec  1 07:45:29 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I don't think im skilled enough with lightning to do that.~ - Tue Dec  1 07:45:29 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Hmm You can help me. - Tue Dec  1 07:47:12 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I - Tue Dec  1 07:48:03 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I'll try.* - Tue Dec  1 07:48:03 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: All right. - Tue Dec  1 07:48:03 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: The center of the technque will be lightning ball. - Tue Dec  1 07:48:54 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Do you intend for this one to be more widespread? - Tue Dec  1 07:49:45 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Sorta. - Tue Dec  1 07:49:45 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: *her buddy - Tue Dec  1 07:49:45 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: With the lightning ball acting as the center peice the Lightning bulltes will rotate around it. - Tue Dec  1 07:50:36 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: The array of the spining lighting bullets can can of course be adjusted. - Tue Dec  1 07:51:28 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: And when it it hits bang boom pew pew Splash  ahhhhhhhhhhhh. - Tue Dec  1 07:52:19 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: What you think? - Tue Dec  1 07:52:19 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hmm.. - Tue Dec  1 07:54:01 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I was thinking a lightning bullet splash effect where you trade out long range accuracy for a more deadly widespread bolt shot upclose, like firing off five or six at once. - Tue Dec  1 07:54:52 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: It - Tue Dec  1 07:54:52 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: would probably tear to shreds and paralyze at the same time.~ - Tue Dec  1 07:54:52 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Hmmm. - Tue Dec  1 07:55:44 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Pistol Art Lightning 12 gauge. - Tue Dec  1 07:56:35 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: We can make them both. - Tue Dec  1 07:56:35 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: ISome rules are a bit outdated. - Tue Dec  1 22:06:30 2015
<br><br><font color=teal>*Tsukinomi(Original Ziare) says: Mmm.. - Tue Dec  1 22:09:55 2015
<br><br><font color=teal>*Tsukinomi(Original Ziare) says: It must be hard to be a police officer. - Tue Dec  1 22:09:55 2015
<br><br><font color=teal>*Tsukinomi(Original Ziare) says: You have to deal with lots of criminals I bet. - Tue Dec  1 22:09:55 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Where are the rules? - Tue Dec  1 22:09:55 2015
<br><br><font color=teal>*Tsukinomi(Original Ziare) says: My gues is right in front of you. - Tue Dec  1 22:10:46 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Really it's the paperwork the people are usually taken care of in groups, but occasionally we get some pretty tough folks. - Tue Dec  1 22:11:37 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: ....Rules? - Tue Dec  1 22:15:02 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: We have rules? - Tue Dec  1 22:15:02 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Obviously. - Tue Dec  1 22:15:02 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: Why though... - Tue Dec  1 22:15:02 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: What now. - Tue Dec  1 22:23:34 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Hey...Ivel. - Tue Dec  1 22:28:41 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Hi ai. - Tue Dec  1 22:32:57 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Hey Momura. - Tue Dec  1 22:34:40 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-So uhm.. - Tue Dec  1 22:34:40 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-Are you r-ready for the chuunins? - Tue Dec  1 22:34:40 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: The final part? - Tue Dec  1 22:34:40 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Indeed. - Tue Dec  1 22:35:31 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I'm not.. - Tue Dec  1 22:35:31 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: This part isn't about winning or losing though. - Tue Dec  1 22:35:31 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Do justice homie, I'll let you know when the badges come in. - Tue Dec  1 22:35:31 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-Yea but if I f-fight you. - Tue Dec  1 22:35:31 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I'll just b-be bad. - Tue Dec  1 22:36:22 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Sad im not in the chuunins. - Tue Dec  1 22:36:22 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Oh? - Tue Dec  1 22:36:22 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: I plan on holding back in this part. - Tue Dec  1 22:36:22 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: .... - Tue Dec  1 22:37:13 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Why? - Tue Dec  1 22:39:47 2015
<br><br><font color=teal>*Tsukinomi(Original Ziare) says: Koji. - Tue Dec  1 22:40:38 2015
<br><br><font color=teal>*Tsukinomi(Original Ziare) says: Lets go play. - Tue Dec  1 22:40:38 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Why not? - Tue Dec  1 22:41:29 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hm. - Tue Dec  1 22:42:20 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Ivel. - Tue Dec  1 22:44:03 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: We have a job to do. - Tue Dec  1 22:44:54 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: We have to go Like help this family make a giant castle of sand. - Tue Dec  1 22:45:45 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Sand Palace. - Tue Dec  1 22:45:45 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Whaaat. - Tue Dec  1 22:46:36 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Let's make one out of glass. - Tue Dec  1 22:46:36 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Hey you can take that up with our contractor. - Tue Dec  1 22:46:36 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: The sooner we get started the better. - Tue Dec  1 22:48:19 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: I don't even know how to build a sandcastle. - Tue Dec  1 22:51:44 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Yeah. - Tue Dec  1 22:53:26 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Nor do I. - Tue Dec  1 22:54:17 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Like maybe I can like use some earth justu. - Tue Dec  1 22:55:08 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: and then you hit with fire. - Tue Dec  1 22:55:08 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Or or.. - Tue Dec  1 22:55:08 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: You build a thing and i'll cut it. - Tue Dec  1 22:55:08 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Alright fine with me lets headout. - Tue Dec  1 22:56:00 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: Mm... - Tue Dec  1 22:57:42 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) whispers: Welcome back. - Tue Dec  1 22:58:33 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) whispers: From dream land? Thanks, hehe. - Tue Dec  1 23:19:02 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) whispers: How have ya been? - Tue Dec  1 23:19:02 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) whispers: Good. What about you? - Tue Dec  1 23:19:53 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) whispers: Much better.~ - Tue Dec  1 23:21:36 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: Fags. - Tue Dec  1 23:23:18 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) thinks: Who? - Tue Dec  1 23:24:09 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Whaaa? - Tue Dec  1 23:24:09 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) whispers: Wanna go home? There's nothing going on here. - Tue Dec  1 23:29:16 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) whispers: Sure.~ - Tue Dec  1 23:29:16 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: No idea. - Wed Dec  2 23:36:32 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Darn - Wed Dec  2 23:36:32 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Too close to one. - Wed Dec  2 23:38:14 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Aw no fair. - Wed Dec  2 23:38:14 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Why is that not fair? - Wed Dec  2 23:38:14 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Cause you said bad words over cake. - Wed Dec  2 23:39:05 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: . . . - Wed Dec  2 23:39:05 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I was told to stop too. - Wed Dec  2 23:39:05 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Plus I'm older. - Wed Dec  2 23:39:05 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Awh. - Wed Dec  2 23:39:05 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *laughs* - Wed Dec  2 23:39:56 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: O yea, sorry about your name change. - Wed Dec  2 23:39:56 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: What name change? I have too many already hard to keep track. - Wed Dec  2 23:39:56 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Apparently, you aren't Green Hiro anymore. - Wed Dec  2 23:40:48 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: You are Green Ranger. - Wed Dec  2 23:40:48 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: That's just a nickname... Right? - Wed Dec  2 23:40:48 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Yup yup, but you looked like you really liked Green Hiro. - Wed Dec  2 23:41:39 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *strikes pose* - Wed Dec  2 23:41:39 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Well Green Ranger is just as good~ * Strikes his pose* - Wed Dec  2 23:42:30 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *laughs* Sure is champ! - Wed Dec  2 23:42:30 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Oh! Can you teach me something cool? - Wed Dec  2 23:43:21 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Uhhhhh. - Wed Dec  2 23:43:21 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Uhhhhhhhh - Wed Dec  2 23:43:21 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Hmmmm. - Wed Dec  2 23:43:21 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Like what? - Wed Dec  2 23:43:21 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: I no know. You're the big bro you have to pick. You have all the jutsus, heheh. - Wed Dec  2 23:44:12 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Your not gonna make this easy are you? *laughs* - Wed Dec  2 23:44:12 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Nope!~ - Wed Dec  2 23:44:12 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *laughs* Come on, I will think of something. - Wed Dec  2 23:45:04 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Why so quiet, though? - Wed Dec  2 23:45:55 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Works. Lead. - Wed Dec  2 23:55:18 2015
<br><br><font color=yellow>*Yuma(Booty Eater) Hey, lemme be Jashin.* - Thu Dec  3 01:24:54 2015
<br><br><font color=yellow>*Yuma(Booty Eater) fuck* - Thu Dec  3 01:24:54 2015
