<br><font color=teal>*Ketsuki(SephirothSage) says: !? - Sat Oct 31 01:26:11 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: It's nothing. - Sat Oct 31 01:26:11 2015
<br><br><font color=teal>*Ziare(Meekee) says: Takeda. - Sat Oct 31 01:26:11 2015
<br><br><font color=teal>*Ziare(Meekee) says: We can't do anything. - Sat Oct 31 01:27:02 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: A'right then... I'm headed out to the training field, I think. - Sat Oct 31 01:27:02 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Sat Oct 31 01:27:02 2015
<br><br><font color=teal>*Ziare(Meekee) says: Can I tag along? - Sat Oct 31 01:27:02 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: Peace out for now, yeah? - Sat Oct 31 01:27:02 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: Hrm? Sure, if you want.  - Sat Oct 31 01:27:02 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: Welp. - Tue Nov 10 02:13:58 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: Good luck with that. - Tue Nov 10 02:13:58 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: Oh, and heres your bird. - Tue Nov 10 02:17:23 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: . . . . . . - Tue Nov 10 02:18:14 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Thanks. - Tue Nov 10 02:18:14 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: Oh shit..... - Tue Nov 10 03:02:36 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: I didn't expect anyone to be here. - Tue Nov 10 03:02:36 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Hm? - Tue Nov 10 03:13:42 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: Nothing. - Tue Nov 10 03:55:31 2015
<br><br><font color=yellow>*Kyushiki(Maruka) leaves.* - Tue Nov 10 03:56:22 2015
<br><br><font color=teal>*Rosa(RainbowForce) thinks: She's not bad. - Wed Nov 11 21:26:24 2015
<br><br><font color=teal>*Rosa(RainbowForce) thinks: Doesn't seem too fazed. It means she may have met someone at this level. - Wed Nov 11 21:27:15 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Well. . . - Wed Nov 11 21:28:06 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: I guess you do need to be a higher rank. - Wed Nov 11 21:28:06 2015
<br><br><font color=teal>*Rosa(RainbowForce) says: Thank you. - Wed Nov 11 21:28:57 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: After that, I guess I'll have to boost you to being a Jounin here. . . - Wed Nov 11 21:29:48 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Chuunin wouldn't even be high enough for your abilities. - Wed Nov 11 21:29:48 2015
<br><br><font color=teal>*Rosa(RainbowForce) says: Thank you. - Wed Nov 11 21:30:40 2015
<br><br><font color=teal>*Redrum, Nina(Ninasky115) says: I'm a strong chuunin level, and she beat me in one second. - Wed Nov 11 21:30:40 2015
<br><br><font color=teal>*Rosa(RainbowForce) says: Speed is the only reason. - Wed Nov 11 21:30:40 2015
<br><br><font color=teal>*Rosa(RainbowForce) says: I never tried to slice your neck. - Wed Nov 11 21:30:40 2015
<br><br><font color=teal>*Rosa(RainbowForce) says: You could secretly.... - Wed Nov 11 21:30:40 2015
<br><br><font color=teal>*Rosa(RainbowForce) says: Be really durable. - Wed Nov 11 21:30:40 2015
<br><br><font color=teal>*Redrum, Nina(Ninasky115) says: Doesn't matter with your speed. - Wed Nov 11 21:30:40 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Regardless. - Wed Nov 11 21:31:31 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Good effort on both parts. - Wed Nov 11 21:31:31 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Let's return inside, that is if you still need me. - Wed Nov 11 21:32:22 2015
<br><br><font color=teal>*Kyushiki(Maruka) thinks: I wonder what I should do next.......... - Wed Nov 11 21:32:22 2015
<br><br><font color=teal>*Redrum, Nina(Ninasky115) says: I need to find someone more my level to train with. - Wed Nov 11 21:32:22 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Try Kyushiki. - Wed Nov 11 21:33:13 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: *Kyu. - Wed Nov 11 21:34:04 2015
<br><br><font color=teal>*Redrum, Nina(Ninasky115) says: Anyway, I do need to speak with you. - Wed Nov 11 21:34:56 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Follow me in then. - Wed Nov 11 21:34:56 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Excuse me, do you know if the Mizukage is around? - Wed Nov 11 21:53:42 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: Yup - Wed Nov 11 21:54:33 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: In his mansion. - Wed Nov 11 21:55:24 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Right thank you very much. - Wed Nov 11 22:04:48 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: Mhm. - Wed Nov 11 22:04:48 2015
<br><br><font color=teal>*Noatak(Keytoken) says: ????? - Wed Nov 11 23:17:20 2015
<br><br><font color=teal>*Redrum, Nina(Ninasky115) says: Whatever. Bye Ortho. - Thu Nov 12 01:17:39 2015
<br><br><font color=teal>*Redrum, Ortho(DhatBoiNick) says: ...... - Thu Nov 12 01:17:39 2015
<br><br><font color=teal>*Redrum, Ortho(DhatBoiNick) says: Alright then Nina. - Thu Nov 12 01:17:39 2015
<br><br><font color=teal>*Redrum, Ortho(DhatBoiNick) says: Do you. - Thu Nov 12 01:17:39 2015
<br><br><font color=teal>*Redrum, Nina(Ninasky115) says: Mhm. - Thu Nov 12 01:17:39 2015
<br><br><font color=teal>*Redrum, Ortho(DhatBoiNick) says: Good, good. - Thu Nov 12 01:27:53 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: I guess. - Thu Nov 12 01:29:36 2015
<br><br><font color=teal>*Redrum, Ortho(DhatBoiNick) says: Alright.. - Thu Nov 12 02:10:33 2015
<br><br><font color=teal>*Redrum, Ortho(DhatBoiNick) says: Your mission now.. - Thu Nov 12 02:10:33 2015
<br><br><font color=teal>*Redrum, Ortho(DhatBoiNick) says: Is to get a little better with each of those jutsus - Thu Nov 12 02:10:33 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: Oh? - Thu Nov 12 02:12:16 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: I see. . . - Thu Nov 12 02:12:16 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: So I guess I should return for now? - Thu Nov 12 02:12:16 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: Hm? Ortho? - Thu Nov 12 02:14:49 2015
<br><br><font color=teal>*Redrum, Ortho(DhatBoiNick) says: You're free to stay here. - Thu Nov 12 02:17:23 2015
<br><br><font color=teal>*Redrum, Ortho(DhatBoiNick) says: It's up to you. - Thu Nov 12 02:17:23 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: I'll rest here first. . . - Thu Nov 12 02:18:14 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: I'm a bit tired after that. - Thu Nov 12 02:18:14 2015
<br><br><font color=teal>*Redrum, Ortho(DhatBoiNick) says: ..... - Thu Nov 12 07:51:02 2015
<br><br><font color=yellow>*Kyushiki(Maruka) walks over towards Ortho and places his hand onto his shoulder as he silently whispers to him.* - Fri Nov 13 00:43:56 2015
<br><br><font color=teal>*Kyushiki(Maruka) whispers: Did you smash? - Fri Nov 13 00:43:56 2015
<br><br><font color=teal>*Redrum, Ortho(DhatBoiNick) whispers: The situation is more complex than that.. - Fri Nov 13 00:44:48 2015
<br><br><font color=yellow>*Kyushiki(Maruka) pats Ortho on his shoulder as he shakes his head as well.

"3 month rule. I understand"* - Fri Nov 13 00:45:39 2015
<br><br><font color=teal>*Redrum, Ortho(DhatBoiNick) whispers: Three month-.. Are you craz-.. I'm going to smash waaaay befor- - Fri Nov 13 00:45:39 2015
<br><br><font color=teal>*Redrum, Ortho(DhatBoiNick) whispers: ...Listen.. the situation.. is deeper than that.. - Fri Nov 13 00:45:39 2015
<br><br><font color=teal>*Kyushiki(Maruka) whispers: Wait so you got her pregnant? Damn....... You have to improve your reflexise. Only way to increase your pull out game. - Fri Nov 13 00:47:21 2015
<br><br><font color=teal>*Redrum, Ortho(DhatBoiNick) whispers: No, no.. Listen. - Fri Nov 13 00:47:21 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: h-have...you s-seen...o-othro....i wish to a-apoloize..for p-passing out - Fri Nov 13 00:47:21 2015
<br><br><font color=teal>*Redrum, Ortho(DhatBoiNick) whispers: She was going through her emotions.. I just coached her through it.. - Fri Nov 13 00:48:12 2015
<br><br><font color=teal>*Redrum, Ortho(DhatBoiNick) whispers: One thing led to another and she was laying on top of me.. - Fri Nov 13 00:48:12 2015
<br><br><font color=teal>*Redrum, Ortho(DhatBoiNick) whispers: Ended up getting tired and I carried her to my house.. - Fri Nov 13 00:48:12 2015
<br><br><font color=teal>*Kyushiki(Maruka) thinks: So he raped her. - Fri Nov 13 00:48:12 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: I understand. - Fri Nov 13 00:49:04 2015
<br><br><font color=teal>*Redrum, Ortho(DhatBoiNick) whispers: I did not have sex with her. - Fri Nov 13 00:50:46 2015
<br><br><font color=teal>*Kyushiki(Maruka) whispers: I know. - Fri Nov 13 00:51:37 2015
<br><br><font color=teal>*Kyushiki(Maruka) thinks: Or does rape fall in that category...... - Fri Nov 13 00:52:28 2015
<br><br><font color=teal>*Kyushiki(Maruka) thinks: Another victum...... - Fri Nov 13 01:12:06 2015
<br><br><font color=yellow>*Kyushiki(Maruka) stands there as he waits for permission to enter.* - Fri Nov 13 03:57:39 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: Name - Fri Nov 13 03:58:30 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: Kyu. - Fri Nov 13 03:58:30 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: Reason for Entry into sunagakure and proper paperwork and passport? - Fri Nov 13 03:58:30 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: Reason? - Fri Nov 13 03:59:21 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: I don't have one. I'm just traveling at this point. - Fri Nov 13 03:59:21 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: Also, whats this paperwork and passport your talking about? - Fri Nov 13 04:00:12 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: . . .  - Fri Nov 13 04:00:12 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: A passport is required for entry into Suna. .  - Fri Nov 13 04:00:12 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: Whats a passport? - Fri Nov 13 04:01:04 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: Right. .  - Fri Nov 13 04:01:04 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: Hand over your weapons for the time being, and I will take you to see the KAzekage. . He can provide you with a passport, and more permante permission to come and go from the village. - Fri Nov 13 04:01:55 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: Once you have offical permission, your weapory will be returned to you - Fri Nov 13 04:01:55 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: Alright. - Fri Nov 13 04:01:55 2015
<br><br><font color=yellow>*Kyushiki(Maruka) would first take his katana off his hip and jams it into the ground. Secondly, he'd grab onto his hoodie and shake on it as other weaponary such as tags and shuriken fell out on to the floor. Lastly he reach into different compartments of his pants and removed kunai from them.

After all of that, Kyushiki would gather them all up and arrange them in a neatly and orderly fashion within his arms as he walks towards Marrisa to hand it to her.* - Fri Nov 13 04:06:11 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) whispers: (sorry bro ) - Fri Nov 13 04:13:52 2015
<br><br><font color=teal>*Kyushiki(Maruka) whispers: (For what?) - Fri Nov 13 04:14:43 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) whispers: (we might be waiting a bit ) - Fri Nov 13 04:18:08 2015
<br><br><font color=teal>*Kyushiki(Maruka) whispers: (Well I gotta log so night) - Fri Nov 13 04:43:44 2015
<br><br><font color=teal>*Lera(Bailey42) says: You look like candy floss. - Sat Nov 14 01:52:38 2015
<br><br><font color=teal>*Lera(Bailey42) thinks: She wants the V - Sat Nov 14 02:00:19 2015
<br><br><font color=teal>*Lera(Bailey42) thinks: Girl shopping. She really wants the V. - Sat Nov 14 02:02:52 2015
<br><br><font color=teal>*Lera(Bailey42) thinks: Orgy? - Sat Nov 14 02:03:44 2015
<br><br><font color=teal>*Lera(Bailey42) thinks: -omit- - Sat Nov 14 02:03:44 2015
<br><br><font color=teal>*Lera(Bailey42) thinks: Because she liked candy floss. - Sat Nov 14 02:06:17 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: You're hot. - Sat Nov 14 02:08:51 2015
<br><br><font color=teal>*Lera(Bailey42) says: *cough* - Sat Nov 14 02:09:42 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: That's what it means. - Sat Nov 14 02:10:33 2015
<br><br><font color=teal>*Lera(Bailey42) says: .... - Sat Nov 14 02:10:33 2015
<br><br><font color=teal>*Lera(Bailey42) thinks: Ahhhh...young love. - Sat Nov 14 02:10:33 2015
<br><br><font color=teal>*Lera(Bailey42) thinks: Oh jeez.... - Sat Nov 14 02:13:07 2015
<br><br><font color=teal>*Lera(Bailey42) thinks: Maybe I should give her relationship advice.. - Sat Nov 14 02:13:58 2015
<br><br><font color=teal>*Lera(Bailey42) thinks: Rule one...try not to be creepy as hell. - Sat Nov 14 02:13:58 2015
<br><br><font color=teal>*Lera(Bailey42) says: ... - Sat Nov 14 02:17:23 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: ..... - Sat Nov 14 02:37:52 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) thinks: Is he zoned out again? - Sat Nov 14 02:37:52 2015
<br><br><font color=teal>*Lera(Bailey42) says: He's asleep on his feet again. - Sat Nov 14 02:37:52 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: ...Ah. - Sat Nov 14 02:39:34 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: my rp*_ - Sat Nov 14 03:08:35 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: So you nap. - Sat Nov 14 03:15:24 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: Nope. - Sat Nov 14 03:49:32 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: So, anyone from Kirigakure still reside here? I was given good advice to head here. - Sat Nov 14 04:15:08 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Hrm? Ah, hello... - Sat Nov 14 04:16:00 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: whats with all the newbs? - Sat Nov 14 04:20:16 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: -omt- - Sat Nov 14 04:20:16 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Why are so many people coming here from different villages? - Sat Nov 14 04:27:05 2015
<br><br><font color=teal>*Redrum, Nina(Ninasky115) says: Hm... - Sat Nov 14 04:27:05 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: cus this is 'murica - Sat Nov 14 04:27:56 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: -omit- - Sat Nov 14 04:27:56 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Have you been to Konoha lately? - Sat Nov 14 04:27:56 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: This place is only but so big. - Sat Nov 14 04:27:56 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: ...Konoha? Haven't visted there in my life. - Sat Nov 14 04:27:56 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: It has a terrorist living there. - Sat Nov 14 04:27:56 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: He's already blown up uh...three or four buildings. - Sat Nov 14 04:27:56 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Oh and I nearly died there twice too. - Sat Nov 14 04:28:48 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Thats why i'm here. - Sat Nov 14 04:28:48 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Bad idea. - Sat Nov 14 04:28:48 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Sunakagure is savage. - Sat Nov 14 04:28:48 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: People die for sneezing around here. - Sat Nov 14 04:29:39 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Well no one has tried to kill me yet. - Sat Nov 14 04:29:39 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: We have a prostitute though! - Sat Nov 14 04:29:39 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Her name is  - Sat Nov 14 04:29:39 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Chikyu. - Sat Nov 14 04:29:39 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Good for her. - Sat Nov 14 04:30:30 2015
<br><br><font color=teal>*Rias(LionHunter) says: Dont 5alk about my friend! - Sat Nov 14 04:30:30 2015
<br><br><font color=teal>*Rias(LionHunter) says: talk* - Sat Nov 14 04:30:30 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: You've never been to Kirigakure, have you? - Sat Nov 14 04:33:55 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Yes. - Sat Nov 14 04:33:55 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Our Kage died, like. - Sat Nov 14 04:33:55 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: And our place is the land of savages. - Sat Nov 14 04:33:55 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Konohas kage is dead too so. - Sat Nov 14 04:33:55 2015
<br><br><font color=teal>*Redrum, Nina(Ninasky115) says: ..... - Sat Nov 14 04:34:46 2015
<br><br><font color=teal>*Rias(LionHunter) thinks: Im going to find tetsumi... - Sat Nov 14 04:34:46 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Well. - Sat Nov 14 04:34:46 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Our jinchuriki, - Sat Nov 14 04:34:46 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: went rogue. - Sat Nov 14 04:35:37 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Shira. - Sat Nov 14 04:36:28 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Shut up. - Sat Nov 14 04:36:28 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Tetsumi's been around.. - Sat Nov 14 04:36:28 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Chikyu isn't a prostitute either.. - Sat Nov 14 04:37:20 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: D-Don't make u-up lies.. - Sat Nov 14 04:37:20 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Mrm... - Sat Nov 14 04:37:20 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Kazekage-Sama, you awake yet? - Sat Nov 14 04:38:11 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-It's very d-disrespectful..and..uhm..b-bad.. - Sat Nov 14 04:38:11 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: It's disrespectful when you spread your words out! I'm not super stupid! I'm like a stupid hollainse. Just the right amount! - Sat Nov 14 04:39:02 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Question. - Sat Nov 14 04:39:02 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: The fuck is a Jinchuuriki? - Sat Nov 14 04:39:02 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: It means, Chickenfighter. - Sat Nov 14 04:39:53 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: The one who fights so brave that chickens become manly. - Sat Nov 14 04:39:53 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Shira did I not tell you to shut up. - Sat Nov 14 04:39:53 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: .....I feel like you're hiding something. - Sat Nov 14 04:39:53 2015
<br><br><font color=teal>*Redrum, Nina(Ninasky115) says: ...... - Sat Nov 14 04:39:53 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Village secret? - Sat Nov 14 04:39:53 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: It is a mystery, yo. - Sat Nov 14 04:40:44 2015
<br><br><font color=teal>*Rias(LionHunter) says: Sigh - Sat Nov 14 04:41:36 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: So. - Sat Nov 14 04:41:36 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Seems he's still out of it... - Sat Nov 14 04:41:36 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Anyone game for a sparring match? - Sat Nov 14 04:41:36 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I would.. - Sat Nov 14 04:41:36 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: B-But uhm.. - Sat Nov 14 04:41:36 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I'm bad.. - Sat Nov 14 04:41:36 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: B-But uhm...i-if you wanna..we..uhm..c-can..! - Sat Nov 14 04:42:27 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Ah.... Haven't we fought before? - Sat Nov 14 04:42:27 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Well.. . Do you think you've gotten stronger since then? - Sat Nov 14 04:42:27 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-Yea..uhm...P-Probably! - Sat Nov 14 04:42:27 2015
<br><br><font color=teal>*Redrum, Nina(Ninasky115) says: I'll go. - Sat Nov 14 04:43:18 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Hm? - Sat Nov 14 04:43:18 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: B-But I was gonna..s-spar.. - Sat Nov 14 04:43:18 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Yo, Momura said yes first. If you want, I can fight you after though. - Sat Nov 14 04:43:18 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Rias. - Sat Nov 14 04:43:18 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Oh look Mizora. - Sat Nov 14 04:43:18 2015
<br><br><font color=teal>*Redrum, Nina(Ninasky115) says: Doesn't matter. - Sat Nov 14 04:43:18 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: They are sparring. - Sat Nov 14 04:44:09 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: You still haven't told me how things here have been for you. - Sat Nov 14 04:44:09 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Hrm? - Sat Nov 14 04:44:09 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Anyway, I guess uh... meet me at the Arena. - Sat Nov 14 04:44:09 2015
<br><br><font color=teal>*Ryomen(Punkamainia) says: Hello. - Sat Nov 14 04:44:09 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I'm going to watch that fight. - Sat Nov 14 04:45:52 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Possibly might too. - Sat Nov 14 04:45:52 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Anyone else up? - Sat Nov 14 04:45:52 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: I wanna spar too. - Sat Nov 14 04:45:52 2015
<br><br><font color=teal>*Rias(LionHunter) says: Hmm? - Sat Nov 14 04:46:43 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: We haven't talked much since I got here. - Sat Nov 14 04:47:34 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: I was just wondering how you were getting along. - Sat Nov 14 04:47:34 2015
<br><br><font color=teal>*Rias(LionHunter) says: Im good, Hassan has helped me alot - Sat Nov 14 04:50:59 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: I'm glad, I remember you saying he was your mentor. - Sat Nov 14 04:51:50 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: What does he teach you? - Sat Nov 14 04:51:50 2015
<br><br><font color=teal>*Rias(LionHunter) says: Life lessons, he plans out my ninja path and such... he is a really great man - Sat Nov 14 04:53:32 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: It's good you have such a person willing to teach you. - Sat Nov 14 04:55:15 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: You might know but Marrisa has agreed to do the same for me. - Sat Nov 14 04:56:06 2015
<br><br><font color=teal>*Rias(LionHunter) says: Marrisa has agreed to train me also... She has alot of people she helps - Sat Nov 14 04:56:57 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Oh...damn that makes me feel bad now... - Sat Nov 14 04:56:57 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Well, guess it's too late now. - Sat Nov 14 04:56:57 2015
<br><br><font color=teal>*Rias(LionHunter) says: What do you mean? - Sat Nov 14 04:57:48 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Well...i'm kind of depending on her for everything at the moment... - Sat Nov 14 04:57:48 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: She's even letting me stay at her house. - Sat Nov 14 04:58:40 2015
<br><br><font color=teal>*Rias(LionHunter) says: Thats good, but she is taken so you cant go after her - Sat Nov 14 04:58:40 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: I wasn't...going to... - Sat Nov 14 04:58:40 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: It's a little awkward in all honesty. - Sat Nov 14 04:59:31 2015
<br><br><font color=teal>*Rias(LionHunter) says: Im joking~ - Sat Nov 14 04:59:31 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: ... - Sat Nov 14 04:59:31 2015
<br><br><font color=teal>*Rias(LionHunter) says: Lighten up! - Sat Nov 14 04:59:31 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Nobody? - Sat Nov 14 04:59:31 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Right right, Sorry. - Sat Nov 14 04:59:31 2015
<br><br><font color=teal>*Rias(LionHunter) says: Nobody what? - Sat Nov 14 04:59:31 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: I think he wanted a sparring partner. - Sat Nov 14 05:00:22 2015
<br><br><font color=teal>*Rias(LionHunter) says: Oh! What kind of fighter are you? - Sat Nov 14 05:01:13 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) thinks: I'd fight him but since I killed those two people... - Sat Nov 14 05:02:56 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Close-Range, to Mid-Range. - Sat Nov 14 05:02:56 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) thinks: Damn...where is Marrisa... - Sat Nov 14 05:02:56 2015
