<br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Doing what must be done.. It isn't just the people that want this, but the shinobi, and I. - Tue Dec  8 06:53:00 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Deez nutz? - Wed Dec  9 21:14:27 2015
<br><br><font color=teal>*Takuma(Brosis55) says: That's my favorite. - Wed Dec  9 21:15:18 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: LOL - Wed Dec  9 21:15:18 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: No, you won't. - Wed Dec  9 21:15:18 2015
<br><br><font color=teal>*Dahyun(BoyFlareon) says: I don't want to learn that. When you teach the technique to run on water, call me. - Wed Dec  9 21:15:18 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) thinks: It seems I must unleash my weapon when all is said and done. - Wed Dec  9 21:15:18 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I can. - Wed Dec  9 21:15:18 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: But. - Wed Dec  9 21:15:18 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: You're fairly rude. - Wed Dec  9 21:16:09 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Why is that? - Wed Dec  9 21:16:09 2015
<br><br><font color=teal>*Dahyun(BoyFlareon) says: I don't know, I'm injured. - Wed Dec  9 21:16:09 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: .... - Wed Dec  9 21:17:00 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: You should just accept this. - Wed Dec  9 21:17:00 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: It's a vital tool. - Wed Dec  9 21:17:52 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: But I will not fight you- - Wed Dec  9 21:17:52 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Beat. - Wed Dec  9 21:17:52 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: His. - Wed Dec  9 21:17:52 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Ass. - Wed Dec  9 21:17:52 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Fuck you. - Wed Dec  9 21:17:52 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Fuck you too. - Wed Dec  9 21:17:52 2015
<br><br><font color=teal>*Takuma(Brosis55) says: No. - Wed Dec  9 21:17:52 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Fuck you! - Wed Dec  9 21:17:52 2015
<br><br><font color=teal>*Takuma(Brosis55) says: -- - Wed Dec  9 21:17:52 2015
<br><br><font color=teal>*Takuma(Brosis55) says: yo. - Wed Dec  9 21:17:52 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Teach me that. - Wed Dec  9 21:17:52 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Sure. - Wed Dec  9 21:18:43 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Can I beat taught that too? - Wed Dec  9 21:18:43 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Fuck this guy. - Wed Dec  9 21:18:43 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Teach me first. - Wed Dec  9 21:18:43 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Or be taught at the same time? - Wed Dec  9 21:18:43 2015
<br><br><font color=teal>*Takuma(Brosis55) says: -- - Wed Dec  9 21:18:43 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Fuck that guy. - Wed Dec  9 21:18:43 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Teach me first. - Wed Dec  9 21:18:43 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Or.. - Wed Dec  9 21:18:43 2015
<br><br><font color=teal>*Dahyun(BoyFlareon) says: Hm. - Wed Dec  9 21:20:25 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) thinks: Damn his speed - Wed Dec  9 21:23:50 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: ..Right. - Wed Dec  9 21:24:41 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: LEt's begin. - Wed Dec  9 21:25:32 2015
<br><br><font color=teal>*Dahyun(BoyFlareon) thinks: I don't want to do this. - Wed Dec  9 21:29:48 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: An Earth technique? - Wed Dec  9 21:34:56 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Yes. - Wed Dec  9 21:34:56 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: I see. - Wed Dec  9 21:34:56 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Of course. - Wed Dec  9 21:34:56 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: I'll be back later. - Wed Dec  9 21:34:56 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I didnt use it during our spar. - Wed Dec  9 21:34:56 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: OF course. - Wed Dec  9 21:34:56 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: I wish you did. - Wed Dec  9 21:35:47 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Heh... - Wed Dec  9 21:35:47 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: It would've been bad. - Wed Dec  9 21:35:47 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: For me. - Wed Dec  9 21:35:47 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: You think so? - Wed Dec  9 21:35:47 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Yes. - Wed Dec  9 21:35:47 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Mm, This will be fun. - Wed Dec  9 21:36:38 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: What're you up to, Menma-San? - Wed Dec  9 21:36:38 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: HMMM? - Wed Dec  9 21:36:38 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Who knows? - Wed Dec  9 21:37:29 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Getting stronger is always on my agenda though. - Wed Dec  9 21:37:29 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I see.. - Wed Dec  9 21:38:20 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: - - Wed Dec  9 22:32:57 2015
<br><br><font color=teal>*Cassi(TigerKitty) says: ... - Wed Dec  9 22:39:47 2015
<br><br><font color=teal>*Ziare(Meekee) says: ... - Wed Dec  9 22:55:08 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Hmmm. - Wed Dec  9 22:56:00 2015
<br><br><font color=teal>*Ziare(Meekee) says: Hello. - Wed Dec  9 23:03:40 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Who're you? - Wed Dec  9 23:04:32 2015
<br><br><font color=teal>*Ziare(Meekee) says: They call me Ziare. - Wed Dec  9 23:04:32 2015
<br><br><font color=teal>*Ziare(Meekee) says: You? - Wed Dec  9 23:05:23 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Sogeki. - Wed Dec  9 23:06:14 2015
<br><br><font color=teal>*Ziare(Meekee) says: Nice to meet you Sogeki. - Wed Dec  9 23:10:30 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: The pleasure is mine Ziare. If you don't mind me asking, what brings you here? - Wed Dec  9 23:11:21 2015
<br><br><font color=teal>*Ziare(Meekee) says: Traveling with my companion. - Wed Dec  9 23:11:21 2015
<br><br><font color=teal>*Ziare(Meekee) says: You? - Wed Dec  9 23:18:11 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: I live here. - Wed Dec  9 23:19:02 2015
<br><br><font color=teal>*Ziare(Meekee) says: Do you like it here? - Wed Dec  9 23:19:53 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: It gets boring at times, but yeah. - Wed Dec  9 23:19:53 2015
<br><br><font color=teal>*Ziare(Meekee) says: Boring? - Wed Dec  9 23:19:53 2015
<br><br><font color=teal>*Ziare(Meekee) says: Boring is safe, boring is nice. - Wed Dec  9 23:19:53 2015
<br><br><font color=teal>*Ziare(Meekee) says: I've lost a lot of people, if only the world was boring at those times.. - Wed Dec  9 23:20:44 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: I mean. I can only stand in one spot for so long- - Wed Dec  9 23:20:44 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Anyways. - Wed Dec  9 23:37:48 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Who's your companion? - Wed Dec  9 23:38:40 2015
<br><br><font color=teal>*Ziare(Meekee) says: Her name is Akisa. - Wed Dec  9 23:40:22 2015
<br><br><font color=teal>*Ziare(Meekee) says: She is not very social. - Wed Dec  9 23:40:22 2015
<br><br><font color=teal>*Ziare(Meekee) says: Most likely. - Wed Dec  9 23:42:56 2015
<br><br><font color=teal>*Ziare(Meekee) says: We havent been here very long, and do not plan on staying for very long either. - Wed Dec  9 23:42:56 2015
<br><br><font color=teal>*Ziare(Meekee) says: Just tourists of the sort. - Wed Dec  9 23:42:56 2015
<br><br><font color=teal>*Ziare(Meekee) says: I take odd jobs to pay my way and such. - Wed Dec  9 23:43:47 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Understandable. Well, hope you're enjoying your stay. - Wed Dec  9 23:43:47 2015
<br><br><font color=teal>*Ziare(Meekee) says: Thank you very much. - Wed Dec  9 23:43:47 2015
<br><br><font color=teal>*Yamato, Saika(Chaos Commander2019) thinks: More people. Tch. - Wed Dec  9 23:44:38 2015
<br><br><font color=yellow>*Uchiha, Mitarashi(Maruka) would give Rotori a silent stare. Examining his personal before he lifted up his hand and gave him a small wave. "Sup. Are you new or something?" he asked, wondering who this person he hasen't seen before was.* - Thu Dec 10 01:53:29 2015
<br><br><font color=yellow>*Uchiha, Mitarashi(Maruka) moved his jaw the side a bit as he listened to Rotori's words. "I guess nothing good comes from hermiting...." he thought to himself as he folded his arms at his chest. "Mitarashi. Nice to meet you Rotori." he said with a light smile on his face.* - Thu Dec 10 02:02:01 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: The Raikage isn't around at the moment. - Thu Dec 10 02:06:17 2015
<br><br><font color=teal>*Rotori(Tyrone From State Farm) says: But who might I ask -is- the Raikage. - Thu Dec 10 02:07:08 2015
<br><br><font color=teal>*Rotori(Tyrone From State Farm) thinks: Did I hit a nerve....or do they not know.. - Thu Dec 10 02:13:07 2015
<br><br><font color=teal>*Rotori(Tyrone From State Farm) says: Well....It seems I'm taking your time. I'll depart now. - Thu Dec 10 02:16:32 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: His name is Eiyu. - Thu Dec 10 02:17:23 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Good. - Thu Dec 10 04:38:11 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: You? - Thu Dec 10 04:38:11 2015
<br><br><font color=teal>*Rotori(Tyrone From State Farm) says: Fine, just fine. A bit....Underwhelmed by the village...but good. - Thu Dec 10 04:40:44 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: I see. - Thu Dec 10 04:43:18 2015
<br><br><font color=teal>*Takuma(Brosis55) says: . . .Has Eiyu been sleepin this whole time? - Thu Dec 10 04:43:18 2015
<br><br><font color=teal>*Rotori(Tyrone From State Farm) says: Possibly, I don't know his schedule. - Thu Dec 10 04:44:09 2015
<br><br><font color=teal>*Rotori(Tyrone From State Farm) says: You are? - Thu Dec 10 04:44:09 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Takuma. . . . - Thu Dec 10 04:45:00 2015
<br><br><font color=teal>*Takuma(Brosis55) says: I'm the Power House of Kumogakure. - Thu Dec 10 04:45:00 2015
<br><br><font color=teal>*Rotori(Tyrone From State Farm) says: Good to know, Rotori. - Thu Dec 10 04:45:52 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Nice to meet ya. - Thu Dec 10 04:45:52 2015
<br><br><font color=teal>*Takuma(Brosis55) says: What's your profession? - Thu Dec 10 04:45:52 2015
<br><br><font color=teal>*Rotori(Tyrone From State Farm) says: I haven't really given much thought about that. - Thu Dec 10 04:45:52 2015
<br><br><font color=teal>*Takuma(Brosis55) says: I see. - Thu Dec 10 04:46:43 2015
<br><br><font color=teal>*Rotori(Tyrone From State Farm) says: What about you? - Thu Dec 10 04:46:43 2015
<br><br><font color=teal>*Rotori(Tyrone From State Farm) says: What does the 'Power House' do? - Thu Dec 10 04:46:43 2015
<br><br><font color=teal>*Takuma(Brosis55) says: I'm an elementalist. - Thu Dec 10 04:47:34 2015
<br><br><font color=teal>*Takuma(Brosis55) says: I'm skilled in Katon and Doton. - Thu Dec 10 04:47:34 2015
<br><br><font color=teal>*Rotori(Tyrone From State Farm) says: That's good. How proficient are you? - Thu Dec 10 04:54:24 2015
<br><br><font color=teal>*Takuma(Brosis55) says: That's a secret. - Thu Dec 10 04:56:06 2015
<br><br><font color=teal>*Rotori(Tyrone From State Farm) says: Oh? I thought we were all buddies...comrades and the like. - Thu Dec 10 04:56:06 2015
<br><br><font color=teal>*Takuma(Brosis55) says: We are. - Thu Dec 10 04:57:48 2015
<br><br><font color=teal>*Takuma(Brosis55) says: However. - Thu Dec 10 04:57:48 2015
<br><br><font color=teal>*Takuma(Brosis55) says: There have been . . . . - Thu Dec 10 04:57:48 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Some traitors before hand. - Thu Dec 10 04:57:48 2015
<br><br><font color=teal>*Rotori(Tyrone From State Farm) says: Were those traitors apprehended? - Thu Dec 10 04:57:48 2015
<br><br><font color=teal>*Takuma(Brosis55) says: And not to mention, we just got done being in a war with Sunagakure. - Thu Dec 10 04:57:48 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Of course. - Thu Dec 10 04:58:40 2015
<br><br><font color=teal>*Rotori(Tyrone From State Farm) says: Were they dealt with? - Thu Dec 10 05:02:56 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Of course. - Thu Dec 10 05:02:56 2015
<br><br><font color=teal>*Rotori(Tyrone From State Farm) says: Who were they? - Thu Dec 10 05:02:56 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Secret. - Thu Dec 10 05:02:56 2015
<br><br><font color=teal>*Rotori(Tyrone From State Farm) says: Why? - Thu Dec 10 05:03:47 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Cause I can do that - Thu Dec 10 05:03:47 2015
<br><br><font color=teal>*Rotori(Tyrone From State Farm) says: . . . - Thu Dec 10 05:03:47 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Well, this invite from Suna looks inviting. - Thu Dec 10 23:33:07 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I didn't pick it up, but from what my men are telling me. - Thu Dec 10 23:33:58 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: It seems they wish for us to come to Kumogakure. - Thu Dec 10 23:33:58 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Ironically enough. - Thu Dec 10 23:33:58 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I will not be going. - Thu Dec 10 23:33:58 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Yeah, it is. - Thu Dec 10 23:35:40 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: ..I never got your name. @Dayhun. - Thu Dec 10 23:39:05 2015
<br><br><font color=teal>*Dahyun(BoyFlareon) says: My name is Dahyun. - Thu Dec 10 23:39:56 2015
<br><br><font color=teal>*Dahyun(BoyFlareon) says: Like, Dah-Yoon. - Thu Dec 10 23:39:56 2015
<br><br><font color=teal>*Dahyun(BoyFlareon) says: You know? - Thu Dec 10 23:39:56 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Nice to meet you, please don't speak to chairs again, though. - Thu Dec 10 23:39:56 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: *Smirks* - Thu Dec 10 23:39:56 2015
<br><br><font color=teal>*Dahyun(BoyFlareon) says: Oh, sorry I can't see from far so I have to wear my glasses. - Thu Dec 10 23:39:56 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Ohhh... - Thu Dec 10 23:40:48 2015
<br><br><font color=teal>*Dahyun(BoyFlareon) says: *sniffles* - Thu Dec 10 23:40:48 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Glasses don't subtract from the fact you're shinobi. Don't feel bad. - Thu Dec 10 23:44:12 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) thinks: I need...... - Thu Dec 10 23:44:12 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) thinks: To find Takuma.. - Thu Dec 10 23:44:12 2015
<br><br><font color=teal>*Dahyun(BoyFlareon) says: I guess... - Thu Dec 10 23:45:55 2015
<br><br><font color=teal>*Dahyun(BoyFlareon) says: So, what were you guys talking about? - Thu Dec 10 23:47:37 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Sunagakure. - Thu Dec 10 23:47:37 2015
<br><br><font color=teal>*Dahyun(BoyFlareon) says: Oooooh, what is that? - Thu Dec 10 23:48:28 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: - - - Thu Dec 10 23:48:28 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: It's a village that nearly wiped us out. - Thu Dec 10 23:48:28 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: With the help of their lapdog, Konohagakure No Sato. - Thu Dec 10 23:48:28 2015
<br><br><font color=teal>*Dahyun(BoyFlareon) says: Oh, I'm sorry to hear that. - Thu Dec 10 23:48:28 2015
<br><br><font color=teal>*Dahyun(BoyFlareon) says: But guess we aren't wiped out, yay. - Thu Dec 10 23:48:28 2015
<br><br><font color=teal>*Dahyun(BoyFlareon) says: Wait, why do they want to invite you? - Thu Dec 10 23:48:28 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Probably to assassinate me. - Thu Dec 10 23:49:20 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Who knows? - Thu Dec 10 23:49:20 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: But I do know I'm not going. - Thu Dec 10 23:49:20 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Its time for you to pair up with a training partner for our daily rounds. - Thu Dec 10 23:50:11 2015
<br><br><font color=teal>*Dahyun(BoyFlareon) says: What? - Thu Dec 10 23:52:44 2015
<br><br><font color=teal>*Dahyun(BoyFlareon) says: No no no. - Thu Dec 10 23:52:44 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Yes, yes, yes. - Thu Dec 10 23:52:44 2015
<br><br><font color=teal>*Dahyun(BoyFlareon) says: I'm not good with partners, or group members or team-membe-- What? No, why? - Thu Dec 10 23:52:44 2015
<br><br><font color=teal>*Dahyun(BoyFlareon) says: I don't even know none of these people. - Thu Dec 10 23:54:27 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: That is the purpose of this exercise. - Thu Dec 10 23:55:18 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Unless of course. - Thu Dec 10 23:55:18 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: You wish to spar me. - Thu Dec 10 23:55:18 2015
<br><br><font color=teal>*Dahyun(BoyFlareon) says: I-I don't spar, sir Raikage. - Thu Dec 10 23:55:18 2015
<br><br><font color=teal>*Dahyun(BoyFlareon) says: I do a bit of exercise on my own. - Thu Dec 10 23:57:00 2015
<br><br><font color=teal>*Dahyun(BoyFlareon) says: I also can't do a lot because I have asthma. *lying hard asf* - Thu Dec 10 23:57:52 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: .. - Thu Dec 10 23:58:43 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I mean you're not fooling anyone. - Thu Dec 10 23:58:43 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: My shinobi are healthy. - Thu Dec 10 23:58:43 2015
<br><br><font color=teal>*Dahyun(BoyFlareon) says: Whatever... - Thu Dec 10 23:59:34 2015
<br><br><font color=teal>*Dahyun(BoyFlareon) says: Sooooooo. - Fri Dec 11 00:19:12 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Hm..? - Fri Dec 11 00:19:12 2015
<br><br><font color=teal>*Dahyun(BoyFlareon) says: Nothing. - Fri Dec 11 00:20:03 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Hmph. It hardly works now since everyone know's that you've said that.. But I guess I will have to endure the laughs until I find a better Moniker. Who's ready to learn...? - Fri Dec 11 00:28:35 2015
<br><br><font color=teal>*Dahyun(BoyFlareon) says: Well, I should go now. - Fri Dec 11 00:36:16 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: smh - Fri Dec 11 01:29:10 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: What you guys up to? - Fri Dec 11 01:34:17 2015
<br><br><font color=teal>*Takuma(Brosis55) says: . . . - Fri Dec 11 01:34:17 2015
<br><br><font color=teal>*Dahyun(BoyFlareon) says: About to train some technique! - Fri Dec 11 01:34:17 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Yo, which one of you guys stole my undergarments? - Fri Dec 11 01:34:17 2015
<br><br><font color=teal>*Dahyun(BoyFlareon) says: Ew. - Fri Dec 11 01:35:08 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Someone broke into my house. - Fri Dec 11 01:35:08 2015
<br><br><font color=teal>*Takuma(Brosis55) says: And stole my undergarments. - Fri Dec 11 01:35:08 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Ya'll vilage. - Fri Dec 11 01:35:08 2015
<br><br><font color=teal>*Takuma(Brosis55) says: vile* - Fri Dec 11 01:35:08 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: . . . Go ahead and do it. - Fri Dec 11 01:49:39 2015
<br><br><font color=teal>*Dahyun(BoyFlareon) says: Oooh! I love carrots, sure! - Fri Dec 11 02:46:49 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: We'll go after I figure out what Haku needs. - Fri Dec 11 02:47:40 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: It's pretty close. - Fri Dec 11 02:47:40 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: I believe that you owe Yu-ch- Yuriko something. - Fri Dec 11 02:47:40 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: ...? I'd rather she just tell me. - Fri Dec 11 02:48:32 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Because I have no idea what you're talking about. - Fri Dec 11 02:48:32 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Unless you mean the prisoners. - Fri Dec 11 02:48:32 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: That is exactly what I mean. - Fri Dec 11 02:49:23 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: O--hm? Thank you, Eiyu-sama.~ - Fri Dec 11 02:51:56 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: No problem. - Fri Dec 11 02:51:56 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) thinks: Who is that? - Fri Dec 11 02:57:04 2015
<br><br><font color=yellow>*Uchiha, Mitarashi(Maruka) trailed behind the Raikage as he entered the scene. Only here beacuse he had nothing else better to do.* - Fri Dec 11 04:01:04 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: How did you obtain said head-protector? - Fri Dec 11 04:06:11 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: I was from this village. - Fri Dec 11 04:06:11 2015
<br><br><font color=teal>*Takuma(Brosis55) says: "was" - Fri Dec 11 04:07:02 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: During Niklaus days. - Fri Dec 11 04:07:02 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: The Yondaime said the same thing before I exiled her. - Fri Dec 11 04:07:53 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: However, I seek no trouble. - Fri Dec 11 04:07:53 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Who's Yondaime? - Fri Dec 11 04:07:53 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Then you should get going. - Fri Dec 11 04:07:53 2015
<br><br><font color=teal>*Takuma(Brosis55) says: If you don't want to seek any trouble. - Fri Dec 11 04:07:53 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: The previous Raikage. - Fri Dec 11 04:08:44 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Why would you ever leave? - Fri Dec 11 04:08:44 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Whether you allow entry is up to Takuma. - Fri Dec 11 04:09:36 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Was assign'd to Suna back then since Kumo had complete control over it. That was the days when Konoha was under slavery. - Fri Dec 11 04:09:36 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I see.. - Fri Dec 11 04:10:27 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) thinks: I should visit Konoha, see how Rias is doing. I also want to see what bullshit has been going around in that village as well. - Fri Dec 11 04:24:06 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: So you see. - Fri Dec 11 04:43:44 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: In this particular case Sunagakure was the evil entity. - Fri Dec 11 04:43:44 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: They forgot where they came from. - Fri Dec 11 04:43:44 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Now I want nothing to do with anyone. - Fri Dec 11 04:43:44 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: For they all turned their back on us when we wanted nothing more than to be left alone. - Fri Dec 11 04:43:44 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: It is why I do not trust these surrounding nations. - Fri Dec 11 04:43:44 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: It's why I don't trust you. - Fri Dec 11 04:43:44 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: I can understand that. - Fri Dec 11 04:44:35 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: I also didn't know they attack'd as well. - Fri Dec 11 04:44:35 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: I'll assume the current kage barely knows about this. Who was the name of the kage during that time? - Fri Dec 11 04:45:26 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Sanoke. - Fri Dec 11 04:45:26 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Sanoke? Hassan? - Fri Dec 11 04:45:26 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: -- - Fri Dec 11 04:46:17 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: I'm sorry for the trouble he had caused. - Fri Dec 11 04:48:00 2015
