<br><font color=teal>*Muhhamed Hassan(Ziare1) says: And wouldn't have endangered any. - Sun Nov  1 10:34:27 2015
<br><br><font color=teal>*Ivel(OmniKage) says: Looks like that one girl does. *Points to Marissa* - Tue Nov  3 02:48:32 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hello Nina-----Oh.. - Tue Nov  3 02:48:32 2015
<br><br><font color=teal>*Ivel(OmniKage) says: ...Wait. You're Fujitora? - Tue Nov  3 02:48:32 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Yea that was it.  Thanks for the answers Ortho. - Tue Nov  3 02:49:23 2015
<br><br><font color=teal>*Nina(Ninasky115) says: So, Uncle Fuji! - Tue Nov  3 02:49:23 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Yes..And this is an arena. - Tue Nov  3 02:49:23 2015
<br><br><font color=teal>*Nina(Ninasky115) says: How much does it cost for a sword? - Tue Nov  3 02:49:23 2015
<br><br><font color=teal>*Marrisa(Roxinea) says: . . . . - Tue Nov  3 02:50:14 2015
<br><br><font color=teal>*Marrisa(Roxinea) says: I went into a test unprepared. .  - Tue Nov  3 02:50:14 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: 500,000 normal...1,000,000 If enhanced. - Tue Nov  3 02:50:14 2015
<br><br><font color=teal>*Marrisa(Roxinea) says: This was my price. .  - Tue Nov  3 02:50:14 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Which te------... - Tue Nov  3 02:50:14 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: What the hell kind of test did you take? - Tue Nov  3 02:50:14 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Woman.. - Tue Nov  3 02:50:14 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: What. - Tue Nov  3 02:50:14 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: The fuck? - Tue Nov  3 02:50:14 2015
<br><br><font color=teal>*Marrisa(Roxinea) says: . .  - Tue Nov  3 02:50:14 2015
<br><br><font color=teal>*Marrisa(Roxinea) says: I lost my arm in the Gezo Exam Fuji. .  - Tue Nov  3 02:50:14 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: Fuck that exam. . .  - Tue Nov  3 02:51:05 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: Taking Mari-sensei arm like that. . .  - Tue Nov  3 02:51:05 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: . - Tue Nov  3 02:51:05 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: . - Tue Nov  3 02:51:05 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: . - Tue Nov  3 02:51:05 2015
<br><br><font color=teal>*Nina(Ninasky115) says: ......Ortho. - Tue Nov  3 02:51:05 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Nina.. - Tue Nov  3 02:51:05 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Not in the mood.. - Tue Nov  3 02:51:05 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Please.. - Tue Nov  3 02:51:05 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Sure we can talk but Marrisa...Why would you take that exam? - Tue Nov  3 02:51:56 2015
<br><br><font color=teal>*Marrisa(Roxinea) thinks: I'll let him have his space.  - Tue Nov  3 02:51:56 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Fine.. Guess my training is done then.. - Tue Nov  3 02:51:56 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: You know how many people die in that shit?! - Tue Nov  3 02:51:56 2015
<br><br><font color=teal>*Marrisa(Roxinea) says: . ..  - Tue Nov  3 02:51:56 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Yeah, what did you need? - Tue Nov  3 02:51:56 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: It's not done, I'll complete it later.. - Tue Nov  3 02:51:56 2015
<br><br><font color=teal>*Marrisa(Roxinea) says: Lord HAssan put his faith in me. . and signed me up. .  - Tue Nov  3 02:51:56 2015
<br><br><font color=teal>*Ivel(OmniKage) says: Let's go some where private. - Tue Nov  3 02:51:56 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Then it's done until you come back. - Tue Nov  3 02:51:56 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Sorry mate but who are you? - Tue Nov  3 02:52:48 2015
<br><br><font color=teal>*Marrisa(Roxinea) says: Oh, Lord Hassan. . I need to know if you managed to palce my Order.  - Tue Nov  3 02:52:48 2015
<br><br><font color=teal>*Marrisa(Roxinea) says: That's all. - Tue Nov  3 02:52:48 2015
<br><br><font color=teal>*Ivel(OmniKage) says: Let's talk. - Tue Nov  3 02:52:48 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Oh.. - Tue Nov  3 02:52:48 2015
<br><br><font color=teal>*Ivel(OmniKage) says: I'll tell you. - Tue Nov  3 02:52:48 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Yeah I haven't gotten a reply. - Tue Nov  3 02:52:48 2015
<br><br><font color=teal>*Marrisa(Roxinea) says: MMkay, Thank you sir. . . - Tue Nov  3 02:52:48 2015
<br><br><font color=teal>*Marrisa(Roxinea) says: . . .  - Tue Nov  3 02:52:48 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Anyway...Marrisa, was it worth it? - Tue Nov  3 02:52:48 2015
<br><br><font color=teal>*Marrisa(Roxinea) says: I obeyed my orders Fuji . . . - Tue Nov  3 02:53:39 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: I was wondering the same thing. - Tue Nov  3 02:53:39 2015
<br><br><font color=teal>*Ivel(OmniKage) says: Wh-... - Tue Nov  3 02:53:39 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: . . .  - Tue Nov  3 02:53:39 2015
<br><br><font color=teal>*Marrisa(Roxinea) says: My price is of little concern - Tue Nov  3 02:53:39 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: It's fine..I'll patch you up with my theory soon. - Tue Nov  3 02:53:39 2015
<br><br><font color=teal>*Marrisa(Roxinea) thinks: Hell no it wasn't worth it. .  - Tue Nov  3 02:53:39 2015
<br><br><font color=teal>*Ivel(OmniKage) says: Don't ignore me. - Tue Nov  3 02:54:30 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) thinks: Hope she'd fine with an artifical arm. - Tue Nov  3 02:54:30 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I said hold on. - Tue Nov  3 02:54:30 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: It's ok Mari-Sensei if you need anything just find Hiroshi!~ - Tue Nov  3 02:54:30 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Anyway, I'm glad you made it back alive Marrisa.. - Tue Nov  3 02:55:21 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Most who go in do not come back out. - Tue Nov  3 02:56:12 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Of course. - Tue Nov  3 02:56:12 2015
<br><br><font color=teal>*Marrisa(Roxinea) says: I was hoping she could. . Uh. . Help me with what's inside - Tue Nov  3 02:57:04 2015
<br><br><font color=teal>*Nina(Ninasky115) says: ...... - Tue Nov  3 02:57:55 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Alright..We can go talk now. - Tue Nov  3 02:58:46 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: *looks to Ivey* - Tue Nov  3 02:58:46 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Can I come? - Tue Nov  3 02:58:46 2015
<br><br><font color=teal>*Ivel(OmniKage) says: Alright, let's go. - Tue Nov  3 02:59:37 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Uncle Fuji?~ - Tue Nov  3 02:59:37 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: No. - Tue Nov  3 02:59:37 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: Damn. . .  - Tue Nov  3 02:59:37 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Ugh, whatever. - Tue Nov  3 03:00:28 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Everybody seems to be getting busy all of a sudden. - Tue Nov  3 03:00:28 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I'm going home. - Tue Nov  3 03:03:02 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I'll see you guys whenever. - Tue Nov  3 03:03:02 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Goodbye Nina. - Tue Nov  3 03:03:02 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: See you later nina. - Tue Nov  3 03:03:53 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hope you be all electrifying next ime i see you. - Tue Nov  3 03:03:53 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Indeed. - Tue Nov  3 03:03:53 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: So we can get started on making our own stuff. - Tue Nov  3 03:03:53 2015
<br><br><font color=teal>*Shokutsu(King Scrub) says: So, anyone here well trained in melee combat? - Tue Nov  3 03:05:36 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Ask jumpman. - Tue Nov  3 03:06:27 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Or Hiro hiro is pretty good - Tue Nov  3 03:06:27 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Yea you want to spar guy? - Tue Nov  3 03:09:52 2015
<br><br><font color=teal>*Shokutsu(King Scrub) says: I'm actually looking for someone to help me learn more. - Tue Nov  3 03:14:59 2015
<br><br><font color=teal>*Shokutsu(King Scrub) says: Even if it's just the basics. - Tue Nov  3 03:15:50 2015
<br><br><font color=teal>*Shokutsu(King Scrub) says: As I am, I'm just a sloppy fighter. - Tue Nov  3 03:15:50 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I'm no teacher sorry. - Tue Nov  3 03:15:50 2015
<br><br><font color=teal>*Marrisa(Roxinea) says: I happen to be a teacher - Tue Nov  3 03:15:50 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Hey Mari-Sensei I wan tto hear about your test. - Tue Nov  3 03:21:48 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: All the details. - Tue Nov  3 03:21:48 2015
<br><br><font color=teal>*Marrisa(Roxinea) says: That's a bit of a story - Tue Nov  3 03:25:13 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I have nothing but time. - Tue Nov  3 03:25:13 2015
<br><br><font color=teal>*Marrisa(Roxinea) says: Let me get the newbi started on some training. .  - Tue Nov  3 03:25:13 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Right. - Tue Nov  3 03:25:13 2015
<br><br><font color=teal>*Marrisa(Roxinea) says: Then I'll tell you what I can - Tue Nov  3 03:25:13 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hmmm. - Tue Nov  3 03:59:21 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) thinks: Ha, I'm use to people swarming around me for techniques. I'm kinda jealous. - Tue Nov  3 03:59:21 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Yo'. - Tue Nov  3 03:59:21 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Sup Yan. - Tue Nov  3 04:00:12 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Anyone down to mess around with a spar? - Tue Nov  3 04:01:04 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hmmm. - Tue Nov  3 04:01:04 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Ummm. . . - Tue Nov  3 04:01:04 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Me and Hiro vs you. - Tue Nov  3 04:01:04 2015
<br><br><font color=teal>*Marrisa(Roxinea) says: I'll spar - Tue Nov  3 04:01:04 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Well then I guess I do have time to spar then. - Tue Nov  3 04:01:04 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Well, all three of you? - Tue Nov  3 04:01:55 2015
<br><br><font color=teal>*Shokutsu(King Scrub) says: I think I'll watch your spar just to study. - Tue Nov  3 04:01:55 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: That's the second time today... - Tue Nov  3 04:01:55 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I don't think that is fair. - Tue Nov  3 04:01:55 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Mari-Sensei is super strong. - Tue Nov  3 04:01:55 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'll try! - Tue Nov  3 04:01:55 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Yan Sensei is stronger. - Tue Nov  3 04:01:55 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: What?! Wait. I don'tk now. - Tue Nov  3 04:01:55 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: He is one of gramps Hands. - Tue Nov  3 04:01:55 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Nooooo Mari-Sensei is. - Tue Nov  3 04:01:55 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'll spar you three, but don't kill me. - Tue Nov  3 04:01:55 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: No offense Yan. - Tue Nov  3 04:02:46 2015
<br><br><font color=teal>*Marrisa(Roxinea) says: I'd like to spar you one on one Yan. .  - Tue Nov  3 04:02:46 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) thinks: I totaly saved her that one time. - Tue Nov  3 04:02:46 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yan! You're back! - Tue Nov  3 04:03:37 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: What's up Sanoke? - Tue Nov  3 04:03:37 2015
<br><br><font color=teal>*Marrisa(Roxinea) says: I'd rather this be one versus one Yan.  . - Tue Nov  3 04:03:37 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: . . .  - Tue Nov  3 04:03:37 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: So serious....Let's do it. - Tue Nov  3 04:04:28 2015
<br><br><font color=teal>*Marrisa(Roxinea) says: mmkay - Tue Nov  3 04:04:28 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: Mari-Sensei doesn't want to be on my team. . . So hurt. - Tue Nov  3 04:04:28 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Go Yan go. - Tue Nov  3 04:04:28 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Show em what some rest can do! - Tue Nov  3 04:04:28 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Don't waste your breath Trill, Mari-Sensei has this in the bag. - Tue Nov  3 04:04:28 2015
<br><br><font color=teal>*Shin(Yaori) says: What's going on here? - Tue Nov  3 04:05:20 2015
<br><br><font color=teal>*Shin(Yaori) says: It seems rather uninteresting - Tue Nov  3 04:05:20 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I was gonna tell you but since you aren't interested I won't bother. - Tue Nov  3 04:05:20 2015
<br><br><font color=teal>*Shin(Yaori) says: That's fine with me - Tue Nov  3 04:06:11 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *nods* - Tue Nov  3 04:06:11 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Nothing. - Tue Nov  3 04:07:02 2015
<br><br><font color=teal>*Marrisa(Roxinea) thinks: I am gonna get my ass kicked . . Heh. .  - Tue Nov  3 04:07:02 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Just haven't seen you in forever. - Tue Nov  3 04:07:02 2015
<br><br><font color=teal>*Shin(Yaori) says: Looks like - Tue Nov  3 04:07:53 2015
<br><br><font color=teal>*Shin(Yaori) says: Marrisa is going to fight again - Tue Nov  3 04:07:53 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Yup. - Tue Nov  3 04:07:53 2015
<br><br><font color=teal>*Shin(Yaori) says: Watching it will be interesting as ever - Tue Nov  3 04:07:53 2015
<br><br><font color=teal>*Shin(Yaori) says: In other words . . . - Tue Nov  3 04:07:53 2015
<br><br><font color=teal>*Shin(Yaori) thinks: It won't be. - Tue Nov  3 04:07:53 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: You don't think it will be do you? - Tue Nov  3 04:08:44 2015
<br><br><font color=teal>*Shin(Yaori) thinks: Hmmm, I haven't seen this guy fight before. - Tue Nov  3 04:08:44 2015
<br><br><font color=teal>*Shin(Yaori) says: Hmmmmmmmmm - Tue Nov  3 04:08:44 2015
<br><br><font color=teal>*Shin(Yaori) says: I am unsure - Tue Nov  3 04:08:44 2015
<br><br><font color=teal>*Shin(Yaori) says: That guy - Tue Nov  3 04:08:44 2015
<br><br><font color=teal>*Shin(Yaori) says: I've seen him before - Tue Nov  3 04:08:44 2015
<br><br><font color=teal>*Shin(Yaori) says: And I've heard good things - Tue Nov  3 04:08:44 2015
<br><br><font color=teal>*Shin(Yaori) says: Maybe he'll be kinda fun to watch - Tue Nov  3 04:08:44 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Have we met? - Tue Nov  3 04:10:27 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I don't recall. - Tue Nov  3 04:10:27 2015
<br><br><font color=teal>*Shin(Yaori) says: Us? - Tue Nov  3 04:11:18 2015
<br><br><font color=teal>*Shin(Yaori) says: Unlikely - Tue Nov  3 04:11:18 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Well I am Hiroshi. - Tue Nov  3 04:11:18 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Nice to meet you - Tue Nov  3 04:11:18 2015
<br><br><font color=teal>*Shin(Yaori) says: I am called Shin - Tue Nov  3 04:12:09 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Gotcha, who you going with in this spar? - Tue Nov  3 04:13:00 2015
<br><br><font color=teal>*Shin(Yaori) says: Marrisa is a very one demensional fighter - Tue Nov  3 04:13:52 2015
<br><br><font color=teal>*Shin(Yaori) says: So without her arm, that is apparently missing, I'd say she's done for - Tue Nov  3 04:13:52 2015
<br><br><font color=teal>*Shin(Yaori) says: Though I've never seen this guy fight - Tue Nov  3 04:13:52 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I haven't seen him fight before either. - Tue Nov  3 04:14:43 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) thinks: I wanna learn that jutsu. - Tue Nov  3 04:16:25 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) thinks: Oh wow Yan is so smart his can use that to like drown people ohhh  its like a Fish tank for humans go school go - Tue Nov  3 04:17:16 2015
<br><br><font color=teal>*Shin(Yaori) says: Because you're making clones - Tue Nov  3 04:18:08 2015
<br><br><font color=teal>*Shin(Yaori) says: -omit - Tue Nov  3 04:18:08 2015
<br><br><font color=teal>*Shin(Yaori) says: Something like that\ - Tue Nov  3 04:22:24 2015
<br><br><font color=teal>*Shin(Yaori) says: Hopefully it proves to be interesting - Tue Nov  3 04:22:24 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Did this start over an argument..? - Tue Nov  3 04:23:15 2015
<br><br><font color=teal>*Shin(Yaori) says: I don't believe so, I think it's a simple spar - Tue Nov  3 04:23:15 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Oh.. alright. - Tue Nov  3 04:24:06 2015
<br><br><font color=teal>*Shin(Yaori) says: Mr Hassan - Tue Nov  3 04:24:57 2015
<br><br><font color=teal>*Shin(Yaori) says: How did the battle with that brute go a few days ago - Tue Nov  3 04:24:57 2015
<br><br><font color=teal>*Shin(Yaori) says: And I'm not great, but it could be worse - Tue Nov  3 04:25:48 2015
<br><br><font color=teal>*Shin(Yaori) says: I could be that - Tue Nov  3 04:25:48 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *laughs*   - Tue Nov  3 04:25:48 2015
<br><br><font color=teal>*Shokutsu(King Scrub) says: >Underground with goggles on - Tue Nov  3 04:28:22 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: I was commanding it. - Tue Nov  3 04:30:04 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: So it went flawlessly. - Tue Nov  3 04:30:04 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: As it should. - Tue Nov  3 04:30:04 2015
<br><br><font color=teal>*Shin(Yaori) says: I see, perhaps I should have taken part through the whole battle anyway - Tue Nov  3 04:30:56 2015
<br><br><font color=teal>*Shin(Yaori) says: Though I was exhausted from previous exertion, he was an enjoyable opponent. - Tue Nov  3 04:30:56 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: I look foreward to you battling again in the future. - Tue Nov  3 04:30:56 2015
<br><br><font color=teal>*Shin(Yaori) says: I thank you for your kindness. - Tue Nov  3 04:30:56 2015
<br><br><font color=yellow>*Sanoke(Gamuhz2) leaps to strike down that ninja with the boss goggles.* - Tue Nov  3 04:35:12 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Yeah. - Tue Nov  3 04:37:45 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: -omit- - Tue Nov  3 04:42:01 2015
<br><br><font color=teal>*Shin(Yaori) says: Become a clan spec - Tue Nov  3 04:48:00 2015
<br><br><font color=teal>*Shin(Yaori) says: It seems Ortho's AFKekkai Genkai - Tue Nov  3 04:58:14 2015
<br><br><font color=teal>*Shin(Yaori) says: Has gotten stronger - Tue Nov  3 04:58:14 2015
<br><br><font color=teal>*Shin(Yaori) says: -omit- - Tue Nov  3 04:58:14 2015
<br><br><font color=teal>*Shin(Yaori) says: As expected. - Tue Nov  3 04:59:05 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: Yan is pretty good. - Tue Nov  3 04:59:05 2015
<br><br><font color=teal>*Shin(Yaori) says: It is one thing to fight an opponent you stand no chance of beating but - Tue Nov  3 04:59:05 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: You still did your thing Mari-Sensei. - Tue Nov  3 04:59:05 2015
<br><br><font color=teal>*Shin(Yaori) says: Don't kill yourself trying to spar at a clear disadvatage - Tue Nov  3 04:59:05 2015
<br><br><font color=teal>*Shin(Yaori) says: The only way to gain strength is to fight with one on equal terms - Tue Nov  3 04:59:56 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I thought she did good. - Tue Nov  3 04:59:56 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I had no idea she was underneath me. - Tue Nov  3 04:59:56 2015
<br><br><font color=teal>*Shin(Yaori) says: Its like jogging versus sprinting - Tue Nov  3 04:59:56 2015
<br><br><font color=teal>*Shin(Yaori) says: Though it is entertaining - Tue Nov  3 04:59:56 2015
<br><br><font color=teal>*Shin(Yaori) says: I must ask your name - Tue Nov  3 04:59:56 2015
<br><br><font color=teal>*Shin(Yaori) says: Opponent of Marrisa - Tue Nov  3 05:00:48 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ...I am Yan. - Tue Nov  3 05:00:48 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I feel like we've met before but who knows. What's your name again? - Tue Nov  3 05:00:48 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: No problem... - Tue Nov  3 05:00:48 2015
<br><br><font color=teal>*Shin(Yaori) says: As do I - Tue Nov  3 05:00:48 2015
<br><br><font color=teal>*Shin(Yaori) says: I am Shin - Tue Nov  3 05:01:39 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Cool...So, who's going to fight next? - Tue Nov  3 05:01:39 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Next?  - Tue Nov  3 05:01:39 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: All of you are watching. One of you might as well man up and fight someone else. - Tue Nov  3 05:01:39 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Yan. - Tue Nov  3 05:02:30 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I'm always ready for a fight. - Tue Nov  3 05:02:30 2015
<br><br><font color=teal>*Shin(Yaori) says: I do need practice - Tue Nov  3 05:02:30 2015
<br><br><font color=teal>*Shin(Yaori) says: If I don't keep up with my training - Tue Nov  3 05:02:30 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: How  in the heck did you do that pillar thing. - Tue Nov  3 05:02:30 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Thanks for cheering me on by the way, Trilliam... - Tue Nov  3 05:02:30 2015
<br><br><font color=teal>*Shin(Yaori) says: I'll lose myself - Tue Nov  3 05:02:30 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: So cool. - Tue Nov  3 05:02:30 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Uh, well, I learned it a long time ago. - Tue Nov  3 05:02:30 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Wanna go Shin? - Tue Nov  3 05:02:30 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I could teach it to you sometime if you promise never to use it to hurt someone in a spar. - Tue Nov  3 05:02:30 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: And of course i woudl cheer for you im sure you would do the smae for me and and sure. - Tue Nov  3 05:03:21 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: I never aim to hurt anyone. - Tue Nov  3 05:03:21 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Most definitely, you're one of my favorite ninja! - Tue Nov  3 05:03:21 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Yeah, you tell me that after our last spar. Hah. - Tue Nov  3 05:03:21 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Even though Katsune says my mud machine gune is dangerous. - Tue Nov  3 05:03:21 2015
<br><br><font color=teal>*Marrisa(Roxinea) says: Thanks for making my Order Hassan - Tue Nov  3 05:04:12 2015
<br><br><font color=teal>*Shin(Yaori) says: Sure - Tue Nov  3 05:04:12 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Let's get too it then. - Tue Nov  3 05:04:12 2015
<br><br><font color=teal>*Shin(Yaori) says: We can run a round - Tue Nov  3 05:04:12 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Cool, let me get out of your way. - Tue Nov  3 05:05:04 2015
<br><br><font color=teal>*Shin(Yaori) says: I have to tell you - Tue Nov  3 05:05:04 2015
<br><br><font color=teal>*Shin(Yaori) says: I am a little experienced - Tue Nov  3 05:05:04 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: That is fine.   - Tue Nov  3 05:05:04 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: We should do this more often! - Tue Nov  3 05:05:04 2015
<br><br><font color=teal>*Shin(Yaori) says: I am unsure how battle hardened you are - Tue Nov  3 05:05:04 2015
