<br><font color=teal>*Reguel(Airide) says: ... - Sun Nov  1 20:07:02 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Don't worry..she won't. - Sun Nov  8 05:11:28 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: But you should get to wherever you need to be Trilliam. - Sun Nov  8 05:11:28 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Where does he need to go? - Sun Nov  8 05:11:28 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Ughhh thats the thing. - Sun Nov  8 05:11:28 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: ONe of you either Koji you or tetsu is supposed to take me. - Sun Nov  8 05:12:19 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Koji!!!! - Sun Nov  8 05:12:19 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Sorry to interrupt, but... - Sun Nov  8 05:12:19 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Trilliam come on over. - Sun Nov  8 05:13:10 2015
<br><br><font color=teal>*Yoko(Dark_Kadaj12) says: .... - Sun Nov  8 05:13:10 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Izanami, did you want to spar? - Sun Nov  8 05:18:17 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I can put this blunt away... - Sun Nov  8 05:18:17 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) thinks: Oh...he's standing right there. - Sun Nov  8 05:18:17 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) thinks: I'm an idiot. - Sun Nov  8 05:18:17 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Lemme' help my brother out first. - Sun Nov  8 05:18:17 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: And... - Sun Nov  8 05:19:08 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: You're going to jail...? - Sun Nov  8 05:19:08 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: What did you do? - Sun Nov  8 05:19:08 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Well I was lied upon you know my special scrool your farther took one and unsealed it. - Sun Nov  8 05:20:00 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: .... - Sun Nov  8 05:20:51 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: How long are you going to be in jail? - Sun Nov  8 05:20:51 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: 3 years. - Sun Nov  8 05:20:51 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Then I will be placed on 5 years probation. - Sun Nov  8 05:21:42 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: ... - Sun Nov  8 05:21:42 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Isn't that a bit unfair..? - Sun Nov  8 05:21:42 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Sooooo I wont be done with this ordeal till im as old as Marrisa. - Sun Nov  8 05:21:42 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Did you talk to grandpa? - Sun Nov  8 05:21:42 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: It is but there is nothing I can do Gramps demands it. - Sun Nov  8 05:21:42 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: ... - Sun Nov  8 05:22:33 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Thats who sentecedme. - Sun Nov  8 05:22:33 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: He's doing this because the person who died frineds want me borught to justice likeits my fault - Sun Nov  8 05:22:33 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Completely. - Sun Nov  8 05:22:33 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: YOu know how people harbour hate and ill will and balh blah blah. - Sun Nov  8 05:22:33 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: So Iza do me a favor watch over my shop. - Sun Nov  8 05:24:16 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Oh and kick your dad in his butt for me Kay. - Sun Nov  8 05:25:07 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Aiight lets get going. - Sun Nov  8 05:25:58 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: ... - Sun Nov  8 05:26:49 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) thinks: Why does someone who looks ten have their own shop? - Sun Nov  8 05:26:49 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: You can relax now, Yoko. - Sun Nov  8 05:30:14 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: ... - Sun Nov  8 05:31:05 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Urgh.. - Sun Nov  8 05:31:05 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Uh..*glances at Tetsumi* - Sun Nov  8 05:31:05 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Where did we leave off at? - Sun Nov  8 05:31:56 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Oh... - Sun Nov  8 05:31:56 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Umm... well.. The begining? - Sun Nov  8 05:32:48 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Ehehe...*nervous laugh* - Sun Nov  8 05:33:39 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Trilliam is no enemy. - Sun Nov  8 05:34:30 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: ..... - Sun Nov  8 05:34:30 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: You are more of an enemy then trilliam is. - Sun Nov  8 05:34:30 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Iza...now, now. Yoko is obviously new around here and she doesn't realize the situation surrounding why Trilliam is going away. - Sun Nov  8 05:35:21 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Trilliam messed up, but he's not a bad guy. - Sun Nov  8 05:35:21 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: He just made a mistake he has to atone for. - Sun Nov  8 05:35:21 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: What's going on here now? - Sun Nov  8 05:36:12 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: DEEZNUTS - Sun Nov  8 05:36:12 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Nothing special. - Sun Nov  8 05:36:12 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: -omit- - Sun Nov  8 05:36:12 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ....*cough* - Sun Nov  8 05:36:12 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: *Football Punts Izanami* - Sun Nov  8 05:37:04 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: -omit- - Sun Nov  8 05:37:04 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Fujitora. It's been a while since I've asked for something like this, but I would like you to teach me your genjutsu interrogation technique. - Sun Nov  8 05:37:04 2015
<br><br><font color=teal>*Yoko(Dark_Kadaj12) thinks: For a criminal, they were lax about detaining him.  - Sun Nov  8 05:37:04 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: oh. - Sun Nov  8 05:37:04 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Oh* - Sun Nov  8 05:37:04 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hm? Of course.. - Sun Nov  8 05:37:04 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Seems like I am naked. - Sun Nov  8 05:37:04 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: I found a really cool mask. - Sun Nov  8 05:38:46 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Whenever you are ready, then. - Sun Nov  8 05:41:20 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Grandpa. - Sun Nov  8 06:42:46 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Why is trilliam in jail? - Sun Nov  8 06:42:46 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Ah... I suppose he's napping.. - Sun Nov  8 08:09:48 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Alright. Let's go chatter in the mansion. It's close. - Sun Nov  8 10:10:59 2015
<br><br><font color=teal>*Lera(Bailey42) says: Come Sanoke. - Sun Nov  8 10:10:59 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I mean at that place.. - Sun Nov  8 10:11:50 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) whispers: Hey. - Sun Nov  8 10:39:08 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) whispers: What's that giant thing on your back? - Sun Nov  8 10:39:08 2015
<br><br><font color=teal>*Mashai(Novaraven747) says: Hmm me? - Sun Nov  8 10:40:00 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yeah. - Sun Nov  8 10:40:51 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Oh. But why is it so big? - Sun Nov  8 10:41:42 2015
<br><br><font color=teal>*Mashai(Novaraven747) says: ... - Sun Nov  8 10:42:33 2015
<br><br><font color=teal>*Mashai(Novaraven747) thinks: How childish.. - Sun Nov  8 10:42:33 2015
<br><br><font color=teal>*Mashai(Novaraven747) says: It's about the same height as me. It's like that for... A Specific Purpose. - Sun Nov  8 10:44:16 2015
<br><br><font color=teal>*Mashai(Novaraven747) thinks: That reminds me.. I'll need to fit Takuro out with an outer shell that looks like me at somepoint..  - Sun Nov  8 10:49:23 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: C'moonn! - Sun Nov  8 10:53:39 2015
<br><br><font color=teal>*Mashai(Novaraven747) says: Nope. - Sun Nov  8 10:54:30 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: But why, though? - Sun Nov  8 10:56:12 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Bah, whatever. I'm going to assume that it's just some secret battle style. - Sun Nov  8 10:57:55 2015
<br><br><font color=teal>*Mashai(Novaraven747) thinks: Hmm... he isn't far off, I'll give him that. - Sun Nov  8 10:57:55 2015
<br><br><font color=teal>*Mashai(Novaraven747) says: Well. You'll just have to find out. - Sun Nov  8 11:00:28 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: What's your name, guy? - Sun Nov  8 11:00:28 2015
<br><br><font color=teal>*Mashai(Novaraven747) says: Mashai. - Sun Nov  8 11:11:34 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hrm. Mashai, my name is Sanoke. You've gotten my interest. - Sun Nov  8 11:14:08 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Someday you and I should spar? - Sun Nov  8 11:14:08 2015
<br><br><font color=teal>*Mashai(Novaraven747) says: Sure. Someday. - Sun Nov  8 11:20:57 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Right. Maybe later in the day. - Sun Nov  8 11:32:54 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I need to go practice my techniques. To be ready for the Private exams. - Sun Nov  8 11:33:45 2015
<br><br><font color=teal>*Kurt(Zygman) says: Mhm. - Sun Nov  8 14:34:40 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Damn, hocus pocus XD - Sun Nov  8 16:21:20 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: u-umm...does it d-disturb you when you t-try? - Sun Nov  8 16:29:00 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Disturb me when I try?  - Sun Nov  8 16:29:52 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: so umm s-sleep - Sun Nov  8 16:32:25 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: to' - Sun Nov  8 16:32:25 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Oh yea... Kinda. I can't really lay down on my belly like I want to. Plus it's.. Just in the way.. Plus some other events around like surgery's I have to do and such. Makes me exhausted. - Sun Nov  8 16:34:59 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: t-they make y-you do s-surgery? - Sun Nov  8 16:35:50 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: isnt there a-any else...c-capable of s-such a thing? - Sun Nov  8 16:36:41 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: There is nobody else for as far as I know.  - Sun Nov  8 16:37:32 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: w-what about b-bryson? - Sun Nov  8 16:38:24 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I don't know if he is skilled enough yet. Perhaps he is. But then he didn't tell me yet. - Sun Nov  8 16:39:15 2015
<br><br><font color=teal>*Lera(Bailey42) says: Hello Yan. - Sun Nov  8 16:50:20 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: How are ya, Lera? It's good to see you back... - Sun Nov  8 16:51:12 2015
<br><br><font color=teal>*Lera(Bailey42) says: I'm...actually pretty good. - Sun Nov  8 16:52:54 2015
<br><br><font color=teal>*Lera(Bailey42) says: Thanks. - Sun Nov  8 16:52:54 2015
<br><br><font color=teal>*Lera(Bailey42) says: Yourself? - Sun Nov  8 16:52:54 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Eh, I'm doing good. I am a little hung over from a night of drinking but I enjoyed myself. - Sun Nov  8 16:53:45 2015
<br><br><font color=teal>*Remy(SS2015) says: . . . - Sun Nov  8 16:54:36 2015
<br><br><font color=teal>*Lera(Bailey42) says: Good. - Sun Nov  8 16:54:36 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Oh there you are Yan. - Sun Nov  8 16:54:36 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Hey Chikyu. - Sun Nov  8 16:54:36 2015
<br><br><font color=teal>*Lera(Bailey42) says: You and me both. - Sun Nov  8 16:55:28 2015
<br><br><font color=teal>*Lera(Bailey42) says: Mind if I watch? - Sun Nov  8 17:05:42 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I don't see why not. Everyone watches spars. - Sun Nov  8 17:06:33 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I won't be showing anything particularly secret...not that I really have anything. heh. - Sun Nov  8 17:06:33 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: o-oh...thats right - Sun Nov  8 17:13:23 2015
<br><br><font color=teal>*Hanae(Ej900) thinks: ... - Sun Nov  8 17:16:48 2015
<br><br><font color=teal>*Hanae(Ej900) thinks: Well I guess I'm just a shadow to them now. - Sun Nov  8 17:17:39 2015
<br><br><font color=teal>*Remy(SS2015) thinks: A-Are they ignoring her because of me? - Sun Nov  8 17:19:21 2015
<br><br><font color=teal>*Hanae(Ej900) says: Evening Zen and miss Dissida. - Sun Nov  8 17:26:11 2015
<br><br><font color=teal>*Hanae(Ej900) thinks: Ignoring me..Your punishment is going to be very, very fun. - Sun Nov  8 17:27:02 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: How are you.  - Sun Nov  8 17:31:18 2015
<br><br><font color=teal>*Hanae(Ej900) says: I'm doing great never been better. - Sun Nov  8 17:32:09 2015
<br><br><font color=teal>*Hanae(Ej900) says: How are you? - Sun Nov  8 17:33:00 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Tired as hell.  - Sun Nov  8 17:33:00 2015
<br><br><font color=teal>*Hanae(Ej900) says: Been busy? - Sun Nov  8 17:33:52 2015
<br><br><font color=teal>*Hanae(Ej900) says: Or just tired because of the child? - Sun Nov  8 17:34:43 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Both. - Sun Nov  8 17:34:43 2015
<br><br><font color=teal>*Hanae(Ej900) says: Well maybe you should get some rest. - Sun Nov  8 17:37:16 2015
<br><br><font color=teal>*Hanae(Ej900) says: Take a few days to relax. - Sun Nov  8 17:37:16 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Can't. - Sun Nov  8 17:37:16 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: ... - Sun Nov  8 17:38:59 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) thinks: Nanananananananananana Batmannnn.... - Sun Nov  8 17:38:59 2015
<br><br><font color=teal>*Hanae(Ej900) says: For someone who hates there job...You sure do push your self to do it. - Sun Nov  8 17:39:50 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I have to.  - Sun Nov  8 17:39:50 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Uhhhm.. - Sun Nov  8 17:39:50 2015
<br><br><font color=teal>*Hanae(Ej900) says: I mean you could all ways refuse. - Sun Nov  8 17:39:50 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) thinks: N-Need to make friends..hmm.. - Sun Nov  8 17:41:32 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Uhhhmm.. - Sun Nov  8 17:43:15 2015
<br><br><font color=teal>*Hanae(Ej900) says: So quiet around here. - Sun Nov  8 17:43:15 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Mmmh..  - Sun Nov  8 17:43:15 2015
<br><br><font color=teal>*Hanae(Ej900) says: Oh they should really host a party. - Sun Nov  8 17:43:15 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Host one. I would say. - Sun Nov  8 17:44:06 2015
<br><br><font color=teal>*Hanae(Ej900) says: No way. - Sun Nov  8 17:44:06 2015
<br><br><font color=teal>*Hanae(Ej900) says: Not spending my ryo. - Sun Nov  8 17:44:06 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-You could..u-uhm...have a p-picnic..or..uhm.. - Sun Nov  8 17:44:57 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Host...a...uhm...e-eating..party..t-thing at a..r-restaurant.. - Sun Nov  8 17:44:57 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: -omit- - Sun Nov  8 17:46:40 2015
<br><br><font color=teal>*Hanae(Ej900) thinks: Honey bun...Rrr now I want one. - Sun Nov  8 17:47:31 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) thinks: I like fluffy honey buns.. - Sun Nov  8 17:48:22 2015
<br><br><font color=teal>*Hanae(Ej900) thinks: One thing about zenaki having a kid is...Her honey cave wont be the same any more. -sighs- - Sun Nov  8 17:49:13 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Mmm... - Sun Nov  8 17:50:04 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Mmmm.. - Sun Nov  8 18:04:35 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Mmm...uhm.. - Sun Nov  8 18:08:00 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: U-Uhmm.. - Sun Nov  8 18:08:00 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Little-Sensei. - Sun Nov  8 18:30:11 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Is it time to train? - Sun Nov  8 18:30:11 2015
<br><br><font color=teal>*Hanae(Ej900) says: So how far along are you? - Sun Nov  8 18:33:36 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: A bit longer.. Then five months.  - Sun Nov  8 18:34:27 2015
<br><br><font color=teal>*Hanae(Ej900) says: Oh wow. - Sun Nov  8 18:36:09 2015
<br><br><font color=teal>*Hanae(Ej900) says: So you got a few more months to go. - Sun Nov  8 18:36:09 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Mhm..  - Sun Nov  8 18:36:09 2015
<br><br><font color=teal>*Hanae(Ej900) says: Thats good to know. - Sun Nov  8 18:36:09 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Oh..? - Sun Nov  8 18:37:52 2015
<br><br><font color=teal>*Hanae(Ej900) says: I can't wait to see what they look like. - Sun Nov  8 18:37:52 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Mhm.. - Sun Nov  8 18:37:52 2015
<br><br><font color=teal>*Hanae(Ej900) says: Help them grow up to be big and strong.. - Sun Nov  8 18:37:52 2015
<br><br><font color=teal>*Hanae(Ej900) says: -chuckles- - Sun Nov  8 18:37:52 2015
<br><br><font color=teal>*Hanae(Ej900) thinks: been a long time since I tortured a child..ever since the good old konoha raid days. - Sun Nov  8 18:38:43 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: Does anyone know...Where I can find the one known as Muhhamed? - Sun Nov  8 18:39:34 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I don't.. Need your help with them...  - Sun Nov  8 18:39:34 2015
<br><br><font color=teal>*Hanae(Ej900) says: Oh why can't I help? - Sun Nov  8 18:40:25 2015
<br><br><font color=teal>*Hanae(Ej900) says: I think I'm great with kids. - Sun Nov  8 18:40:25 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: If you can't be great with their mom. Why will you be great with the children? - Sun Nov  8 18:40:25 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: i-i believe....its the p-pride of a m-mother... - Sun Nov  8 18:41:16 2015
<br><br><font color=teal>*Remy(SS2015) says: . . . - Sun Nov  8 18:42:59 2015
<br><br><font color=teal>*Hanae(Ej900) says: . . . - Sun Nov  8 18:43:50 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) thinks: This black chick's a creep. - Sun Nov  8 18:45:32 2015
<br><br><font color=teal>*Hanae(Ej900) says: Remy you can come on over. - Sun Nov  8 18:48:57 2015
<br><br><font color=teal>*Hanae(Ej900) says: Stop being so distance..I want you to meet someone. - Sun Nov  8 18:49:48 2015
<br><br><font color=teal>*Remy(SS2015) says: H-Huh? - Sun Nov  8 18:49:48 2015
<br><br><font color=teal>*Remy(SS2015) says: B-But. . . - Sun Nov  8 18:50:40 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Husband already huh? - Sun Nov  8 18:50:40 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: you guys sure go quick. - Sun Nov  8 18:50:40 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: When are you two going to have kids? - Sun Nov  8 18:51:31 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: .... - Sun Nov  8 18:52:22 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: I've seen you before... - Sun Nov  8 18:52:22 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: Kirigakure? - Sun Nov  8 18:52:22 2015
<br><br><font color=teal>*Lera(Bailey42) says: Yes - Sun Nov  8 18:52:22 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: I see. - Sun Nov  8 18:53:13 2015
<br><br><font color=teal>*Hanae(Ej900) says: -chuckles- - Sun Nov  8 18:54:04 2015
<br><br><font color=teal>*Hanae(Ej900) says: I rather not have them. - Sun Nov  8 18:54:04 2015
<br><br><font color=teal>*Hanae(Ej900) says: and Come on remy! - Sun Nov  8 18:54:04 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: Do you know where, The Kazekage might be? - Sun Nov  8 18:54:04 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Why did they put a nice rug like that on the dirty ground? - Sun Nov  8 18:54:04 2015
<br><br><font color=teal>*Lera(Bailey42) says: Sleeping in his office ususally. - Sun Nov  8 18:54:56 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: I see.. - Sun Nov  8 18:54:56 2015
<br><br><font color=teal>*Remy(SS2015) says: . . . - Sun Nov  8 18:54:56 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Mmm. - Sun Nov  8 18:55:47 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Hi l-lera.. - Sun Nov  8 18:57:29 2015
<br><br><font color=teal>*Lera(Bailey42) says: Hello Momura - Sun Nov  8 18:57:29 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) thinks: Red Hair? And she's stuttering. - Sun Nov  8 18:57:29 2015
<br><br><font color=teal>*Hanae(Ej900) says: Remy come on littel closer. - Sun Nov  8 18:57:29 2015
<br><br><font color=teal>*Hanae(Ej900) says: Don't you want to sit in my lap. - Sun Nov  8 18:57:29 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Uhm..I-I've been training a lot.. - Sun Nov  8 18:57:29 2015
<br><br><font color=teal>*Lera(Bailey42) says: Have you now. - Sun Nov  8 18:57:29 2015
<br><br><font color=teal>*Lera(Bailey42) says: Good. - Sun Nov  8 18:57:29 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-Yea. - Sun Nov  8 18:57:29 2015
<br><br><font color=teal>*Lera(Bailey42) says: Apologies though, no time to talk...someone i've been waiting for  has just arrived. - Sun Nov  8 18:58:20 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Oh.. - Sun Nov  8 18:58:20 2015
<br><br><font color=teal>*Lera(Bailey42) says: Kuro? - Sun Nov  8 18:58:20 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: Eh...Momura was it? - Sun Nov  8 18:58:20 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Yo. - Sun Nov  8 18:58:20 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Huh? - Sun Nov  8 18:59:12 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: What does one do for fun here? - Sun Nov  8 18:59:12 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: *Shrugs* - Sun Nov  8 18:59:12 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: I'm _____ - Sun Nov  8 18:59:12 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: And you are? - Sun Nov  8 18:59:12 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: ... - Sun Nov  8 18:59:12 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: I see. - Sun Nov  8 19:00:03 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: Do you know when the Kazekage is usualyl around? - Sun Nov  8 19:00:03 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: usually* - Sun Nov  8 19:00:03 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Oh are you .. - Sun Nov  8 19:00:03 2015
<br><br><font color=teal>*Remy(SS2015) says: . . . - Sun Nov  8 19:00:54 2015
<br><br><font color=teal>*Lera(Bailey42) says: Hello, can we go talk privately for a mo? Got something I need to ask you. - Sun Nov  8 19:00:54 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) thinks: Ohhh..they know eachother.. - Sun Nov  8 19:00:54 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: U-Uhm.. - Sun Nov  8 19:00:54 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: N-Nope.. - Sun Nov  8 19:00:54 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: I don't see why not. - Sun Nov  8 19:00:54 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: Are you nervous? - Sun Nov  8 19:00:54 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Kazekage-San u-usually uhm..I dunno.. - Sun Nov  8 19:00:54 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: N-Nope. - Sun Nov  8 19:00:54 2015
