<br><font color=teal>*Asteroth(Lordlol45) says: Beat it. - Tue Nov  3 09:58:36 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: No..that won't work.. - Sun Nov  8 09:39:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Sickly Shinobi? - Sun Nov  8 09:39:24 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: You're not a shinobi, though.. - Sun Nov  8 09:39:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: The Loveable Lookout. - Sun Nov  8 09:39:24 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Mm. Close. But change 'Loveable' with 'Hateable.' - Sun Nov  8 09:40:16 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I have your title! - Sun Nov  8 09:40:16 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: The Hateable Harlot! - Sun Nov  8 09:40:16 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: For only two easy payments of five hundred yen. You can lie with the one and only Harlot that you just 'love' to hate! - Sun Nov  8 09:41:58 2015
<br><br><font color=yellow>*Asteroth(Lordlol45) has had enough of his shit.

She takes her staff, and slams it from right to left -- like a baseball bat. The goal is to crash onto Nigen's ribs.

"How about. . . the Dumb Deviant? Since you're so freaking stupid. . ."* - Sun Nov  8 09:41:58 2015
<br><br><font color=yellow>*Asteroth(Lordlol45) the staff us caught.

She takes offense to the belittlement of her skills.

Quickly, a leg rises, intent on ramming onto Nigen's chest. "It works. . . Perfect description of you!"* - Sun Nov  8 09:46:14 2015
<br><br><font color=yellow>*Asteroth(Lordlol45) ||She misses again, with ease too.

A nasty growl escapes her voice, as the staff is again gripped. Clearly, the woman had every intention of continuing until her game of Pinata had proven fruitful. 

As both arms winded back for another strike, Asteroth catches wind of the visitors, swiftly putting the tirade of pause. "Oi. . . How can I help you two?"* - Sun Nov  8 09:58:11 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Oh please, don't mind us. - Sun Nov  8 09:59:02 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: We're mere spectators of.. whatever this is. - Sun Nov  8 09:59:02 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Sun Nov  8 09:59:53 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: H-..help! - Sun Nov  8 10:00:44 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I-..I'm just a feeble priest! - Sun Nov  8 10:00:44 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: This bea--woman.. has been trying to force me into marriage for the longest! - Sun Nov  8 10:01:36 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I try to tell her that I'm a man of the cloth, but she just won't take a hint. - Sun Nov  8 10:01:36 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Sun Nov  8 10:04:09 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I try to tell my wife to clean herself up.. - Sun Nov  8 10:05:00 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: She never listens.. - Sun Nov  8 10:05:00 2015
<br><br><font color=yellow>*Asteroth(Lordlol45) facepalms with a grunt.

"I'm not your wife, 'Heathen.'"* - Sun Nov  8 10:05:52 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Thank the gods.. - Sun Nov  8 10:06:43 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Well..you see.. - Sun Nov  8 10:06:43 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: If this woman over here was worthy of being called my 'wife' she'd definitely have to wear panties. - Sun Nov  8 10:07:34 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'm not running a whore house.. - Sun Nov  8 10:07:34 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) thinks: Not here at least.. - Sun Nov  8 10:08:25 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: This relationship is abusive to say the least. - Sun Nov  8 10:08:25 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I told her that I was going to see a friend. - Sun Nov  8 10:09:16 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Immediately she wanted to know who... - Sun Nov  8 10:09:16 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: WOE! I say WOE is I.. - Sun Nov  8 10:09:16 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: It wasn't as if they were a thing.. - Sun Nov  8 10:10:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: So what if it was a pretty attractive woman? - Sun Nov  8 10:10:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: If I wanted to look at this thing all day.. - Sun Nov  8 10:10:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I wouldn't have become a priest. - Sun Nov  8 10:10:59 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Isn't that right, Sweetie?~ - Sun Nov  8 10:10:59 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Fickle-chan gets a little bit shy. - Sun Nov  8 10:11:50 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Slither-kun..how are you feeling? - Sun Nov  8 10:11:50 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ..... - Sun Nov  8 10:11:50 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Don't. . .Call me sweety. - Sun Nov  8 10:12:41 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Anywho. This is another one of your friends? - Sun Nov  8 10:12:41 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Oh..sorry.. - Sun Nov  8 10:12:41 2015
<br><br><font color=yellow>*Asteroth(Lordlol45) moves to take a step back.

". . .Hopefully they aren't as. . . unruly as the last."* - Sun Nov  8 10:13:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I meant to call you.."Sweatie". - Sun Nov  8 10:13:32 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Urge to hit you. . - Sun Nov  8 10:13:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Eh.. - Sun Nov  8 10:13:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Abuse.. - Sun Nov  8 10:13:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Slither-kun..your silence scares me. - Sun Nov  8 10:14:24 2015
<br><br><font color=yellow>*Asteroth(Lordlol45) routinely folds her arms.

"Evening," Asteroth states plainly. Her back leaning against the oddly cleaned fencings.* - Sun Nov  8 10:16:57 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm..?~ - Sun Nov  8 10:19:31 2015
<br><br><font color=yellow>*Asteroth(Lordlol45) nods.

At least someone knew how to address royalty. "I see. And what brings you here? I dont' believe Kirigakure is in danger anymore. . Is it?"

She gives an annoyed glance to Nigen for a second. What was with him and harrassing guest? "Also. . . Feel free to ignore my jester."* - Sun Nov  8 10:20:22 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Sun Nov  8 10:21:13 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Isn't that right, Sweaty?~ - Sun Nov  8 10:22:56 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: I suppose. Despite your overwhelming ignorance, you bring a level of entertainment. - Sun Nov  8 10:23:47 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: And I see. Well make yourself at home in Amegakure. - Sun Nov  8 10:23:47 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: So! - Sun Nov  8 10:25:29 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Thank you, ma'am. Are you... the leader of this village? - Sun Nov  8 10:25:29 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: My wife tends to act like she's the leader. - Sun Nov  8 10:25:29 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: -- The Queen, yes. - Sun Nov  8 10:25:29 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: She's actually quite crazy. - Sun Nov  8 10:25:29 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Sick.. - Sun Nov  8 10:25:29 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Because I am. - Sun Nov  8 10:25:29 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: -- No.I -am- the leader. - Sun Nov  8 10:25:29 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Our leader is a man by the name of Ichiro. - Sun Nov  8 10:26:20 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: . . . - Sun Nov  8 10:26:20 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Don't make me hit you again. - Sun Nov  8 10:26:20 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: So abusive.. - Sun Nov  8 10:26:20 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ... - Sun Nov  8 10:26:20 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I am Owari Haijmari. - Sun Nov  8 10:26:20 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Owari Haijmari.. - Sun Nov  8 10:26:20 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: So..~ - Sun Nov  8 10:27:12 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: What do you like, Owari-chan? - Sun Nov  8 10:27:12 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ... - Sun Nov  8 10:28:03 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Silence? - Sun Nov  8 10:28:03 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: The name is Asteroth. - Sun Nov  8 10:28:03 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: This fool besides me is known as 'Sado.' - Sun Nov  8 10:28:03 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: It is a pleasure to meet you, Queen Asteroth. - Sun Nov  8 10:28:54 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Heh.~ - Sun Nov  8 10:28:54 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You're quite fiesty. - Sun Nov  8 10:28:54 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Am I? - Sun Nov  8 10:29:45 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: If I wasn't married, I'd have to watch myself around you. - Sun Nov  8 10:29:45 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Maybe it's the haircut. - Sun Nov  8 10:29:45 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Luckily, I'm fine with such energy. - Sun Nov  8 10:29:45 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: It's better than what I normally have to put up with. - Sun Nov  8 10:30:36 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Come, Owari-chan.. - Sun Nov  8 10:33:10 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I have something to ask you.. - Sun Nov  8 10:33:10 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Ask away then. - Sun Nov  8 10:33:10 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: W-..would you free a feeble and innocent priest from the evil clutches of a crazed beast? - Sun Nov  8 10:34:01 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: if that priest were truley innocent.... maybe. - Sun Nov  8 10:34:01 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Course then, maybe I don't care about anyone but myself. - Sun Nov  8 10:34:01 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Really?~ - Sun Nov  8 10:34:52 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: That's quite beautiful. - Sun Nov  8 10:34:52 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: So you don't have anyone to care about? - Sun Nov  8 10:35:44 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Why should I? That's a shinobi's life. - Sun Nov  8 10:35:44 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I see.. - Sun Nov  8 10:36:35 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Are you sure that isn't just because you're afraid of opening up? - Sun Nov  8 10:37:26 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: You're asking a lot of personal questions, you know. - Sun Nov  8 10:38:17 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ...I have no issue with opening up. - Sun Nov  8 10:38:17 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Is that so? - Sun Nov  8 10:38:17 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ...mn. - Sun Nov  8 10:40:00 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Do tell.. - Sun Nov  8 10:40:00 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: What's your stance on trust? - Sun Nov  8 10:40:51 2015
<br><br><font color=teal>*Asteroth(Lordlol45) thinks: He's such a chatter box. - Sun Nov  8 10:40:51 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I can't trust. - Sun Nov  8 10:40:51 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: My wife over here is a full on chatter box. I can never get her to stop talking.-- - Sun Nov  8 10:41:42 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Why is that? - Sun Nov  8 10:41:42 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ...I just can't. - Sun Nov  8 10:41:42 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Maybe it was because someone betrayed you at one point in your life? - Sun Nov  8 10:41:42 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Could it be that someone in your life was taken from you by a group that you trusted... - Sun Nov  8 10:42:33 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Shinobi can be cruel. - Sun Nov  8 10:42:33 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: No. - Sun Nov  8 10:42:33 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: You will never guess why I don't trust. - Sun Nov  8 10:42:33 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Don't worry, Owari-chan. - Sun Nov  8 10:43:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I have no problem with you not being able to trust. - Sun Nov  8 10:43:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: In-fact, I applaud you for it. - Sun Nov  8 10:43:24 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I'm sure you do. - Sun Nov  8 10:45:07 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Owari-chan...you're so nice to me. - Sun Nov  8 10:45:07 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Already you're better than Fickle-chan! - Sun Nov  8 10:45:58 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: . . . - Sun Nov  8 10:45:58 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I am nice to everyone, Sado. - Sun Nov  8 10:45:58 2015
<br><br><font color=yellow>*Asteroth(Lordlol45) ||She takes the staff once more.

With a twirl, the wooden object swings, intent on catching Nigen ontop of his cranium.* - Sun Nov  8 10:46:49 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: You should know how to address royalty by now, Sado.. - Sun Nov  8 10:46:49 2015
<br><br><font color=teal>*Asteroth(Lordlol45) thinks: He's getting too good at evading. Maybe I really should get a new weapon.. - Sun Nov  8 10:46:49 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Let's see..I should give you a nickname.. - Sun Nov  8 10:49:23 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Fiesty-chan.. - Sun Nov  8 10:49:23 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: How original. - Sun Nov  8 10:50:14 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Fine.. - Sun Nov  8 10:52:48 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Let's see..everyone's so difficult.. - Sun Nov  8 10:52:48 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Isn't that the fun in it? - Sun Nov  8 10:53:39 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You have trust issues, you're feisty... - Sun Nov  8 10:54:30 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Everything about that is beautiful.. - Sun Nov  8 10:54:30 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I'm sweet. - Sun Nov  8 10:54:30 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Fickle-chan..what do you think? - Sun Nov  8 10:55:21 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Have a great fucking haircut. - Sun Nov  8 10:55:21 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Ha! - Sun Nov  8 10:55:21 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Terrible name. - Sun Nov  8 10:55:21 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: So jealous.. - Sun Nov  8 10:55:21 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Quit trying to make me jealous. I don't care who you show affection too. - Sun Nov  8 10:56:12 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Let's call you, "End"-chan. - Sun Nov  8 10:57:04 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Trying to make you jealous? - Sun Nov  8 10:57:04 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You already are jealous. - Sun Nov  8 10:57:04 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: .... - Sun Nov  8 10:57:04 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: . . .I'm the complete opposite of that. - Sun Nov  8 10:57:55 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: You know the meaning of my name, then. - Sun Nov  8 10:57:55 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) thinks: squinted. - Sun Nov  8 10:57:55 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm..?~ - Sun Nov  8 10:58:46 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Whatever do you mean..?~ - Sun Nov  8 10:58:46 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: That's the meaning of. . 'Owari'? - Sun Nov  8 10:59:37 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Yes.. - Sun Nov  8 10:59:37 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: It's lovely! - Sun Nov  8 10:59:37 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Odd. - Sun Nov  8 10:59:37 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says:  "To End"..what is ending? - Sun Nov  8 10:59:37 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ... - Sun Nov  8 10:59:37 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Nothing. - Sun Nov  8 10:59:37 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Maybe it is her faith in mankind..? - Sun Nov  8 10:59:37 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: It could always be something else. - Sun Nov  8 11:00:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Tell us..End-chan.. - Sun Nov  8 11:00:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: What is ending..? - Sun Nov  8 11:00:28 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Don't call me that.... - Sun Nov  8 11:00:28 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: He gains satisfaction from you disliking his silly names.. - Sun Nov  8 11:01:20 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Perhaps if you embrace it, he will think different. - Sun Nov  8 11:01:20 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) thinks: None of the other's bothered me. - Sun Nov  8 11:01:20 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Isn't it ...not a nickname if you are just calling me the English version of my true name? - Sun Nov  8 11:02:11 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: It's a nickname.. - Sun Nov  8 11:02:11 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: For now.. - Sun Nov  8 11:03:02 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: It's kind of lame. - Sun Nov  8 11:03:02 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: As for my..'significant other'.. - Sun Nov  8 11:03:02 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: --- - Sun Nov  8 11:03:02 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .... - Sun Nov  8 11:03:02 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) thinks: Lame? - Sun Nov  8 11:03:02 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) thinks: Heathen..? - Sun Nov  8 11:03:02 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: W-..what did she say? - Sun Nov  8 11:03:53 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: You put zero effort into it, sort of sloppy. I'm unimpressed. - Sun Nov  8 11:03:53 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: U-..ugh. - Sun Nov  8 11:03:53 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: W-..what is this feeling..? - Sun Nov  8 11:03:53 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Fickle-chan..what did she say.... - Sun Nov  8 11:03:53 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I don't think I heard it quite right.. - Sun Nov  8 11:04:44 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: It was lame. - Sun Nov  8 11:04:44 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: H-..heh. - Sun Nov  8 11:06:27 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: . . . - Sun Nov  8 11:06:27 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: What? It was. - Sun Nov  8 11:06:27 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: I told you, your names are terrible. - Sun Nov  8 11:06:27 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Great! - Sun Nov  8 11:06:27 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Not accepting just anything.. - Sun Nov  8 11:06:27 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Unlike this harlot next to me.. - Sun Nov  8 11:06:27 2015
<br><br><font color=teal>*Asteroth(Lordlol45) thinks: Why. . am I respondingto Fickle-chan? - Sun Nov  8 11:06:27 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You're just full of surprises. - Sun Nov  8 11:06:27 2015
<br><br><font color=yellow>*Asteroth(Lordlol45) 's right hand curls into a fist.

She shuts her eyes, brow quivering in aggitation.* - Sun Nov  8 11:07:18 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Let's see.. - Sun Nov  8 11:08:09 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Prophets tend to be full of surprises.. - Sun Nov  8 11:09:00 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: They can also foresee the end of certain things. - Sun Nov  8 11:09:00 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You're bright..and I like that.. - Sun Nov  8 11:09:52 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: So! - Sun Nov  8 11:09:52 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: We'll go with "Shine"-chan. - Sun Nov  8 11:09:52 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Or. . Or. - Sun Nov  8 11:10:43 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Just call her by her damn name. - Sun Nov  8 11:10:43 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: It's not hard. - Sun Nov  8 11:10:43 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Are you sure that's the best name? - Sun Nov  8 11:11:34 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Yes. - Sun Nov  8 11:11:34 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Maybe The End my name entails is a sollumn one. - Sun Nov  8 11:11:34 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: No..no.. - Sun Nov  8 11:11:34 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: This is the best name. - Sun Nov  8 11:11:34 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Did you not catch my surname? - Sun Nov  8 11:11:34 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Don't listen to this filthy heathen next to me. - Sun Nov  8 11:12:25 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm? - Sun Nov  8 11:12:25 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Nope. - Sun Nov  8 11:12:25 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Hajimari. - Sun Nov  8 11:12:25 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm.. - Sun Nov  8 11:12:25 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'm sure you'd want to reveal the meaning to that.~ - Sun Nov  8 11:13:16 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I'm sure you can figure it out if you already knew my first name's meaning. - Sun Nov  8 11:13:16 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Heh. - Sun Nov  8 11:14:59 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: That is assuming that my nickname doesn't have a deeper meaning. - Sun Nov  8 11:15:50 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Shine-chan.. - Sun Nov  8 11:17:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I can't suggest staying around Fickle-chan. - Sun Nov  8 11:17:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: She'll corrupt you. - Sun Nov  8 11:17:32 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: That's assuming I'm not already corrupted. - Sun Nov  8 11:17:32 2015
<br><br><font color=teal>*Asteroth(Lordlol45) thinks: . . Not yet. I lack the ability. - Sun Nov  8 11:17:32 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: I am a saint. - Sun Nov  8 11:17:32 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Believe nothing that comes from this demon's mouth.. - Sun Nov  8 11:18:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: A saint?! - Sun Nov  8 11:18:24 2015
