<br><font color=teal>*Rokujou, Kida(Shiziru101) says: Say what? - Fri Nov 27 00:59:18 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Man, that sucks. - Fri Nov 27 08:21:20 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I know the feeling. It happened to me when I was in Kiri.  Everyone were focusing on ninjutsu. - Fri Nov 27 08:22:11 2015
<br><br><font color=yellow>*Rokujou, Kida(Shiziru101) was knocked onto the ground, and rolled around a bit.  He was in the nude, so his member fluttered about.  He quickly got up onto his feet and noticed clothing by his feet. He lowered himself and grabbed ahold of the first article, which just so happened to be his draws.  He placed them on, looking over at Shiro. 

"You didn't have to toss me off," he muttered. * - Fri Nov 27 08:24:44 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: I never recalled signing a contract to be super gentle to you, Kida.~ - Fri Nov 27 08:29:00 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Can you pass me my clothes? - Fri Nov 27 08:29:00 2015
<br><br><font color=yellow>*Rokujou, Kida(Shiziru101) shrugged his shoulders. "Well, I knew what I was gettng myself into," he casually spoke, leaning down to grab ahold of Shiro's scattered clothing.  He'd toss her clothes over in her direction, choosing himself to remain in his draws. * - Fri Nov 27 08:30:43 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I told you. As if I could rub one out with bears and other animals around. - Fri Nov 27 08:36:41 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: That's weird. - Fri Nov 27 08:37:32 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: ...Fuckin' christ dude.... - Fri Nov 27 08:40:57 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: I hate you. - Fri Nov 27 08:40:57 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: And love you at the same time. - Fri Nov 27 08:40:57 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: So we need to find Master Sado at Kirigakure. - Fri Nov 27 08:41:48 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: But. - Fri Nov 27 08:41:48 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Before we do that. - Fri Nov 27 08:41:48 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: You said something about a Pikachu. - Fri Nov 27 08:41:48 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Or a Kyubichu. - Fri Nov 27 08:41:48 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: .... - Fri Nov 27 08:42:40 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Oh right. - Fri Nov 27 08:42:40 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: That's the guy whose tongue that was. - Fri Nov 27 08:42:40 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I had ti for a while, then tossed it back in Kumo. - Fri Nov 27 08:42:40 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: It's the guy we were going to gang up on. - Fri Nov 27 08:42:40 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: ...You tossed it? - Fri Nov 27 08:44:22 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Tch... - Fri Nov 27 08:44:22 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: It was decomposed. - Fri Nov 27 08:45:13 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: I could've used that... - Fri Nov 27 08:45:13 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I couldn't preserve it.  - Fri Nov 27 08:45:13 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: High in proteins and fat. - Fri Nov 27 08:45:13 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: You would have gotten sick. - Fri Nov 27 08:46:04 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I swore part of it was falling off. - Fri Nov 27 08:46:04 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Nah. - Fri Nov 27 08:46:04 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: I'm godly. - Fri Nov 27 08:46:04 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: I'd be fine. - Fri Nov 27 08:46:04 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: If you say so. - Fri Nov 27 08:46:04 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Oh? - Fri Nov 27 08:48:38 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Since when did Ichiro become a cannibal? - Fri Nov 27 08:48:38 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: No wonder you're so built. - Fri Nov 27 08:48:38 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Take one from Ichiro's book, Kida. - Fri Nov 27 08:48:38 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Start feasting on people. - Fri Nov 27 08:48:38 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Maybe I'll start with you~. - Fri Nov 27 08:50:20 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: This is the first I'm hearing about him being a cannibal. - Fri Nov 27 08:51:12 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Yeah. - Fri Nov 27 08:51:12 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Totally. - Fri Nov 27 08:51:12 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: You just try to eat me.... - Fri Nov 27 08:52:03 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: If anything you'll be having me eat you. - Fri Nov 27 08:52:03 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Now then. - Fri Nov 27 08:52:03 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Let's talk about things that jeopardize you guys internationally. - Fri Nov 27 08:52:03 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Anyone that may compromise you guys? - Fri Nov 27 08:52:03 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: That Kyubishu guy. He's the only one we attacked. - Fri Nov 27 08:54:36 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I mean, I tore his tongue out, I should have ripped his arms off too. - Fri Nov 27 08:55:28 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Mmkay. - Fri Nov 27 08:57:10 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: So he's alive. - Fri Nov 27 08:57:10 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: And knows you guys. - Fri Nov 27 08:57:10 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Yep. - Fri Nov 27 08:57:10 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: But he can't talk since you yanked his fucking tongue out. - Fri Nov 27 08:57:10 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: He could write though, right? - Fri Nov 27 08:57:10 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Yeah. - Fri Nov 27 08:57:10 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: He's in Kirigakure?? - Fri Nov 27 08:57:10 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Last I saw. - Fri Nov 27 08:57:10 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: I see. - Fri Nov 27 08:58:01 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Then we must go to Kirigakure. - Fri Nov 27 08:58:01 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: But for now. - Fri Nov 27 08:58:01 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Let's rest. - Fri Nov 27 08:58:01 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Yeah, seems like the best idea right now. - Fri Nov 27 08:58:01 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: So..We sharing? - Fri Nov 27 08:58:01 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: ....Sharing what? - Fri Nov 27 09:04:00 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: The bed. - Fri Nov 27 09:04:51 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I'll behave. Heh. - Fri Nov 27 09:05:42 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: ...... - Fri Nov 27 09:06:33 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: .....Fine. - Fri Nov 27 09:06:33 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Just don't randomly wake me in the middle of the night. - Fri Nov 27 09:06:33 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: To fuck me. - Fri Nov 27 09:06:33 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I'll keep that in mind. - Fri Nov 27 09:07:24 2015
<br><br><font color=yellow>*Rokujou, Kida(Shiziru101) chuckled, jumping into the bed. He's siituate himself as if it were his own.  He'd be sprawled out, allowing more than enough space for Shiro. * - Fri Nov 27 09:09:07 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) thinks: Kyubishu, huh?.... - Fri Nov 27 09:11:40 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) thinks: Wonder how many body parts a person needs to survive. - Fri Nov 27 09:11:40 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) thinks: Maybe if we tear off his arms he won't die! - Fri Nov 27 09:12:32 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) thinks: Who knows... - Fri Nov 27 09:12:32 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: So, what do you think Sado will say? - Fri Nov 27 09:14:14 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: ...... - Fri Nov 27 09:15:56 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: About -this-? - Fri Nov 27 09:15:56 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Never. - Fri Nov 27 09:15:56 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Mention it. - Fri Nov 27 09:15:56 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: And if you do....... - Fri Nov 27 09:15:56 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: You will bring him the offering of three bodies. - Fri Nov 27 09:15:56 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Do we choose? - Fri Nov 27 09:16:48 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Probably. - Fri Nov 27 09:17:39 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: You and I. - Fri Nov 27 09:17:39 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: We can tear off Kyubishu's arms. - Fri Nov 27 09:17:39 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: I'll take the left, you take the right. - Fri Nov 27 09:17:39 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Sounds like a plan. - Fri Nov 27 09:17:39 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: I wonder if I can kick someone's arm off like I did that kid's head.... - Fri Nov 27 09:18:30 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Guess we'll find out. - Fri Nov 27 09:18:30 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: See? It's an adventure. - Fri Nov 27 09:18:30 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Totally. - Fri Nov 27 09:18:30 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: An 'adventure.' - Fri Nov 27 09:18:30 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Filled with horror. - Fri Nov 27 09:18:30 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Death. - Fri Nov 27 09:18:30 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: And sex. - Fri Nov 27 09:18:30 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: That sounds like it'll be intense. - Fri Nov 27 09:19:21 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) whispers: By the way. - Fri Nov 27 09:19:21 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) whispers: Since you took my virginity. - Fri Nov 27 09:19:21 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) whispers: If you ever cheat on me. - Fri Nov 27 09:19:21 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) whispers: I will tear off your penis and shove it up your rectum. - Fri Nov 27 09:19:21 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) whispers: Thanks. - Fri Nov 27 09:19:21 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Ouch.. - Fri Nov 27 09:19:21 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Well, that was my first too.. - Fri Nov 27 09:19:21 2015
<br><br><font color=yellow>*Rokujou, Kida(Shiziru101) nodded, embrassing Shiro in his arms. He could get used to this. He too eventually falls asleep. * - Fri Nov 27 09:21:04 2015
<br><br><font color=yellow>*Rokujou, Kida(Shiziru101) slowly opened his eyes as his conscious returned to his body.  His eyes glazed around the room, seeing Ichiro, then Shiro who was nestled up against his frame.  He scratched his head, slowly rising up from the bed, while making sure not to disturb Shiro. "Yo," he called out, making it out of the bed.

He stood there in the room with just his underwear on. His eyes quickly looked around for a pair of pants and a shirt in which he could throw on.* - Fri Nov 27 19:31:12 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: So. - Fri Nov 27 21:17:52 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: What's our move? - Fri Nov 27 21:17:52 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: We should find Kyubishu and tear his arms off. - Fri Nov 27 21:17:52 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: So, I guess our original plan of going back to Kirigakure. - Fri Nov 27 21:18:43 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Got it. - Fri Nov 27 21:23:50 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Let's go. - Fri Nov 27 21:23:50 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Ichiro? - Fri Nov 27 21:23:50 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Maybe he's asleep? - Fri Nov 27 21:28:06 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: ...Fuckboy. - Fri Nov 27 21:29:48 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: We'll wait for him then - Fri Nov 27 21:29:48 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: You owe me new clothes, by the way, Kida. - Fri Nov 27 21:29:48 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: You will be doing everything. - Fri Nov 27 21:29:48 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: The guy usually does. - Fri Nov 27 21:29:48 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I do? - Fri Nov 27 21:29:48 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Like cleaning, cooking, shopping. - Fri Nov 27 21:29:48 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) thinks: So I've become a butler in the end.. - Fri Nov 27 21:29:48 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: But why new clothes? - Fri Nov 27 21:30:40 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: What's wrong with the ones you have? - Fri Nov 27 21:32:22 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: ...... - Fri Nov 27 21:36:38 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Excuse me. - Fri Nov 27 21:36:38 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Um. - Fri Nov 27 21:36:38 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: If you don't recall last night..... - Fri Nov 27 21:36:38 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: You asshole..... - Fri Nov 27 21:36:38 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Sprayed so much on me...... - Fri Nov 27 21:36:38 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: That hell, even my clothes have some of it..... - Fri Nov 27 21:37:29 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Damn you if you think I won't be smelling like blood & gore. - Fri Nov 27 21:37:29 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: You'll make me smell like your jizz. - Fri Nov 27 21:37:29 2015
<br><br><font color=yellow>*Rokujou, Kida(Shiziru101) sat on the bed and began to burst out into laughter.   "Alright, you've got me.  But hey, it'll let people know that you're mine," he said in a cheeky tone.  * - Fri Nov 27 21:38:20 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Besides, it felt that good. So it's partially your fault. - Fri Nov 27 21:41:45 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: . . . . . . - Fri Nov 27 21:43:28 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Dickhead. - Fri Nov 27 21:43:28 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) thinks: I love doing this. - Fri Nov 27 21:45:10 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Shiro, I've a question. - Fri Nov 27 21:46:01 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: How did you meet Sado? - Fri Nov 27 21:46:01 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: . . . ..  - Fri Nov 27 21:48:35 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Funny you ask that. - Fri Nov 27 21:48:35 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: I don't remember. - Fri Nov 27 21:48:35 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Well you did tell me to ask more questions. - Fri Nov 27 21:48:35 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: So you woke up one day and you were traveling with him? - Fri Nov 27 21:49:26 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Basically. - Fri Nov 27 21:49:26 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: I don't really recall. - Fri Nov 27 21:49:26 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Weird.. - Fri Nov 27 21:49:26 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: What about your home? Any family or anything? - Fri Nov 27 21:51:08 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: . . . . . - Fri Nov 27 21:51:08 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Don't recall. - Fri Nov 27 21:51:08 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Nothing at all? - Fri Nov 27 21:52:51 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: ..... - Fri Nov 27 21:59:40 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Nothing. - Fri Nov 27 21:59:40 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: And you have no idea why you can't recall that stuff? - Fri Nov 27 22:00:32 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: No idea. - Fri Nov 27 22:01:23 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Why? - Fri Nov 27 22:01:23 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: What are you getting at? - Fri Nov 27 22:01:23 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Nothing, I just wanted to know a bit more about you. - Fri Nov 27 22:01:23 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I'm going to go for a walk, see if I find anything interesting. - Fri Nov 27 22:03:56 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Uh huh. - Fri Nov 27 22:15:02 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Don't die. - Fri Nov 27 22:15:02 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: You have a high probability of doing so because of your fragile body. - Fri Nov 27 22:15:02 2015
<br><br><font color=yellow>*Rokujou, Kida(Shiziru101) felt unusually energetic today. Was it something he ate, or perhaps the recollection of the activities of the night prior? Either way, he was full of energy.  He left the small room in search of something interesting to do.  Since Ichiro was there, he couldn't let his lust go wild.

He let out a sigh, realizing their talk of the prior night had excited him a bit too much. His eyes closed for a moment, recalling the events from his own perspective.  The panting, the grunting, the moaning, the musky scent, the exchange of fluids.  It was all fresh in his mind.  The more he thought about it, the more excited he became. Before he knew it, he had a raging hard on.

"Shit," he muttered, releasing a sigh from his breath. "Rub one out, or let it go," he thought to himself as he just stood alone in the fields. It wasn't his style to fap out in the open, but after his conversation with Shiro, it didn't seem like such a bad choice.

He took a deep breath, sitting himself onto the grass, opening his legs.  He'd glance around quickly to look for anyone near by before he lowered his hand towards his crotch.  ".....,"

Kida began to have a cold sweat. Multiple emotions and reactions began to take place in his body. His fingers traced along the slit of his pants, gripping ahold of the zipper and lowering it. It didn't take much for Kida Jr to pop up. 

His penis was exposed and erect. It was out for the whole world to see.  It was a bit awkward, but there was no one to see what was going on. He motioned his left hand onto the exposed base of his penis, gripping it firmly.  "Damn you..I wouldn't be like this if I didn't meet you," he muttered as he furiously stroked his penis.  

Faster and faster his hand kneaded against his member. He wasn't pressed for time, rather he wanted it to be over with quickly.  He had initially came out to train, but now he found himself rubbing one off in the fields alone.  He tightened his grip as he went all out on his crotch, rubbing it viciously like a beast.  

Pleasure rose throughout his body, plunging his nerves into sexual bliss. He gritted his teeth as he felt a tight pressure swell up from his scotum. "!!"  With a few more knocks, out came white fluids.  The fluids splattered out from his urethra, spraying onto the ground. Milky white ropes dangled from the tip, reaching towards the ground.  Kida looked down, feeling a sense of shame.

"Shit..," he muttered, quickly cleaning himself off with some foilage. Once that was settled, he placed his member back into his pants and stood up onto his feet.

"Ok, time for the real training," he uttered, folding his knees to lower his body. Almost like a spring, Kida compressed his body, storing more energy into his legs. "It was like this," he thought, further crouching down.

He began to visualize an imaginary foe, one who stood before him. "I just noticed, I'll need something to start this up with," he thought, realizing the schematics of the technique itself. 

In a single leap, he launched himself up into the air.  The height was all thanks to the strength of his legs.  In an instant he found himself twisting and turning in the air, hovering above the phantom opponent. His cheeks lifted as his lips curled upwards into a devilish smirk.  

He continued to manuever himself in the air, positioning his body directly above the shadow image.  His legs collapsed once more, pulling themselves towards his chest.  He awaited for a moment, timing the strike just right. When the time was correct, he thrusted his legs down, striking into the phantom foe.  

He allowed gravity to take over, driving his force down into the ground. The aforementioned attack caused a small creater to form beneath his feet.  He looked around and placed his hands onto his waist.  He felt both a sense of achievement, and a sense of shame.* - Fri Nov 27 23:46:20 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: .... - Fri Nov 27 23:48:54 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: ... - Sat Nov 28 01:36:25 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: ... - Sat Nov 28 01:36:25 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: So..What do you think? - Sat Nov 28 01:37:16 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Hm? - Sat Nov 28 01:37:16 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Think about what? - Sat Nov 28 01:38:08 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: About Shiro and I. - Sat Nov 28 01:38:08 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: You caught us in the act. - Sat Nov 28 01:38:08 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Oh. - Sat Nov 28 01:38:59 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: I approve of it. - Sat Nov 28 01:38:59 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Ah.. - Sat Nov 28 01:38:59 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: It was obvious that it was going to happen anyways. - Sat Nov 28 01:38:59 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: To be honest, I didn't expect that to happen. - Sat Nov 28 01:38:59 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Really? - Sat Nov 28 01:38:59 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Yes. - Sat Nov 28 01:39:50 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I thought she was teasing me at first, but I guess not. - Sat Nov 28 01:39:50 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Mhm. - Sat Nov 28 01:40:41 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Apparently she wants this to be a secret to Sado. - Sat Nov 28 01:41:32 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Otherwise we'll have to get three bodies for him. - Sat Nov 28 01:42:24 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Three bodies? - Sat Nov 28 01:42:24 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Yeah. I have no idea to be honest. - Sat Nov 28 01:42:24 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Know anything about that? - Sat Nov 28 01:43:15 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: You've been with him longer than I h ave. - Sat Nov 28 01:43:15 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: No. - Sat Nov 28 01:44:06 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: I've never heard him mention collecting bodies before. - Sat Nov 28 01:44:06 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Although. - Sat Nov 28 01:44:06 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: I've heard about him using dark arts. - Sat Nov 28 01:44:06 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: So I suppose those must tie in with each other. - Sat Nov 28 01:44:06 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Ah. - Sat Nov 28 01:44:57 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: But um..What's the dark arts? - Sat Nov 28 01:44:57 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: I have no idea. - Sat Nov 28 01:45:48 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: We'll find out eventually. - Sat Nov 28 01:45:48 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Also, is it me or has Shiro calmed down a bit. - Sat Nov 28 01:46:40 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: I think she's getting attached. - Sat Nov 28 01:49:13 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I guess that makes sense. - Sat Nov 28 01:50:04 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: She was all meek for a bit, almost fragile. - Sat Nov 28 01:50:56 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I'm going to go look for information. I'll be back. - Sat Nov 28 02:02:01 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: If you need me, send a bird. - Sat Nov 28 02:02:01 2015
