<br><font color=teal>*Marrisa(Roxinea) says: Hello. .  - Thu Oct  1 05:32:48 2015
<br><br><font color=teal>*Domon(KazutoAyamu) says: Hi. - Thu Oct  1 05:34:30 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: I can asure you it wont. - Tue Dec  8 01:05:42 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Rai-san. - Tue Dec  8 01:07:24 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: It will...  - Tue Dec  8 01:08:16 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Hm? - Tue Dec  8 01:08:16 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: What rank am I? - Tue Dec  8 01:08:16 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Genin. - Tue Dec  8 01:08:16 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: For now. - Tue Dec  8 01:09:07 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Hm...I see. - Tue Dec  8 01:09:07 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Could I get a Mission that isn't busy work? - Tue Dec  8 01:09:07 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Hmmm. - Tue Dec  8 01:09:07 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: .... - Tue Dec  8 01:10:49 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Eh. - Tue Dec  8 01:10:49 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: I guess. - Tue Dec  8 01:10:49 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I'll assign you five missions. - Tue Dec  8 01:12:32 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Hm, all of you. - Tue Dec  8 01:12:32 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: I suppose. - Tue Dec  8 01:12:32 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: When you are done, return to me. - Tue Dec  8 01:12:32 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Sounds good.. - Tue Dec  8 01:14:14 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: ..... - Tue Dec  8 01:14:14 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: I told you I have homework - Tue Dec  8 01:14:14 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: -- - Tue Dec  8 01:15:56 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Aren't we naming things we werent going to do? - Tue Dec  8 01:15:56 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: But we must do these missions.. It helps build revnue, and I know you love it secretly.~ - Tue Dec  8 01:16:48 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Do me a favor as well Rai-san? - Tue Dec  8 01:17:39 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Hm? - Tue Dec  8 01:17:39 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Could you see if you can order me a decent sword? For about Five Million? - Tue Dec  8 01:17:39 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: I'll donate the rest of my money to the village. - Tue Dec  8 01:17:39 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I w-.. I see... - Tue Dec  8 01:17:39 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I will see what I can do. - Tue Dec  8 01:17:39 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: That is a -large- amount of money. - Tue Dec  8 01:17:39 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) thinks: Good, they are learning. - Tue Dec  8 01:32:09 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Hello. - Tue Dec  8 06:30:49 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: .... - Tue Dec  8 06:31:40 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Greetings.... - Tue Dec  8 06:31:40 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Missions?~ - Tue Dec  8 06:35:05 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: ...... - Tue Dec  8 06:35:05 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Not...at the moment.... - Tue Dec  8 06:35:05 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Hm? - Tue Dec  8 06:38:30 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Huh? - Tue Dec  8 06:38:30 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Hm, nothing. - Tue Dec  8 06:39:21 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Eiyu. - Tue Dec  8 06:45:20 2015
<br><br><font color=teal>*Takuma(Brosis55) says: We're fucked. - Tue Dec  8 06:45:20 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: You mean. - Tue Dec  8 06:46:11 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: You're fucked. - Tue Dec  8 06:46:11 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Hmm? - Tue Dec  8 06:46:11 2015
<br><br><font color=teal>*Takuma(Brosis55) says: The Hokage went to Sunagakure. - Tue Dec  8 06:46:11 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) thinks: This is bad. - Tue Dec  8 06:46:11 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I see.. - Tue Dec  8 06:47:02 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I will not lie. - Tue Dec  8 06:47:02 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: .... - Tue Dec  8 06:47:53 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: This makes the situation all the more precarious. We can no longer afford to have Sunagakure's troops here. - Tue Dec  8 06:47:53 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: What did...you two do... - Tue Dec  8 06:47:53 2015
<br><br><font color=teal>*Takuma(Brosis55) says: We ain't do shit. - Tue Dec  8 06:47:53 2015
<br><br><font color=teal>*Takuma(Brosis55) says: If it comes down to us fighting, Eiyu. - Tue Dec  8 06:47:53 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: At least not yet. - Tue Dec  8 06:47:53 2015
<br><br><font color=teal>*Takuma(Brosis55) says: I'll be here every step of the way. - Tue Dec  8 06:47:53 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: ..... - Tue Dec  8 06:48:44 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: We'll avoid it.. I don't wish for us to engage in combat just yet.. But if we show them civil unrest. - Tue Dec  8 06:48:44 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Why would...there be fighting.. - Tue Dec  8 06:48:44 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Show the people - Well. - Tue Dec  8 06:48:44 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Sunagakure intends to own this place. - Tue Dec  8 06:48:44 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: ... - Tue Dec  8 06:48:44 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Logically.. - Tue Dec  8 06:48:44 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: ..... - Tue Dec  8 06:52:09 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: What do you...think you are doing? - Tue Dec  8 06:52:09 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Doing what must be done.. It isn't just the people that want this, but the shinobi, and I. - Tue Dec  8 06:53:00 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: . . . . - Tue Dec  8 06:53:52 2015
<br><br><font color=yellow>*Akito(KazutoAyamu) Bolts as fast as he possibly can as his self preservation instincts kick in....he is not about to get fucking killed by any civil war hell no.* - Tue Dec  8 06:57:16 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: Have the sensors on high alert as well. - Tue Dec  8 07:02:24 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: Got it sir - Tue Dec  8 07:04:57 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: ...Not bad at all.... - Tue Dec  8 07:13:29 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: The traps that had been unearthed from Edge. I wish to have them scattered about, and activated towards various of our ground points with shinobi manning the outskirts informing people to turn away  - and of course they refuse they will go boom, or be shown the way. Takuma, Eiji, can you do this for me? - Tue Dec  8 07:16:03 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Set up the bombs? - Tue Dec  8 07:16:54 2015
<br><br><font color=teal>*Takuma(Brosis55) says: What if I trip and fall? - Tue Dec  8 07:16:54 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: Mh- - Tue Dec  8 07:16:54 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: Don't..... - Tue Dec  8 07:16:54 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: Send your frogs to do it for you. - Tue Dec  8 07:16:54 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: They're agile. - Tue Dec  8 07:16:54 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: And they can disperse. - Tue Dec  8 07:16:54 2015
<br><br><font color=teal>*Takuma(Brosis55) says: I like the way you think. - Tue Dec  8 07:16:54 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: ..True... - Tue Dec  8 07:16:54 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: Get to it, Takuma. - Tue Dec  8 07:16:54 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: Tauma.- - Tue Dec  8 07:16:54 2015
<br><br><font color=teal>*Takuma(Brosis55) says: - - Tue Dec  8 07:16:54 2015
<br><br><font color=teal>*Takuma(Brosis55) says: yo. - Tue Dec  8 07:16:54 2015
<br><br><font color=teal>*Takuma(Brosis55) says: What about your carrot! - Tue Dec  8 07:16:54 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Baka!  - Tue Dec  8 07:16:54 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: You think my carrot. - Tue Dec  8 07:16:54 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: Can walk? - Tue Dec  8 07:16:54 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: You're high. - Tue Dec  8 07:17:45 2015
<br><br><font color=teal>*Takuma(Brosis55) says: I don't want to risk my frogs! - Tue Dec  8 07:17:45 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: MY CARROT CAN'T RUN. - Tue Dec  8 07:17:45 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: LIKE YOUR FROGS. - Tue Dec  8 07:17:45 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: HE'S DISABLED FROM THE WAIST-DOWN. - Tue Dec  8 07:17:45 2015
<br><br><font color=teal>*Takuma(Brosis55) says: YOUR CARROT CAN FUCKING GO UNDERGROUND - Tue Dec  8 07:17:45 2015
<br><br><font color=teal>*Takuma(Brosis55) says: MY FROGS CAN HOP. - Tue Dec  8 07:17:45 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: HE'S NOT A MOLE. - Tue Dec  8 07:17:45 2015
<br><br><font color=teal>*Takuma(Brosis55) says: HE IS NOW. - Tue Dec  8 07:17:45 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: I ONLY HAVE ONE. - Tue Dec  8 07:17:45 2015
<br><br><font color=teal>*Takuma(Brosis55) says: I ONLY HAVE ONE. - Tue Dec  8 07:17:45 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: YOU HAVE MULTIPLE FROGS. - Tue Dec  8 07:17:45 2015
<br><br><font color=teal>*Takuma(Brosis55) says: LIES. - Tue Dec  8 07:17:45 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: NO YOU DON'T. - Tue Dec  8 07:17:45 2015
<br><br><font color=teal>*Takuma(Brosis55) says: LIAR. - Tue Dec  8 07:17:45 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: FUCK YOU. - Tue Dec  8 07:17:45 2015
<br><br><font color=teal>*Takuma(Brosis55) says: FUCK YOU! - Tue Dec  8 07:17:45 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: ... - Tue Dec  8 07:17:45 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: Must I remind you. - Tue Dec  8 07:17:45 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: Of the situation at hand? - Tue Dec  8 07:17:45 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: . . . - Tue Dec  8 07:18:36 2015
<br><br><font color=teal>*Takuma(Brosis55) says: . . . - Tue Dec  8 07:18:36 2015
<br><br><font color=teal>*Takuma(Brosis55) says: He started it.  . - Tue Dec  8 07:18:36 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: .....Liar. - Tue Dec  8 07:18:36 2015
<br><br><font color=teal>*Takuma(Brosis55) says: . . . . . - Tue Dec  8 07:18:36 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Fuck you.  . - Tue Dec  8 07:18:36 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Use the frogs, Takuma. Eiji you prepare for anything as well. - Tue Dec  8 07:18:36 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Raikage. - Tue Dec  8 07:37:23 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Hm? - Tue Dec  8 07:37:23 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: What are you planning to do? - Tue Dec  8 07:37:23 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Tch, that is the question of the day now isn't it? - Tue Dec  8 07:37:23 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: What would you do if this were your home, and people were trying to claim it as their own? - Tue Dec  8 07:37:23 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Then I'm guessing your going to war. - Tue Dec  8 07:39:05 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: War. This talk of war is a bit far fetched. - Tue Dec  8 07:39:05 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: My sole intention is to gain independence. - Tue Dec  8 07:39:05 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Sunagakure talks of helping us in a bind. - Tue Dec  8 07:39:05 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: But they forgot when their own nation was destroyed. - Tue Dec  8 07:39:05 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Who was it that helped them? - Tue Dec  8 07:39:05 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: In turn. - Tue Dec  8 07:39:05 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: They are hypocrites. - Tue Dec  8 07:39:56 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Our destruction was a product of Edge, a Sunagakure shinobi at heart. - Tue Dec  8 07:39:56 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Oh think Ima back down.. Sigh. - Tue Dec  8 07:40:48 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: When the ones that fucked the village over was kire* - Tue Dec  8 07:48:28 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: .... - Tue Dec  8 08:12:22 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Aright. - Tue Dec  8 08:12:22 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: I'm here. - Tue Dec  8 08:12:22 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: We're safe. - Tue Dec  8 08:12:22 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: ..I'm glad you've come. - Tue Dec  8 08:12:22 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: You sound like you doubted it. - Tue Dec  8 08:12:22 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: No. - Tue Dec  8 08:12:22 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: But I am ready for anything. - Tue Dec  8 08:13:13 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Tell me, Raikage! - Tue Dec  8 08:14:04 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Hm? - Tue Dec  8 08:14:04 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: How many lives you wish for my to claim? - Tue Dec  8 08:14:04 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Take that number and double it, call it the Rage of Eiyu! - Tue Dec  8 08:14:04 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: me* - Tue Dec  8 08:14:56 2015
<br><br><font color=yellow>*Akito(KazutoAyamu) continued on running 

-Bienvenido a Mexico.-

"Wonder what that means."* - Tue Dec  8 08:23:28 2015
<br><br><font color=yellow>*Akito(KazutoAyamu) Akito continued on running 

-Bienvenido a Mexico.-

"Wonder what that means."*
* - Tue Dec  8 08:24:19 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: What drives me? - Wed Dec  9 00:59:18 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: I don't know anymore. - Wed Dec  9 01:00:09 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) thinks: Go on.. - Wed Dec  9 01:00:09 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Only thing I can say is its to protect the family I have left. - Wed Dec  9 01:00:09 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: What would you be willing to do, to protect them? - Wed Dec  9 01:01:00 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Die. - Wed Dec  9 01:01:00 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Not less. - Wed Dec  9 01:01:00 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Nothing* - Wed Dec  9 01:01:00 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: And even more if needed. - Wed Dec  9 01:01:00 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: What is your name. - Wed Dec  9 01:01:52 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Mitarashi. - Wed Dec  9 01:01:52 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: You? - Wed Dec  9 01:01:52 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: Aiyana. - Wed Dec  9 01:02:43 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Nice to meet you. - Wed Dec  9 01:02:43 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: You remind me of my late brother. - Wed Dec  9 01:02:43 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: I do? - Wed Dec  9 01:02:43 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Huh? - Wed Dec  9 01:17:13 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: It's pretty quiet now. .  - Wed Dec  9 01:39:24 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: I'll calm down, WHEN YOU UPHOLD YOUR END OF THE DEAL. - Wed Dec  9 05:26:24 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I didn't agree to anything. - Wed Dec  9 05:26:24 2015
<br><br><font color=teal>*Takuma(Brosis55) says: To be honest. - Wed Dec  9 05:26:24 2015
<br><br><font color=teal>*Takuma(Brosis55) says: You made the deal with me. - Wed Dec  9 05:26:24 2015
<br><br><font color=teal>*Takuma(Brosis55) says: So technically. - Wed Dec  9 05:27:15 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Sly-kun, I'm going to bite you now. Kay?  - Wed Dec  9 05:27:15 2015
<br><br><font color=teal>*Takuma(Brosis55) says: I'm at fault. - Wed Dec  9 05:27:15 2015
<br><br><font color=yellow>*Akito(KazutoAyamu) enters the scene......like its customary he just stares.* - Wed Dec  9 05:38:20 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: They're going to fuck. - Wed Dec  9 05:41:45 2015
<br><br><font color=yellow>*Akito(KazutoAyamu) stareeeee* - Wed Dec  9 05:45:10 2015
<br><br><font color=yellow>*Akito(KazutoAyamu) Starreeeeeeeeeeeeeeeeeeeee.* - Wed Dec  9 05:47:44 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) thinks: She's a biter. - Wed Dec  9 05:48:35 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: ....where are you going!? I need my bodies like was promised! - Wed Dec  9 05:53:42 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Shush. - Wed Dec  9 05:53:42 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: ..... - Wed Dec  9 05:53:42 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: There... - Wed Dec  9 05:53:42 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Was- - Wed Dec  9 05:53:42 2015
<br><br><font color=yellow>*Akito(KazutoAyamu) was ignored.* - Wed Dec  9 05:53:42 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: .... - Wed Dec  9 05:55:24 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: What... - Wed Dec  9 05:55:24 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Was..that about - Wed Dec  9 05:55:24 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: 2 or 1  - Wed Dec  9 19:13:16 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: two tier one perks - Wed Dec  9 19:13:16 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: omit - Wed Dec  9 19:13:16 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Hm. - Wed Dec  9 19:20:57 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I'm going to train. - Wed Dec  9 19:20:57 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: The pleasure is mine Ziare. If you don't mind me asking, what brings you here? - Wed Dec  9 23:11:21 2015
<br><br><font color=teal>*Ziare(Meekee) says: You? - Wed Dec  9 23:18:11 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: I live here. - Wed Dec  9 23:19:02 2015
<br><br><font color=teal>*Ziare(Meekee) says: Do you like it here? - Wed Dec  9 23:19:53 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: It gets boring at times, but yeah. - Wed Dec  9 23:19:53 2015
<br><br><font color=teal>*Ziare(Meekee) says: Boring? - Wed Dec  9 23:19:53 2015
<br><br><font color=teal>*Ziare(Meekee) says: Boring is safe, boring is nice. - Wed Dec  9 23:19:53 2015
<br><br><font color=teal>*Ziare(Meekee) says: I've lost a lot of people, if only the world was boring at those times.. - Wed Dec  9 23:20:44 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: I mean. I can only stand in one spot for so long- - Wed Dec  9 23:20:44 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Anyways. - Wed Dec  9 23:37:48 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Who's your companion? - Wed Dec  9 23:38:40 2015
<br><br><font color=teal>*Ziare(Meekee) says: Her name is Akisa. - Wed Dec  9 23:40:22 2015
<br><br><font color=teal>*Ziare(Meekee) says: She is not very social. - Wed Dec  9 23:40:22 2015
<br><br><font color=teal>*Ziare(Meekee) says: Most likely. - Wed Dec  9 23:42:56 2015
<br><br><font color=teal>*Ziare(Meekee) says: We havent been here very long, and do not plan on staying for very long either. - Wed Dec  9 23:42:56 2015
<br><br><font color=teal>*Ziare(Meekee) says: Just tourists of the sort. - Wed Dec  9 23:42:56 2015
<br><br><font color=teal>*Ziare(Meekee) says: I take odd jobs to pay my way and such. - Wed Dec  9 23:43:47 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Understandable. Well, hope you're enjoying your stay. - Wed Dec  9 23:43:47 2015
<br><br><font color=teal>*Ziare(Meekee) says: Thank you very much. - Wed Dec  9 23:43:47 2015
<br><br><font color=teal>*Yamato, Saika(Chaos Commander2019) thinks: More people. Tch. - Wed Dec  9 23:44:38 2015
<br><br><font color=teal>*Yamato, Saika(Chaos Commander2019) says: . . . - Wed Dec  9 23:51:28 2015
<br><br><font color=teal>*Ziare(Meekee) says: So I worked up enough money to rent a hotel for a bit. - Wed Dec  9 23:55:44 2015
<br><br><font color=teal>*Ziare(Meekee) says: We can stay until you're ready to leave. - Wed Dec  9 23:55:44 2015
<br><br><font color=teal>*Yamato, Saika(Chaos Commander2019) says: H-Huh? - Wed Dec  9 23:56:35 2015
<br><br><font color=teal>*Yamato, Saika(Chaos Commander2019) says: What did you do? - Wed Dec  9 23:56:35 2015
<br><br><font color=teal>*Ziare(Meekee) says: I rented a hotel. - Wed Dec  9 23:57:26 2015
<br><br><font color=teal>*Ziare(Meekee) says: I just worked a few odd jobs for the money. - Wed Dec  9 23:57:26 2015
<br><br><font color=teal>*Yamato, Saika(Chaos Commander2019) says: Hmph. - Wed Dec  9 23:58:17 2015
<br><br><font color=teal>*Ziare(Meekee) says: We don't have to sleep in the tent for a bit. - Wed Dec  9 23:59:08 2015
<br><br><font color=teal>*Yamato, Saika(Chaos Commander2019) says: Good~ - Thu Dec 10 00:00:51 2015
<br><br><font color=teal>*Ziare(Meekee) says: Right? - Thu Dec 10 00:02:33 2015
<br><br><font color=teal>*Yamato, Saika(Chaos Commander2019) says: Mhm. - Thu Dec 10 00:03:24 2015
<br><br><font color=yellow>*Akito(KazutoAyamu) was leaning against the rail of the training field looking forward but was aware of the female being near him as she could sense her.* - Thu Dec 10 00:33:16 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: ...... - Thu Dec 10 00:39:15 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Enjoying...the view? - Thu Dec 10 00:39:15 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: ...... - Thu Dec 10 00:43:31 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Strange.... - Thu Dec 10 00:43:31 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: How...can plants...and rocks.. be beautiful? - Thu Dec 10 00:43:31 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Well rocks aren't all that beautiful but plants certainly are. You don't find life beautiful? - Thu Dec 10 00:45:13 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: .... - Thu Dec 10 00:46:04 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Why..can it be...called...beautiful? - Thu Dec 10 00:46:56 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: They...can also...kill..cause harm... - Thu Dec 10 00:49:29 2015
<br><br><font color=yellow>*Akito(KazutoAyamu) notes that he is speaking in a monotone voice that was somewhat muffled by his high chollar
* - Thu Dec 10 00:49:29 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Which makes them so very beautiful.~ - Thu Dec 10 00:51:12 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: ........ - Thu Dec 10 00:52:54 2015
