<br><font color=teal>*Kilm(Vysasi) says: Tell him I've found Ushi's will . . . - Sun Oct  4 16:56:44 2015
<br><br><font color=teal>*Lera(Bailey42) thinks: Ouch - Sun Oct  4 19:00:28 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: ... - Sun Oct  4 19:00:28 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Koji. - Sun Oct  4 19:00:28 2015
<br><br><font color=teal>*Alastor(LordxPatrick) thinks: And thus a rivalry was born. - Sun Oct  4 19:00:28 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: Damn, that's gotta hurt. - Sun Oct  4 19:00:28 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Take your pick. - Sun Oct  4 19:00:28 2015
<br><br><font color=teal>*Lera(Bailey42) thinks: Guess they're not gonna pick an outsider... - Sun Oct  4 19:01:20 2015
<br><br><font color=teal>*Ryuga(Kazuma12) thinks: I guess I'm with him.. - Sun Oct  4 19:01:20 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: .... - Sun Oct  4 19:01:20 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) thinks: Well I didnt expect to be picked... - Sun Oct  4 19:01:20 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: I just want to get me a strong Katana, and suddenly this happens. - Sun Oct  4 19:02:11 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) thinks: I positioned my right hand incorrectly! Therefore, that's an extra hundred pushups! - Sun Oct  4 19:03:02 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Eye beam* I would like Trilliam, Taiga, and guy in green.  - Sun Oct  4 19:03:02 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I cant remember his name either. - Sun Oct  4 19:03:53 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I'll call him...Jumpman. - Sun Oct  4 19:03:53 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: .. - Sun Oct  4 19:03:53 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: If you can't rmemeber the guy in green's name, call him jumpman, - Sun Oct  4 19:03:53 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Alright Jumpman Trilliam and Lera. - Sun Oct  4 19:04:44 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) thinks: Good choice. Lera is strong. - Sun Oct  4 19:04:44 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: I personally train her, sir. - Sun Oct  4 19:05:36 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: If you have that much faith in them together. I feel my choice is good on second though I would like to take Mirai instead of jumpman. - Sun Oct  4 19:07:18 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I already recorded it. - Sun Oct  4 19:08:09 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Wow you didn't pick me? - Sun Oct  4 19:08:09 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: He said you recive training from him personally. - Sun Oct  4 19:08:09 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) thinks: This prick. - Sun Oct  4 19:08:09 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Mirai, you'll be in Arashi's squad. - Sun Oct  4 19:09:00 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Along with the others who didn't make it. - Sun Oct  4 19:09:00 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Now I can hand out missions. - Sun Oct  4 19:09:52 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Do you squad leaders want to go on a mission? - Sun Oct  4 19:09:52 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Hm. - Sun Oct  4 19:09:52 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Seperately of course. - Sun Oct  4 19:09:52 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'd like to. - Sun Oct  4 19:09:52 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Talk to my squad. - Sun Oct  4 19:09:52 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Yes! - Sun Oct  4 19:09:52 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Before accepting a Mission. - Sun Oct  4 19:09:52 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Hehe. - Sun Oct  4 19:10:43 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Im ready for the mission. - Sun Oct  4 19:10:43 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Same. - Sun Oct  4 19:10:43 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: The mission is similar to that, - Sun Oct  4 19:10:43 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'd like to talk with my squad as well. - Sun Oct  4 19:10:43 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Seiseuke. - Sun Oct  4 19:10:43 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Hm...? - Sun Oct  4 19:10:43 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Go talk to your squad. - Sun Oct  4 19:10:43 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Report to me any problems you have. - Sun Oct  4 19:10:43 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I prefer not to number squads. - Sun Oct  4 19:10:43 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: So you'll be Squad Thunderchicken. - Sun Oct  4 19:11:34 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Yan, you're squad Mountainduck. - Sun Oct  4 19:11:34 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Mountainduck..? - Sun Oct  4 19:11:34 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Thunder... - Sun Oct  4 19:11:34 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Chicken.. - Sun Oct  4 19:11:34 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Mountain duck? - Sun Oct  4 19:11:34 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Koji, you're squad Ravenscrotum. - Sun Oct  4 19:12:25 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: ..... dies* - Sun Oct  4 19:12:25 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: omit- - Sun Oct  4 19:12:25 2015
<br><br><font color=teal>*Lera(Bailey42) says: ... - Sun Oct  4 19:12:25 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Suddenly. - Sun Oct  4 19:12:25 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Thunderchicken doesn't sound that bad. - Sun Oct  4 19:12:25 2015
<br><br><font color=teal>*Lera(Bailey42) thinks: He really has a way with names... - Sun Oct  4 19:12:25 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Did he just name us Raven scrotum..  - Sun Oct  4 19:12:25 2015
<br><br><font color=teal>*Ryuga(Kazuma12) thinks: That's a lame name. - Sun Oct  4 19:12:25 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: You are the scrotum of this village~! - Sun Oct  4 19:13:16 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: We shall flock and teabag all enemies. - Sun Oct  4 19:13:16 2015
<br><br><font color=teal>*Ryuga(Kazuma12) says: .... - Sun Oct  4 19:13:16 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) thinks: They arent saying anything. - Sun Oct  4 19:13:16 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) thinks: Yeah pops was right his theory was on point gramps is senile. How is no one noticing this. - Sun Oct  4 19:13:16 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) thinks: They must love the names. - Sun Oct  4 19:13:16 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: My squad. - Sun Oct  4 19:13:16 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: On me. - Sun Oct  4 19:13:16 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Let's go. - Sun Oct  4 19:13:16 2015
<br><br><font color=teal>*Lera(Bailey42) says: .......... - Sun Oct  4 19:14:08 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Squad leaders report to me for your mission. - Sun Oct  4 19:14:08 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Well team get acquainted. When I return we'll go over our skills and any concenrs. - Sun Oct  4 19:14:59 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Well then. - Sun Oct  4 19:16:41 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: For you guys, that don't know. - Sun Oct  4 19:16:41 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'm Seisuke of the Yukimura Clan. - Sun Oct  4 19:16:41 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'm also a Prince and a Gezo Representative. - Sun Oct  4 19:17:32 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: We will start with. - Sun Oct  4 19:17:32 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Izanami. - Sun Oct  4 19:17:32 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Re-introduce yourself, and tell us two things about you. - Sun Oct  4 19:17:32 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I'm Izanami.  - Sun Oct  4 19:18:24 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I uh... - Sun Oct  4 19:19:15 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I think that's it. - Sun Oct  4 19:20:06 2015
<br><br><font color=yellow>*Harada, Taiga(Dopespruit) can of course see the chakra in one of Seisuke's eyes.* - Sun Oct  4 19:20:06 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: I wonder what he's hiding under those bandages. - Sun Oct  4 19:20:06 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Oh well. - Sun Oct  4 19:21:48 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Your turn, Taiga. - Sun Oct  4 19:21:48 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: I'm a man with a three million bounty on my head just for having special eyes, so I ran from my home and came here. That's all folks~. - Sun Oct  4 19:21:48 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Fair enough. - Sun Oct  4 19:22:40 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: While you're at it. - Sun Oct  4 19:23:31 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: All of you state your elements. - Sun Oct  4 19:23:31 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Fire. - Sun Oct  4 19:23:31 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Katon and Raiton~. - Sun Oct  4 19:24:22 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: I mean everything including Ying and Yang, cause I have Rinnegan. - Sun Oct  4 19:25:13 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: And finally... - Sun Oct  4 19:25:13 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Alastor. - Sun Oct  4 19:25:13 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Fair enough. - Sun Oct  4 19:29:29 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I can use all of your elements. - Sun Oct  4 19:29:29 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Fire, Wind, and Lightning. - Sun Oct  4 19:30:20 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Magnetism...?! - Sun Oct  4 19:30:20 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Oh. - Sun Oct  4 19:30:20 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: ---Sorry pal. - Sun Oct  4 19:30:20 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Oh...May I say another thing? - Sun Oct  4 19:30:20 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: I didn't know Magnetism was a thing. - Sun Oct  4 19:30:20 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Go ahead. - Sun Oct  4 19:30:20 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: I have been noted to have larger-than-average chakra reserves. About double a regular D-rank genin. - Sun Oct  4 19:31:12 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I see. - Sun Oct  4 19:32:03 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Do any of you have questions for me? - Sun Oct  4 19:32:03 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'll answer them all truthfully. - Sun Oct  4 19:32:03 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: What's on your back? - Sun Oct  4 19:32:03 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Shoot. - Sun Oct  4 19:32:03 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: What age did you have your first love?? - Sun Oct  4 19:32:54 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Erm. - Sun Oct  4 19:32:54 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Last Year. - Sun Oct  4 19:32:54 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: So Seventeen. - Sun Oct  4 19:32:54 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Awwwwwwwwwwwwwwwww! - Sun Oct  4 19:32:54 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: ..... - Sun Oct  4 19:32:54 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Uhh.... - Sun Oct  4 19:32:54 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: I have...Someone I love.... - Sun Oct  4 19:32:54 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: --- - Sun Oct  4 19:32:54 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: ---- - Sun Oct  4 19:32:54 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Well.. - Sun Oct  4 19:32:54 2015
<br><br><font color=yellow>*Harada, Taiga(Dopespruit) glances back. ''You're annoying.''* - Sun Oct  4 19:33:45 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: --- - Sun Oct  4 19:34:36 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Well.... - Sun Oct  4 19:34:36 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Then.... - Sun Oct  4 19:34:36 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Any other questions? - Sun Oct  4 19:34:36 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Uhhhmmmm. - Sun Oct  4 19:34:36 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: .... - Sun Oct  4 19:34:36 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Izanami first. - Sun Oct  4 19:34:36 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Go ahead. - Sun Oct  4 19:34:36 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Whats that thing on your back? - Sun Oct  4 19:35:28 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: . .  - Sun Oct  4 19:36:19 2015
<br><br><font color=teal>*Alastor(LordxPatrick) thinks: Gay.... - Sun Oct  4 19:36:19 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Did that sword just move. - Sun Oct  4 19:36:19 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I want you three. - Sun Oct  4 19:37:10 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: TO learn more about eachother. - Sun Oct  4 19:37:10 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: When I return. - Sun Oct  4 19:37:10 2015
<br><br><font color=teal>*Alastor(LordxPatrick) thinks: CHA!!!!!! - Sun Oct  4 19:37:10 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: You must know basic facts about eachother. - Sun Oct  4 19:37:10 2015
<br><br><font color=teal>*Alastor(LordxPatrick) thinks: TIME ALONE WITH TAIGA-KUN! - Sun Oct  4 19:37:10 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: . . . - Sun Oct  4 19:38:52 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: I uhm. - Sun Oct  4 19:38:52 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Uh. - Sun Oct  4 19:38:52 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: I'll be right back. - Sun Oct  4 19:38:52 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Taiga...Can we...Talk...Privately...? - Sun Oct  4 19:38:52 2015
<br><br><font color=yellow>*Harada, Taiga(Dopespruit) backs the fuck up.* - Sun Oct  4 19:38:52 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Personal space. - Sun Oct  4 19:39:44 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Please. - Sun Oct  4 19:39:44 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: So sir Hassan. - Sun Oct  4 19:40:35 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: About that katana. - Sun Oct  4 19:41:26 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: I'd like to prove myself now. - Sun Oct  4 19:41:26 2015
<br><br><font color=teal>*Uzumaki, Arashiyama(HidariOP) says: It is not up to you girl. - Sun Oct  4 19:42:17 2015
<br><br><font color=teal>*Uzumaki, Arashiyama(HidariOP) says: Hassan has already made the decision. - Sun Oct  4 19:42:17 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Arashi, did you just call me a girl? - Sun Oct  4 19:42:17 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Oh, right. - Sun Oct  4 19:42:17 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: He best fucking not have. - Sun Oct  4 19:42:17 2015
<br><br><font color=teal>*Alastor(LordxPatrick) thinks: Calling Manly Taiga a girl?!~ - Sun Oct  4 19:43:08 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: . . . - Sun Oct  4 19:43:08 2015
<br><br><font color=teal>*Alastor(LordxPatrick) thinks: CHA! - Sun Oct  4 19:43:08 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: Dear lord Jashin. - Sun Oct  4 19:43:08 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: Please stop this. - Sun Oct  4 19:43:08 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Shall we go ahead and get to know each other more? - Sun Oct  4 19:44:51 2015
<br><br><font color=teal>*Uzumaki, Arashiyama(HidariOP) says: Yeah follow me. - Sun Oct  4 19:44:51 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Alright. - Sun Oct  4 19:44:51 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: ... - Sun Oct  4 19:45:42 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: I'm...Going to apologize Taiga... - Sun Oct  4 19:45:42 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Hm? - Sun Oct  4 19:47:24 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: How are you going to prove it to me? - Sun Oct  4 19:47:24 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: A fight, right? - Sun Oct  4 19:48:16 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Do you think you could beat me? - Sun Oct  4 19:48:16 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Don't worry about is Alastor.  . - Sun Oct  4 19:48:16 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Aight... - Sun Oct  4 19:48:16 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Matter of fact. - Sun Oct  4 19:48:16 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: . .  No, but I can certainly last longer than last time. - Sun Oct  4 19:48:16 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Fight Alastr. - Sun Oct  4 19:48:16 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Hm? - Sun Oct  4 19:49:07 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Lasting will only prove you got slightly better. - Sun Oct  4 19:49:07 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: . .  Eh, alright then. - Sun Oct  4 19:49:07 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Alastor. - Sun Oct  4 19:49:07 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: He uses ninjutsu. - Sun Oct  4 19:49:07 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Fire ninjutsu. - Sun Oct  4 19:49:07 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: I know. - Sun Oct  4 19:49:07 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Loot out for that. - Sun Oct  4 19:49:07 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Thanks... - Sun Oct  4 19:49:07 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: HE also has a Katana. - Sun Oct  4 19:49:07 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Fight him in mid range. - Sun Oct  4 19:49:07 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Tanto, I have a tanto. - Sun Oct  4 19:49:07 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: My best range. - Sun Oct  4 19:49:07 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: And keep up a constant flow of attacks. - Sun Oct  4 19:49:07 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Make him unable to use handseals. - Sun Oct  4 19:49:58 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Until he is overwhelmed. - Sun Oct  4 19:49:58 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Heh. - Sun Oct  4 19:49:58 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: Talk about unfair, telling everything about my skills. - Sun Oct  4 19:49:58 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: If he can't change the pace with any jutsu, he will lose to you. - Sun Oct  4 19:49:58 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: . .  Alastor, start. Now. - Sun Oct  4 19:49:58 2015
<br><br><font color=yellow>*Harada, Taiga(Dopespruit) grabbed the tanto from his back and leapt forward, slashing away at the shurikens that came for him. ''Sand. . ?'' He thought, getting hit by them. But they didn't exactly do any damage to the teenager's body. Taiga's hands formed the tiger handseal while holding on to his weapon. Chakra and oxygen mixing in his lungs as it bursted up into his throat and mouth, he looked like a hamster for a second there but that didn't matter.

Harada tried to keep some distance of course, so he didn't close the gap in one go. On the other hand his mouth opened up after that single handseal and shot out something like a dragon breath or a flamethrower, attempting to hit Alastor and possibly end the match right there. * - Sun Oct  4 19:58:30 2015
<br><br><font color=teal>*Kilm(Vysasi) says: I hope you've improved from our past spars, Taiga. - Sun Oct  4 19:58:30 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I didn't know - Sun Oct  4 20:00:12 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Sure. - Sun Oct  4 20:01:04 2015
<br><br><font color=yellow>*Harada, Taiga(Dopespruit) stopped his ninjutsu and sheathed the blade back into the sheath on his back. ''Hmm. .'' Taiga planted his feet firmly on the ground and leapt forward with his leg strenght. Reaching closer to Alastor, he wasn't going to for hand to hand combat though. Instead he formed the tiger handseal again, and he didn't form a seal after that. Thus hopefuly making Alastor think that he'd do the same technique again and fool him.

''!'' Flames sprouted from the ground, growing bigger until they surrounded Alastor in a small circle. It was but an attempt to trap and burn him till he'd surrender the spar though.* - Sun Oct  4 20:06:11 2015
<br><br><font color=yellow>*Harada, Taiga(Dopespruit) blinked, he was surprised that somebody actually used that age old technique. ''Oh?'' He just stood there for a moment, the shurikens hitting him. But they just fell to the ground rather than sticking inside his body. He scratched the back of his head and clenched his right fist. ''You're. .  Not that strong huh?'' The teenager blinked once more but decided to end it with a quick strike. He had no intention of making this spar last any longer than it needed to be.

Taiga pulled his arm up quickly and smacked it down in an attempt to hit Alastor's head and send him to the ground. * - Sun Oct  4 20:14:43 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: . .  - Sun Oct  4 20:18:59 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Sorry Alator. - Sun Oct  4 20:18:59 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Anyway Hassan sir, what now? - Sun Oct  4 20:18:59 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Mirai come with me. - Sun Oct  4 20:19:50 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I didn't see much sword play. - Sun Oct  4 20:22:24 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: If you want i'll just order the blade. - Sun Oct  4 20:22:24 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Well, there was no actual need for my sword. - Sun Oct  4 20:22:24 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: But I do need an actual katana. - Sun Oct  4 20:23:15 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: This tanto is going to either melt or break at some point. - Sun Oct  4 20:23:15 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Seisuke, you spoke about diamond weapons did you not? - Sun Oct  4 20:27:31 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: --- - Sun Oct  4 20:27:31 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: That's Fifty Million. - Sun Oct  4 20:27:31 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Does the Gezo have more strong weapons like that, but less. . . Expensive? - Sun Oct  4 20:27:31 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Wooden Weapons, Iron, Steel, and I believe Diamond. - Sun Oct  4 20:27:31 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Steel would be roughly Five to Ten million. - Sun Oct  4 20:28:22 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Seisuke. - Sun Oct  4 20:28:22 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I'm ready anytime you are. - Sun Oct  4 20:28:22 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Eh, what about Iron? - Sun Oct  4 20:28:22 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: Those weapons are so expensive. - Sun Oct  4 20:28:22 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Let's go now then, Muhhamed-san. - Sun Oct  4 20:30:04 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Back some people up. - Sun Oct  4 20:30:56 2015
