<br><font color=teal>*Harada, Taiga(Dopespruit) thinks: Doesn't even share. - Sun Oct  4 23:52:19 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Then Eat it. - Mon Oct  5 19:40:09 2015
<br><br><font color=teal>*Shin(Yaori) says: But I don't like alot of vvvvvvvv- - Mon Oct  5 19:41:00 2015
<br><br><font color=teal>*Shin(Yaori) says: Eck - Mon Oct  5 19:41:00 2015
<br><br><font color=teal>*Shin(Yaori) says: What's in it!? - Mon Oct  5 19:41:00 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: .. - Mon Oct  5 19:41:00 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I just explained. - Mon Oct  5 19:41:00 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Eat it. - Mon Oct  5 19:41:00 2015
<br><br><font color=teal>*Shin(Yaori) says: I can't - Mon Oct  5 19:41:52 2015
<br><br><font color=teal>*Shin(Yaori) says: I can't risk eating any  . . . of that stuff - Mon Oct  5 19:41:52 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Are you alergic to it? - Mon Oct  5 19:42:43 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: What do you think that's inside of it? - Mon Oct  5 19:42:43 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: What's not good? - Mon Oct  5 19:42:43 2015
<br><br><font color=teal>*Shin(Yaori) says: I don't like to say certain words - Mon Oct  5 19:42:43 2015
<br><br><font color=teal>*Shin(Yaori) says: So ic an't really say it - Mon Oct  5 19:42:43 2015
<br><br><font color=teal>*Shin(Yaori) says: And yes Taiga, you could say that - Mon Oct  5 19:42:43 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: .. - Mon Oct  5 19:42:43 2015
<br><br><font color=teal>*Shin(Yaori) says: It makes me act strange - Mon Oct  5 19:42:43 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Tell me. - Mon Oct  5 19:42:43 2015
<br><br><font color=teal>*Shin(Yaori) says: Well - Mon Oct  5 19:43:34 2015
<br><br><font color=teal>*Shin(Yaori) says: They aren't fruits - Mon Oct  5 19:43:34 2015
<br><br><font color=teal>*Shin(Yaori) says: But they are plants - Mon Oct  5 19:43:34 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Yes. - Mon Oct  5 19:43:34 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Ofocurse. - Mon Oct  5 19:43:34 2015
<br><br><font color=teal>*Shin(Yaori) says: That's what i'm talking bout - Mon Oct  5 19:43:34 2015
<br><br><font color=teal>*Beth(Ej900) says: Vegys? - Mon Oct  5 19:43:34 2015
<br><br><font color=teal>*Zenaki(Kumaki) thinks: Phew. - Mon Oct  5 19:43:34 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I see.. - Mon Oct  5 19:43:34 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Then get them off. - Mon Oct  5 19:43:34 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: And eat the rest? - Mon Oct  5 19:44:25 2015
<br><br><font color=teal>*Shin(Yaori) says: But its only certain ones - Mon Oct  5 19:44:25 2015
<br><br><font color=teal>*Shin(Yaori) says: Like m - Mon Oct  5 19:44:25 2015
<br><br><font color=teal>*Beth(Ej900) says: Shin you are acting like a child. - Mon Oct  5 19:44:25 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: You're sounding like a baby who doesn't want to eat the green stuff. - Mon Oct  5 19:44:25 2015
<br><br><font color=teal>*Shin(Yaori) says: SHUT UP - Mon Oct  5 19:44:25 2015
<br><br><font color=teal>*Beth(Ej900) says: You are making me want to dress you up again. - Mon Oct  5 19:44:25 2015
<br><br><font color=teal>*Shin(Yaori) says: I DONT LIKE THEM OKAY - Mon Oct  5 19:44:25 2015
<br><br><font color=teal>*Shin(Yaori) says: . . . - Mon Oct  5 19:44:25 2015
<br><br><font color=teal>*Beth(Ej900) says: Now eat them or you get dressed up. - Mon Oct  5 19:44:25 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Shin, maybe you should leave and calm down for a while. - Mon Oct  5 19:45:16 2015
<br><br><font color=teal>*Shin(Yaori) says: I am calm . . . - Mon Oct  5 19:45:16 2015
<br><br><font color=teal>*Shin(Yaori) says: Just confused - Mon Oct  5 19:45:16 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Never before? - Mon Oct  5 19:49:32 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Woah. You missed a lot.. - Mon Oct  5 19:49:32 2015
<br><br><font color=yellow>*Harada, Taiga(Dopespruit) stands up and ruffles his hair, he turns for the door and noticed it was locked. ''Zenaki, I'll be going now. Come talk to me when you have a new idea.'' If he could he'd unlock the door.* - Mon Oct  5 19:50:24 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: And. Open up Shin. - Mon Oct  5 19:50:24 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Mm. Sure, Taiga. - Mon Oct  5 19:50:24 2015
<br><br><font color=yellow>*Harada, Taiga(Dopespruit) waves once and leaves after that, closing the door behind him.* - Mon Oct  5 19:51:15 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Are you hungry? - Mon Oct  5 19:51:15 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Nope. - Mon Oct  5 19:52:06 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Oh. - Mon Oct  5 19:52:57 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Well, Zenaki has pizza if you want to. - Mon Oct  5 19:52:57 2015
<br><br><font color=teal>*Kilm(Vysasi) says: No need. - Mon Oct  5 19:54:40 2015
<br><br><font color=teal>*Kilm(Vysasi) says: oh - Mon Oct  5 19:55:31 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: He would wait till i afk like everyone else00 - Mon Oct  5 19:58:56 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Nice spar. - Mon Oct  5 20:07:28 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: No need to go all out. - Mon Oct  5 20:07:28 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I hate doign that. - Mon Oct  5 20:07:28 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Hassan sir, do you have any serious missions? - Mon Oct  5 20:07:28 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Not for a genin.. - Mon Oct  5 20:07:28 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I was looking for a serious spar, Hassan. - Mon Oct  5 20:07:28 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I appreciate you indulging me though. - Mon Oct  5 20:07:28 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Thought so. - Mon Oct  5 20:07:28 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Yan. - Mon Oct  5 20:08:19 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: If you're looking for someone to go all out, spar Du-...K-Kilm.. - Mon Oct  5 20:08:19 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: YEah Kilm. - Mon Oct  5 20:08:19 2015
<br><br><font color=teal>*Kilm(Vysasi) says: If you're looking for a serious spar . . . We can go at it if you feel like it. - Mon Oct  5 20:08:19 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'll take you up on that offer soon. - Mon Oct  5 20:08:19 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Alright. - Mon Oct  5 20:09:10 2015
<br><br><font color=teal>*Shin(Yaori) says: Hmph - Mon Oct  5 20:14:17 2015
<br><br><font color=teal>*Shin(Yaori) says: I have things that need to be doing. - Mon Oct  5 20:14:17 2015
<br><br><font color=yellow>*Harada, Taiga(Dopespruit) just enters the house again, there was nothing else going on in the village anyway. ''Hm?'' He'd look around the house to see some doors open leading to the good ol' basement. ''. .  Oh god no.''* - Mon Oct  5 20:16:51 2015
<br><br><font color=yellow>*Harada, Taiga(Dopespruit) walks near the basement and just listens in on them, if they noticed he came back then that would just be that. He crossed his arms, at this point he had gotten used to the sight.* - Mon Oct  5 20:20:16 2015
<br><br><font color=teal>*Beth(Ej900) says: Oh. - Mon Oct  5 20:22:49 2015
<br><br><font color=teal>*Beth(Ej900) says: Well. - Mon Oct  5 20:22:49 2015
<br><br><font color=teal>*Beth(Ej900) says: I see. - Mon Oct  5 20:26:14 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Mhm. - Mon Oct  5 20:27:05 2015
<br><br><font color=teal>*Beth(Ej900) says: I still can't beleive hes dead. - Mon Oct  5 20:27:05 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Same. - Mon Oct  5 20:27:05 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: Been a while now though. - Mon Oct  5 20:27:05 2015
<br><br><font color=teal>*Beth(Ej900) says: Oh well whats done is done. *clears throat* - Mon Oct  5 20:28:48 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Failed experiments. Now used as targets. - Mon Oct  5 20:30:30 2015
<br><br><font color=teal>*Beth(Ej900) says: Well at least its just three. - Mon Oct  5 20:31:21 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: To lazy. It's clean enough. - Mon Oct  5 20:34:46 2015
<br><br><font color=teal>*Beth(Ej900) says: Right. - Mon Oct  5 20:34:46 2015
<br><br><font color=teal>*Beth(Ej900) says: So what type of experiments have you done? - Mon Oct  5 20:35:37 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: A lot of kinds? - Mon Oct  5 20:35:37 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Why so intrested? - Mon Oct  5 20:35:37 2015
<br><br><font color=teal>*Beth(Ej900) says: Just wanting to get know you better and the things you can do now. It's been a few month ssense we talked. - Mon Oct  5 20:37:20 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Hmm.. - Mon Oct  5 20:38:11 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Just the standard medical stuff? - Mon Oct  5 20:38:11 2015
<br><br><font color=teal>*Beth(Ej900) says: Wow. - Mon Oct  5 20:41:36 2015
<br><br><font color=teal>*Beth(Ej900) says: Jeez. - Mon Oct  5 20:41:36 2015
<br><br><font color=yellow>*Harada, Taiga(Dopespruit) noticed that they didn't see him, so he took this chance to leave unnoticed.* - Mon Oct  5 20:43:18 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hey taiga hows it going? - Mon Oct  5 20:47:34 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: I'm doing fine, and you? - Mon Oct  5 20:49:16 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Ahh Tesu how are you doing? - Mon Oct  5 20:50:59 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: . . . - Mon Oct  5 20:51:50 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Holy crap. - Mon Oct  5 20:53:32 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: The fuck happened to you Tetsu? - Mon Oct  5 20:53:32 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Damn. - Mon Oct  5 21:02:56 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: ....Yeah. It is. - Mon Oct  5 21:12:19 2015
<br><br><font color=teal>*Beth(Ej900) says: I know that. - Mon Oct  5 21:20:51 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Mhm.. - Mon Oct  5 21:20:51 2015
<br><br><font color=teal>*Beth(Ej900) says: Not like I would stay your "doll" even if that what you wanted. - Mon Oct  5 21:20:51 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Heh. Nah. - Mon Oct  5 21:20:51 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: You've played with me enough already. - Mon Oct  5 21:20:51 2015
<br><br><font color=teal>*Beth(Ej900) thinks: who the fuck do you think your talking to.. - Mon Oct  5 21:20:51 2015
<br><br><font color=teal>*Beth(Ej900) says: -smiles- - Mon Oct  5 21:21:42 2015
<br><br><font color=yellow>*Suna Shopkeeper(Dopespruit) is looking through a window like a stealthy ninja.* - Mon Oct  5 21:37:55 2015
<br><br><font color=yellow>*Suna Shopkeeper(Dopespruit) was staring from a different window now.* - Mon Oct  5 21:45:36 2015
<br><br><font color=yellow>*Suna Shopkeeper(Dopespruit) was recording it.* - Mon Oct  5 21:46:27 2015
<br><br><font color=yellow>*Suna Shopkeeper(Dopespruit) was now drawing Zenaki's half naked body.* - Mon Oct  5 21:49:00 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Fair enough. - Mon Oct  5 21:55:50 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: That sound like fun. - Mon Oct  5 21:56:41 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Can i go to gramps? - Mon Oct  5 21:56:41 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: Well damn, he actually went and said that. - Mon Oct  5 22:00:06 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: I love it when she walks away. - Mon Oct  5 22:00:57 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Om nom nom. - Mon Oct  5 22:00:57 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: Ass. - Mon Oct  5 22:00:57 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: . . .That's nice? I guess. - Mon Oct  5 22:00:57 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Yes it is. - Mon Oct  5 22:00:57 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: Her assets are lacking in youth! - Mon Oct  5 22:00:57 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: True. Those saggy tits are disgusting - Mon Oct  5 22:01:48 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: -omit- - Mon Oct  5 22:01:48 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Anyway. - Mon Oct  5 22:02:40 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Can I help you Taiga? - Mon Oct  5 22:02:40 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Nope. - Mon Oct  5 22:03:31 2015
<br><br><font color=teal>*Shin(Yaori) says: Kilm - Tue Oct  6 16:02:08 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Hm? - Tue Oct  6 16:02:08 2015
<br><br><font color=teal>*Shin(Yaori) says: You're alright - Tue Oct  6 16:02:08 2015
<br><br><font color=teal>*Shin(Yaori) says: That's good to see - Tue Oct  6 16:02:08 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Well that's random. - Tue Oct  6 16:02:08 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: So he's alright now? He looked like a total mess the last time I saw him. - Tue Oct  6 16:03:50 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Not hungry, thanks. - Tue Oct  6 16:04:41 2015
<br><br><font color=teal>*Lera(Bailey42) says: ...How much? - Tue Oct  6 16:08:57 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: 50 cents. - Tue Oct  6 16:08:57 2015
<br><br><font color=teal>*Lera(Bailey42) says: I'll take forty - Tue Oct  6 16:09:48 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Great! - Tue Oct  6 16:09:48 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Are you eating all of them at once, Lera? - Tue Oct  6 16:09:48 2015
<br><br><font color=teal>*Lera(Bailey42) says: Of course - Tue Oct  6 16:09:48 2015
<br><br><font color=teal>*Kilm(Vysasi) says: . . . - Tue Oct  6 16:09:48 2015
<br><br><font color=teal>*Kilm(Vysasi) says: I'll take fifty. - Tue Oct  6 16:09:48 2015
<br><br><font color=teal>*Kilm(Vysasi) says: It's time to see who can eat more. - Tue Oct  6 16:09:48 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Thank you. Ms.Shinobi. - Tue Oct  6 16:10:40 2015
<br><br><font color=teal>*Lera(Bailey42) says: No...thank you! - Tue Oct  6 16:10:40 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Fifty then! - Tue Oct  6 16:10:40 2015
<br><br><font color=teal>*Shin(Yaori) says: . . . - Tue Oct  6 16:13:13 2015
<br><br><font color=teal>*Lera(Bailey42) says: So. Why're you selling Rice cakes Fuji? - Tue Oct  6 16:13:13 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Wait. - Tue Oct  6 16:13:13 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Sell me. .  - Tue Oct  6 16:13:13 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Sixty. - Tue Oct  6 16:13:13 2015
<br><br><font color=teal>*Kilm(Vysasi) says: You challenge my stomach, Taiga? - Tue Oct  6 16:14:04 2015
<br><br><font color=yellow>*Harada, Taiga(Dopespruit) holds out the money and walks over to Fujitora. ''Hehehehehehehe, I have a stomache of steel.''* - Tue Oct  6 16:14:04 2015
<br><br><font color=teal>*Kilm(Vysasi) says: We're going to have a food battle when i'm done with this spar. - Tue Oct  6 16:14:04 2015
<br><br><font color=teal>*Kilm(Vysasi) says: You ain't going to win. - Tue Oct  6 16:14:04 2015
<br><br><font color=teal>*Kilm(Vysasi) says: My stomach is the largest around. - Tue Oct  6 16:14:56 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: No Kilm. - Tue Oct  6 16:14:56 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: You can't defeat my stomache. - Tue Oct  6 16:14:56 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Challenge accepted. - Tue Oct  6 16:15:47 2015
<br><br><font color=teal>*Kilm(Vysasi) thinks: I'm convinced Zenaki broke him. - Tue Oct  6 16:15:47 2015
<br><br><font color=teal>*Lera(Bailey42) says: Fathers daughter more like. I'm your step sister. - Tue Oct  6 16:17:29 2015
<br><br><font color=teal>*Lera(Bailey42) says: Did you forget or something? - Tue Oct  6 16:17:29 2015
<br><br><font color=yellow>*Harada, Taiga(Dopespruit) opened his mouth and grabbed the first Rice Cake. ''. . . Chomp mode ON!'' The boy's aura changed, it was almost like a machine. Eating cake after cake in rapid succession, he didn't even drink in between to clear his throat.

The teenager finished quickly and turned to Kilm. ''I'm ready anytime.''* - Tue Oct  6 16:17:29 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Once I spar with Yan. - Tue Oct  6 16:19:12 2015
<br><br><font color=teal>*Lera(Bailey42) says: .... - Tue Oct  6 16:22:36 2015
<br><br><font color=teal>*Lera(Bailey42) says: You made yourself forget...? - Tue Oct  6 16:22:36 2015
<br><br><font color=teal>*Shin(Yaori) says: If you guys are about to fight, let me fight to - Tue Oct  6 16:23:28 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: .. - Tue Oct  6 16:23:28 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Hello, Master. - Tue Oct  6 16:24:19 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: If I ever hoped to retire, I had no choice..For the protection of my family, and self ...But, only because I already forgot some without it.. - Tue Oct  6 16:24:19 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hello Zen.. - Tue Oct  6 16:24:19 2015
<br><br><font color=teal>*Shin(Yaori) thinks: So that's her master? - Tue Oct  6 16:24:19 2015
<br><br><font color=teal>*Lera(Bailey42) says: ... - Tue Oct  6 16:24:19 2015
<br><br><font color=teal>*Lera(Bailey42) says: Well, can't say I get it. But if its what you wanted to do... - Tue Oct  6 16:25:10 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Mhm.. - Tue Oct  6 16:26:01 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I'll be off home now. - Tue Oct  6 16:26:52 2015
<br><br><font color=teal>*Shin(Yaori) says: So - Tue Oct  6 16:26:52 2015
<br><br><font color=teal>*Shin(Yaori) says: Are you fighting - Tue Oct  6 16:26:52 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Alright.. - Tue Oct  6 16:26:52 2015
<br><br><font color=teal>*Shin(Yaori) says: Or what? - Tue Oct  6 16:26:52 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Why would I fight my sister?... - Tue Oct  6 16:26:52 2015
<br><br><font color=teal>*Shin(Yaori) says: . . . not you - Tue Oct  6 16:27:44 2015
<br><br><font color=teal>*Shin(Yaori) says: Them - Tue Oct  6 16:27:44 2015
<br><br><font color=teal>*Kilm(Vysasi) says: We're going to spar. - Tue Oct  6 16:28:35 2015
<br><br><font color=teal>*Kilm(Vysasi) says: When Yan is ready. - Tue Oct  6 16:28:35 2015
<br><br><font color=teal>*Shin(Yaori) says: Then let me fight too - Tue Oct  6 16:28:35 2015
<br><br><font color=teal>*Shin(Yaori) says: It'll be fun - Tue Oct  6 16:28:35 2015
<br><br><font color=teal>*Shin(Yaori) says: The more the merrier - Tue Oct  6 16:28:35 2015
<br><br><font color=teal>*Kilm(Vysasi) says: You and Yan versus me? - Tue Oct  6 16:28:35 2015
<br><br><font color=teal>*Shin(Yaori) says: I don't do partners in spars - Tue Oct  6 16:29:26 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I have enough help as it stands. - Tue Oct  6 16:29:26 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Let's go ahead and do this. - Tue Oct  6 16:29:26 2015
<br><br><font color=teal>*Shin(Yaori) says: Taiha - Tue Oct  6 16:30:17 2015
<br><br><font color=teal>*Shin(Yaori) says: You know you wann get in this - Tue Oct  6 16:30:17 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Eh, I'm fine. - Tue Oct  6 16:30:17 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Who's going first? - Tue Oct  6 16:30:17 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: There's a place for spars, let's go there. - Tue Oct  6 16:30:17 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Alright. - Tue Oct  6 16:30:17 2015
<br><br><font color=teal>*Lera(Bailey42) says: Hrm...I could do with a spar as well... - Tue Oct  6 16:31:08 2015
<br><br><font color=teal>*Shin(Yaori) says: Awesome - Tue Oct  6 16:32:51 2015
<br><br><font color=teal>*Shin(Yaori) says: Let's go! - Tue Oct  6 16:32:51 2015
<br><br><font color=teal>*Lera(Bailey42) says: Alright - Tue Oct  6 16:32:51 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: People and their sparring. - Tue Oct  6 16:32:51 2015
<br><br><font color=yellow>*Harada, Taiga(Dopespruit) rubbed the back of his head and yawned, heading down to the south. Probably to take a look at the spars going on.* - Tue Oct  6 16:38:49 2015
<br><br><font color=teal>*Kilm(Vysasi) thinks: This is going to be fun. - Tue Oct  6 16:38:49 2015
<br><br><font color=teal>*Katsune(Shimizu3598) thinks: Eh. Not like their stray fire could hit me anyway. - Tue Oct  6 16:44:48 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Soo... Hows life for all of you. - Tue Oct  6 17:48:48 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Boring. - Tue Oct  6 17:48:48 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: I think you have had enough excemtnet that testu guy was crazy strong. - Tue Oct  6 17:49:39 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Well, if you think about it.... - Tue Oct  6 17:50:30 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I have no career. - Tue Oct  6 17:50:30 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I also happen to have no goals. - Tue Oct  6 17:50:30 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: So it is dull. - Tue Oct  6 17:50:30 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Considering taking a headband somewhere but I'm not sure yet whether or not I want a leashe. - Tue Oct  6 17:50:30 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Ohhhh I got a goal for you I can help watch new goal Teach trilliam. - Tue Oct  6 17:51:21 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Mmm.... - Tue Oct  6 17:51:21 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I think you're asking for something that can't be taught. - Tue Oct  6 17:51:21 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Oh what do you mean. - Tue Oct  6 17:52:12 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) whispers: Yeah Ummmm......I posess a many elemental affinity. - Tue Oct  6 17:56:28 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Anyone got chakra paper? - Tue Oct  6 17:56:28 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I'd buy some but. . .this village seems to be struggling as far as the market goes. - Tue Oct  6 17:57:20 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) whispers: If it helps you to know i can mix Lightning and earth chakra very easily. - Tue Oct  6 17:59:02 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Yo'. - Tue Oct  6 18:04:09 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Hello. - Tue Oct  6 18:04:09 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I'd hold back. - Tue Oct  6 18:05:00 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Just interested in seeing what you can do. - Tue Oct  6 18:05:52 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Where's Bryson? - Tue Oct  6 18:06:43 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: He'd be able to heal you probably, Kilm. - Tue Oct  6 18:06:43 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Haevent seen him. - Tue Oct  6 18:07:34 2015
<br><br><font color=teal>*Kilm(Vysasi) says: That or Zenaki. - Tue Oct  6 18:07:34 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Not 'all' of my techniques shake the ground and houses. - Tue Oct  6 18:07:34 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: True. - Tue Oct  6 18:08:25 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hmmmmm...Deciousions. - Tue Oct  6 18:10:59 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: You  know what i need the expricnece so il spar you. - Tue Oct  6 18:16:06 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Hi Kang. - Tue Oct  6 18:16:06 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Sounds like you're the one enjoying something. - Tue Oct  6 18:24:38 2015
<br><br><font color=teal>*Lera(Bailey42) says: ....... - Tue Oct  6 18:27:12 2015
<br><br><font color=teal>*Lera(Bailey42) thinks: Oh god, I need that. - Tue Oct  6 18:28:03 2015
<br><br><font color=teal>*Lera(Bailey42) thinks: Maybe I'll talk to her one day...see if she wants to do some swaps.. - Tue Oct  6 18:28:03 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Bad jokes or being a pervert. Either way someone should hit you. - Tue Oct  6 18:32:19 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: The jokes I could understand. . . - Tue Oct  6 18:32:19 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: But I don't recall being perverted. - Tue Oct  6 18:32:19 2015
<br><br><font color=teal>*Lera(Bailey42) thinks: I'll wait until she's done beating Tetsu up - Tue Oct  6 18:33:10 2015
<br><br><font color=teal>*Lera(Bailey42) thinks: This is gonna be fun to watch... - Tue Oct  6 18:34:01 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Though if you want to hit me, let's go. - Tue Oct  6 18:34:01 2015
